"createdAt","closedAt","title","url"
"2018-4/24","2018-5/8","Increase number of allowed concurrent client requests from Hermes","https://github.com/AppScale/gts/issues/2731"
"2018-4/26","2018-4/26","Add information about supported Go version and supported Go GAE SDK to FAQ","https://github.com/AppScale/gts/issues/2734"
"2018-5/3","null","Improve retrying tools","https://github.com/AppScale/gts/issues/2737"
"2018-5/4","null","Use Protocol Buffers library with datastore server","https://github.com/AppScale/gts/issues/2740"
"2018-5/9","2018-5/9","Remove all ruby code","https://github.com/AppScale/gts/issues/2745"
"2018-5/9","2018-5/15","Support ""service"" keyword in app.yaml","https://github.com/AppScale/gts/issues/2747"
"2018-5/12","null","Unhelpful queue update error","https://github.com/AppScale/gts/issues/2750"
"2018-5/12","null","Inaccurate ndb count query","https://github.com/AppScale/gts/issues/2751"
"2018-5/12","2018-6/14","Unable to upload to a GCS bucket via the blobstore API","https://github.com/AppScale/gts/issues/2752"
"2018-5/21","2018-7/24","PullQueues implementation using Postgres as a backend","https://github.com/AppScale/gts/issues/2759"
"2018-5/23","2018-6/22","Transactional task names do not match RPC results","https://github.com/AppScale/gts/issues/2761"
"2018-5/23","2018-8/3","Task names are not tombstoned after completion","https://github.com/AppScale/gts/issues/2762"
"2018-5/25","2018-5/25","Version bump release-3.5 to 3.5.2","https://github.com/AppScale/gts/issues/2764"
"2018-5/25","2018-5/25","Merge tx isolation issue into release-3.5","https://github.com/AppScale/gts/issues/2765"
"2018-5/25","2018-5/25","Update release notes for 3.5.2","https://github.com/AppScale/gts/issues/2766"
"2018-5/25","2018-7/4","Can't install appscale on fresh ubuntu-xenial","https://github.com/AppScale/gts/issues/2767"
"2018-5/25","2018-5/25","Groups are not locked during commit","https://github.com/AppScale/gts/issues/2770"
"2018-5/25","2018-6/19","Combined app logs are not re-created","https://github.com/AppScale/gts/issues/2772"
"2018-5/29","2018-5/30","Nginx will only open 1024 concurrent connections","https://github.com/AppScale/gts/issues/2779"
"2018-6/1","2019-3/11","Choosing an invalid project ID returns a 404","https://github.com/AppScale/gts/issues/2781"
"2018-6/6","2018-6/7","One appserver should be enough to say that Dashboard works","https://github.com/AppScale/gts/issues/2782"
"2018-6/6","2018-6/7","Do not fail on NoSuchProcess error when trying to terminate process","https://github.com/AppScale/gts/issues/2783"
"2018-6/8","null","Appscale cannot read non-default queue entry in queue.xml","https://github.com/AppScale/gts/issues/2788"
"2018-6/8","2018-7/31","channel API not working","https://github.com/AppScale/gts/issues/2789"
"2018-6/14","null","Hermes Overload","https://github.com/AppScale/gts/issues/2803"
"2018-6/21","2018-7/2","Determine new_eta for leased tasks later","https://github.com/AppScale/gts/issues/2806"
"2018-6/27","2018-6/27","Controller won't start with latest version of soap4r-ng (2.0.4)","https://github.com/AppScale/gts/issues/2813"
"2018-6/28","null","Trying to modify a deleted task gives the wrong error","https://github.com/AppScale/gts/issues/2815"
"2018-7/3","2018-7/6","Pull queue clients can modify tasks they don't own","https://github.com/AppScale/gts/issues/2819"
"2018-7/3","null","Failing to acquire a group lock returns timeout error","https://github.com/AppScale/gts/issues/2820"
"2018-7/14","2019-6/8","Error on installation","https://github.com/AppScale/gts/issues/2823"
"2018-7/18","2018-8/29","Handle socket.error when doing HTTP requests from Hermes","https://github.com/AppScale/gts/issues/2825"
"2018-7/19","2018-10/1","Fix snapshots caching in Hermes","https://github.com/AppScale/gts/issues/2827"
"2018-7/19","2018-8/12","No easy way to restart datastore servers","https://github.com/AppScale/gts/issues/2829"
"2018-7/19","2018-8/6","Stopping services sometimes takes a long time","https://github.com/AppScale/gts/issues/2830"
"2018-8/6","2018-8/6","Queries can fail for entities with "":"" in the key name","https://github.com/AppScale/gts/issues/2841"
"2018-8/7","2018-8/31","Unable to update all composite indexes","https://github.com/AppScale/gts/issues/2844"
"2018-8/9","2018-9/2","Merge join queries on empty values can fail","https://github.com/AppScale/gts/issues/2852"
"2018-9/25","2018-11/27","The datastore service relies on clients for index definitions","https://github.com/AppScale/gts/issues/2874"
"2018-9/26","null","When rebalance fails we don’t have an alert:","https://github.com/AppScale/gts/issues/2875"
"2018-9/26","2018-10/16","Add Cassandra nodetool status info to Hermes","https://github.com/AppScale/gts/issues/2876"
"2018-9/27","2018-11/27","Datastore queries are accepted for partial indexes","https://github.com/AppScale/gts/issues/2878"
"2018-10/4","2018-10/24","Instance fulfillment time is slowed by duty cycle","https://github.com/AppScale/gts/issues/2882"
"2018-10/4","null","Push queues don't support delete operations","https://github.com/AppScale/gts/issues/2884"
"2018-10/10","2018-10/12","Blobstore uploads fail when using GCS keys","https://github.com/AppScale/gts/issues/2887"
"2018-10/10","2018-11/2","Cassandra's ""nodetool status"" and ""nodetool ring"" sometimes fail","https://github.com/AppScale/gts/issues/2889"
"2018-10/16","2018-11/7","appscale-admin package does not use consistent logging","https://github.com/AppScale/gts/issues/2893"
