"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"Replacing zookeeper_locations.json with zookeeper_locations","2019-1/14","2019-1/14","2019-1/14",True,"2019-1/14",4,135,98
"Undo accidental change in async_retrying module","2019-1/17","2019-1/17","2019-1/17",True,"2019-1/17",4,2,2
"Only list unique items in project list","2019-1/19","2019-4/19","2019-1/19",True,"2019-4/19",4,8,6
"Remove login role","2019-1/20","2019-4/20","2019-1/20",True,"2019-4/20",4,81,20
"Optimize Service Stats","2019-1/23","2019-1/23","2019-1/23",True,"2019-1/23",4,494,645
"Add partition list to RabbitMQ stats snapshot","2019-1/24","2019-1/24","2019-1/24",True,"2019-1/24",4,5,2
"Ensure newer version of PyYAML is installed","2019-1/25","2019-1/25","2019-1/25",True,"2019-1/25",3,2,2
"Exit early if version is not found in zookeeper","2019-1/25","2019-1/25","2019-1/25",True,"2019-1/25",4,9,2
"Use initial flags from increment request","2019-1/26","2019-1/26","2019-1/26",True,"2019-1/26",4,6,2
"Wait for result before setting chosen task name","2019-1/26","2019-4/26","2019-1/26",True,"2019-4/26",4,10,4
"Don't upgrade dependencies when testing TQ server","2019-1/28","2019-1/28","2019-1/28",True,"2019-1/28",3,2,1
"New implementation of Search API","2019-1/28","2019-3/28","2019-1/28",False,"null",2,4266,12
"Allow change instance","2019-1/31","2019-1/31","2019-1/31",True,"2019-1/31",4,25,35
"Re-add missing bracket","2019-2/1","2019-2/1","2019-2/1",True,"2019-2/1",4,1,0
"Prevent SDK from starting more than one instance","2019-2/5","2019-4/5","2019-2/5",True,"2019-4/5",3,8,3
"Continue batch query if limit hasn't been reached","2019-2/5","2019-4/5","2019-2/5",True,"2019-4/5",4,10,4
"Check for more results during query","2019-2/6","2019-5/6","2019-2/6",True,"2019-5/6",3,146,72
"Re-add editing capabilities to datastore viewer","2019-2/7","2019-2/7","2019-2/7",True,"2019-2/7",4,79,7
"Pass app identity calls to the external API server","2019-2/8","2019-5/8","2019-2/8",True,"2019-5/8",3,138,135
"Don't wait for autoscaled nodes","2019-2/8","2019-3/8","2019-2/8",True,"2019-3/8",4,48,17
"Fix ruby syntax error","2019-2/8","2019-2/8","2019-2/8",True,"2019-2/8",4,1,1
"Fix bionic php dependencies","2019-2/9","2019-2/9","2019-2/9",True,"2019-2/9",4,2,2
"Remove ""for_cas"" field requirement on set","2019-2/10","2019-4/10","2019-2/10",True,"2019-4/10",4,1,2
"Don't add tag data to task if the task has none","2019-2/10","2019-3/10","2019-2/10",True,"2019-3/10",4,4,2
"Raise API server errors as Java exceptions","2019-2/12","2019-3/12","2019-2/12",True,"2019-3/12",4,3,0
"Use the Python API server for some Java runtime calls","2019-2/12","2019-5/12","2019-2/12",True,"2019-5/12",3,83,4134
"Remove monit maintenance port from the firewall.","2019-2/12","2019-2/12","2019-2/12",True,"2019-2/12",4,11,10
"Add required ProjectGroomer argument","2019-2/18","2019-2/18","2019-2/18",True,"2019-2/18",3,1,1
"Retry dashboard deploy operations on timeout","2019-2/25","2019-2/25","2019-2/25",True,"2019-2/25",5,2,2
