['additions'],['closedAt'],['createdAt'],['deletions'],['merged'],['mergedAt'],['paticipants'],['publishedAt'],['title']
182,2012-7/25,2012-6/25,64,True,2012-7/25,2,2012-6/25,Full Proxy
5,2012-7/6,2012-7/6,4,True,2012-7/6,1,2012-7/6,Reported bug fix from launchpad
3145,2012-7/7,2012-7/7,971,True,2012-7/7,2,2012-7/7,request for merging Java AppServer
7603,2012-11/14,2012-7/14,803,False,,2,2012-7/14,New cassandra interface code enabled w/o transaction support
2113,2012-7/19,2012-7/19,773,True,2012-7/19,2,2012-7/19,"Java AppServer, Version 1.7.0"
15,2012-7/19,2012-7/19,7,True,2012-7/19,2,2012-7/19,extracted magic numbers into class constants
1253,2012-8/31,2012-7/31,660,True,2012-8/31,2,2012-7/31,added new babel library for app engine apps and fixed all appscale api's directory layout
4,2012-9/21,2012-8/21,4,True,2012-9/21,2,2012-8/21,Update Cicero client to cleaned up API
9,2012-8/23,2012-8/23,3,True,2012-8/23,2,2012-8/23,Extracted minimum number of AppServers into a class constant
42,2012-8/27,2012-8/27,25,True,2012-8/27,2,2012-8/27,"Using private IP for nginx upstream on SSL port, fixing issue #19"
6,2012-9/29,2012-8/29,0,True,2012-9/29,2,2012-8/29,exporting EC2_HOME and JAVA_HOME environment variables on services that ...
74,2012-9/1,2012-9/1,0,True,2012-9/1,2,2012-9/1,"added Rakefile that runs code coverage, rdoc generation, and unit tests ..."
3,2012-9/12,2012-9/12,349,True,2012-9/12,2,2012-9/12,fixed broken imports in repo
106987,2012-9/28,2012-9/28,10352,True,2012-9/28,2,2012-9/28,Batch and cache support for Neptune jobs
7794,2012-11/18,2012-10/18,845,False,,2,2012-10/18,Badapp fix
186,2012-10/18,2012-10/18,39,False,,1,2012-10/18,Fix for bad apps
205,2012-10/21,2012-10/21,46,False,,1,2012-10/21,AppServers resilient to down RabbitMQ
19,2012-10/21,2012-10/21,7,False,,1,2012-10/21,TaskQueue reconnect and exception handling
107086,2012-10/22,2012-10/22,10705,False,,4,2012-10/22,Exception handling for RabbitMQ connection failures
107252,2012-10/22,2012-10/22,10736,False,,4,2012-10/22,Badapp3
107067,2012-10/22,2012-10/22,10698,True,2012-10/22,4,2012-10/22,Merging with master
224,2012-10/22,2012-10/22,43,True,2012-10/22,2,2012-10/22,AppScale should not crash with bad applications.
0,2012-10/22,2012-10/22,0,True,2012-10/22,2,2012-10/22,Python applications should start even if rabbitmq fails to start
57,2012-10/23,2012-10/23,39,True,2012-10/23,2,2012-10/23,Greater reliability for ZooKeeper interface
1,2012-10/23,2012-10/23,1,True,2012-10/23,2,2012-10/23,Manually specifying --appservers now properly disables autoscaling
3,2012-10/24,2012-10/24,3,True,2012-10/24,2,2012-10/24,nginx config files written incorrectly in full proxy deployment
53,2012-10/24,2012-10/24,12,True,2012-10/24,2,2012-10/24,TaskQueue reconnect and exception handling
42,2012-10/30,2012-10/30,11,True,2012-10/30,2,2012-10/30,bumped version number to 1.6.3
378,2012-10/30,2012-10/30,107,True,2012-10/30,3,2012-10/30,bumped version number to 1.6.3
25,2012-11/1,2012-11/1,2,True,2012-11/1,2,2012-11/1,Terminate AppServer when process is over soft memory cap
2992,2012-11/1,2012-11/1,2449,False,,2,2012-11/1,Java server updates
2,2012-11/2,2012-11/2,3,True,2012-11/2,2,2012-11/2,IaaS Manager Sources credentials properly
20,2012-11/2,2012-11/2,0,True,2012-11/2,3,2012-11/2,Local IP caching
3,2012-11/2,2012-11/2,3,True,2012-11/2,3,2012-11/2,Remove app via appcontroller fix
8318,2012-11/6,2012-11/6,5631,True,2012-11/6,3,2012-11/6,"Code cleanup, updated datastore interface, removed unused files"
2,2012-11/6,2012-11/6,254,True,2012-11/6,3,2012-11/6,Removed sisyphus from code base
4456,2012-11/9,2012-11/9,3270,False,,3,2012-11/9,Java server sdk updates
4456,2012-11/12,2012-11/12,3270,True,2012-11/12,2,2012-11/12,Java server sdk updates
137,2012-11/13,2012-11/13,110,True,2012-11/13,2,2012-11/13,Java server sdk updates
6877,2012-11/14,2012-11/14,3827,True,2012-11/14,2,2012-11/14,Initial implementation of AppManager
2,2012-11/14,2012-11/14,1,True,2012-11/14,2,2012-11/14,Explicitly stating which version of rake we need to install
10,2012-11/14,2012-11/14,0,True,2012-11/14,2,2012-11/14,Added constants WANT_OUTPUT and NO_OUTPUT into godinterface
2,2012-11/14,2012-11/14,1,True,2012-11/14,2,2012-11/14,Explicitly stating which version of rake we need to install
13,2012-11/15,2012-11/15,220,True,2012-11/15,3,2012-11/15,Removed Neptune files from build script
526,2012-11/15,2012-11/15,274,True,2012-11/15,2,2012-11/15,Java server sdk updates
1,2012-11/15,2012-11/15,0,True,2012-11/15,2,2012-11/15,Importing random in DevAppServer
1,2012-11/15,2012-11/15,0,True,2012-11/15,2,2012-11/15,Bad apps fix no handlers
1811,2012-11/16,2012-11/16,8910,False,,3,2012-11/16,New Python Based Infrastructure Manager for AppScale
34,2012-11/16,2012-11/16,11,True,2012-11/16,4,2012-11/16,AppScale Lite
81,2012-11/17,2012-11/17,19,True,2012-11/17,2,2012-11/17,Added tests for removing app via ZooKeeper
3,2012-11/19,2012-11/19,3,True,2012-11/19,2,2012-11/19,Adding missing build script for flexmock
10,2012-12/20,2012-11/20,0,False,,4,2012-11/20,Adding top level script for running all unit test
21,2012-11/20,2012-11/20,11,True,2012-11/20,2,2012-11/20,bumping version to 1.6.4
15806,2012-11/20,2012-11/20,9957,True,2012-11/20,2,2012-11/20,Merged changes from 1.6.3 to 1.6.4
0,2012-11/21,2012-11/21,6,True,2012-11/21,3,2012-11/21,Mysql fix
6,2012-11/26,2012-11/26,3,True,2012-11/26,2,2012-11/26,Type check
1,2012-11/26,2012-11/26,12,True,2012-11/26,2,2012-11/26,Removed status info on MapReduce
1837,2012-12/26,2012-11/26,8914,True,2012-12/26,2,2012-11/26,New Python Based Infrastructure Manager (for Testing Branch)
60,2012-11/27,2012-11/27,25,True,2012-11/27,3,2012-11/27,Correctly starting AppScale if more than one eth device is present
0,2012-11/27,2012-11/27,5,True,2012-11/27,2,2012-11/27,Removed imports for gems that we no longer install
18450,2012-12/27,2012-11/27,15717,True,2012-12/27,2,2012-11/27,updated coverage
21,2012-11/27,2012-11/27,0,True,2012-11/27,2,2012-11/27,AppController validates AppScale version on other VMs
98,2012-12/27,2012-11/27,0,False,,3,2012-11/27,Adding diff checker tool to compare AppScale modified files between two ...
204,2012-12/28,2012-11/28,265,True,2012-12/28,3,2012-11/28,Bulkuploader support
4,2012-11/28,2012-11/28,511,True,2012-11/28,2,2012-11/28,Turned firewall on
55,2012-11/29,2012-11/29,511,True,2012-11/29,2,2012-11/29,Obscure ec2 creds
54,2012-12/3,2012-12/3,22,True,2012-12/3,2,2012-12/3,SSH keys now copied to ~/.ssh
128,2012-12/3,2012-12/3,1,False,,2,2012-12/3,Java sdk copy fix
128,2012-12/3,2012-12/3,1,True,2012-12/3,3,2012-12/3,Java sdk copy fix
1,2012-12/4,2012-12/4,1,True,2012-12/4,3,2012-12/4,Updating java sdk compatibility to 1.7.3 sdk
765,2013-1/5,2012-12/5,93,True,2013-1/5,2,2012-12/5,Add nodes dynamically to an AppScale deployment
1698378,2012-12/8,2012-12/8,21504,True,2012-12/8,2,2012-12/8,GAE python 1.7.3
46,2012-12/12,2012-12/12,27,True,2012-12/12,2,2012-12/12,Test fix
46,2012-12/12,2012-12/12,51,True,2012-12/12,2,2012-12/12,Fix repo
18,2012-12/12,2012-12/12,0,True,2012-12/12,2,2012-12/12,Auto build
5,2012-12/12,2012-12/12,16,True,2012-12/12,2,2012-12/12,Removing APIs used by the repo--ec2 and neptune
7,2012-12/12,2012-12/12,290,True,2012-12/12,2,2012-12/12,Fixed unit tests for neptune manager
3,2012-12/13,2012-12/13,0,True,2012-12/13,2,2012-12/13,"Fixed queries with ancestors and a kind, used by AppInventor."
2,2012-12/13,2012-12/13,2,True,2012-12/13,2,2012-12/13,Normalize function requires an additional argument
15,2012-12/13,2012-12/13,0,True,2012-12/13,2,2012-12/13,Validating database spelling on new builds
593,2013-1/14,2012-12/14,592,True,2013-1/14,3,2012-12/14,Using Boto in Infrastructure Manager
21,2012-12/15,2012-12/15,48,True,2012-12/15,2,2012-12/15,Fixed issue with count where skipped results were not being set correctl...
8,2012-12/17,2012-12/17,8,True,2012-12/17,2,2012-12/17,Using private IPs instead of public for memcached and ejabberd
22,2012-12/17,2012-12/17,50,True,2012-12/17,2,2012-12/17,Interactive console fix
82,2012-12/17,2012-12/17,53,True,2012-12/17,2,2012-12/17,Fixed issue with MySQL transactions
1,2012-12/18,2012-12/18,0,True,2012-12/18,2,2012-12/18,Enable interactive console
470,2012-12/18,2012-12/18,49,False,,1,2012-12/18,Release 1.6.5
20,2012-12/18,2012-12/18,7,True,2012-12/18,2,2012-12/18,Bumped version number to 1.6.5
