"createdAt","closedAt","title","url"
"2021-12/9","2022-12/14","Need an example of using a non-default profile when creating a service client in Rust","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2574"
"2021-12/9","2021-12/14","Go SDK docs generating","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2575"
"2021-12/13","2022-2/11","TASK: Update example (Cognitio - AWS SDK for JS)","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2583"
"2021-12/13","null","Epic: S3 MVP examples","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2585"
"2021-12/13","2022-7/7","Epic: DynamoDB SOS (add existing examples)","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2586"
"2021-12/13","2022-9/1","Epic: SQS SOS (add existing examples)","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2587"
"2021-12/13","null","Epic: IAM SOS MVP","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2588"
"2021-12/13","2022-9/1","EPIC: STS SOS (add existing examples)","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2589"
"2021-12/13","2022-9/1","EPIC: KMS SOS (add existing examples)","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2590"
"2021-12/13","2022-9/1","Epic: Secrets Manager SOS (add existing examples)","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2591"
"2021-12/13","2022-9/1","EPIC: SES SOS (add existing examples)","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2592"
"2021-12/13","2021-12/22","Rust SDK repo has code examples that aren't in the docs repo","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2593"
"2021-12/13","2022-1/4",".NET S3 SOS  (add existing examples)","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2594"
"2021-12/13","2023-3/7","PHP S3 SOS (add existing examples)","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2595"
"2021-12/13","2022-1/4","SOS: S3 C++ examples","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2596"
"2021-12/13","2022-1/5","Ruby S3 SOS (add existing examples)","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2597"
"2021-12/13","2022-4/4","TASK: Make the SOS data easier to munch on","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2598"
"2021-12/13","2021-12/21","Go configuration file should have more optional settings, such as bucket name Doesn't contain enough of the variables. Would be nice to show S3Bucket, and all other required and optional settings.","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2599"
"2021-12/13","2021-12/21","Cannot find how to add a header to a request in Go Trying to do: I want to add header to request , but sdk is not supported Make Better:I want to add header to request , but sdk is not supported","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2600"
"2021-12/13","2022-1/3","Go code example sts_assume_role.go should show how to use session credentials Trying to do:Make use of the assumed session credentials . Make Better:Hi I think in the example shown for the azsume role it would be great to extend it slightly show how to use the session credentials to use with a service.","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2601"
"2021-12/13","2022-1/3","Go code example sts_assume_role.go needs updating for v2 Trying to do: Assume role Make Better: With the new V2 SDK, this documentation is out of date","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2602"
"2021-12/13","2021-12/29","Work on Rust accessors","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2603"
"2021-12/13","2021-12/22","Rust SDK docs needs an S3 copy object code example","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2604"
"2021-12/14","2021-12/21","OnCall Duties","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2605"
"2021-12/14","2021-12/22","TASK: Update Rust readme to latest standard; replace ""alpha release"" with ""developer preview release"".","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2606"
"2021-12/16","2021-12/17","[BUG] <<Path to affected code file(s) in this repository>>","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2614"
"2021-12/16","2021-12/17","[NEW EXAMPLE] <<Language>> <<Service>> <<Description of Examples>>","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2615"
"2021-12/17","null","Update all AWS Java Spring examples to use version 2.6.1","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2619"
"2021-12/18","2021-12/20","[BUG] AWSLambdaReadOnlyAccess is deprecated and blank-python deploy fails.","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2620"
"2021-12/20","2022-1/4","OnCall Duties","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2623"
"2021-12/20","2022-9/1","EPIC: tasks for Rust GA","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2627"
"2021-12/21","2022-1/18","TASK: Unit test working group (kick-off)","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2628"
"2021-12/21","2021-12/22","TASK: Add SoS entries","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2630"
"2021-12/21","2021-12/22","TASK: Update Rust code examples to latest (0.3.0) release.","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2632"
"2021-12/22","2022-1/3","STORY: Triggering Lambda from browser (JS SDK V2 and V3)","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2639"
"2021-12/22","2022-2/8","SOS: markdown banner, naming, ordering, collapsibles","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2640"
"2021-12/22","2022-1/26","Update Python IAM write-only example","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2641"
"2021-12/22","2021-12/22","C++ IAM SOS  (add existing examples)","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2642"
"2021-12/22","2021-12/22","PHP IAM SOS  (add existing examples)","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2643"
"2021-12/22","2021-12/22","Ruby IAM SOS  (add existing examples)","https://github.com/awsdocs/aws-doc-sdk-examples/issues/2644"
