"createdAt","closedAt","title","url"
"2019-12/19","2020-1/6","Python error IndexError: list index out of range","https://github.com/bridgecrewio/checkov/issues/15"
"2019-12/19","2019-12/24","Please add a CONTRIBUTING.md file","https://github.com/bridgecrewio/checkov/issues/16"
"2019-12/20","2019-12/21","Implement user-defined loadable checks","https://github.com/bridgecrewio/checkov/issues/19"
"2019-12/25","2020-1/19","Add new check: Ensure CloudTrail log file validation is enabled","https://github.com/bridgecrewio/checkov/issues/25"
"2019-12/25","2020-1/19","Add new check:  Ensure CloudTrail logs are encrypted at rest using KMS CMKs ","https://github.com/bridgecrewio/checkov/issues/26"
"2019-12/25","2020-1/19","Add new check: Check if CloudFront distributions are set to HTTPS","https://github.com/bridgecrewio/checkov/issues/27"
"2019-12/25","2019-12/26","Error in password complexity check","https://github.com/bridgecrewio/checkov/issues/28"
"2019-12/31","2020-1/11","Add cli switch to inspect a file","https://github.com/bridgecrewio/checkov/issues/31"
"2020-1/1","2020-1/2","Add documentation on Jenkins Integration","https://github.com/bridgecrewio/checkov/issues/32"
"2020-1/2","2020-1/3","Add CVK_AWS_## number in CLI output","https://github.com/bridgecrewio/checkov/issues/34"
"2020-1/2","2021-4/6","Checkov should not exit success (0) on parsing errors","https://github.com/bridgecrewio/checkov/issues/35"
"2020-1/3","2020-1/3","security_groups in aws_security_group rule not supported","https://github.com/bridgecrewio/checkov/issues/38"
"2020-1/3","2020-1/3","Add documentation on CircleCI Integration","https://github.com/bridgecrewio/checkov/issues/40"
"2020-1/3","2020-6/4","Allow Global Suppression","https://github.com/bridgecrewio/checkov/issues/41"
"2020-1/6","2020-3/10","Add scanning cloudformation support","https://github.com/bridgecrewio/checkov/issues/42"
"2020-1/6","2020-1/11","Add new check: Check if all Elasticache Replication Group encryption parameters are enabled and set","https://github.com/bridgecrewio/checkov/issues/43"
"2020-1/6","2020-1/8","Add documentation: How to contribute a new Check","https://github.com/bridgecrewio/checkov/issues/44"
"2020-1/7","2021-4/6","Allow checks to run globally across all resources","https://github.com/bridgecrewio/checkov/issues/45"
"2020-1/8","2020-2/24","Check rational","https://github.com/bridgecrewio/checkov/issues/46"
"2020-1/8","2021-4/6","Integrate with tf-parliament","https://github.com/bridgecrewio/checkov/issues/47"
"2020-1/10","2020-1/11","Checkov Docker Image","https://github.com/bridgecrewio/checkov/issues/50"
"2020-1/10","2021-4/6","Support for ARM template in Azure DevOps","https://github.com/bridgecrewio/checkov/issues/51"
"2020-1/12","2020-1/27","Add new check: IAM policies should only be attached to groups or roles","https://github.com/bridgecrewio/checkov/issues/56"
"2020-1/12","2020-1/19","Add new check: Enable ECR image scanning on push ","https://github.com/bridgecrewio/checkov/issues/57"
"2020-1/12","2020-1/19","Add new check: public access to an ECR repo","https://github.com/bridgecrewio/checkov/issues/58"
"2020-1/12","2020-3/9","Add new check: File system should be encrypted at rest ","https://github.com/bridgecrewio/checkov/issues/59"
"2020-1/12","2020-8/31","Add new check: codebuild encryption at rest","https://github.com/bridgecrewio/checkov/issues/60"
"2020-1/12","2020-5/22","Add new checks: redshift encryption at rest","https://github.com/bridgecrewio/checkov/issues/61"
"2020-1/12","2020-3/16","Add new check: Neptune encryption at rest","https://github.com/bridgecrewio/checkov/issues/62"
"2020-1/12","2020-3/15","Add new check: Kinesis encryption at rest","https://github.com/bridgecrewio/checkov/issues/63"
"2020-1/12","2023-1/22","Add Support for Ansible","https://github.com/bridgecrewio/checkov/issues/64"
"2020-1/16","2020-1/19","Support multi files scanner","https://github.com/bridgecrewio/checkov/issues/68"
"2020-1/20","2020-1/20","GoogleComputeFirewallUnrestrictedIngress - KeyError on parsing","https://github.com/bridgecrewio/checkov/issues/75"
"2020-1/20","2020-1/21","Add --version flag","https://github.com/bridgecrewio/checkov/issues/77"
"2020-1/23","2020-1/23","Checkov doesn't seem to support variables for aws_ebs_volume / encrypted","https://github.com/bridgecrewio/checkov/issues/81"
"2020-1/27","2020-1/27","Add new check: Check for backups of GCP cloud sql","https://github.com/bridgecrewio/checkov/issues/85"
"2020-1/27","2021-4/6","Versioned Rulesets","https://github.com/bridgecrewio/checkov/issues/88"
"2020-2/4","2020-7/2","Document reasoning behind rule checks","https://github.com/bridgecrewio/checkov/issues/89"
"2020-2/4","2020-2/4","Rule check suppression comments do not work","https://github.com/bridgecrewio/checkov/issues/90"
"2020-2/5","2020-2/7","Dynamic blocks handling is partial","https://github.com/bridgecrewio/checkov/issues/91"
"2020-2/6","2020-2/7","Docker command in README.md is wrong","https://github.com/bridgecrewio/checkov/issues/92"
"2020-2/6","2020-6/4","Four checks, three empty?","https://github.com/bridgecrewio/checkov/issues/95"
"2020-2/19","2020-2/26","Checkov fails to start in Windows environments ","https://github.com/bridgecrewio/checkov/issues/99"
"2020-2/21","2020-2/21","GCP cloudSQL check failing even though should pass - rule bug???","https://github.com/bridgecrewio/checkov/issues/100"
"2020-2/21","2020-5/6","Ability to disable some rules globally","https://github.com/bridgecrewio/checkov/issues/102"
"2020-2/23","2020-2/26","Check fails if you have different objects with the same name","https://github.com/bridgecrewio/checkov/issues/103"
"2020-3/2","2020-5/17","Ability to run Checkov with 'quiet mode'","https://github.com/bridgecrewio/checkov/issues/110"
"2020-3/3","2020-5/31","Option to display parsing errors","https://github.com/bridgecrewio/checkov/issues/111"
"2020-3/9","2021-12/1","checkov directory switch not repeatable","https://github.com/bridgecrewio/checkov/issues/115"
"2020-3/11","2020-3/11","The releases of checkov since 1.0.188 are broken","https://github.com/bridgecrewio/checkov/issues/118"
"2020-3/11","2020-3/11","Bug when running checkov with official docker image","https://github.com/bridgecrewio/checkov/issues/119"
"2020-3/12","2020-3/14","add secrets detection ","https://github.com/bridgecrewio/checkov/issues/123"
"2020-3/16","2020-8/30","Add new check: Documentdb encryption","https://github.com/bridgecrewio/checkov/issues/129"
"2020-3/16","2020-10/28","Add new check: DocDB snapshot encryption","https://github.com/bridgecrewio/checkov/issues/130"
"2020-3/16","2020-3/17","SemVer tagging of new docker images in dockerhub","https://github.com/bridgecrewio/checkov/issues/131"
"2020-3/18","2020-3/18","file_path result is empty for flag -f","https://github.com/bridgecrewio/checkov/issues/133"
"2020-3/18","2020-3/18","file_path result is different for -d flag depends on the path of the folder","https://github.com/bridgecrewio/checkov/issues/134"
"2020-3/25","2020-9/5","Add new check: MSK - Check encryption at rest and in transit ","https://github.com/bridgecrewio/checkov/issues/137"
"2020-3/25","2020-9/5","Add new check: MSK - Ensure Broker logging enabled ","https://github.com/bridgecrewio/checkov/issues/138"
"2020-3/25","2020-12/27","Add new check: RDS - Check encryption at rest for database cluster","https://github.com/bridgecrewio/checkov/issues/139"
"2020-3/25","2021-4/6","Add new check: RDS - Enable Logging for RDS instances ","https://github.com/bridgecrewio/checkov/issues/140"
"2020-3/25","2021-4/6","Add new check: Amazon WorkSpaces - Check encryption at rest ","https://github.com/bridgecrewio/checkov/issues/141"
"2020-3/25","2021-4/6","Add new check: S3 - Check to ensure bucket policy does not allow anonymous access or all actions","https://github.com/bridgecrewio/checkov/issues/142"
"2020-3/25","2020-9/7","Add new check: CloudFront Distribution - Access Logging Enabled","https://github.com/bridgecrewio/checkov/issues/143"
"2020-3/25","2020-10/25","Add new check: Classic ELB - Access Logging Enabled ","https://github.com/bridgecrewio/checkov/issues/144"
"2020-3/25","2021-4/6","Add new check: ELB v2 - Access Logging Enabled ","https://github.com/bridgecrewio/checkov/issues/145"
"2020-3/25","2020-12/20","Add new check: CloudFront Distribution should have WAF enabled ","https://github.com/bridgecrewio/checkov/issues/146"
"2020-3/25","2021-4/6","Add new check: ALB should have WAF enabled ","https://github.com/bridgecrewio/checkov/issues/147"
"2020-3/25","2020-8/30","Add new check: Athena Database Encryption at rest ","https://github.com/bridgecrewio/checkov/issues/148"
