"['title']","['url']","['createdAt']","['closedAt']"
"Command line option removal ","https://github.com/bridgecrewio/checkov/issues/2773","2022-4/6","2022-4/6"
"CKV_K8S_22 Does not Check If the Deployment Manifest Contains a Valid Boolean","https://github.com/bridgecrewio/checkov/issues/2775","2022-4/7","2022-4/7"
"CloudFormation Graph checks disappeared","https://github.com/bridgecrewio/checkov/issues/2795","2022-4/11","null"
"Arrays of numbers do not appear to be processed as expected","https://github.com/bridgecrewio/checkov/issues/2796","2022-4/11","null"
"Checkov can't find separate resources used for fixing checkov issues","https://github.com/bridgecrewio/checkov/issues/2803","2022-4/12","null"
"Question about contribution","https://github.com/bridgecrewio/checkov/issues/2804","2022-4/12","2022-5/2"
"No colour option","https://github.com/bridgecrewio/checkov/issues/2805","2022-4/12","2022-4/20"
"VS Code extension is not highlighting errors or warnings","https://github.com/bridgecrewio/checkov/issues/2806","2022-4/12","null"
"HCL2 parser cannot parse functions with comments interleaved in the arguments.","https://github.com/bridgecrewio/checkov/issues/2808","2022-4/12","2022-4/13"
"Supress individual checks on plan output","https://github.com/bridgecrewio/checkov/issues/2814","2022-4/13","null"
"Dockerfile scan only outputs the first/last finding per check","https://github.com/bridgecrewio/checkov/issues/2817","2022-4/14","2022-5/8"
"Azure - new resources azurerm_linux/windows_web_app","https://github.com/bridgecrewio/checkov/issues/2818","2022-4/14","null"
"Support NO_COLOR","https://github.com/bridgecrewio/checkov/issues/2824","2022-4/14","2022-4/16"
"Creating  rule for Data Sources ","https://github.com/bridgecrewio/checkov/issues/2825","2022-4/15","2022-8/25"
"Guidelines not displayed when check fails ","https://github.com/bridgecrewio/checkov/issues/2826","2022-4/15","null"
"Checkov returns empty output with Kubernetes YAML file","https://github.com/bridgecrewio/checkov/issues/2827","2022-4/15","null"
"checkov cli option--check is not working as expected after combining --hard-fail-on with it","https://github.com/bridgecrewio/checkov/issues/2835","2022-4/19","2022-4/19"
"Unable to process command '::add-matcher::XXXX`","https://github.com/bridgecrewio/checkov/issues/2838","2022-4/19","2022-4/19"
"Accessing principal in IAM Policy ","https://github.com/bridgecrewio/checkov/issues/2840","2022-4/19","2022-4/20"
"Checkov returns empty ouptut for cloudformation template yaml file Using null in AWS::Serverless::StateMachine in the ResultPath","https://github.com/bridgecrewio/checkov/issues/2843","2022-4/20","null"
"False positive for CKV_AZURE_120","https://github.com/bridgecrewio/checkov/issues/2844","2022-4/20","2022-4/29"
"CKV_AWS_144 false negative after updating to AWS Provider 4.0 ","https://github.com/bridgecrewio/checkov/issues/2845","2022-4/20","2022-5/23"
"Accessing principals in terraform data source  ","https://github.com/bridgecrewio/checkov/issues/2847","2022-4/20","null"
"All Results Are `error` in Sarif Output","https://github.com/bridgecrewio/checkov/issues/2848","2022-4/21","2022-4/24"
"Help Text in `sarif` Output Contains Extra Quotes","https://github.com/bridgecrewio/checkov/issues/2849","2022-4/21","null"
"Python Custom Checks throwing traceback but still running","https://github.com/bridgecrewio/checkov/issues/2851","2022-4/21","null"
"CKV_AWS_219 error when codepipeline artifact store bucket is encrypted","https://github.com/bridgecrewio/checkov/issues/2852","2022-4/21","null"
"Plain text db password in terraform files","https://github.com/bridgecrewio/checkov/issues/2853","2022-4/21","null"
"Do provider checks using the BaseProviderCheck class work against plan files?","https://github.com/bridgecrewio/checkov/issues/2861","2022-4/24","null"
"Usage of --external-checks-dir, custom checks do not get recognised","https://github.com/bridgecrewio/checkov/issues/2863","2022-4/25","2022-5/31"
"[bicep] Checks on referenced resources executed","https://github.com/bridgecrewio/checkov/issues/2870","2022-4/26","2022-5/2"
"[bicep] CKV_AZURE_14 false positive","https://github.com/bridgecrewio/checkov/issues/2871","2022-4/26","2022-5/4"
"[bicep] CKV_AZURE_131 false positive","https://github.com/bridgecrewio/checkov/issues/2872","2022-4/26","null"
"CKV2_AWS_32 Incomplete Documentation, Not As Described","https://github.com/bridgecrewio/checkov/issues/2873","2022-4/26","null"
"Ability to write a check based on whether resource is coming from external module or directly defined","https://github.com/bridgecrewio/checkov/issues/2874","2022-4/26","2022-5/2"
"problem with checkov installation on ubuntu azure virtual machine scale set","https://github.com/bridgecrewio/checkov/issues/2887","2022-4/28","null"
"Add support for JSON structures inside TF resources","https://github.com/bridgecrewio/checkov/issues/2901","2022-5/2","null"
"Add GitHub Terraform Provider checks","https://github.com/bridgecrewio/checkov/issues/2902","2022-5/2","2022-5/25"
"Regex failing for custom YAML check - how does `!Sub` get parsed from CF?","https://github.com/bridgecrewio/checkov/issues/2909","2022-5/3","2022-5/5"
"Add support for ""--compact"" flag in Dockerfile","https://github.com/bridgecrewio/checkov/issues/2919","2022-5/4","2022-5/23"
"CKV_GCP_42 false negative on members that are variables","https://github.com/bridgecrewio/checkov/issues/2920","2022-5/4","null"
"CKV_OPENSTACK_1 triggered for variables","https://github.com/bridgecrewio/checkov/issues/2921","2022-5/4","null"
"False positive for CKV_AZURE_43 when using the ""random"" provider resources","https://github.com/bridgecrewio/checkov/issues/2924","2022-5/5","2022-5/6"
"CKV_AWS_103: Check ""Ensure that Application Load Balancer Listener is using TLS v1.2"" produces false positives with network load balancers","https://github.com/bridgecrewio/checkov/issues/2928","2022-5/5","2022-5/7"
"Error parsing terraform file with multiline comment","https://github.com/bridgecrewio/checkov/issues/2933","2022-5/5","2022-5/23"
"CHK_AWS_42 fails if value is a variable","https://github.com/bridgecrewio/checkov/issues/2945","2022-5/9","2022-5/9"
"Output: Differentiate Soft-Fail From Hard-Fail","https://github.com/bridgecrewio/checkov/issues/2947","2022-5/9","null"
"Couldnot skip openapi checks","https://github.com/bridgecrewio/checkov/issues/2953","2022-5/11","null"
"Conflict between CKV2_AZURE_21 and CKV_AZURE_34 - blob services/containers","https://github.com/bridgecrewio/checkov/issues/2955","2022-5/11","null"
"using data google_iam_policy results in no checks perfomed","https://github.com/bridgecrewio/checkov/issues/2957","2022-5/11","null"
"How to consume regex in the custom policies (python based)-Dockerfile","https://github.com/bridgecrewio/checkov/issues/2958","2022-5/12","2022-8/25"
"--severity ","https://github.com/bridgecrewio/checkov/issues/2960","2022-5/12","2022-5/25"
"only caputring the first line https://github.com/bridgecrewio/checkov/blob/2.0.1131/checkov/dockerfile/checks/WorkdirIsAbsolute.py","https://github.com/bridgecrewio/checkov/issues/2964","2022-5/12","2022-6/21"
"[CloudFormation] Missing check for ""Template format error: Every Parameters object must contain a Type member.""","https://github.com/bridgecrewio/checkov/issues/2965","2022-5/12","2022-5/25"
"CKV_AZURE_119 should pass when ""public_ip_address_id"" is ""null""","https://github.com/bridgecrewio/checkov/issues/2966","2022-5/13","2022-5/15"
"Bicep: Parse error when using the description decorator function on a variable","https://github.com/bridgecrewio/checkov/issues/2968","2022-5/14","2022-5/23"
"Checkov Ability to Unpack a .tgz file","https://github.com/bridgecrewio/checkov/issues/2975","2022-5/17","null"
"terraform splat interpolation syntax causes parsing issue","https://github.com/bridgecrewio/checkov/issues/2977","2022-5/17","2022-6/1"
"terraform ""default_tags"" does not seem to be supported for aws provider ","https://github.com/bridgecrewio/checkov/issues/2978","2022-5/17","null"
"Check: CKV_GCP_76: should check against 3 strings rather than a boolean","https://github.com/bridgecrewio/checkov/issues/2979","2022-5/18","2022-5/19"
"ECSClusterLoggingEncryptedWithCMK fails as it does not check the configuration safely","https://github.com/bridgecrewio/checkov/issues/2985","2022-5/19","null"
"Skipping via comment in .gitlab-ci not working for CKV_GITLABCI_2","https://github.com/bridgecrewio/checkov/issues/2986","2022-5/19","2022-6/6"
"Multiple path in --skip-path flag","https://github.com/bridgecrewio/checkov/issues/2987","2022-5/19","2022-5/22"
"Implementing checkov with jenkins, have the problem with output","https://github.com/bridgecrewio/checkov/issues/2989","2022-5/20","2022-5/23"
"Checks IDs changing","https://github.com/bridgecrewio/checkov/issues/3001","2022-5/23","2022-6/2"
"Issues with AWS S3 Checks for Versioning, Bucket Logging, Encryption","https://github.com/bridgecrewio/checkov/issues/3002","2022-5/24","2022-5/24"
"CKV_AZURE_116 fails with Terraform Azure provider >= v.2.97.0","https://github.com/bridgecrewio/checkov/issues/3006","2022-5/24","2022-5/31"
"CKV2_AWS_5 false triggered if security group used in module","https://github.com/bridgecrewio/checkov/issues/3010","2022-5/25","null"
"CKV_AWS_111 incorrectly triggered","https://github.com/bridgecrewio/checkov/issues/3015","2022-5/25","2022-6/20"
"Error parsing some google modules","https://github.com/bridgecrewio/checkov/issues/3023","2022-5/26","2022-6/1"
"checkov crash under poweshell IDE with no params passed","https://github.com/bridgecrewio/checkov/issues/3036","2022-5/31","null"
"Failed with error message ""Failed to get customer assumed role""","https://github.com/bridgecrewio/checkov/issues/3037","2022-5/31","null"
"File scanning not possible with Github-Actions","https://github.com/bridgecrewio/checkov/issues/3042","2022-6/1","2022-6/11"
"CKV_GCP_73 Exception on missing argument","https://github.com/bridgecrewio/checkov/issues/3044","2022-6/2","null"
"Incorrect file_path when Checkov is executed in an AWS lambda","https://github.com/bridgecrewio/checkov/issues/3047","2022-6/2","2022-6/6"
"checkov skips scaning files if it cannot parse file","https://github.com/bridgecrewio/checkov/issues/3065","2022-6/6","null"
"find_all_interpolations crashing cloudformation with UserData","https://github.com/bridgecrewio/checkov/issues/3068","2022-6/8","2022-6/9"
"Error parsing terraform files when comment is present","https://github.com/bridgecrewio/checkov/issues/3071","2022-6/8","2022-7/3"
"Getting proxy error when trying to access Checkov guidelines ","https://github.com/bridgecrewio/checkov/issues/3072","2022-6/8","null"
"Checkov Check ID: CKV2_AWS_12 (Ensure AWS Default Security Group restricts all traffic)","https://github.com/bridgecrewio/checkov/issues/3077","2022-6/9","null"
