"['title']","['url']","['createdAt']","['closedAt']"
"Broadleaf should not load MultiTenant beans in non-MultiTenant scenarios","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/151","2013-7/2","2013-7/2"
"The admin should not load mixed-content files","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/152","2013-7/2","2013-7/2"
"USShippingInfoFormValidator Not Working As Intended","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/153","2013-7/2","2013-11/12"
"embeddable mappedBy issue","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/154","2013-7/3","2013-7/3"
"Need a way to pass transient objects between activities in a workflow","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/155","2013-7/3","2013-7/17"
"Error with Thymeleaf email rendering using ThymeleafMessageCreator (3.0.0-GA)","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/158","2013-7/3","2013-8/29"
"Session fixation protection filter/cookie","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/161","2013-7/8","2013-11/11"
"IE8 users are unable to clear a filter in the admin","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/162","2013-7/8","2013-7/8"
"@AdminPresentationDataDrivenEnumeration property optionCanEditValues property is not being honored","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/163","2013-7/8","2019-5/2"
"Add ability to contribute metadata after cache lookup","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/164","2013-7/8","2013-7/8"
"The HibernateToolTask provides the wrong ClassLoader to the thread","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/166","2013-7/8","2013-7/8"
"The DemoSite build-create-sql task fails","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/167","2013-7/8","2013-7/8"
"Sequence generator starts at the wrong number","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/168","2013-7/8","2013-11/11"
"add  validate product options activity to checkout workflow","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/169","2013-7/9","2013-7/17"
"FieldManager can throw a IndexOutOfBoundsException for fields in an Embeddable class","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/170","2013-7/9","2013-7/9"
"windows ant target build-create-sql causes infinite loop","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/171","2013-7/9","2013-7/10"
"ListGrid filtering on BroadleafEnumeration is broken","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/172","2013-7/10","2013-7/17"
"Allow modules to contribute EntityFormActions to built entity forms","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/173","2013-7/10","2013-7/17"
"CreateFulfillmentOrderActivity needs a default rollback handler","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/174","2013-7/10","2013-10/1"
"Top search box on admin fails after using wildcard %","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/175","2013-7/10","2013-7/17"
"Deprecated Method Cleanup","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/176","2013-7/11","2014-1/9"
"Back the categoryAttributes list with a map","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/177","2013-7/11","2013-7/11"
"Enumeration filtering does not work in the admin","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/178","2013-7/11","2013-7/15"
"Need a more elegant way to add javascript and/or css files to the admin.","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/179","2013-7/11","2013-7/11"
"@AdminPresentation properties hint and helpText are not rendered (3.0.0-GA)","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/180","2013-7/12","2014-1/10"
"allow product options to be updated after item in cart","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/182","2013-7/13","2013-7/17"
"ProductWrapper has a typo in the attribute: longDescription","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/184","2013-7/15","2013-7/15"
"Cannot use ""open in new tab"" feature in Redactor","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/185","2013-7/15","2013-7/15"
"Cannot filter on a property from a polymorphic version of an entity","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/186","2013-7/15","2013-7/16"
"Customising Checkout Workflow to Remove Payment Verification In Broadleaf Commerce 2.2","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/187","2013-7/16","2013-7/16"
"Oracle column length bug in PriceList Module - BLC_PL_RULE_MAP","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/188","2013-7/16","2013-7/16"
"Exception when hbm2ddl.auto set to validate ","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/189","2013-7/16","2019-5/2"
"Creating relationships with polymorphic hierarchies can fail","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/190","2013-7/16","2013-11/1"
"3.0.0-GA Edit SKU shows all product options","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/191","2013-7/16","2013-10/20"
"3.0.0-GA Bundle products show all products, including deleted products","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/192","2013-7/16","2014-4/18"
"REST API does not provide a way to update fulfillment option","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/193","2013-7/16","2013-7/17"
"PaymentResponseItems don't show up in the admin under PaymentInfos","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/194","2013-7/17","2013-7/23"
"Modal Entity View for @AdminPresentation fails to show error summary above tabs","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/196","2013-7/17","2013-10/20"
"MapStructurePersistenceModule is not polymorphic entity friendly","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/197","2013-7/17","2013-7/17"
"Solr Indexes get (partially) lost after reindexing?","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/198","2013-7/18","2013-7/18"
"Solr Indexes get (partially) lost after reindexing?","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/199","2013-7/18","2013-10/2"
"move bean definition of blEncryptionModule from profile to framework","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/200","2013-7/18","2013-11/12"
"GeneratedResource from automatic resource bundling isn't serializable","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/201","2013-7/18","2013-7/18"
"blVariableExpressions isn't properly merged","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/203","2013-7/22","2013-7/22"
"Unable to change date field with french configuration on GWT admin","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/204","2013-7/23","2013-8/2"
"Hibernate startup issue if FulfillmentGroup is extended","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/205","2013-7/23","2013-7/23"
"The build-update-sql and build-create-sql ant tasks do not work if there is no bean called 'rebuildIndexJobDetail'","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/206","2013-7/23","2013-7/23"
"Map persistence in the admin does not work if it is more than 1 level deep","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/207","2013-7/23","2013-7/23"
"The SkuAttribute grid should be present in the admin","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/208","2013-7/23","2013-7/23"
"Rule creation in the admin can fail due to Jackson version conflicts","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/209","2013-7/23","2013-7/23"
"Rule builder support for object collection contains","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/210","2013-7/23","2019-5/2"
"CMS beans are overridden based on current servlet configurations","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/211","2013-7/23","2013-7/31"
"SkuImpl.java taxCode field annotation options redundent","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/212","2013-7/23","2013-7/23"
"Remove allPermissions property from AdminUserImpl","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/213","2013-7/25","2013-7/31"
"Null entry in blc_customer Table","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/214","2013-7/25","2013-7/26"
"Create cart/customer cleanup job","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/215","2013-7/25","2014-1/21"
"Unable to override skuMedia; exception results","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/216","2013-7/25","2013-10/28"
"Allow modules to contribute to main admin listgrid actions","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/217","2013-7/25","2013-7/31"
"Provide a mechanism to return JSON or XML error structures from REST services","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/218","2013-7/25","2013-11/1"
"TranslationServiceImpl is slow to provide translations for some pages","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/219","2013-7/25","2013-7/25"
"Remove/disable legacy integration tests","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/220","2013-7/26","2013-11/7"
