"createdAt","closedAt","title","url"
"2013-12/10","2013-12/11","product translation do not work in admin module for Demosite ","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/585"
"2013-12/10","2013-12/31","URLs are still reachable even after the entity been deleted (Products, Categories, Static Assets)","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/586"
"2013-12/10","2013-12/18","Add the ability to specify a media type on a Media","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/587"
"2013-12/10","2013-12/10","No enumeration values are displayed when the number of values equals 5","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/588"
"2013-12/11","2014-2/8","Enterprise workflow support","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/589"
"2013-12/13","2013-12/15","Refactor Offer Services to allow for module extensions","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/590"
"2013-12/13","2019-5/2","Provide better syntax for targeting admin metadata overrides rather than always using 'startsWith'","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/591"
"2013-12/14","2014-6/20","Admin Content Management->Pages WYSIWYG editor error","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/592"
"2013-12/15","2019-5/2","Remove the dependency for Ejb3ConfigurationDao","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/593"
"2013-12/15","2013-12/15","Hibernate logs a 'hibernate.connection.autocommit false break the ejb3 specification' warning on startup","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/594"
"2013-12/15","2013-12/27","NPE when trying to set Auditable when loading a static asset","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/595"
"2013-12/16","2013-12/17","Create 3.1.0-M1 Release","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/596"
"2013-12/16","2013-12/16","Add PERMISSION_OTHER_DEFAULT by default","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/597"
"2013-12/17","2013-12/19","Change page to not require a locale","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/598"
"2013-12/18","2013-12/18","Rule builders do not allow fields with method names","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/599"
"2013-12/18","2013-12/18","Root pom.xml points to the wrong URL for nexus deployment","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/600"
"2013-12/18","2013-12/18","Exception when viewing entity that doesn't have a menu entry","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/601"
"2013-12/19","2013-12/19","Add support for managing robots.txt file via the admin CMS as a custom page","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/602"
"2013-12/19","2019-5/2","Nested Exception on Country Edit","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/603"
"2013-12/19","2013-12/19","Update the maven-source-plugin to remove 'Source already added' log messages when building the framework","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/604"
"2013-12/20","2014-1/10","Allow performCheckout to be thread safe in the context of a particular order","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/605"
"2013-12/20","2014-1/10","Do not allow an order to go through the checkout workflow multiple times","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/606"
"2013-12/20","2013-12/21","Admin should validate that full URL fields start with a leading slash and do not end with one","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/608"
"2013-12/21","2013-12/21","Site map names not being printed with .gz","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/609"
"2013-12/21","2013-12/25","FileProvider Merge StaticAssetChanges from 3.0.7","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/610"
"2013-12/23","2013-12/23","Error on international addresses","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/611"
"2013-12/23","2013-12/23","Update translatable items when a locale switch occurs","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/612"
"2013-12/25","2014-1/16","SQL error when fetching Order records in admin","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/613"
"2013-12/25","2013-12/29","Admin Salt encryption Issue","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/614"
"2013-12/25","2013-12/25","Upload new asset button not displaying when choosing an asset from product or category","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/615"
"2013-12/26","2014-1/16","When edit box is live on Redactor, an antisami exception is sometimes triggered due to the opacity tag attached to the underlying image.","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/616"
"2013-12/31","2014-11/25","Remove or refactor org.broadleafcommerce.core.web.order.model.AddToCartItem.","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/617"
"2014-1/3","2014-1/3","Add approach to simplify overriding properties via the database","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/618"
"2014-1/6","2014-1/6","Customers are always marked as anonymous regardless of logged-in state","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/619"
"2014-1/6","2014-1/8","Merge cart is never executed after logging in","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/620"
"2014-1/7","2014-1/7","Don't used required validation on offer target criteria, as a blank value is a valid case in 3.1","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/621"
"2014-1/7","2014-1/7","Editing an entity with MatchesFieldValidator in use will throw an NPE","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/622"
"2014-1/8","2014-1/14","ChangePasswordValidator for Customer doesn't work when using an encrypted password","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/623"
"2014-1/9","2014-1/15","Admin Order filter by date not working","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/624"
"2014-1/9","2014-1/25","Pricing error with totalitarian item level offer","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/625"
"2014-1/10","2014-2/8","3.0.9-GA Miscellaneous enhancements and fixes","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/626"
"2014-1/10","2014-1/14","Occasionally, product images do not render on the first visit","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/627"
"2014-1/10","2014-1/16","Utilize Hibernate for customer login","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/629"
"2014-1/11","2014-1/18","Resetting a rule after it fails parsing is causing the rule builder UI to ""double up""","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/630"
"2014-1/11","2014-6/20","NumberFormatException on editing content page ","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/631"
"2014-1/12","2014-1/21","Delete product option with integrity constraint violation shows a blank page and no error message","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/632"
"2014-1/13","2014-1/13","Allow the MergeXmlApplicationContext to operate easier with different classloaders","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/633"
"2014-1/13","2014-1/16","SystemProperty enhancements","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/634"
"2014-1/15","2014-1/16","Give the ability to change usernames for customers","https://github.com/BroadleafCommerce/BroadleafCommerce/issues/635"
