"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"checkout of Gift card without options","2020-5/25","2020-5/25","2020-5/25",True,"2020-5/25",2,3,1
"Clear Offer qualifiers when switching offer type ","2020-5/27","2020-6/27","2020-5/27",True,"2020-6/27",3,155,15
"Fix cache invalidation for linked collections in Offers","2020-5/29","2020-5/29","2020-5/29",True,"2020-5/29",2,4,1
"Fix to admin Schedule Jobs UI when fetching long parameters","2020-5/29","2020-6/29","2020-5/29",True,"2020-6/29",2,2,1
"Introduce simple dropdown in admin header to select the time zone that is being shown to the user","2020-6/1","2020-6/1","2020-6/1",True,"2020-6/1",2,84,32
"Offer rules should allow between rules","2020-6/2","2020-6/2","2020-6/2",True,"2020-6/2",2,44,4
"NPE for save 0 prices in product","2020-6/2","2020-6/2","2020-6/2",True,"2020-6/2",3,52,8
"Fix issue where demo SQL import statements that had escaped characters and newlines didn't import correctly","2020-6/9","2020-6/9","2020-6/9",True,"2020-6/9",2,13,13
"Add XssFilter for site","2020-6/10","2020-6/10","2020-6/10",True,"2020-6/10",3,761,6
"Remove references to older jQuery versions which were not used","2020-6/11","2020-6/11","2020-6/11",True,"2020-6/11",2,0,18802
"Fix security vulnerability, upgrade Common BeanUtils","2020-6/12","2020-6/12","2020-6/12",True,"2020-6/12",3,2,2
"Fix security vulnerability, upgrade Common BeanUtils","2020-6/12","2020-6/12","2020-6/12",True,"2020-6/12",3,2,2
"Fix security vulnerability, upgrade Common BeanUtils","2020-6/12","2020-6/12","2020-6/12",True,"2020-6/12",3,2,2
"Fix security vulnerability, upgrade Common BeanUtils","2020-6/12","2020-6/12","2020-6/12",True,"2020-6/12",3,2,2
"Fix security vulnerability, upgrade Common BeanUtils","2020-6/12","2020-6/12","2020-6/12",True,"2020-6/12",3,2,2
"Fix security vulnerability, upgrade Common BeanUtils","2020-6/12","2020-6/12","2020-6/12",True,"2020-6/12",3,2,2
"Libs upgrade","2020-6/12","2020-6/12","2020-6/12",True,"2020-6/12",3,3,3
"Moving the profile entities from the blStandardElements to a new blCountryElements cache region","2020-6/12","2020-6/12","2020-6/12",True,"2020-6/12",2,15,6
"Added new purge process that is based on a purge specification.","2020-6/12","2020-6/12","2020-6/12",True,"2020-6/12",2,536,24
"Corrected comments in customer purge spec","2020-6/15","2020-6/15","2020-6/15",False,"null",1,3,3
"Introduce dummy cache that will not cache anything","2020-6/16","2020-6/16","2020-6/16",True,"2020-6/16",2,296,1
"Upgrade lib","2020-6/16","2020-6/16","2020-6/16",True,"2020-6/16",4,1,1
