['additions'],['closedAt'],['createdAt'],['deletions'],['merged'],['mergedAt'],['paticipants'],['publishedAt'],['title']
834,2012-4/12,2012-4/12,362,True,2012-4/12,2,2012-4/12,Tax Changes
390,2012-5/10,2012-5/10,0,True,2012-5/10,1,2012-5/10,Product Bundle Changes
1104,2012-6/18,2012-6/18,1187,False,,2,2012-6/18,Catalog refactor
102,2012-6/25,2012-6/25,6,True,2012-6/25,3,2012-6/25,Promo code
4,2012-7/19,2012-7/19,0,True,2012-7/19,3,2012-7/19,"Added @Type annotation to string blobs, this fixes an issue with postgresql"
600,2012-8/26,2012-7/26,144,True,2012-8/26,2,2012-7/26,Updated TCS branch to Spring 3.1.
49115,2012-8/21,2012-8/21,59061,False,,10,2012-8/21,Fix error in MediaImpl#equals when altText and title do not match
7,2012-8/21,2012-8/21,7,True,2012-8/21,2,2012-8/21,added names to resource annotations in core and admin that did not have them
2,2012-8/21,2012-8/21,2,False,,2,2012-8/21,Fix error in MediaImpl#equals when altText and title do not match
9,2012-8/21,2012-8/21,4,True,2012-8/21,2,2012-8/21,A couple of small fixes to the categoriesProcessor
7,2012-9/7,2012-9/7,6,False,,2,2012-9/7,updated entity configuration to load entity configurations in the proper order
4,2012-10/11,2012-10/11,0,True,2012-10/11,2,2012-10/11,added @Transactional to necessary methods in the customerPaymentService
7,2012-10/18,2012-10/18,1,True,2012-10/18,2,2012-10/18,fixed issue where checking an existing password would fail when using a password encoder
36,2012-10/19,2012-10/19,22,True,2012-10/19,2,2012-10/19,[BLC-701] fixed duplicate CacheManager instantiation
5,2012-10/26,2012-10/26,2,True,2012-10/26,2,2012-10/26,Blc 2.1 patch 10 26 2012
63,2012-11/31,2012-10/31,22,True,2012-11/31,2,2012-10/31,Blc 2.1 patch 2012 10 31
11,2012-11/6,2012-11/6,5,True,2012-11/6,2,2012-11/6,fixed null pointer exception in view resolver when BroadleafRequestContext is null
279,2012-11/14,2012-11/14,24,True,2012-11/14,2,2012-11/14,cherry picked commit e81943508dfb1bb8a856bea5e5ff3a84a1fda9bd from 2.2 b...
3,2012-11/28,2012-11/28,3,True,2012-11/28,2,2012-11/28,remove page parameter instead of setting it to 1
6,2012-12/3,2012-12/3,17,False,,2,2012-12/3,Blc 2.1 patch 2012 12 03
169,2013-9/18,2012-12/18,0,False,,3,2012-12/18,Unit Tests For DateUtil
376,2013-9/21,2012-12/21,0,False,,2,2012-12/21,Precision And Rounding Unit Tests For Money Class
17,2013-6/24,2012-12/24,0,False,,3,2012-12/24,Add README To Project
305,2013-9/24,2012-12/24,0,False,,2,2012-12/24,Money Arithmetic Unit Tests
2,2013-1/10,2013-1/10,2,True,2013-1/10,2,2013-1/10,modify members (ratingSummaryDao and reviewDetailDao) from private to pr...
2,2013-1/17,2013-1/17,1,True,2013-1/17,2,2013-1/17,"extended serializable interface on amount item interface, this fixes an ..."
3,2013-1/18,2013-1/18,1,True,2013-1/18,2,2013-1/18,Fix admin issue when you select an order item
4,2013-1/22,2013-1/22,0,True,2013-1/22,2,2013-1/22,Adding more PaymentInfoAddtionalFieldTypes for use with third party paym...
7,2013-1/28,2013-1/28,1,True,2013-1/28,2,2013-1/28,Added some PaymentInfoAdditionalFieldTypes that can be used for multiple...
27251,2013-2/29,2013-1/29,7428,False,,10,2013-1/29,Refactor the servlet filter logic to more generic web processors
1,2013-1/30,2013-1/30,1,False,,2,2013-1/30,Take quantity into account when calculating banded fulfillment option pricing
2,2013-3/8,2013-3/8,2,True,2013-3/8,2,2013-3/8,removed cascading when persisting CustomerRole
9,2013-3/13,2013-3/13,4,False,,3,2013-3/13,added ability to override default thymleaf layout via request attribute
1175,2013-4/26,2013-3/26,569,True,2013-4/26,1,2013-3/26,Making Workflows Better
776,2013-4/29,2013-3/29,177,True,2013-4/29,1,2013-3/29,Provide ability to server Static Assets from the File System
1,2013-4/3,2013-4/3,1,True,2013-4/3,2,2013-4/3,Fix JIRA BLC-864 Wrong friendlyType in FulfillmentType
0,2013-4/4,2013-4/4,274,False,,3,2013-4/4,Delete SandBoxConnection
0,2013-4/4,2013-4/4,41,True,2013-4/4,4,2013-4/4,Delete unnecessary m2e lifecycle-mapping
17,2013-4/10,2013-4/10,6,False,,2,2013-4/10,Fixed bug that prevented users from saving media to categories when you ...
11,2013-4/15,2013-4/15,9,True,2013-4/15,2,2013-4/15,BLC-867 use springframework utility to get all inherited interfaces when...
15,2013-4/16,2013-4/16,40,True,2013-4/16,2,2013-4/16,changed static getters and setters in controllers to be non-static gette...
19,2013-4/17,2013-4/17,2,True,2013-4/17,2,2013-4/17,Removed cascading of the delete operation to billing address. Billing ad...
32,2013-4/18,2013-4/18,6,True,2013-4/18,3,2013-4/18,Updated login service to allow customer logout and to reprocess the Cust...
167,2013-4/19,2013-4/19,5,True,2013-4/19,4,2013-4/19,updated implementation of SandboxConnection to be compliant with java 6 ...
3,2013-6/1,2013-5/1,3,False,,2,2013-5/1,Fix timezone JS parsing that worked only on Chrome
162,2013-6/21,2013-6/21,0,True,2013-6/21,2,2013-6/21,README File
1,2013-7/26,2013-6/26,97,True,2013-7/26,2,2013-6/26,Remove non-existent class references from tld
4,2013-6/27,2013-6/27,2,True,2013-6/27,2,2013-6/27,Fix issue #135 SkuBundleItem getDynamicSalePrice throw a ClassCastExcept...
75,2013-7/3,2013-7/3,13,True,2013-7/3,3,2013-7/3,Provide a friendly redirect in the event of POST with a session reset in admin rather than a stack trace
1,2013-7/3,2013-7/3,2,False,,2,2013-7/3,FixedPriceFulfillmentPricingProvider fixes
1,2013-9/3,2013-7/3,2,False,,3,2013-7/3,FixedPriceFulfillmentPricingProvider fixes - BroadleafCommerce-3.0.X branch
7,2013-7/5,2013-7/5,5,False,,2,2013-7/5,Adding NPE check in Translation Service Impl
119,2013-7/8,2013-7/8,2,True,2013-7/8,2,2013-7/8,Add ability to contribute field metadata in the admin after cache lookup
32,2013-7/13,2013-7/13,0,False,,3,2013-7/13,New Attribute in ProductOptionValue For Image Path
32,2013-7/14,2013-7/14,0,False,,2,2013-7/14,Adding Image ProductOption Type
90,2013-7/22,2013-7/22,6,True,2013-7/22,2,2013-7/22,Added Data Driven Enumerations to Admin
2,2013-8/2,2013-8/2,1,True,2013-8/2,2,2013-8/2,Allow to translate the delete confirmation message of an entity on admin
1,2013-9/15,2013-8/15,1,True,2013-9/15,4,2013-8/15,Cascade the paymentResponseItems field
298,2013-9/12,2013-9/12,25,True,2013-9/12,4,2013-9/12,Anonymous Customers can be persisted but are not resolved from the database
1,2013-9/24,2013-9/24,1,False,,2,2013-9/24,Change to correct cache region.
1,2013-9/25,2013-9/25,1,True,2013-9/25,2,2013-9/25,Fixed entity cache region
14,2013-10/11,2013-10/11,0,True,2013-10/11,2,2013-10/11,#427 - OrderItemQualifiers are not saved to the database
509,2013-10/14,2013-10/14,650,True,2013-10/14,2,2013-10/14,Refactor to allow BLC to run without the CMS module
1,2013-10/17,2013-10/17,1,True,2013-10/17,2,2013-10/17,Fix incorrect comparison causing verify fulfillment groups to fail unexp...
187,2013-10/18,2013-10/18,7,True,2013-10/18,2,2013-10/18,Add CartStateRefresher and OrderEntityListener to update the current cart whenever it is saved within a single request
31,2013-10/20,2013-10/20,2,True,2013-10/20,3,2013-10/20,"When uploading an asset, if a filename collision is detected, the new generated name is not correct"
76,2014-1/20,2013-10/20,21,False,,3,2013-10/20,Default Parent Category is not added to All Parent Categories
55,2014-1/20,2013-10/20,11,False,,3,2013-10/20,Product is not added to All Parent Categories when the default category is associated
0,2013-10/22,2013-10/22,2,True,2013-10/22,2,2013-10/22,Removed task:annotation-driven element from bl-framework-applicationCont...
1172,2013-10/25,2013-10/25,788,False,,4,2013-10/25,Broadleaf commerce 3.0.x
3792,2013-12/1,2013-11/1,17,False,,3,2013-11/1,Add support for SiteMaps to framework
134,2013-11/5,2013-11/5,20,True,2013-11/5,2,2013-11/5,Create a CONTRIBUTING.md for Broadleaf
40,2013-11/5,2013-11/5,12,False,,4,2013-11/5,#436 - Use some special code to handle IE-upload scenario.
58,2013-12/5,2013-11/5,65,True,2013-12/5,3,2013-11/5,Upgrade Thymeleaf to latest 2.1.RELEASE Version
2,2013-11/14,2013-11/14,2,True,2013-11/14,4,2013-11/14,Fix set sku on discrete order item so it doesn't through an exception in...
853,2013-11/18,2013-11/18,310,True,2013-11/18,3,2013-11/18,"OfferCode provides a field for max uses.  However, that field is never honored."
3,2013-11/21,2013-11/21,3,False,,1,2013-11/21,Fix calculate subtotal without adjustments to use promotable item pricin...
1,2013-12/21,2013-11/21,9,True,2013-12/21,2,2013-11/21,Update setOrderSubtotalToPriceWithoutAdjustments to call calculateSubtot...
9,2013-11/22,2013-11/22,4,True,2013-11/22,2,2013-11/22,Fix password encoded 2 times when updating admin user without modifying ...
3,2013-12/8,2013-12/8,4,False,,2,2013-12/8,Fixed TODO for getter rename
8755,2014-1/12,2013-12/12,6640,True,2014-1/12,2,2013-12/12,Refactor Payment Domain and Unify Paradigms
2,2013-12/20,2013-12/20,0,False,,2,2013-12/20,tested
10,2014-1/10,2014-1/10,2,True,2014-1/10,4,2014-1/10,Fix bug parsing out expressions for enumeration types
4,2014-2/13,2014-2/13,1,False,,3,2014-2/13,Update GoogleAnalyticsProcessor.java
4,2014-2/13,2014-2/13,1,False,,3,2014-2/13,Update GoogleAnalyticsProcessor.java
514,2014-3/6,2014-3/6,0,True,2014-3/6,2,2014-3/6,Add mechanism to cache Thymeleaf templates 
7,2014-3/13,2014-3/13,19,True,2014-3/13,4,2014-3/13,Closing file stream before moving file to destination
58,2014-3/16,2014-3/16,11,False,,2,2014-3/16,Address #773 : introduces BLCSystemProperty.isWindows to determine the
1819,2014-5/17,2014-4/17,300,True,2014-5/17,4,2014-4/17,Need ability to search / browse by Sku rather than by product
128,2014-5/24,2014-4/24,220,False,,3,2014-4/24,spring 4 migration
