"createdAt","closedAt","title","url"
"2017-9/26","2020-6/2","meshlabserver crashes if Screened Poisson Surface Reconstruction is used","https://github.com/cnr-isti-vclab/meshlab/issues/219"
"2017-9/27","2020-2/12","Crush during importing .obj mesh","https://github.com/cnr-isti-vclab/meshlab/issues/220"
"2017-10/5","2020-7/3","Meshlabserver won't create filters list text file.","https://github.com/cnr-isti-vclab/meshlab/issues/222"
"2017-10/6","2020-6/5","filter_csg does not compile in Debian Stretch","https://github.com/cnr-isti-vclab/meshlab/issues/223"
"2017-10/9","null","Pointsets and ISO exports","https://github.com/cnr-isti-vclab/meshlab/issues/224"
"2017-10/12","2018-2/13","Slice plane shader compile error","https://github.com/cnr-isti-vclab/meshlab/issues/225"
"2017-10/13","2017-10/13","Questions about importing normals","https://github.com/cnr-isti-vclab/meshlab/issues/226"
"2017-10/16","2017-10/26","Fill holes tool disappeared","https://github.com/cnr-isti-vclab/meshlab/issues/227"
"2017-10/18","2017-10/30","U3D File Missing When Exporting","https://github.com/cnr-isti-vclab/meshlab/issues/228"
"2017-10/20","2018-4/6","Using Meshlab source code in a personal project on Windows","https://github.com/cnr-isti-vclab/meshlab/issues/229"
"2017-10/26","2020-6/5","[discussion] Gentoo adoption","https://github.com/cnr-isti-vclab/meshlab/issues/230"
"2017-10/26","2021-6/23","[Feature Request] Storing multiple datavalues","https://github.com/cnr-isti-vclab/meshlab/issues/231"
"2017-10/26","2017-10/27","Error in the Align tool","https://github.com/cnr-isti-vclab/meshlab/issues/232"
"2017-10/27","2018-4/6","""Cannot open"" meshes on Version 2016.12, Windows 10 Home v1703 Build 15063.674","https://github.com/cnr-isti-vclab/meshlab/issues/233"
"2017-10/27","2020-7/15","Surface Reconstruction: Poisson removed in 2016.12","https://github.com/cnr-isti-vclab/meshlab/issues/234"
"2017-10/30","2020-7/3","no additional memory available!!! memory required: 20130096","https://github.com/cnr-isti-vclab/meshlab/issues/235"
"2017-11/1","2020-2/12","Cannot set as default application on macOS. ","https://github.com/cnr-isti-vclab/meshlab/issues/236"
"2017-11/3","2020-6/23","Meshlab Server Does Not Work With XVFB","https://github.com/cnr-isti-vclab/meshlab/issues/237"
"2017-11/3","2017-11/5","New version of Meshlab on Windows 7 32 bit systems","https://github.com/cnr-isti-vclab/meshlab/issues/238"
"2017-11/6","2021-7/15","Crash when using Quadric Edge Collapse Decimation with .obj exported from Maya","https://github.com/cnr-isti-vclab/meshlab/issues/239"
"2017-11/14","2018-1/2","MD3 model support.","https://github.com/cnr-isti-vclab/meshlab/issues/242"
"2017-11/15","2020-11/19","Compute normals for point sets into filter scripts integration","https://github.com/cnr-isti-vclab/meshlab/issues/243"
