"['title']","['url']","['createdAt']","['closedAt']"
"PLY export to binary fails in certain use case","https://github.com/cnr-isti-vclab/meshlab/issues/439","2019-3/28","2020-7/3"
"Max Texture Size?","https://github.com/cnr-isti-vclab/meshlab/issues/440","2019-3/28","2019-4/19"
"glTF2 format support","https://github.com/cnr-isti-vclab/meshlab/issues/441","2019-4/10","null"
"builing an AppImage for linux distros","https://github.com/cnr-isti-vclab/meshlab/issues/442","2019-4/10","2020-2/12"
"Meshlab 2016.12 not saving texture image while exporting meshes","https://github.com/cnr-isti-vclab/meshlab/issues/443","2019-4/16","2019-4/17"
"OBJ importer does not support faces with just vertex indices","https://github.com/cnr-isti-vclab/meshlab/issues/444","2019-4/22","2020-7/3"
"snap version (2016.12) cannot access mounted partitions","https://github.com/cnr-isti-vclab/meshlab/issues/446","2019-5/7","2021-6/15"
"Import Mesh X3D some nodes not working.","https://github.com/cnr-isti-vclab/meshlab/issues/447","2019-5/9","null"
"Initial view of imported mesh incomplete; completes upon changing bounding box/points/wireframe/vert/face mode.","https://github.com/cnr-isti-vclab/meshlab/issues/448","2019-5/9","2020-11/1"
"Meshlab crashes with valid OBJ file","https://github.com/cnr-isti-vclab/meshlab/issues/449","2019-5/12","2020-2/12"
"Can I use the meshlab stitch the multiple point clouds together into a single 360 degree cloud?","https://github.com/cnr-isti-vclab/meshlab/issues/450","2019-5/22","2020-2/12"
"Can I use the meshlab stitch the multiple point clouds together into a single 360 degree cloud?","https://github.com/cnr-isti-vclab/meshlab/issues/451","2019-5/22","2020-7/3"
"QT 5.9 undefined reference to qt_version_tag@Qt_5.9","https://github.com/cnr-isti-vclab/meshlab/issues/453","2019-5/28","2020-2/12"
".ply file export without color and texture","https://github.com/cnr-isti-vclab/meshlab/issues/454","2019-5/29","2020-7/3"
"point cloud does not update when developing a new  plugin based on edit manipulators","https://github.com/cnr-isti-vclab/meshlab/issues/455","2019-5/31","2020-7/3"
"Export to OBJ UV Maps ","https://github.com/cnr-isti-vclab/meshlab/issues/456","2019-6/1","2020-7/3"
"Not Responding opening large ASC file type of building scan ","https://github.com/cnr-isti-vclab/meshlab/issues/457","2019-6/4","2020-7/3"
"terminate called after throwing an instance of 'MLException'   what():  MLSceneGLSharedDataContext: GLEW initialization failed  Aborted (core dumped)","https://github.com/cnr-isti-vclab/meshlab/issues/458","2019-6/7","2020-7/4"
"How to get param of VCGCamera?","https://github.com/cnr-isti-vclab/meshlab/issues/459","2019-6/12","2019-10/2"
"Meshlab not opening model with .EXR texture","https://github.com/cnr-isti-vclab/meshlab/issues/460","2019-6/13","null"
