"['title']","['url']","['createdAt']","['closedAt']"
"ENError 1 ","https://github.com/corona-warn-app/cwa-app-ios/issues/4356","2022-3/20","null"
"No notification on additional risk encounter","https://github.com/corona-warn-app/cwa-app-ios/issues/4357","2022-3/20","2022-4/2"
"Risk check not successfull","https://github.com/corona-warn-app/cwa-app-ios/issues/4408","2022-3/31","null"
"Tests are no longer shown in the contact journal","https://github.com/corona-warn-app/cwa-app-ios/issues/4410","2022-4/1","2022-6/5"
"RAT profile: Text moves","https://github.com/corona-warn-app/cwa-app-ios/issues/4415","2022-4/3","2022-6/2"
"Cannot launch cwa after upgrade to 2.20.3","https://github.com/corona-warn-app/cwa-app-ios/issues/4416","2022-4/4","2022-4/4"
"What happens when I reset ""Location and Privacy settings""?","https://github.com/corona-warn-app/cwa-app-ios/issues/4424","2022-4/5","2022-4/26"
"Certificates tab overscrolls if ""Certificates"" tab icon is tapped after deleting a certificate","https://github.com/corona-warn-app/cwa-app-ios/issues/4454","2022-4/13","2022-6/2"
"Text alignment contact diary","https://github.com/corona-warn-app/cwa-app-ios/issues/4457","2022-4/14","null"
"App uses wrong FAQ link `hc_prefix_invalid` instead of `hc_invalid_prefix`","https://github.com/corona-warn-app/cwa-app-ios/issues/4461","2022-4/19","2022-4/19"
"Twitter Report: Error 13 followed by NoExposureWindows","https://github.com/corona-warn-app/cwa-app-ios/issues/4462","2022-4/20","null"
"Add different FAQ links for different certificate issues (prefix_invalid, already registered, etc.)","https://github.com/corona-warn-app/cwa-app-ios/issues/4463","2022-4/20","null"
"Missing GitHub release for Version 2.21.2","https://github.com/corona-warn-app/cwa-app-ios/issues/4466","2022-4/21","2022-4/21"
"GH Actions workflow ""Nightly Checks and Tasks"" doesn't run due to startup failure","https://github.com/corona-warn-app/cwa-app-ios/issues/4474","2022-4/21","2022-4/27"
"App crashes while loading","https://github.com/corona-warn-app/cwa-app-ios/issues/4498","2022-4/30","2022-6/2"
"Where do I see my notifications from cwa?","https://github.com/corona-warn-app/cwa-app-ios/issues/4512","2022-5/4","2022-5/5"
"UI glitch when turning exposure logging on/off","https://github.com/corona-warn-app/cwa-app-ios/issues/4518","2022-5/8","null"
"Exposure detail card may be empty while risk check is running","https://github.com/corona-warn-app/cwa-app-ios/issues/4536","2022-5/14","null"
"RAT profile - misleading button when capturing date of birth","https://github.com/corona-warn-app/cwa-app-ios/issues/4570","2022-5/21","null"
"Do not tag RCs as latest version","https://github.com/corona-warn-app/cwa-app-ios/issues/4593","2022-5/27","2022-6/7"
"Bye Bye 👋","https://github.com/corona-warn-app/cwa-app-ios/issues/4602","2022-5/31","null"
"Missing 2.23.1 release","https://github.com/corona-warn-app/cwa-app-ios/issues/4604","2022-6/1","2022-6/8"
"Missing 2.23.2 release","https://github.com/corona-warn-app/cwa-app-ios/issues/4607","2022-6/3","2022-6/7"
"Exposure logging doesn’t work","https://github.com/corona-warn-app/cwa-app-ios/issues/4612","2022-6/10","2022-8/7"
"CWA requires granting Photos Library access before presenting photo picker","https://github.com/corona-warn-app/cwa-app-ios/issues/4617","2022-6/14","2022-8/1"
"Red badge reappears permanently on status tab","https://github.com/corona-warn-app/cwa-app-ios/issues/4621","2022-6/14","2022-8/9"
"Update main branch","https://github.com/corona-warn-app/cwa-app-ios/issues/4630","2022-6/20","2022-6/21"
"Export icon and info icon are not aligned","https://github.com/corona-warn-app/cwa-app-ios/issues/4646","2022-6/29","2022-7/12"
"Fehler 13 - problem persists after 24 hrs","https://github.com/corona-warn-app/cwa-app-ios/issues/4676","2022-7/17","null"
"UI Glitch on soon expiring or already expired certificate screen (Symbol is squeezed together)","https://github.com/corona-warn-app/cwa-app-ios/issues/4677","2022-7/17","null"
"2.25.0-RC5 released as latest version","https://github.com/corona-warn-app/cwa-app-ios/issues/4689","2022-7/20","2022-7/26"
"Received two increased-risk (red card) notifications with no encounter made.","https://github.com/corona-warn-app/cwa-app-ios/issues/4694","2022-7/22","2022-7/22"
"2.25.0 GitHub release is missing","https://github.com/corona-warn-app/cwa-app-ios/issues/4699","2022-7/27","2022-7/28"
"Infinite zoom out when previewing certificates using ""Export all certificates""","https://github.com/corona-warn-app/cwa-app-ios/issues/4703","2022-8/1","null"
"Fehler 13 persists After several weeks","https://github.com/corona-warn-app/cwa-app-ios/issues/4711","2022-8/5","2022-8/27"
"Rename v2.26.0 release to v2.26.0-rc5?","https://github.com/corona-warn-app/cwa-app-ios/issues/4749","2022-8/28","2022-8/31"
"2.26.1-RC0 is marked as latest release","https://github.com/corona-warn-app/cwa-app-ios/issues/4751","2022-8/29","2022-8/31"
"Don't show UQS pop up for new installations (Align iOS to Android)","https://github.com/corona-warn-app/cwa-app-ios/issues/4752","2022-8/30","null"
"Wrong Button text if Background App Refresh is off & the device is connected via a cellular connection (""Aktualisierung nur alle 4 Stunden"" instead of ""Aktualisierung nur alle 24 Stunden"")","https://github.com/corona-warn-app/cwa-app-ios/issues/4754","2022-8/30","null"
