"['title']","['url']","['createdAt']","['closedAt']"
"Qs","https://github.com/cpinitiative/usaco-guide/issues/1054","2021-3/29","2021-3/29"
"Inconsistent Margin Around Focus Problems?","https://github.com/cpinitiative/usaco-guide/issues/1055","2021-3/29","2021-3/29"
"Inconsistent use of : vs - in Section Headers","https://github.com/cpinitiative/usaco-guide/issues/1056","2021-3/29","2021-4/6"
"Make the Contributing Module a Section","https://github.com/cpinitiative/usaco-guide/issues/1057","2021-3/29","2021-4/23"
"Remove Tree Problems from Silver","https://github.com/cpinitiative/usaco-guide/issues/1059","2021-3/29","2021-3/29"
"problem difficulty from USACO Monthlies missing","https://github.com/cpinitiative/usaco-guide/issues/1060","2021-3/29","2021-3/31"
"Activity chart not showing column on reload","https://github.com/cpinitiative/usaco-guide/issues/1063","2021-3/30","2021-4/6"
"Problem Suggestion: Add ""Codeforces Round #475 (Div. 1) D - Frequency of String"" to Advanced - String Searching","https://github.com/cpinitiative/usaco-guide/issues/1064","2021-3/30","2021-4/1"
"Problem Suggestion: Add ""USACO 2014 Bronze The Lazy Cow"" to Gold - Sliding Window","https://github.com/cpinitiative/usaco-guide/issues/1065","2021-3/30","2021-4/19"
"IOI solutions have usacoid instead of year","https://github.com/cpinitiative/usaco-guide/issues/1066","2021-3/30","2021-3/30"
"ensure that modules depend on their JSON files for Gatsby","https://github.com/cpinitiative/usaco-guide/issues/1071","2021-3/31","2021-3/31"
"Problem Suggestion: Add ""Ehab and the Expected XOR Problem"" to Silver - Introduction to Prefix Sums","https://github.com/cpinitiative/usaco-guide/issues/1075","2021-4/1","2021-4/12"
"IMPORTANT!","https://github.com/cpinitiative/usaco-guide/issues/1079","2021-4/1","2021-4/1"
"Problem Suggestion: Add ""USACO 2021 January Contest, Silver - Dance Mooves"" to Silver - (Optional) Introduction to Functional Graphs","https://github.com/cpinitiative/usaco-guide/issues/1084","2021-4/2","2021-4/2"
"Problem Suggestion: Add ""CSES Elevator Rides"" to Platinum - Dynamic Programming on Bitmasks","https://github.com/cpinitiative/usaco-guide/issues/1085","2021-4/2","2021-4/2"
"Problem Suggestion: Add ""CSES Projects"" to Gold - Knapsack DP","https://github.com/cpinitiative/usaco-guide/issues/1086","2021-4/2","2021-4/2"
"""You have encountered an error"" on the USACO Monthlies page","https://github.com/cpinitiative/usaco-guide/issues/1089","2021-4/2","2021-4/2"
"Problem Suggestion: Add ""Square Pasture"" to General - Expected Knowledge","https://github.com/cpinitiative/usaco-guide/issues/1091","2021-4/2","2021-4/10"
"misc email suggestions","https://github.com/cpinitiative/usaco-guide/issues/1092","2021-4/3","2021-4/7"
"Problem Suggestion: Add ""Silver Fox vs Monster"" to Silver - Two Pointers","https://github.com/cpinitiative/usaco-guide/issues/1093","2021-4/3","2021-4/11"
"Problem Suggestion: Add ""The Smallest String Concatenation"" to Silver - Sorting with Custom Comparators","https://github.com/cpinitiative/usaco-guide/issues/1094","2021-4/3","2021-4/16"
"Problem Suggestion: Add ""They Are Everywhere"" to Silver - Two Pointers","https://github.com/cpinitiative/usaco-guide/issues/1095","2021-4/4","2021-4/16"
"Problem Suggestion: Add ""A Game With Traps"" to Silver - Binary Search","https://github.com/cpinitiative/usaco-guide/issues/1096","2021-4/4","2021-4/19"
"Problem Suggestion: Add ""Party"" to Silver - Depth First Search (DFS)","https://github.com/cpinitiative/usaco-guide/issues/1097","2021-4/4","2021-4/19"
"Problem submitting code in group","https://github.com/cpinitiative/usaco-guide/issues/1098","2021-4/4","2021-4/4"
"Problem Suggestion: Add ""subarray squares"" to Platinum - Divide & Conquer - DP","https://github.com/cpinitiative/usaco-guide/issues/1099","2021-4/4","2021-4/19"
"Problem Suggestion: Add ""Valid BFS?"" to Gold - Breadth First Search (BFS)","https://github.com/cpinitiative/usaco-guide/issues/1102","2021-4/4","2021-4/19"
"self reminder: incomplete section in all-roots","https://github.com/cpinitiative/usaco-guide/issues/1104","2021-4/4","2021-4/14"
"Problem Suggestion: Add ""Codeforces Beta Round #13 E.Holes"" to Platinum - Square Root Decomposition","https://github.com/cpinitiative/usaco-guide/issues/1105","2021-4/4","2021-4/19"
"Auto-Generate Author Names","https://github.com/cpinitiative/usaco-guide/issues/1106","2021-4/4","2021-4/11"
"Auto-Generate Ordering.ts","https://github.com/cpinitiative/usaco-guide/issues/1112","2021-4/4","2021-4/5"
"Redirects no longer work","https://github.com/cpinitiative/usaco-guide/issues/1113","2021-4/5","2021-4/5"
"cow photo timing issues","https://github.com/cpinitiative/usaco-guide/issues/1116","2021-4/5","2021-7/11"
"Problem Suggestion: Add ""IOI 2009 Mecho"" to Gold - Breadth First Search (BFS)","https://github.com/cpinitiative/usaco-guide/issues/1120","2021-4/6","2021-4/17"
"Problem Suggestion: Add ""COCI 2020/21 Contest #5: Sjeckanje"" to Platinum - More Applications of Segment Tree","https://github.com/cpinitiative/usaco-guide/issues/1121","2021-4/6","2021-4/14"
"Problem Suggestion: Add ""USACO January 2016 Platinum - Fort Moo"" to Silver - Introduction to Prefix Sums","https://github.com/cpinitiative/usaco-guide/issues/1122","2021-4/6","2021-4/13"
"Problem Suggestion: Add ""Beach Umbrellas"" to Platinum - Binary Jumping","https://github.com/cpinitiative/usaco-guide/issues/1123","2021-4/6","2021-4/19"
