"createdAt","closedAt","title","url"
"2019-9/24","2019-9/24","Installer of .NET Core SDK 3.0.100 does not remove RC1 version after updating VS 2019 preview and VS 2019 stable to 16.3 and 16.4 prev 1 respectively","https://github.com/dotnet/installer/issues/4922"
"2019-9/26","2019-10/3","SDK 3.1 installation is not rely on package aspnetcore rutnime3.1","https://github.com/dotnet/installer/issues/4941"
"2019-9/26","2019-10/23","Add opensuse back","https://github.com/dotnet/installer/issues/4959"
"2019-9/30","2019-10/17","Make the new .NET Core Installer a friendly Desktop Runtime acquisition method for FDE apps","https://github.com/dotnet/installer/issues/5019"
"2019-10/1","2019-10/3","Runtime pack not found for Microsoft.AspNetCore.App","https://github.com/dotnet/installer/issues/5038"
"2019-10/2","null","[source-build] Do not include current RID in runtime pack list when building from source","https://github.com/dotnet/installer/issues/5071"
"2019-10/2","null","[source-build] dotnet-deb-tool should not be restored if not creating Debian packages","https://github.com/dotnet/installer/issues/5073"
"2019-10/8","2019-10/8","Nuget packages with shaders in contentFiles are included as <Compile/> Instead of <Content/>","https://github.com/dotnet/installer/issues/5167"
"2019-10/9","2019-10/23","Install 3.1 Preview 1, the message under the Installation note in UI still shows .NET Core 3.0.","https://github.com/dotnet/installer/issues/5180"
"2019-10/11","2019-10/11","""dotnet publish"" produces executable without file version","https://github.com/dotnet/installer/issues/5207"
"2019-10/15","2019-10/16","Problem with the 3.0 SDK bundled with Visual Studio.","https://github.com/dotnet/installer/issues/5230"
"2019-10/17","2019-10/24","dotnet sdk 3.1 preview1 + netcoreapp3.1 seems to switch back to C# 7.3 as default","https://github.com/dotnet/installer/issues/5268"
"2019-10/18","2019-10/18","After installing .net sdk 3.0  CI server starts to fail + It was not possible to find any compatible framework","https://github.com/dotnet/installer/issues/5287"
"2019-10/24","2020-2/5","Switch to label.N form for pre-release label","https://github.com/dotnet/installer/issues/5319"
"2019-10/28","2019-10/29","dot net core 3.1 sdk installer (windows 10) not working ","https://github.com/dotnet/installer/issues/5377"
"2019-10/30","2019-11/11","openSUSE Tumbleweed Cannot build","https://github.com/dotnet/installer/issues/5407"
"2019-10/30","null","Stale version badges in README.md","https://github.com/dotnet/installer/issues/5412"
"2019-10/29","2020-4/20","[Feedback] XAML designer for .net core WPF just shows blank after loading","https://github.com/dotnet/installer/issues/5417"
"2019-10/31","null","Proposal for changes for Cloud Native Buildpacks","https://github.com/dotnet/installer/issues/5440"
"2019-11/3","2019-11/6","Mac os High Sierra poor performance","https://github.com/dotnet/installer/issues/5509"
"2019-11/5","2020-3/27","Generate a version metadata file which can be used by dotnet-install","https://github.com/dotnet/installer/issues/5554"
"2019-11/6","2020-2/5","Stop using commit height for version number","https://github.com/dotnet/installer/issues/5555"
"2019-11/14","2019-11/21","An error dialog pops up when running the winforms .net core application with .NET Core 5.0 SDK","https://github.com/dotnet/installer/issues/5665"
"2019-11/15","2019-11/18","Error while setting CI pipeline with ASPNETCore 3.0","https://github.com/dotnet/installer/issues/5681"
"2019-11/19","null","A fatal error occurred, the folder [/usr/local/bin/host/fxr] does not exist","https://github.com/dotnet/installer/issues/5721"
"2019-11/21","null","Have dotnet-sdk-3.0 Linux packages depend on exact dotnet-targeting-pack version","https://github.com/dotnet/installer/issues/5738"
"2019-11/21","2021-10/18","Produce appropriate artifacts for docker latest SDK + particular runtime combo","https://github.com/dotnet/installer/issues/5743"
"2019-11/22","2020-2/18","dotnet sdk on linux-arm ","https://github.com/dotnet/installer/issues/5763"
"2019-11/28","2019-11/28","After deleting an entity, ChangeTracker.HasChanges() errors with ""Adding a relationship with an entity which is in the Deleted state is not allowed."" even though SaveChanges is fine and same change can be made at database level","https://github.com/dotnet/installer/issues/5801"
"2019-11/29","null","No installers or binaries available for latest v3.1.100 rtm release at usual distribution locations","https://github.com/dotnet/installer/issues/5806"
"2019-12/4","null","Latest Release Version of 2.2 is lower than the previous ","https://github.com/dotnet/installer/issues/5820"
"2019-12/5","null","NETFramework.ReferenceAssemblies on Windows not used when missing Framework TP","https://github.com/dotnet/installer/issues/5824"
"2019-12/6","2019-12/7","Internal builds should be able to attempt to use alternate download locations","https://github.com/dotnet/installer/issues/5841"
"2019-12/7","null","ASP.net core Getting Http error code 404 instead of 401 when authentication fails","https://github.com/dotnet/installer/issues/5845"
"2019-12/9","2019-12/31","dotnet build fails with GenerateClsidMap failed unexpectedly (Invalid cast exception) when EnableComHosting is true and there is an attribute decorating a class in the project","https://github.com/dotnet/installer/issues/5850"
"2019-12/9","2019-12/14","Regsvr32 fails with 0x80008093 (seems to be invalid configuration error) on COM Host DLL when it is published in self-contained mode. Works correctly in framework dependent publish.","https://github.com/dotnet/installer/issues/5851"
"2019-12/9","2019-12/14","[ComRegisterFunction]/[ComUnregisterFunction] decorated public static methods do not run during regsvr32 registration if they are not in a public COM exposed class themselves (ComVisible/Guid decorated class) and must be in the immediate assembly being registered (ignored if in dependency). .NET Framework does not have this requirement.","https://github.com/dotnet/installer/issues/5852"
"2019-12/10","2020-2/5","dotnet 3.1.100 has beta version of csc compiler?","https://github.com/dotnet/installer/issues/5857"
"2019-12/11","null","Manpages are missing from .deb and .tar.gz?","https://github.com/dotnet/installer/issues/5860"
"2019-12/18","2019-12/30","3.1.2xx is not copied to latest.version","https://github.com/dotnet/installer/issues/5917"
"2019-12/20","2020-7/17","Install SDK with package manager on ubuntu","https://github.com/dotnet/installer/issues/5940"
"2019-12/25","2020-2/5","[.NET Core SDK build 3.1.101-servicing-014848] Unable to find package Microsoft.NETCore.App.Host.win-x64 with version (= 3.0.2)","https://github.com/dotnet/installer/issues/5963"
"2019-12/30","2020-2/5","What's the difference between dotnet/core-sdk and dotnet/core project?","https://github.com/dotnet/installer/issues/5999"
"2020-1/9","null","Runtime installer ""Modify setup"" UI seems unfinished","https://github.com/dotnet/installer/issues/6102"
"2017-5/19","null","""Files in Use"" processes hide behind .NET Logo","https://github.com/dotnet/installer/issues/6156"
"2020-1/16","null","Setup authoring generate random guid for ComponentID it breaks ref count","https://github.com/dotnet/installer/issues/6160"
"2020-1/17","2020-1/17",".NET Core 3.0 and 2.2 not showing up in Visual Studio 2017","https://github.com/dotnet/installer/issues/6166"
"2020-1/23","2020-1/23","[container core/sdk:3.1] Access to the path ...app.csproj.nuget.dgspec.json is denied","https://github.com/dotnet/installer/issues/6233"
"2020-1/26","2020-1/30","3.0/2.1 template is missing in Create ASP.NET Core Web Application dialog after uninstall the 16.5 preview 2.","https://github.com/dotnet/installer/issues/6243"
"2020-1/31","null",".Net Core on Ubuntu 18.04 stuck on setup (also on 16.04)","https://github.com/dotnet/installer/issues/6269"
"2020-2/4","null","Re-enable Publish tests for Windows x86","https://github.com/dotnet/installer/issues/6285"
"2020-2/10","null","Use arcade GenerateChecksums","https://github.com/dotnet/installer/issues/6332"
"2020-2/12","2020-2/12","Missing Commit c7c8706348e83e37f6c50fb828b26f90db1c1f78","https://github.com/dotnet/installer/issues/6341"
"2020-2/15","null","Specify which project file to use because this [directory] contains more than one project file.","https://github.com/dotnet/installer/issues/6422"
"2020-2/19","null","CoreXT overlay package for MSBuild 16","https://github.com/dotnet/installer/issues/6469"
"2020-2/20","null","Add back link to runtime daily builds once available","https://github.com/dotnet/installer/issues/6478"
"2020-2/21","null","Icons in the list of nightlies does not correspond to link","https://github.com/dotnet/installer/issues/6514"
"2020-2/21","2023-4/5","Generic naming for .NET Core SDK CoreXT packages for internal Microsoft use","https://github.com/dotnet/installer/issues/6518"
"2020-2/22","null","Weird issue while installing specific package with .net core sdk 3.1.102","https://github.com/dotnet/installer/issues/6537"
"2020-2/22","null","GenerateClsidMap failed unexpectedly (System.InvalidCastException) when EnableComHosting and C# 8.0 Nullable enabled","https://github.com/dotnet/installer/issues/6539"
"2020-2/26","2020-2/28","Core-SDK master build broken","https://github.com/dotnet/installer/issues/6571"
"2020-2/26","2020-3/11","Latest build of release/5.0.1xx-preview1 branch aren’t getting copied to latest ","https://github.com/dotnet/installer/issues/6572"
"2020-2/27","2020-2/28","Install .NET 5.0 Preview 1, the message under the Installation note in UI still shows .NET Core 3.1.","https://github.com/dotnet/installer/issues/6585"
"2020-3/2","null","Adding a new template is very error prone","https://github.com/dotnet/installer/issues/6646"
"2020-3/3","null","Add solution items to solution file using CLI","https://github.com/dotnet/installer/issues/6657"
"2020-3/4","null","SDK 3.1.102 does not include .Net Standard 2.1 (Mac OS)","https://github.com/dotnet/installer/issues/6662"
"2020-3/5","null","Installers with verssion of binary differ","https://github.com/dotnet/installer/issues/6691"
"2020-3/5","null","Automate Updates to GenerateBundledVersions.targets","https://github.com/dotnet/installer/issues/6695"
"2020-3/5","null","Remove Helix perf tests","https://github.com/dotnet/installer/issues/6696"
"2020-3/6","null","SDK installer for Windows stores a value in DisplayVersion that does not match release version","https://github.com/dotnet/installer/issues/6710"
"2020-3/7","null","unable to publish linux-arm","https://github.com/dotnet/installer/issues/6720"
"2020-3/9","2020-3/31","Add crossgen support for win-arm64 builds","https://github.com/dotnet/installer/issues/6739"
"2020-3/9","2020-3/11","OSX SDK installer does not block on 10.12","https://github.com/dotnet/installer/issues/6742"
"2020-3/10","2020-3/30","Add test coverage that we are handling DefaultRuntimeFrameworkVersions correctly","https://github.com/dotnet/installer/issues/6757"
"2020-3/12","null","Docker image generation frequently fails","https://github.com/dotnet/installer/issues/6785"
