"['title']","['url']","['createdAt']","['closedAt']"
"[LOC] redist LCID bundle.wxl shows still .NET 5","https://github.com/dotnet/installer/issues/12617","2021-11/8","2021-12/1"
"dotnet --list-sdks did not work","https://github.com/dotnet/installer/issues/12627","2021-11/10","2021-11/11"
"`sudo` breaks some Linux distro builds using source-build ","https://github.com/dotnet/installer/issues/12634","2021-11/10","2021-12/2"
"Product Versions are out of date for source-build","https://github.com/dotnet/installer/issues/12641","2021-11/11","null"
"Azure pipelines build status link in the readme should reference public builds","https://github.com/dotnet/installer/issues/12673","2021-11/15","null"
"Warn users when installing x64 SDK on non-x64 machine","https://github.com/dotnet/installer/issues/12708","2021-11/18","null"
".NET 6.0 installation location is missing on installation wizard within a clean Windows OS","https://github.com/dotnet/installer/issues/12722","2021-11/23","null"
"Create debian packages for armhf architecture","https://github.com/dotnet/installer/issues/12725","2021-11/23","null"
"dotnet CLI does not correctly evaluate location of SDK's on Mac M1 machine","https://github.com/dotnet/installer/issues/12731","2021-11/26","2021-12/1"
"When will packages be available in the Ubuntu 21.10 repository?","https://github.com/dotnet/installer/issues/12740","2021-12/1","2022-4/28"
"Build failed: Validate-DotNet/main real signed, installer, .NET 6.0.2xx SDK, validation-installer-.NET 6.0.2xx SDK #installer-119839-.NET6.0.2xxSDK","https://github.com/dotnet/installer/issues/12746","2021-12/3","2021-12/8"
"Build failed: Validate-DotNet/main real signed, installer, .NET 6.0.2xx SDK, validation-installer-.NET 6.0.2xx SDK #installer-120317-.NET6.0.2xxSDK","https://github.com/dotnet/installer/issues/12778","2021-12/9","null"
"Fix dependency update from dotnet/sdk","https://github.com/dotnet/installer/issues/12782","2021-12/9","null"
"IncludedWorkloadManifests.txt file is empty in 6.0.101 SDK installation","https://github.com/dotnet/installer/issues/12789","2021-12/10","2022-1/10"
"After .NET 7.0 SDK is installed, there is no .NET 7.0 template gets installed, I can't create .NET 7.0 project.","https://github.com/dotnet/installer/issues/12806","2021-12/13","2021-12/13"
"Warn users when installing ARM64 Runtime and Targeting Pack installers on x64 MacOS.","https://github.com/dotnet/installer/issues/12840","2021-12/14","null"
"Installer branch release/3.1.4xx not updated for 3.1.22?","https://github.com/dotnet/installer/issues/12847","2021-12/15","2021-12/27"
"Why hasn't the 7.0.x Runtime installer been updated for over a month? Is it intentional?","https://github.com/dotnet/installer/issues/12850","2021-12/15","2022-1/13"
"[dotnet-sdk-6.0.101-win-x64] Missing sdk-manifests after clean install","https://github.com/dotnet/installer/issues/12862","2021-12/18","2021-12/20"
"With .NET 7 SDK, the default tfm is net6.0 not net7.0 for created projects","https://github.com/dotnet/installer/issues/12892","2021-12/20","2022-1/27"
"Wrong dotnet version is being installed","https://github.com/dotnet/installer/issues/12933","2021-12/31","2021-12/31"
"reposync error","https://github.com/dotnet/installer/issues/12934","2021-12/14","null"
"Huh","https://github.com/dotnet/installer/issues/12938","2022-1/2","2022-1/12"
"Installing with `apt install dotnet-sdk-6.0` yields no executable file on Ubuntu 20.04","https://github.com/dotnet/installer/issues/12939","2022-1/2","2022-1/10"
"Info for .NET 7.0 are not updated on .NET 7 SDK installation wizard","https://github.com/dotnet/installer/issues/12956","2021-12/20","2022-1/19"
"Everybody","https://github.com/dotnet/installer/issues/12957","2022-1/4","2022-1/12"
".NET 7.0 SDK isn't referencing the latest targeting/runtime packs when targeting `net6.0`","https://github.com/dotnet/installer/issues/12968","2022-1/5","2022-1/13"
".NET Core SDK snap is not based on latest Ubuntu Core 20.04 (Focal) LTS: version `GLIBCXX_3.4.26' not found ","https://github.com/dotnet/installer/issues/13004","2022-1/11","null"
"Update GenerateBundledVersions.targets","https://github.com/dotnet/installer/issues/13010","2022-1/12","2022-1/13"
"With .NET 7, installed workloads and packs were still listed in ""C:\Program Files\dotnet"" after uninstalling the SDK.","https://github.com/dotnet/installer/issues/13013","2022-1/12","2022-1/27"
"dotnet 6 for s390x as a tar archive","https://github.com/dotnet/installer/issues/13022","2022-1/10","null"
"Debian portable should use a newer dockerfile to build portable images","https://github.com/dotnet/installer/issues/13079","2022-1/19","null"
"Issue opening/installing .NET 6.0.10, 3.1.416, 5.0.404 x64 from the installer pkg on macOS 12.2 (21D48) (Monterey RC)","https://github.com/dotnet/installer/issues/13117","2022-1/26","2022-1/26"
"When installing .NET 7.0 SDK, some packages' version are 6.0 not 7.0","https://github.com/dotnet/installer/issues/13127","2022-1/27","null"
"MacOs bundles are twice the size they should be","https://github.com/dotnet/installer/issues/13144","2021-10/26","null"
"When installing SDK 7.0, the installation wizard should say ""17.2 or newer is required"". ","https://github.com/dotnet/installer/issues/13148","2022-1/29","null"
"Where does the build commit come from?","https://github.com/dotnet/installer/issues/13149","2022-1/31","2022-2/2"
"With .NET 7 SDK zip installation, maui workload install failed in CLI","https://github.com/dotnet/installer/issues/13159","2022-1/28","2022-2/2"
"SDK gone after update from 6.0.1 to 6.0.2 (through Windows update)","https://github.com/dotnet/installer/issues/13210","2022-2/10","2022-2/16"
"Microsoft.DotNet.Common.ProjectTemplates 6.0 and 2.1 not being built","https://github.com/dotnet/installer/issues/13218","2022-2/10","2022-2/13"
"Enable build of Linux Arm64 RPM packages","https://github.com/dotnet/installer/issues/13230","2022-2/15","2022-6/29"
"Enable packages for Mariner 2.0","https://github.com/dotnet/installer/issues/13231","2022-2/15","2022-6/29"
"Installing the 6.0.2 ref pack MSI removes the 6.0.0 ref pack MSI","https://github.com/dotnet/installer/issues/13237","2022-2/15","null"
".NET MAUI should not be installable from .NET 7 ","https://github.com/dotnet/installer/issues/13246","2022-2/17","2022-3/2"
"The Runtime version of “ASP.NET Core Runtime” and “.NET Windows Desktop Runtime” in .NET 7.0 Preview 2 SDK are 7.0.0-preview.3.xxx.","https://github.com/dotnet/installer/issues/13262","2022-2/22","2022-3/2"
"Runtime dependencies in Ubuntu Jammy 22.04","https://github.com/dotnet/installer/issues/13281","2022-2/25","null"
"[macOS] Visual Studio 2022 for Mac Preview - BUG","https://github.com/dotnet/installer/issues/13337","2022-3/7","null"
"Enable Maui workloads for .NET 7","https://github.com/dotnet/installer/issues/13361","2022-3/9","null"
"Uninstalling .NET 6 SDK asks to find 'dotnet-sdk-6.0.101-win-x64.exe' but doesn't care if I ignore","https://github.com/dotnet/installer/issues/13371","2022-3/9","2022-3/10"
"Consider migrating the src/redist/targets path to an arcade sdk for sdk based installers.","https://github.com/dotnet/installer/issues/13411","2022-3/14","null"
"Installing with Homebrew with Defender installed fails","https://github.com/dotnet/installer/issues/13421","2022-3/15","null"
"SDL signoff requirements - please enable additional C/C++ compiler warnings","https://github.com/dotnet/installer/issues/13447","2022-3/10","2022-3/23"
"7.0 apps can't run with latest main branch sdk","https://github.com/dotnet/installer/issues/13450","2022-3/22","2022-3/23"
"multiple build warnings: Consider app.config remapping of assembly","https://github.com/dotnet/installer/issues/13465","2022-3/15","null"
"The Templates version and Runtime version of “.NET Runtime” and “ASP.NET Core Runtime” in .NET 7.0 Preview 3 SDK are 7.0.0-preview.4.xxx.","https://github.com/dotnet/installer/issues/13467","2022-3/25","2022-3/25"
"Can't run smoke-tests in Ubuntu 22.04","https://github.com/dotnet/installer/issues/13485","2022-3/29","2022-5/6"
".NET Core / 5 / 6 Windows Update Packages - Very Large File Size","https://github.com/dotnet/installer/issues/13497","2022-3/30","2022-3/31"
"Error whilst uninstalling .NET 6 SDK - api-ms-win-core-path-l1-1-0.dll is missing","https://github.com/dotnet/installer/issues/13527","2022-4/4","2022-6/1"
"Cannot set target 7.0","https://github.com/dotnet/installer/issues/13580","2022-4/10","2022-4/10"
"Failure to install dotnet-sdk-6.0 via the apt feed","https://github.com/dotnet/installer/issues/13687","2022-4/22","2022-4/22"
"Ubuntu 22.04","https://github.com/dotnet/installer/issues/13719","2022-4/28","2022-4/28"
"""First run"" text displayed twice","https://github.com/dotnet/installer/issues/13751","2022-5/3","2022-6/2"
"Remove Microsoft.Dotnet.Sdk.Internal","https://github.com/dotnet/installer/issues/13779","2022-5/5","null"
"What component versions are contained in the nighly build of the SDK?","https://github.com/dotnet/installer/issues/13849","2022-5/18","2022-5/18"
"Windows Desktop Runtime 6.0.5 installer chains in 6.0.4 of runtime","https://github.com/dotnet/installer/issues/13871","2022-5/25","2022-5/25"
"Error during source build of v7.0.100-preview.4.22252.9 tag","https://github.com/dotnet/installer/issues/13963","2022-6/14","2022-6/21"
"After installing .NET 7 Preview 6 x86 SDK, “Program File (x86)\dotnet” is not added to system path","https://github.com/dotnet/installer/issues/14000","2022-6/20","2022-6/21"
".NET 7 preview 5 SDK has some runtime folders that can probably be trimmed","https://github.com/dotnet/installer/issues/14065","2022-7/1","null"
".NET 7 Linux SDK has net4* targets","https://github.com/dotnet/installer/issues/14066","2022-7/1","null"
"How to solve .NET 6 installation failure ? 0x80070660, no previous sdks installed","https://github.com/dotnet/installer/issues/14078","2022-7/5","null"
".NET 6 Mac OS runtime installer puts .NET x64 on ARM Mac M1","https://github.com/dotnet/installer/issues/14103","2022-7/11","null"
