['closedAt'],['createdAt'],['title'],['url']
2018-7/31,2017-10/13,Turn crossgen back on,https://github.com/dotnet/installer/issues/5
2019-1/19,2017-10/13,Move the toolset under a folder matching this repo's version,https://github.com/dotnet/installer/issues/6
2019-7/12,2017-10/13,Turn msbuildextensions nupkg generation back on,https://github.com/dotnet/installer/issues/7
2018-7/31,2017-10/14,Create VSO build definitions.,https://github.com/dotnet/installer/issues/8
2018-8/14,2018-3/1,.NET Core Assembly Code Signing on Mac,https://github.com/dotnet/installer/issues/12
2018-8/14,2018-6/4,Using appsettings.json in Class file in dotnet core,https://github.com/dotnet/installer/issues/13
2018-7/19,2018-6/28,README has no links to the SDK installers,https://github.com/dotnet/installer/issues/16
2019-6/19,2018-7/9,Add tests verifying implicit versions of Shared Frameworks,https://github.com/dotnet/installer/issues/21
2018-10/2,2018-7/9,Remove workaround to retarget dotnet new template to .NET Core 3.0,https://github.com/dotnet/installer/issues/24
2019-2/11,2018-7/12,Enable generating debian packages,https://github.com/dotnet/installer/issues/27
2018-11/30,2018-7/12,Update installation notice in Windows Installer,https://github.com/dotnet/installer/issues/29
2019-2/7,2018-7/17,How is the dotnet/Toolset version to be used,https://github.com/dotnet/installer/issues/32
2018-11/21,2018-7/19,Every SDK version has its own ProductID,https://github.com/dotnet/installer/issues/35
2018-11/21,2018-7/23,Project file is incomplete. Expected imports are missing - after uninstalling Core SDK 2.1.302,https://github.com/dotnet/installer/issues/36
2018-8/14,2018-8/1,Dotnet --version displays wrong version number,https://github.com/dotnet/installer/issues/41
2018-8/17,2018-8/1,Installer metadata in ARP uses HTTP URLs instead of HTTPS,https://github.com/dotnet/installer/issues/42
2018-8/14,2018-8/13,"Missing package aspnetcore-runtime-3.0, dependency of dotnet-sdk-latest-x64?",https://github.com/dotnet/installer/issues/51
2018-8/14,2018-8/14,"What is the chance to have ""nightly"" SDK builds?",https://github.com/dotnet/installer/issues/56
2018-8/17,2018-8/17,version 2.1.400 breaks web.config,https://github.com/dotnet/installer/issues/58
2019-1/21,2018-8/17,"Set up automatic insertions through sdk, cli, and toolset repos into core-sdk",https://github.com/dotnet/installer/issues/59
2018-10/2,2018-8/25, Always generates a none image when build Asp.net Core 2.1 on Ubuntu 17.10,https://github.com/dotnet/installer/issues/64
2018-10/2,2018-8/29,dotnet build/run fails when there is %20 in one of the folder names,https://github.com/dotnet/installer/issues/68
2018-10/2,2018-9/10,.NET Core 3 console template references netcoreapp2.1,https://github.com/dotnet/installer/issues/75
2018-11/27,2018-9/10,.NET Core 3 ARM64 SDK builds missing ASP.NET Core fx,https://github.com/dotnet/installer/issues/76
2018-11/21,2018-9/13,Visual Studio 15.8.4 warns that netcoreapp3.0 projects are newer than .NET Core 3.0,https://github.com/dotnet/installer/issues/77
2019-3/25,2018-9/13,Dependencies of netfx PackageReferences aren't referenced,https://github.com/dotnet/installer/issues/78
2018-12/10,2018-9/13,How to reference System.Design,https://github.com/dotnet/installer/issues/79
,2018-9/14,Self-contained publish failing with error NU1605: Detected package downgrade: Microsoft.NETCore.App from 2.1.2 to 2.1.0,https://github.com/dotnet/installer/issues/81
2018-9/17,2018-9/17,Why despite declarations in multiple repos of providing daily core-sdk builds they are more or less biweekly?,https://github.com/dotnet/installer/issues/83
2019-2/23,2018-9/24,WPF SDK feedback - netfx/corefx multitargeting,https://github.com/dotnet/installer/issues/88
2018-9/25,2018-9/25,.NET Core 3.0 WPF self-contained app crashes on start,https://github.com/dotnet/installer/issues/91
2018-9/27,2018-9/27,Unable to install .NET Core 2.0 on Ubuntu 18.04,https://github.com/dotnet/installer/issues/93
2018-9/28,2018-9/27,"2.1 installs in Ubuntu 18.04, but I need 2.0, and the documentation indicates it should install",https://github.com/dotnet/installer/issues/94
2018-12/11,2018-10/19,It would be nice if Microsoft.DesktopUI included the Blend SDK,https://github.com/dotnet/installer/issues/114
2018-11/20,2018-10/20,Request: Web installer + Modular installer,https://github.com/dotnet/installer/issues/117
2018-11/7,2018-11/4,The last version of .NET Core 3.0 does not work,https://github.com/dotnet/installer/issues/134
2018-11/6,2018-11/5,"dotnet run gives error 0x80008096 (on 3.0.100-preview-009726, 009728, 009730)",https://github.com/dotnet/installer/issues/135
2018-11/20,2018-11/16,Seeing lots of InvalidOperationExceptions with Automation Peers,https://github.com/dotnet/installer/issues/149
2018-11/20,2018-11/17,InvalidOperationException when calling GetData on IDataObject,https://github.com/dotnet/installer/issues/156
2018-11/19,2018-11/17,Incorrect DispatcherPriority on DispatcherSynchronizationContext from BeginInvoke,https://github.com/dotnet/installer/issues/157
2018-11/19,2018-11/18,run wpf on linux,https://github.com/dotnet/installer/issues/159
2018-11/20,2018-11/19,Can not run WPF with .net core  on Windows Server 2019 ,https://github.com/dotnet/installer/issues/160
2021-10/18,2018-11/20,Consider enabling dotnet-extensions for win-arm,https://github.com/dotnet/installer/issues/163
2018-11/30,2018-11/20,Installer missing a period,https://github.com/dotnet/installer/issues/164
2018-11/27,2018-11/25,wpf designer ,https://github.com/dotnet/installer/issues/175
,2018-11/27,Composition of SDKs / SDK Extras / Multi-targeting ,https://github.com/dotnet/installer/issues/181
2018-11/30,2018-11/29,Message in the CLI 3.0 installer needs to be updated for 3.0.,https://github.com/dotnet/installer/issues/189
2018-12/17,2018-11/29,[3.0.100-preview-009791] 'dotnet pack' uses intermediate output files for embedded resources,https://github.com/dotnet/installer/issues/192
2018-12/14,2018-11/30,Windows setup does not list WindowsDesktop sharedframework in install Finish page,https://github.com/dotnet/installer/issues/195
2021-10/18,2018-12/3,runtime.<rid>.Microsoft.DotNet.SDK.<version>.symbols.nupkg not being produced,https://github.com/dotnet/installer/issues/196
2018-12/14,2018-12/3,"""Windows (x64)"" in readme.md should drop parens, to match other uses of x86/x64",https://github.com/dotnet/installer/issues/197
2019-2/13,2018-12/4,Make sdk available for closed source VS components to consume,https://github.com/dotnet/installer/issues/198
2018-12/28,2018-12/6,Enable DEB package generation in arcade build,https://github.com/dotnet/installer/issues/201
2018-12/17,2018-12/17,Visual Studio 15.x can't open Microsoft.NET.Sdk.WindowsDesktop projects with 009831,https://github.com/dotnet/installer/issues/213
,2018-12/19,issues with documentations about installing 3.0 sdk on Ubuntu.,https://github.com/dotnet/installer/issues/219
,2018-12/27,Stop publishing -internal.zip/tar.gz files.,https://github.com/dotnet/installer/issues/226
2019-1/8,2018-12/28,Interface members with defintions,https://github.com/dotnet/installer/issues/228
2019-1/2,2019-1/2,Delete /old folder,https://github.com/dotnet/installer/issues/232
2019-1/3,2019-1/2,.net core 2.2 sdk install failed on windows 7 sp1,https://github.com/dotnet/installer/issues/234
2019-1/3,2019-1/3,Add build time out 3 hours for core-sdk build,https://github.com/dotnet/installer/issues/236
,2019-1/7,Port AspNetCore E2E tests into this repo,https://github.com/dotnet/installer/issues/247
,2019-1/8,Re-enable FreeBSD builds once core-setup is building for FreeBSD again,https://github.com/dotnet/installer/issues/248
2019-2/5,2019-1/9,Provide option to uninstall previous versions of sdk when installing,https://github.com/dotnet/installer/issues/255
2019-5/16,2019-1/11,Bundled dotnet-* tools have their nupkgs and related files included in SDK unnecessarily,https://github.com/dotnet/installer/issues/265
2019-1/11,2019-1/11,Unable to embed compatibility section of application manifest in .exe generated by .NET Core 3.0.100-preview-009817,https://github.com/dotnet/installer/issues/267
2019-1/12,2019-1/11,Asp.net runtime missing in arm64 builds.,https://github.com/dotnet/installer/issues/274
2019-1/14,2019-1/12,.NET Core 2.2 SDK not available in Visual Studio Installer,https://github.com/dotnet/installer/issues/281
2019-1/22,2019-1/22,The processing message in the CLI 3.0 installer needs to be updated to 3.0 Preview 2.,https://github.com/dotnet/installer/issues/319
2019-1/25,2019-1/25,SourceCode - copy error  build failures in 'official/dotnet/core-sdk/refs/heads/master' - '20190124.25',https://github.com/dotnet/installer/issues/342
2019-2/8,2019-1/28,3.0 installer links to 2.x Rel Notes,https://github.com/dotnet/installer/issues/348
2019-1/29,2019-1/28,Provide option for removing apiset stub DLLs?,https://github.com/dotnet/installer/issues/350
2019-2/7,2019-1/30,Visual Studio intellisense shows errors for Core > 2.1.402 in Q# (Quantuum),https://github.com/dotnet/installer/issues/354
2019-1/31,2019-1/30,GenerateBuildDependencyFile fails during build,https://github.com/dotnet/installer/issues/355
2019-2/5,2019-2/5,NET Core 3.0 Preview 2 SDK adding dev feeds as additional project sources,https://github.com/dotnet/installer/issues/383
2019-2/9,2019-2/7,"Port ""Microsoft.WindowsDesktop.App"" to ARM/ARM64 Windows ",https://github.com/dotnet/installer/issues/405
2019-2/9,2019-2/8,Adopt build scheme that makes it easy to distinguish previews,https://github.com/dotnet/installer/issues/422
2019-2/12,2019-2/12,dotnet-core MyGet gallery flags old version of package as latest,https://github.com/dotnet/installer/issues/466
2019-2/15,2019-2/13,Segfault on any global tool installed,https://github.com/dotnet/installer/issues/491
2021-10/18,2019-2/14,"CI builds succeeding, but with error about $(_AdditionalParameters)",https://github.com/dotnet/installer/issues/502
2019-2/14,2019-2/14,Preview 3 branch download links needed,https://github.com/dotnet/installer/issues/503
,2019-2/15,Upgrade in place as an option,https://github.com/dotnet/installer/issues/526
2021-10/18,2019-2/21,Add coverage for latest patch versions for .NET Core 3.0,https://github.com/dotnet/installer/issues/621
2019-2/23,2019-2/23,MsBuild.Sdk.Extras fails to compile with Azure 2019 and 3.0.100-preview-010184,https://github.com/dotnet/installer/issues/662
2019-3/1,2019-2/25,-f parameter is ignored and triggers incompatible SDK error,https://github.com/dotnet/installer/issues/688
2019-5/16,2019-2/26,Can't read version from build badges,https://github.com/dotnet/installer/issues/707
2019-6/19,2019-3/1,Re-enable 2.2 implicit rollforward tests,https://github.com/dotnet/installer/issues/780
2020-2/5,2019-3/6,Need way to suppress ResolveFrameworkReferences to build core-setup,https://github.com/dotnet/installer/issues/876
2019-3/14,2019-3/13,"ARM32 3.0.100-preview3 SDK includes x86-64 ""apphost"" binary",https://github.com/dotnet/installer/issues/999
2019-3/20,2019-3/19,dotnet crashes on Linux/ARM32,https://github.com/dotnet/installer/issues/1063
,2019-3/26,Address the 'High Contrast Black' yellow hyperlinks: SDK bundle,https://github.com/dotnet/installer/issues/1130
,2019-4/1,Re-enable end-2-end testing for RPM and DEB,https://github.com/dotnet/installer/issues/1174
2019-5/7,2019-4/3,.NET Core 3.0 WPF Crash when copying from RichTextBox,https://github.com/dotnet/installer/issues/1185
2019-4/9,2019-4/9,This is a test issue,https://github.com/dotnet/installer/issues/1284
2019-4/10,2019-4/9,.NET SDK not found after updating to 2.2.202-1,https://github.com/dotnet/installer/issues/1294
