"['title']","['url']","['createdAt']","['closedAt']"
"databasechangelog* table creation not thread/multiprocess safe","https://github.com/liquibase/liquibase/issues/2083","2021-9/10","2021-11/18"
"YamlChangelogSerializer produces wrongly formed changelog if changeset contains rollback changes ","https://github.com/liquibase/liquibase/issues/2084","2021-9/10","null"
"<loadData> cannot load columns of type ""time"" into PostgreSQL","https://github.com/liquibase/liquibase/issues/2088","2021-9/13","2022-9/6"
"Liquibase-Maven-Spring Boot 4.4.3 : diff API Incompatibility Error","https://github.com/liquibase/liquibase/issues/2089","2021-9/13","2021-10/13"
"logicalFilePath fails after upgrade from 3 to 4 when absolute path was previously used.","https://github.com/liquibase/liquibase/issues/2095","2021-9/15","2022-5/23"
"Allow to log update count for prepared statements","https://github.com/liquibase/liquibase/issues/2096","2021-9/15","null"
"NetUtils.getLocalHostName() takes 30s ","https://github.com/liquibase/liquibase/issues/2098","2021-9/17","null"
"Using Liquibase with python","https://github.com/liquibase/liquibase/issues/2099","2021-9/18","2022-5/23"
"generateChangeLog with only --diffType=data does not work as expected for any changeset format.","https://github.com/liquibase/liquibase/issues/2100","2021-9/20","null"
"mssql temporal table support","https://github.com/liquibase/liquibase/issues/2101","2021-9/20","null"
"Caused by: java.io.IOException: Found 2 files that match ","https://github.com/liquibase/liquibase/issues/2104","2021-9/20","null"
"liquibase diffChangeLog and generateChangeLog no longer have --include-schema option","https://github.com/liquibase/liquibase/issues/2108","2021-9/22","2021-10/20"
"liquibase tagExists command fails if --tag command argument is not used in v4.4.x","https://github.com/liquibase/liquibase/issues/2109","2021-9/22","2022-1/10"
"Loading CSV data from file ist very slow due to bad logging performance","https://github.com/liquibase/liquibase/issues/2111","2021-9/22","null"
"Can't modify logging level in liquibase-maven-plugin","https://github.com/liquibase/liquibase/issues/2113","2021-9/22","2021-12/9"
"NumberFormatException while diffChangelog","https://github.com/liquibase/liquibase/issues/2116","2021-9/24","null"
"datetime string not parsed correctly nor notified via logger, generates a wrong sql column value","https://github.com/liquibase/liquibase/issues/2119","2021-9/27","null"
"Add Alter tablespace and rebuild Index cases in diffChangeLog.","https://github.com/liquibase/liquibase/issues/2120","2021-9/27","null"
"liquibase.properties not read from classpath","https://github.com/liquibase/liquibase/issues/2121","2021-9/28","2022-2/14"
"loadUpdateData does not work well with relativeToChangelogFile when going from 3.10.2 to 4.4.3","https://github.com/liquibase/liquibase/issues/2123","2021-9/28","2022-1/6"
"tag-exists command requires --tag to be after it","https://github.com/liquibase/liquibase/issues/2124","2021-9/28","2021-12/9"
"NPE when using a MockResourceAccessor with contents being an XML string","https://github.com/liquibase/liquibase/issues/2125","2021-9/29","null"
"Content enforced for database changelog empty tag by XSD schema since 3.6","https://github.com/liquibase/liquibase/issues/2127","2021-9/29","2021-9/29"
"Liquibase endDelimiter does not work after upgrading from 3.10.x to 4.x","https://github.com/liquibase/liquibase/issues/2133","2021-10/1","2022-3/4"
"war files in classpath not read correctly","https://github.com/liquibase/liquibase/issues/2137","2021-10/4","2022-8/25"
"Collation support","https://github.com/liquibase/liquibase/issues/2141","2021-10/6","null"
"LiquiBase ignores classloading errors and generates empty changesets","https://github.com/liquibase/liquibase/issues/2142","2021-10/6","null"
"cacheSize of createSequence is ignored","https://github.com/liquibase/liquibase/issues/2147","2021-10/14","2022-1/10"
"Slow initialization in Spring Boot","https://github.com/liquibase/liquibase/issues/2148","2021-10/14","2021-10/29"
"Add Pro Preconditions","https://github.com/liquibase/liquibase/issues/2149","2021-10/15","null"
"beforeColumn are not working on SQL server ","https://github.com/liquibase/liquibase/issues/2150","2021-10/19","2022-5/23"
"Null Pointer Exception During Diff Change Log Generation","https://github.com/liquibase/liquibase/issues/2152","2021-10/20","2021-12/22"
"Multithreading error: StackOverflowError in configuration value code","https://github.com/liquibase/liquibase/issues/2153","2021-10/21","null"
"dropAllForeignKeyConstraint performance problems","https://github.com/liquibase/liquibase/issues/2154","2021-10/22","null"
"<loadData> cannot load columns of type ""CLOB"" into PostgreSQL","https://github.com/liquibase/liquibase/issues/2158","2021-10/25","2021-11/9"
"Liquibase is very slow against snowflake during startup","https://github.com/liquibase/liquibase/issues/2160","2021-10/26","null"
"Liquibase dependency on java.desktop module","https://github.com/liquibase/liquibase/issues/2162","2021-10/26","null"
"BIGSERIAL column type does not result in column having auto-generated value from sequence. Sequence is also not created.","https://github.com/liquibase/liquibase/issues/2163","2021-10/27","2022-8/15"
"GenerateChangeLog does not include type attributes in insertData","https://github.com/liquibase/liquibase/issues/2165","2021-10/27","null"
"SpringLiquibase: Support tagging after update","https://github.com/liquibase/liquibase/issues/2166","2021-10/29","null"
"Double unsigned cannot be created in MySQL.","https://github.com/liquibase/liquibase/issues/2169","2021-11/1","2021-12/25"
"Misleading log message when precondition `onFail: MARK_RAN` is set","https://github.com/liquibase/liquibase/issues/2175","2021-11/3","null"
"After liquibase upgrade 3.5 -> 4.5 loadData with null values for string/varchar type columns fails","https://github.com/liquibase/liquibase/issues/2177","2021-11/4","null"
"PostgreSQL 14 FUNCTION BEGIN ATOMIC syntax generating errors","https://github.com/liquibase/liquibase/issues/2186","2021-11/4","null"
"CreateIndex with index prefix length","https://github.com/liquibase/liquibase/issues/2191","2021-11/6","2022-7/21"
"Diff Change Log Generation Picking Up LONGTEXT ALTER Statements","https://github.com/liquibase/liquibase/issues/2193","2021-11/8","null"
"Empty derby.log is generated file after running diffChangelog","https://github.com/liquibase/liquibase/issues/2196","2021-11/9","null"
"Liquibase cannot create DATABASECHANGELOGLOCK table on Azure Synapse database","https://github.com/liquibase/liquibase/issues/2199","2021-11/9","null"
"Regression 4.5.0 -> 4.6.1: valueBlobFile fails with ""BLOB resource not found""","https://github.com/liquibase/liquibase/issues/2200","2021-11/10","null"
"Enhancement request - add timestamp column to LIQUIBASE_DEPLOY.DATABASECHANGELOGLOCK","https://github.com/liquibase/liquibase/issues/2203","2021-11/11","null"
"Completely identical changesets do not trigger ""duplicate identifier"" validation error","https://github.com/liquibase/liquibase/issues/2204","2021-11/11","null"
"Postgres jdbc connection string is not properly parsed","https://github.com/liquibase/liquibase/issues/2205","2021-11/12","2021-11/30"
"`StandardHubService` cannot be loaded without snakeyaml and logs lines even though hub is disabled","https://github.com/liquibase/liquibase/issues/2206","2021-11/12","null"
"[MySQL]Mysql JSON Type is failed with syntax error","https://github.com/liquibase/liquibase/issues/2208","2021-11/13","null"
"Rename pro.packaged classes like ""x"", ""e"", ""ex"", ""i"", ""iF"" etc.","https://github.com/liquibase/liquibase/issues/2218","2021-11/16","null"
"Liquibase offline mode doesn't support `rollbackSQL <tag>` operation","https://github.com/liquibase/liquibase/issues/2219","2021-11/17","2022-2/14"
"normalizePath super slow?","https://github.com/liquibase/liquibase/issues/2221","2021-11/17","2022-7/28"
"It is generating empty alterSequence when using with PostgreSQL","https://github.com/liquibase/liquibase/issues/2223","2021-11/17","null"
"[TIBERO] TiberoDB Datatype 'TIBERO.BOOLEAN' is invalid","https://github.com/liquibase/liquibase/issues/2226","2021-11/22","null"
"Diff: Foreign keys in different tables but with matching names are seen as the same objects","https://github.com/liquibase/liquibase/issues/2227","2021-11/22","2021-12/21"
"Vulnerability detected for com.h2database:h2 and github.com/golang/go","https://github.com/liquibase/liquibase/issues/2229","2021-11/23","2021-12/29"
"liquibase generatechangelog not working as expected with enums","https://github.com/liquibase/liquibase/issues/2230","2021-11/23","null"
"The <property /> definition for column type does not work in version 4.6.1, which works well in 3.x.x","https://github.com/liquibase/liquibase/issues/2231","2021-11/23","2022-2/17"
"sqlFile no longer has default schema set","https://github.com/liquibase/liquibase/issues/2234","2021-11/23","2022-5/13"
"dropAll command doesn't work for MS SQL Server when system-versioned tables are used","https://github.com/liquibase/liquibase/issues/2240","2021-11/30","null"
"precondition `tableExists DATABASECHANGELOG / DATABASECHANGELOGLOCK` can't go through fast path of `SnapshotGeneratorFactory.has`","https://github.com/liquibase/liquibase/issues/2246","2021-12/2","null"
"Snapshot representation does not include data even if ""snapshot data"" is enabled","https://github.com/liquibase/liquibase/issues/2247","2021-12/2","null"
"ScopeManager can get confused when dealing with a heavy thread load.","https://github.com/liquibase/liquibase/issues/2248","2021-12/3","null"
"DerbyDatabase.getDefaultDriver() returns liquibase.repackaged.org.apache.derby.jdbc.EmbeddedDriver","https://github.com/liquibase/liquibase/issues/2251","2021-12/3","2022-1/20"
"`catalogName` does nothing for PostgreSQL","https://github.com/liquibase/liquibase/issues/2253","2021-12/5","2022-8/16"
"Support dataType for createSequence on DB2LUW","https://github.com/liquibase/liquibase/issues/2254","2021-12/6","null"
"SkipMissingChangelogsSpringLiquibase","https://github.com/liquibase/liquibase/issues/2256","2021-12/8","null"
"Breaking change on how the file name is calculated hence how the checksum is calculated","https://github.com/liquibase/liquibase/issues/2259","2021-12/9","2022-7/7"
"Drop of multiple columns should be generated as single statement","https://github.com/liquibase/liquibase/issues/2260","2021-12/9","null"
"insert dynamic value","https://github.com/liquibase/liquibase/issues/2266","2021-12/12","2021-12/22"
"SQLite databases cannot handle rollbacks which involve dropping a foreign key","https://github.com/liquibase/liquibase/issues/2267","2021-12/13","2022-7/18"
"DATABASECHANGELOG does not have PK on MySQL ","https://github.com/liquibase/liquibase/issues/2271","2021-12/14","null"
"Fix UniqueConstraintSnapshotGenerator for Oracle","https://github.com/liquibase/liquibase/issues/2274","2021-12/14","2022-6/6"
"Liquibase Mac Installer Issue","https://github.com/liquibase/liquibase/issues/2275","2021-12/14","2022-4/4"
"UnexpectedLiquibaseException when dropping database objects using the latest H2 version","https://github.com/liquibase/liquibase/issues/2278","2021-12/16","2021-12/29"
"Additional unfixed issues with relativeToChangelogfile + logicalFilePath","https://github.com/liquibase/liquibase/issues/2281","2021-12/17","null"
"It is no longer possible to create calculated columns on mssql","https://github.com/liquibase/liquibase/issues/2283","2021-12/20","2022-2/14"
"Liquibase PRO generateChangeLog produces incorrect SQL for IBM DB2 LONG VARCHAR data type","https://github.com/liquibase/liquibase/issues/2284","2021-12/20","2022-1/7"
"Does it support the application scenario of sub-database and sub-table?","https://github.com/liquibase/liquibase/issues/2294","2021-12/23","2022-2/7"
"DATABASECHANGELOGLOCK created multiple times in updateSQL mode","https://github.com/liquibase/liquibase/issues/2295","2021-12/23","2022-1/24"
"Nested changelog property calls do not work in case of repetition/looping","https://github.com/liquibase/liquibase/issues/2296","2021-12/23","null"
"CLI snapshot command does not accept 'schemas' attribute","https://github.com/liquibase/liquibase/issues/2297","2021-12/23","2022-6/3"
"ServletListener not running after upgrade to ""jakarta"" servlet packages","https://github.com/liquibase/liquibase/issues/2298","2021-12/24","2022-3/10"
"Warning logged by liquibase.Liquibase.getDatabaseChangeLog(Liquibase.java:369) when classpath contains wildcards","https://github.com/liquibase/liquibase/issues/2299","2021-12/27","null"
"Mysql PK Column Remark removes AUTO_INCREMENT","https://github.com/liquibase/liquibase/issues/2301","2021-12/29","2022-4/21"
"Bugs","https://github.com/liquibase/liquibase/issues/2303","2021-12/29","2022-3/8"
"Support","https://github.com/liquibase/liquibase/issues/2304","2021-12/29","2022-3/8"
"RFE","https://github.com/liquibase/liquibase/issues/2305","2021-12/29","2022-3/8"
"H2Dialect shouldn't use MySQL-style syntax and other potential problems","https://github.com/liquibase/liquibase/issues/2306","2021-12/30","2022-8/1"
"Dependency Updates","https://github.com/liquibase/liquibase/issues/2307","2021-12/30","2022-3/8"
"update-sql output bloated with excess DATABASECHANGELOGLOCK table CREATE, DELETE and INSERT statements.","https://github.com/liquibase/liquibase/issues/2309","2022-1/3","2022-1/24"
"[Postgres] StandardLockManager does not work for parallel machines / Liquibase run with multiple instances in parallel lead to error messages (e.g. ""already exists"")","https://github.com/liquibase/liquibase/issues/2315","2022-1/4","null"
"PK on DATABASECHANGELOG","https://github.com/liquibase/liquibase/issues/2320","2022-1/4","2022-1/4"
"PK in DATABASECHANGELOG","https://github.com/liquibase/liquibase/issues/2321","2022-1/4","2022-3/8"
"Improving Developer Tests","https://github.com/liquibase/liquibase/issues/2322","2022-1/4","2022-3/8"
