"createdAt","closedAt","title","url"
"2021-6/21","null","Configurable shotcuts","https://github.com/xemu-project/xemu/issues/362"
"2021-6/21","2021-6/21","Change the game directly - whitout need to manually reset everytime","https://github.com/xemu-project/xemu/issues/363"
"2021-6/21","2022-6/10","[Assertion] (pg->draw_arrays_length < ARRAY_SIZE(pg->gl_draw_arrays_start))","https://github.com/xemu-project/xemu/issues/364"
"2021-6/21","null","Blackened Texture Issues and Documentation","https://github.com/xemu-project/xemu/issues/365"
"2021-6/21","2022-6/2","SSX On Tour crashes when trying to make it in-game","https://github.com/xemu-project/xemu/issues/366"
"2021-6/21","2022-1/9","NV097_SET_VERTEX_DATA4S_M is untested","https://github.com/xemu-project/xemu/issues/367"
"2021-6/21","2022-4/13","pgraph_update_surface_part Assertion","https://github.com/xemu-project/xemu/issues/368"
"2021-6/23","null","Show proper error message when failing to initialize","https://github.com/xemu-project/xemu/issues/370"
"2021-6/24","null","Add menu setting to choose the audio backend","https://github.com/xemu-project/xemu/issues/371"
"2021-6/27","2022-5/27","Metal Arms: Title Screen Assertions","https://github.com/xemu-project/xemu/issues/373"
"2021-6/28","null","Psychonaunts: Floating point execption crash","https://github.com/xemu-project/xemu/issues/374"
"2021-6/28","2022-6/26","Meta: Crashes from Malloc Issues","https://github.com/xemu-project/xemu/issues/375"
"2021-6/28","null"," Games which have currently unexplainable crashes","https://github.com/xemu-project/xemu/issues/376"
"2021-6/29","null","Xemu debug build updates to non debug","https://github.com/xemu-project/xemu/issues/377"
"2021-6/29","2021-6/30","ERROR:../ui/xemu.c:855:sdl2_display_very_early_init: assertion failed: (m_context != ((void *)0))","https://github.com/xemu-project/xemu/issues/378"
"2021-6/29","null","TEXGEN_OBJECT_LINEAR is Untested","https://github.com/xemu-project/xemu/issues/379"
"2021-6/29","null","[Assertion] segment_offset != 0","https://github.com/xemu-project/xemu/issues/380"
"2021-6/29","2022-6/2","Cold Fear: Crashes when open a door in the first level. Assert(glGetError() == GL_NO_ERROR)","https://github.com/xemu-project/xemu/issues/381"
"2021-6/29","2022-5/18","Murakumo: Renegade Mech Pursuit: Crash when going in-game","https://github.com/xemu-project/xemu/issues/382"
"2021-6/29","2022-6/2","Backyard Wrestling: Don't Try This at Home: Crash when going in-game","https://github.com/xemu-project/xemu/issues/383"
"2021-6/29","2021-7/7","[Regression]Project Gotham Racing 2: Crash when going in-game","https://github.com/xemu-project/xemu/issues/384"
"2021-6/29","2022-5/27","Marvel Nemesis: Rise of the Imperfects crashes with assertion  paddr + bytes_to_copy < memory_region_size(d->ram)","https://github.com/xemu-project/xemu/issues/385"
"2021-6/29","2021-11/12","Nobunaga no Yabou: Ranseiki: Crashes during intro(Needs retesting) ","https://github.com/xemu-project/xemu/issues/386"
"2021-6/30","2022-5/19","DreamWorks Madagascar: Crashes after Intro screen.","https://github.com/xemu-project/xemu/issues/387"
"2021-6/30","2021-12/2","[Regression] Kingdom Under Fire: The Crusaders: Crashes when start a new game","https://github.com/xemu-project/xemu/issues/388"
"2021-6/30","null","Adding missing peripherals ","https://github.com/xemu-project/xemu/issues/389"
"2021-7/1","null","Simulate network link status and events","https://github.com/xemu-project/xemu/issues/391"
"2021-7/1","null","nvnet ring index, size state vars possibly incorrect","https://github.com/xemu-project/xemu/issues/392"
"2021-7/2","2022-4/22","Star Wars - Knights of the Old Republic: Hangs at load screen","https://github.com/xemu-project/xemu/issues/393"
"2021-7/4","2022-1/8","Flatpak build","https://github.com/xemu-project/xemu/issues/396"
"2021-7/7","2022-2/5","Jet Set Radio Future: Map Bug","https://github.com/xemu-project/xemu/issues/397"
"2021-7/10","null","Metal Wolf Chaos: Texture Issues When Viewing Some Objects Up Close, From The Sides, Etc. ","https://github.com/xemu-project/xemu/issues/400"
