"['title']","['url']","['createdAt']","['closedAt']"
"Using the Monaco Editor in a browser without VSCode","https://github.com/microsoft/vscode/issues/446","2015-11","2016-6"
"Question: Is it possible to use IFrameEditor inside extensions?","https://github.com/microsoft/vscode/issues/447","2015-11","2015-11"
"Don't close Commands View on losing Focus","https://github.com/microsoft/vscode/issues/448","2015-11","2015-11"
"Problem matcher can't support absolute and relative filenames at the same time","https://github.com/microsoft/vscode/issues/449","2015-11","2019-6"
"Untitled Resource SaveAs should default to All Files (*.*)","https://github.com/microsoft/vscode/issues/450","2015-11","2015-12"
"Unable to save file without extension","https://github.com/microsoft/vscode/issues/451","2015-11","2015-12"
"Problem matcher severity handles ""Note"" and ""Hint"" as errors","https://github.com/microsoft/vscode/issues/452","2015-11","2017-5"
"Could vs code supports ES6 in <script></script>?","https://github.com/microsoft/vscode/issues/455","2015-11","2015-12"
"OSS Build - Failed to tokenize input error with certain languages","https://github.com/microsoft/vscode/issues/456","2015-11","2015-11"
"Php autocomplete issue","https://github.com/microsoft/vscode/issues/457","2015-11","2015-11"
"default lauch.json for new node app has empty configurations","https://github.com/microsoft/vscode/issues/458","2015-11","2015-11"
"Support user stylesheet(s) and user script(s)","https://github.com/microsoft/vscode/issues/459","2015-11","2018-1"
"Blinking cursor","https://github.com/microsoft/vscode/issues/460","2015-11","2015-12"
"Intellisense does not autocomplete modules in 'node_modules' folders.","https://github.com/microsoft/vscode/issues/462","2015-11","2016-11"
"how to focus cursors from extension api?","https://github.com/microsoft/vscode/issues/463","2015-11","2015-11"
"not working key-binding with JIS Keyboard","https://github.com/microsoft/vscode/issues/464","2015-11","2016-3"
"Split editor vertically and to more rows / columns","https://github.com/microsoft/vscode/issues/465","2015-11","2016-3"
"Trim trailing whitespaces on line with cursor when explicitly saving","https://github.com/microsoft/vscode/issues/466","2015-11","2015-12"
"what does this do? import 'vs/css!./media/workbench';","https://github.com/microsoft/vscode/issues/467","2015-11","2015-11"
"Replace does not work on mac","https://github.com/microsoft/vscode/issues/468","2015-11","2015-11"
"VsCode keeps freezing","https://github.com/microsoft/vscode/issues/469","2015-11","2015-11"
"""dnu restore"" tries to use ASP.NET beta3?","https://github.com/microsoft/vscode/issues/470","2015-11","2015-11"
"VSCode/OmniSharp looking for DNX runtime in wrong directory","https://github.com/microsoft/vscode/issues/471","2015-11","2015-12"
"No autocompletion from .d.ts files inside node_modules for JavaScript projects","https://github.com/microsoft/vscode/issues/474","2015-11","2016-3"
"git.path in user settings","https://github.com/microsoft/vscode/issues/477","2015-11","2015-11"
"[debug] Support to add launch configs after the fact","https://github.com/microsoft/vscode/issues/478","2015-11","2016-11"
"Cannot install extension behind NTLM proxy (Windows)","https://github.com/microsoft/vscode/issues/479","2015-11","2015-11"
"add cusor bug: ctrl+alt+up/down conflict with windows shortcut.","https://github.com/microsoft/vscode/issues/480","2015-11","2015-11"
"File watcher fails with chinese characters in path","https://github.com/microsoft/vscode/issues/481","2015-11","2015-11"
"Autocomplete doesn't work in .jsx-files","https://github.com/microsoft/vscode/issues/483","2015-11","2015-11"
"[Feature Request] SQF syntax highlighting","https://github.com/microsoft/vscode/issues/485","2015-11","2016-2"
"Source map debugging not working for built in extensions","https://github.com/microsoft/vscode/issues/486","2015-11","2016-8"
"[bat] Batch File Syntax highlighting not working on variables or comments.","https://github.com/microsoft/vscode/issues/487","2015-11","2016-1"
"Unicode characters show as question marks in method documentation hover window","https://github.com/microsoft/vscode/issues/488","2015-11","2016-1"
"[json] Support to contribute JSON schema from an extension","https://github.com/microsoft/vscode/issues/489","2015-11","2015-12"
"Support GitHub Desktop authentication","https://github.com/microsoft/vscode/issues/490","2015-11","2020-5"
