"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']"
"Add option to hide title bar in Zen Mode (even outside full screen mode)","2021-2","2021-8","2021-2",False,"null"
"Notebook selections/CellRange","2021-2","2021-2","2021-2",True,"2021-2"
"remove colon from git host in askpass arguments","2021-2","2021-2","2021-2",True,"2021-2"
"Removed optional message, and added modal parameter","2021-2","2021-2","2021-2",True,"2021-2"
"Remove code added to diagnose test only","2021-2","2021-2","2021-2",True,"2021-2"
"Enable terminal event batching from ptyHost","2021-2","2021-3","2021-2",True,"2021-3"
"Updating appending/updating output in Notebooks does not work as expected","2021-2","2021-2","2021-2",False,"null"
"Disable settings editor override","2021-2","2021-2","2021-2",False,"null"
"Encode pty host id into terminal id","2021-2","2021-2","2021-2",True,"2021-2"
"support ""text/html"" in script tag","2021-2","2021-2","2021-2",False,"null"
"fix microsoft/vscode#117095 de-duplicate reference results","2021-2","2021-3","2021-2",True,"2021-3"
"Improve handling of connection timeout limits","2021-2","2021-2","2021-2",True,"2021-2"
"clear terminal layout info on window close","2021-2","2021-2","2021-2",True,"2021-2"
"on last listener remove, schedule disconnect runner","2021-2","2021-2","2021-2",True,"2021-2"
"Merge pull request #1 from microsoft/main","2021-2","2021-2","2021-2",False,"null"
"Fixes #117537: Allow coping rich text when 'editor.fontFamily' has fallback fonts","2021-2","null","2021-2",False,"null"
"Fix file location pattern in eslint-stylish problem matcher","2021-2","2021-4","2021-2",True,"2021-4"
"don't relaunch hideFromUser terminals","2021-2","2021-2","2021-2",False,"null"
"don't relaunch hideFromUser terminals","2021-2","2021-2","2021-2",True,"2021-2"
"Do not finish editing while rerendering in explorer tree","2021-2","2021-8","2021-2",False,"null"
"Merge pull request #1 from microsoft/main","2021-2","2021-2","2021-2",False,"null"
"Improving task test flakiness","2021-2","2021-2","2021-2",False,"null"
"#117667 add a markup escape for filenames in error messages","2021-2","2021-8","2021-2",False,"null"
"Provide more specific file type descriptions on macOS","2021-2","2021-7","2021-2",True,"2021-7"
"Update marked to 2.0.0","2021-2","2021-2","2021-2",True,"2021-2"
"Remove focus handling on the xterm element","2021-2","2021-3","2021-2",True,"2021-3"
"fix #117718 fire onDidChangeResources event after unregistering group","2021-2","2021-3","2021-2",True,"2021-3"
"Reduce markdown preview flickering on scroll","2021-2","2021-2","2021-2",True,"2021-2"
"Merge pull request #1 from microsoft/main","2021-2","2021-2","2021-2",False,"null"
"Fixes long ouput with wrapped lines in narrow terminal crashes vscode","2021-2","2021-2","2021-2",True,"2021-2"
"Add comments to add java workspace tags to GDPR inventory","2021-2","2021-3","2021-2",True,"2021-3"
"fix the readonly attribute of textarea break the `vscode.workspace.onDidChangeTextDocument` API #117755","2021-2","2021-3","2021-2",True,"2021-3"
"Fixing emmet issue where incorrect abbreviation is displayed in an html file","2021-2","2021-3","2021-2",True,"2021-3"
"Remove exthost terminal processes","2021-2","2021-2","2021-2",True,"2021-2"
"Remove flow control setting","2021-2","2021-3","2021-2",True,"2021-3"
"Disable overrides in settings and keybindings","2021-2","2021-2","2021-2",True,"2021-2"
"Factor in workspace trust when switching versions","2021-2","2021-3","2021-2",True,"2021-3"
"[116761] Enable access to Web-* APIs in web extensions and webviews","2021-2","null","2021-2",False,"null"
"fix altClickMovesCursor setting description -> markdownDescription","2021-2","2021-2","2021-2",True,"2021-2"
"don't wrap path in quotes and escape spaces","2021-2","2021-2","2021-2",False,"null"
"Fix emmet update extensions path issue","2021-2","2021-3","2021-2",True,"2021-3"
"Only show `infer return type` refactoring when refactorings are requested","2021-2","2021-2","2021-2",True,"2021-2"
"Fixes #74505","2021-2","2021-3","2021-2",True,"2021-3"
"Add command 'explorer.selectedFiles' #3553","2021-2","2021-8","2021-2",False,"null"
"Fixes output filter field icon cannot be tabbed to, only shift-tabbed","2021-2","2021-3","2021-2",True,"2021-3"
"Fix focus outline oddly rendered for some action icons when panel is on the side","2021-2","2021-3","2021-2",True,"2021-3"
"Support for DataBreakpointAccessType condition","2021-2","2021-3","2021-2",True,"2021-3"
"Update seti-ui icon theme","2021-2","2021-3","2021-2",True,"2021-3"
"remove arbitrary 600 pixel limit on quick input widget","2021-3","null","2021-3",False,"null"
":up: nsfwatcher","2021-3","2021-3","2021-3",True,"2021-3"
"Implement shouldPersist for all terminals processes","2021-3","2021-3","2021-3",True,"2021-3"
"Prevent env var relaunch from extension owned terminals","2021-3","2021-3","2021-3",False,"null"
"TylerLeonhardt/issue117123","2021-3","2021-3","2021-3",True,"2021-3"
"Add 'prune' option to fetch in git extension API","2021-3","2021-3","2021-3",True,"2021-3"
"Fixes #117924","2021-3","2021-3","2021-3",True,"2021-3"
"add telemetry enablement api","2021-3","2021-3","2021-3",True,"2021-3"
"Emmet: Change the type of emmet extensions path","2021-3","2021-3","2021-3",True,"2021-3"
"Mark selected markdown previews in notebooks","2021-3","2021-3","2021-3",True,"2021-3"
"Make the backlayer webview span the full width of the notebook editor","2021-3","2021-3","2021-3",True,"2021-3"
"Fix extension's readme not rendering images width and height","2021-3","2021-3","2021-3",True,"2021-3"
