"['title']","['url']","['createdAt']","['closedAt']"
"Water mesh logic where?","https://github.com/MovingBlocks/Terasology/issues/1914","2015-8/30","null"
"Map preview crash","https://github.com/MovingBlocks/Terasology/issues/1917","2015-8/30","2018-6/18"
"Issues on the join server custom screen related to the server entries","https://github.com/MovingBlocks/Terasology/issues/1918","2015-8/30","2015-10/31"
"gdf","https://github.com/MovingBlocks/Terasology/issues/1920","2015-9/1","2015-9/1"
"zero","https://github.com/MovingBlocks/Terasology/issues/1921","2015-9/1","2015-9/1"
"ghfhfjfghfghn","https://github.com/MovingBlocks/Terasology/issues/1922","2015-9/1","2015-9/1"
"Copying Components fails for some class names","https://github.com/MovingBlocks/Terasology/issues/1924","2015-9/2","2015-9/28"
"Implement rotated texture drawing [$5]","https://github.com/MovingBlocks/Terasology/issues/1926","2015-9/9","null"
"Game not working","https://github.com/MovingBlocks/Terasology/issues/1928","2015-9/12","2015-9/24"
"Performance issue when auto-save triggers in constrained memory situations","https://github.com/MovingBlocks/Terasology/issues/1929","2015-9/13","null"
"fggd","https://github.com/MovingBlocks/Terasology/issues/1932","2015-9/13","2015-9/13"
"Crash while pressing F12","https://github.com/MovingBlocks/Terasology/issues/1933","2015-9/16","2015-9/16"
"Fail when detecting ambiguous asset references","https://github.com/MovingBlocks/Terasology/issues/1936","2015-9/17","null"
"Make size of name tags adjustable","https://github.com/MovingBlocks/Terasology/issues/1937","2015-9/19","2015-9/20"
"Usability tweak for meta-server module scan: ad-hoc instead of auto","https://github.com/MovingBlocks/Terasology/issues/1940","2015-9/20","2015-10/11"
"Part of debug text originates from server?","https://github.com/MovingBlocks/Terasology/issues/1942","2015-9/20","null"
"Support complex components","https://github.com/MovingBlocks/Terasology/issues/1945","2015-9/23","2015-9/30"
"A fatal error occured while the game was booting up","https://github.com/MovingBlocks/Terasology/issues/1949","2015-9/26","2015-9/26"
"Poorly configured music asset can crash the game","https://github.com/MovingBlocks/Terasology/issues/1955","2015-10/3","2015-10/31"
"Players shouldn't be able to pick an empty name","https://github.com/MovingBlocks/Terasology/issues/1957","2015-10/4","2015-10/7"
"java.lang.IllegalStateException: Data is not an array","https://github.com/MovingBlocks/Terasology/issues/1960","2015-10/4","2015-10/11"
"Crash on exit.","https://github.com/MovingBlocks/Terasology/issues/1964","2015-10/8","2015-10/8"
"OpenGLTexture related game crash on exit to main menu","https://github.com/MovingBlocks/Terasology/issues/1965","2015-10/8","null"
"Crash on light merging when on multiplayer","https://github.com/MovingBlocks/Terasology/issues/1969","2015-10/10","2016-10/7"
"Able to run modules with same version but different code while connected to a server","https://github.com/MovingBlocks/Terasology/issues/1970","2015-10/11","null"
"Apply improved spawning algorithm to Perlin (and others?)","https://github.com/MovingBlocks/Terasology/issues/1973","2015-10/11","2016-6/21"
"Ship wiki as game manual with Omega distribution? Other Git submodule potential?","https://github.com/MovingBlocks/Terasology/issues/1974","2015-10/12","null"
"Documentation overhaul","https://github.com/MovingBlocks/Terasology/issues/1975","2015-10/12","2020-10/11"
"Crash with JoshariasSurvival when connected to minnesotags' server - sync between server/client?","https://github.com/MovingBlocks/Terasology/issues/1976","2015-10/12","2015-12/17"
"Review module versions considering engine has gone v1.0.0 and the game Alpha","https://github.com/MovingBlocks/Terasology/issues/1977","2015-10/12","null"
"kjlk","https://github.com/MovingBlocks/Terasology/issues/1980","2015-10/15","2015-10/16"
"Update Pre-alpha to Alpha in various places","https://github.com/MovingBlocks/Terasology/issues/1981","2015-10/16","2016-1/3"
"Crash error during world gen for Cities/Light & Shadow","https://github.com/MovingBlocks/Terasology/issues/1986","2015-10/22","2015-10/31"
"Crash upon Windows 10 networking security prompt completion","https://github.com/MovingBlocks/Terasology/issues/1987","2015-10/23","2015-10/23"
"""auto"" blocks unavailable via in-game console, blocks also missing from listBlocks [$5 awarded]","https://github.com/MovingBlocks/Terasology/issues/1988","2015-10/24","2016-10/12"
"Crashing at start","https://github.com/MovingBlocks/Terasology/issues/1990","2015-10/25","2015-10/25"
"Water bug makes you swim in the air","https://github.com/MovingBlocks/Terasology/issues/1995","2015-10/28","2015-11/4"
"Terasology","https://github.com/MovingBlocks/Terasology/issues/1997","2015-10/29","2015-11/1"
"Crash after generating new world","https://github.com/MovingBlocks/Terasology/issues/1998","2015-10/29","2015-10/31"
"Rendering issue with engine:trimmedLoweredCube","https://github.com/MovingBlocks/Terasology/issues/1999","2015-10/31","null"
"Failed launch - Pathfinder test world crashes","https://github.com/MovingBlocks/Terasology/issues/2003","2015-10/31","2016-8/27"
"Render mesh subgroups with different material [$5]","https://github.com/MovingBlocks/Terasology/issues/2006","2015-11/8","null"
"Terasology was crush, if I load it with a some module.","https://github.com/MovingBlocks/Terasology/issues/2008","2015-11/9","2015-11/13"
"Java package structure review prior to v1.0.0 + maybe some package-level Javadoc","https://github.com/MovingBlocks/Terasology/issues/2010","2015-11/15","2016-2/28"
"trimmedLoweredCube shape and water rendering (maybe larger hard coded rendering issue)","https://github.com/MovingBlocks/Terasology/issues/2012","2015-11/19","2018-10/4"
"Terasology crashes on startup","https://github.com/MovingBlocks/Terasology/issues/2013","2015-11/19","2015-11/19"
"org.terasology.registry.CoreRegistry get method inconsistency (possible software fault)","https://github.com/MovingBlocks/Terasology/issues/2014","2015-11/20","2015-11/26"
"Remaining TeraMath refactoring","https://github.com/MovingBlocks/Terasology/issues/2019","2015-11/23","2015-12/29"
"Needs a .jar release for better portability","https://github.com/MovingBlocks/Terasology/issues/2021","2015-11/23","2015-11/23"
"Add dimensions to view distance naming and enhance further","https://github.com/MovingBlocks/Terasology/issues/2028","2015-11/27","2016-11/30"
"Main menu fails to display special characters (Polish example)","https://github.com/MovingBlocks/Terasology/issues/2029","2015-11/27","2015-12/6"
"Game log files for server play lack a world name component","https://github.com/MovingBlocks/Terasology/issues/2030","2015-11/28","2016-2/27"
"Terasology crashes","https://github.com/MovingBlocks/Terasology/issues/2032","2015-12/2","2015-12/20"
"Build Crash: dependencies for :engine : 502 Bad Gateway","https://github.com/MovingBlocks/Terasology/issues/2033","2015-12/4","2015-12/4"
"Final bit of font tweaking","https://github.com/MovingBlocks/Terasology/issues/2042","2015-12/6","2015-12/8"
"Clear out remaining (old) deprecations","https://github.com/MovingBlocks/Terasology/issues/2043","2015-12/6","null"
"Block or rename the ""run"" Gradle task for the TeraEd facade","https://github.com/MovingBlocks/Terasology/issues/2045","2015-12/8","2015-12/12"
"Disable Jenkins test report comments on GitHub","https://github.com/MovingBlocks/Terasology/issues/2052","2015-12/12","null"
"Easier way to run game at minimal settings / visual guide ","https://github.com/MovingBlocks/Terasology/issues/2058","2015-12/13","2019-10/16"
"Follow-up tweaks for input mappings (PR #2060)","https://github.com/MovingBlocks/Terasology/issues/2064","2015-12/15","2016-1/19"
"Various causes for chunk generator threads dying","https://github.com/MovingBlocks/Terasology/issues/2066","2015-12/16","2015-12/19"
"Odd crash in multiplayer","https://github.com/MovingBlocks/Terasology/issues/2067","2015-12/17","2016-10/8"
"Reorder menu screens","https://github.com/MovingBlocks/Terasology/issues/2068","2015-12/17","2018-6/18"
"Behavior tree renovation / documentation [$100]","https://github.com/MovingBlocks/Terasology/issues/2070","2015-12/18","2017-9/2"
