"createdAt","closedAt","title","url"
"2019-6/16","null","'entityManager.getEntitiesWith(ClientComponent.class)' not working on Remote Clients","https://github.com/MovingBlocks/Terasology/issues/3693"
"2019-6/23","2019-6/29","Game crashes with Master of Oreon","https://github.com/MovingBlocks/Terasology/issues/3694"
"2019-6/28","2019-7/15","for PR #3680 enable BufferPairs passing","https://github.com/MovingBlocks/Terasology/issues/3696"
"2019-7/14","null","MultiWorld not working when I load a save game","https://github.com/MovingBlocks/Terasology/issues/3700"
"2019-7/15","null","Allow Blocks to have layered tiles","https://github.com/MovingBlocks/Terasology/issues/3703"
"2019-7/30","null","Biome Loading Error","https://github.com/MovingBlocks/Terasology/issues/3714"
"2019-8/13","2019-8/13","crash upon startup","https://github.com/MovingBlocks/Terasology/issues/3722"
"2019-8/16","null","External API Whitelist Review","https://github.com/MovingBlocks/Terasology/issues/3725"
"2019-8/20","null","Add Terasology Twitch Listing","https://github.com/MovingBlocks/Terasology/issues/3728"
"2019-8/20","2019-9/4","Rename ExternalApiWhitelist to ExternalApiAllowlist","https://github.com/MovingBlocks/Terasology/issues/3729"
"2019-8/23","null","Feature: Save per-game rendering config. PR #3680 / #3732 followup","https://github.com/MovingBlocks/Terasology/issues/3731"
"2019-9/5","2019-11/4","javafx.fxml.LoadException crash on startup","https://github.com/MovingBlocks/Terasology/issues/3736"
"2019-9/7","null","The Great Module Audit and Merge-athon v2.0!","https://github.com/MovingBlocks/Terasology/issues/3737"
"2019-9/7","2020-9/19","Shutdown halts while shutting down subsystems","https://github.com/MovingBlocks/Terasology/issues/3738"
"2019-9/8","null","StackOverflow possible with circular references in prefabs","https://github.com/MovingBlocks/Terasology/issues/3739"
"2019-9/8","2019-10/17","Trees in JoshariasSurvival are broken, yet same worldgen in plain Core is fine. BiomesAPI quirk?","https://github.com/MovingBlocks/Terasology/issues/3740"
"2019-9/8","2020-3/29","Harden 'search' command against malformed assets","https://github.com/MovingBlocks/Terasology/issues/3741"
"2019-9/8","2019-9/29","Game does not launch","https://github.com/MovingBlocks/Terasology/issues/3742"
"2019-9/21","2019-9/22","Launcher failed to start","https://github.com/MovingBlocks/Terasology/issues/3744"
"2019-9/28","2019-10/6","Can't run game with ""./gradlew game""","https://github.com/MovingBlocks/Terasology/issues/3745"
"2019-10/1","2019-10/6","Improper stair collision; cannot climb stair without full block underneath it","https://github.com/MovingBlocks/Terasology/issues/3746"
"2019-10/2","null","TypeRegistry `.useParallelExecutor()`","https://github.com/MovingBlocks/Terasology/issues/3750"
"2019-10/7","2019-10/14","Migrate LGTM.com installation from OAuth to GitHub App","https://github.com/MovingBlocks/Terasology/issues/3753"
"2019-10/10","null","Improve Game Details screen, such as BiomesAPI compatibility","https://github.com/MovingBlocks/Terasology/issues/3756"
"2019-10/12","2019-10/26","Game Crashed(Survival)","https://github.com/MovingBlocks/Terasology/issues/3758"
"2019-10/14","null","Non-fatal error in BlockFamily when registering ""engine:unloaded""","https://github.com/MovingBlocks/Terasology/issues/3759"
"2019-10/16","null","Feature: Possibility to search for LAN games","https://github.com/MovingBlocks/Terasology/issues/3760"
