"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"Ping","2017-1/29","2017-2/29","2017-1/29",True,"2017-2/29",6,109,13
"Remove Arabic - no translation present","2017-1/29","2017-2/29","2017-1/29",False,"null",3,0,229
"Fix NUI editor issues","2017-1/30","2017-2/30","2017-1/30",True,"2017-2/30",3,42,20
"Full Czech translation","2017-1/31","2017-2/31","2017-1/31",True,"2017-2/31",4,197,136
"Fixed CreditsScreen","2017-1/31","2017-2/31","2017-1/31",True,"2017-2/31",4,5,0
"CrashReporter improvement : IssueReporter ?","2017-2/7","2017-7/7","2017-2/7",True,"2017-7/7",8,3,3
"Full and updated/fixed french language","2017-2/8","2017-2/8","2017-2/8",True,"2017-2/8",4,91,29
"Added @API to NotificationMessageEvent","2017-2/10","2017-2/10","2017-2/10",True,"2017-2/10",3,3,0
"Weblate","2017-2/11","2017-2/11","2017-2/11",False,"null",6,289,15
"Add an exclusion list for unready languages to the player settings","2017-2/11","2017-2/11","2017-2/11",True,"2017-2/11",3,9,0
"Work on render nodes: exposure and bloom","2017-2/11","2017-2/11","2017-2/11",True,"2017-2/11",5,580,461
"Extract and Overhaul inventory","2017-2/15","2017-5/15","2017-2/15",False,"null",6,626,6764
"OpenVR motion controller gameplay through controller button API and e…","2017-2/19","2017-4/19","2017-2/19",True,"2017-4/19",6,459,27
"Renderer work on camera-related StateChanges","2017-2/19","2017-2/19","2017-2/19",True,"2017-2/19",4,568,31
"Fixed auto movement","2017-2/22","2017-2/22","2017-2/22",True,"2017-2/22",4,85,35
"Ping to all clients","2017-2/22","2017-3/22","2017-2/22",True,"2017-3/22",7,441,13
"Fix for Issue 2800","2017-2/24","2017-2/24","2017-2/24",True,"2017-2/24",3,9,0
"Head underwater check function moved (following to-do comment in-code)","2017-3/1","2017-3/1","2017-3/1",True,"2017-3/1",4,69,54
"Modify ""say"" and ""whisper"" so that it sends a whole sentence","2017-3/4","2017-3/4","2017-3/4",True,"2017-3/4",4,23,8
"Revert #2672, fixing #2788 and part of #2804, but bringing back #2605","2017-3/5","2017-3/5","2017-3/5",True,"2017-3/5",2,44,91
"Add UIText.hintText","2017-3/5","2017-3/5","2017-3/5",True,"2017-3/5",4,189,77
"Add damage type and instigator to death screen","2017-3/6","2017-5/6","2017-3/6",True,"2017-5/6",5,96,6
"Use client-side entity for held item, fixes #2605","2017-3/6","2017-7/6","2017-3/6",True,"2017-7/6",5,48,38
"Fix inactive controller inputs being consumed","2017-3/6","2017-3/6","2017-3/6",True,"2017-3/6",3,3,0
"fixed singlePlayer and multiPlayer screen disappearance after enabling Animated Menus option","2017-3/6","2017-3/6","2017-3/6",True,"2017-3/6",5,1,0
"Screenshot hotkey, Console ignores repeated commands","2017-3/7","2017-3/7","2017-3/7",True,"2017-3/7",5,42,18
"fixed #2429 Previewing a world breaks world preview for remainder of game session","2017-3/8","2017-3/8","2017-3/8",True,"2017-3/8",3,3,3
"Remove UIInputBindButton from default.skin","2017-3/9","2017-3/9","2017-3/9",True,"2017-3/9",4,0,27
"Improvement for say command","2017-3/10","2017-3/10","2017-3/10",True,"2017-3/10",4,7,10
"Fix headless server build","2017-3/11","2017-3/11","2017-3/11",True,"2017-3/11",4,9,3
"Removed CTS dependency. Issue - #1126. [WIP]","2017-3/12","2017-7/12","2017-3/12",False,"null",4,223,17
"Cancel velocity on teleport","2017-3/12","2019-6/12","2017-3/12",False,"null",6,39,1
"Fixed crash when loading incorrect prefabs","2017-3/14","2017-3/14","2017-3/14",True,"2017-3/14",4,13,1
"Moved task classes under StateChange classes that generate them","2017-3/14","2017-3/14","2017-3/14",True,"2017-3/14",4,406,728
"Removal of Default FBOs Enum","2017-3/17","2017-3/17","2017-3/17",True,"2017-3/17",4,352,515
