"createdAt","closedAt","title","url"
"2018-4/24","null","keyboard shortcuts should be more visible in the GUI","https://github.com/NatronGitHub/Natron/issues/101"
"2018-4/24","2020-1/5","Live read node","https://github.com/NatronGitHub/Natron/issues/102"
"2018-4/24","null","Nodegraph: Select nodes with similar classes ","https://github.com/NatronGitHub/Natron/issues/103"
"2018-4/24","null","re-timing / interpolation","https://github.com/NatronGitHub/Natron/issues/104"
"2018-4/24","null","MetaData ","https://github.com/NatronGitHub/Natron/issues/105"
"2018-4/24","null","alignment, possible?","https://github.com/NatronGitHub/Natron/issues/106"
"2018-4/24","null","Group Node: parent - child expand/collapse feature","https://github.com/NatronGitHub/Natron/issues/107"
"2018-4/24","null","Should NodeGraph be rewritten to use OpenGL instead of QGraphics framework?","https://github.com/NatronGitHub/Natron/issues/108"
"2018-4/24","null","Auto Offset for adding & removing nodes","https://github.com/NatronGitHub/Natron/issues/109"
"2018-4/24","null","Color Temperature Correction... available?","https://github.com/NatronGitHub/Natron/issues/110"
"2018-4/24","null","Add keystrokes for many actions (especially in the viewer)","https://github.com/NatronGitHub/Natron/issues/111"
"2018-4/24","null","UI: Add a badge/colored line on the bottom of nodes that get cached","https://github.com/NatronGitHub/Natron/issues/112"
"2018-4/24","null","Full SMPTE timecode values: Request for FFMpeg videos","https://github.com/NatronGitHub/Natron/issues/113"
"2018-4/24","null","Give the timeline it's own panel","https://github.com/NatronGitHub/Natron/issues/114"
"2018-4/24","null","Natron As a Python Module (enhancement)","https://github.com/NatronGitHub/Natron/issues/115"
"2018-4/24","null","CurveTool","https://github.com/NatronGitHub/Natron/issues/116"
"2018-4/24","null","Show Out of Range Pixels (Enhancement)","https://github.com/NatronGitHub/Natron/issues/117"
"2018-4/24","null","Merge3D node ","https://github.com/NatronGitHub/Natron/issues/118"
"2018-4/24","null","Chinese Language or Unicode Charset Support?","https://github.com/NatronGitHub/Natron/issues/119"
"2018-4/24","null","Curves modifiers","https://github.com/NatronGitHub/Natron/issues/120"
"2018-4/24","null","Properties panel / node info: unconnected clips should appear too","https://github.com/NatronGitHub/Natron/issues/121"
"2018-4/24","null","Linux: using NatronSetup from CLI, without a Gui","https://github.com/NatronGitHub/Natron/issues/122"
"2018-4/24","null","Curve editor: freehand curve sketching","https://github.com/NatronGitHub/Natron/issues/123"
"2018-4/24","null","[wishlist] support for VapourSynth filters/plugins/scripts in Natron","https://github.com/NatronGitHub/Natron/issues/124"
"2018-4/24","null","Enhancement:  Retime bounce,loop,hold,black","https://github.com/NatronGitHub/Natron/issues/125"
"2018-4/24","null","Render inidividual and ranges using write node in gui","https://github.com/NatronGitHub/Natron/issues/126"
"2018-4/24","null","When the project lock file belongs to a non-existing process on the current host, steal the lock","https://github.com/NatronGitHub/Natron/issues/127"
