"['title']","['url']","['createdAt']","['closedAt']"
"(Typo): spelling errors found","https://github.com/NatronGitHub/Natron/issues/759","2022-1/25","2022-1/26"
"(Bug): PyPlug overlay/interact missing in 2.4.3","https://github.com/NatronGitHub/Natron/issues/762","2022-1/27","2022-1/29"
"(Bug): cannot translate roto shapes (x coord is reset)","https://github.com/NatronGitHub/Natron/issues/763","2022-1/29","2022-1/29"
"(Feature): Application Theming","https://github.com/NatronGitHub/Natron/issues/767","2022-2/12","null"
"(Bug): Issue with roto masking","https://github.com/NatronGitHub/Natron/issues/768","2022-2/15","2022-2/16"
"(Feature): outputFormat Width & Height must be made available as parameters","https://github.com/NatronGitHub/Natron/issues/769","2022-2/16","null"
"(Bug): Small toolbar icons on HiDPI displays (Linux)","https://github.com/NatronGitHub/Natron/issues/770","2022-2/16","null"
"(Request): Natron and ffmpeg5","https://github.com/NatronGitHub/Natron/issues/771","2022-2/17","2022-2/18"
"(Bug): Natron Linux builds use obsolete libcrypt","https://github.com/NatronGitHub/Natron/issues/772","2022-2/18","2022-2/18"
"Cannot render prores 4444 xq","https://github.com/NatronGitHub/Natron/issues/773","2022-3/4","2022-3/4"
"(Feature): Natron read node frame rate default","https://github.com/NatronGitHub/Natron/issues/775","2022-3/17","2022-3/17"
"(Bug): ","https://github.com/NatronGitHub/Natron/issues/776","2022-3/17","2022-3/18"
"(Bug):  Python can't test oneNode == another node","https://github.com/NatronGitHub/Natron/issues/777","2022-3/19","null"
"My timeline looks goofy in Linux Mint","https://github.com/NatronGitHub/Natron/issues/778","2022-4/3","2022-4/3"
"(Bug): check why OpenGL rendering is disabled in NatronRenderer","https://github.com/NatronGitHub/Natron/issues/779","2022-4/5","2022-6/28"
"(Feature): Set Curving of Node Connectors","https://github.com/NatronGitHub/Natron/issues/780","2022-4/9","null"
"(Feature): Chromatic Aberration Node","https://github.com/NatronGitHub/Natron/issues/781","2022-4/12","2022-4/12"
"Garbled words appear in the setup","https://github.com/NatronGitHub/Natron/issues/782","2022-4/16","2022-4/16"
"(Feature): Shortcut Tooltip","https://github.com/NatronGitHub/Natron/issues/783","2022-4/20","null"
"(Feature): Add an option called ""Replace With""","https://github.com/NatronGitHub/Natron/issues/784","2022-4/29","null"
"(Bug): I am completely unable to save a project","https://github.com/NatronGitHub/Natron/issues/785","2022-5/1","2022-5/1"
"(Bug): Render Output Looks Low Quality","https://github.com/NatronGitHub/Natron/issues/786","2022-5/3","null"
