"createdAt","closedAt","title","url"
"2017-10/6","2018-7/9","Improve accuracy in the statistics apps","https://github.com/numworks/epsilon/issues/195"
"2017-10/8","2018-8/24","Exam LED not blinking when not processing events","https://github.com/numworks/epsilon/issues/196"
"2017-10/9","2018-2/18","sets deprecated?","https://github.com/numworks/epsilon/issues/197"
"2017-10/9","2017-11/6","Font size is too small","https://github.com/numworks/epsilon/issues/198"
"2017-10/9","2017-11/6","Land on the calculation app after power on","https://github.com/numworks/epsilon/issues/199"
"2017-10/9","2017-11/6","calculus history","https://github.com/numworks/epsilon/issues/200"
"2017-10/10","2022-11/25","poincare inside Python?","https://github.com/numworks/epsilon/issues/201"
"2017-10/10","2018-1/5","[Bug] derivative of absolute value","https://github.com/numworks/epsilon/issues/202"
"2017-10/10","2018-2/18","epsilon-build-related python script issue: python 3.6","https://github.com/numworks/epsilon/issues/203"
"2017-10/11","2017-12/5","Imprecision in ""Calculation"" due to rounding","https://github.com/numworks/epsilon/issues/206"
"2017-10/11","2017-12/5","Imprecision in ""Calculations"" for a square root to square","https://github.com/numworks/epsilon/issues/207"
"2017-10/15","2018-2/3","Calculator hangs when calculating complex integral","https://github.com/numworks/epsilon/issues/209"
"2017-10/16","2017-10/20","bad types on compilation","https://github.com/numworks/epsilon/issues/211"
"2017-10/19","2017-10/20","Compilation warnings","https://github.com/numworks/epsilon/issues/213"
"2017-10/20","2017-12/21","Unable to make a recurrent sequence of the first term U_1","https://github.com/numworks/epsilon/issues/217"
"2017-10/21","2017-10/25","unable to treat dependent series","https://github.com/numworks/epsilon/issues/218"
"2017-10/21","null","analyze series","https://github.com/numworks/epsilon/issues/219"
"2017-10/24","2017-12/5","precision issue","https://github.com/numworks/epsilon/issues/220"
"2017-10/24","2017-10/24","Need some help compiling a new app","https://github.com/numworks/epsilon/issues/222"
"2017-10/24","2017-10/24","After adding an app, the Python app disappears","https://github.com/numworks/epsilon/issues/223"
"2017-10/24","2017-11/6","Should deleteCharPrecedingCursor() be private?","https://github.com/numworks/epsilon/issues/226"
"2017-10/26","2017-11/6","format the result's display","https://github.com/numworks/epsilon/issues/228"
"2017-10/26","2017-11/1","Problems while building the web simulator","https://github.com/numworks/epsilon/issues/229"
"2017-10/27","2022-11/25","[enhancement] to the infinity and beyond ","https://github.com/numworks/epsilon/issues/230"
"2017-10/27","2017-12/5","screen overflow in Python app","https://github.com/numworks/epsilon/issues/231"
"2017-11/1","2017-12/7","bug in the coordinates display","https://github.com/numworks/epsilon/issues/232"
"2017-11/6","2018-11/23","infinity and multiplication","https://github.com/numworks/epsilon/issues/234"
"2017-11/10","2017-11/11","Glitchy graph","https://github.com/numworks/epsilon/issues/235"
"2017-11/10","2018-5/24","Pows: inconsistancy","https://github.com/numworks/epsilon/issues/236"
"2017-11/11","2017-12/5","Python: need full error message","https://github.com/numworks/epsilon/issues/237"
"2017-11/15","2017-12/6","invalid characters on windows simulator","https://github.com/numworks/epsilon/issues/240"
"2017-11/15","2018-5/24","Graph: Y-auto doesn't play well with a vertical asympote","https://github.com/numworks/epsilon/issues/241"
"2017-11/15","2019-10/7","windows simulator: crash when running python","https://github.com/numworks/epsilon/issues/242"
"2017-11/17","2017-11/17","Search for graphic intersections between two functions","https://github.com/numworks/epsilon/issues/244"
"2017-12/2","2017-12/5","Error running sdk","https://github.com/numworks/epsilon/issues/245"
"2017-12/5","2017-12/5","Select previous results containing ""ans""","https://github.com/numworks/epsilon/issues/250"
"2017-12/6","2018-11/23","matrix assignment","https://github.com/numworks/epsilon/issues/253"
"2017-12/6","2017-12/8","inverse(3) ?","https://github.com/numworks/epsilon/issues/254"
"2017-12/6","2017-12/6","Matrix 1x1 doesn't exist ?","https://github.com/numworks/epsilon/issues/255"
"2017-12/6","2017-12/6","The matrix input is not pleasant","https://github.com/numworks/epsilon/issues/256"
"2017-12/6","2022-6/6","int(e^(-x^2),0,10000) gives a false result","https://github.com/numworks/epsilon/issues/258"
"2017-12/6","null","Python console: support _","https://github.com/numworks/epsilon/issues/259"
"2017-12/7","2017-12/7","Hovering precision item in result formatting menu prevent to select a formatting type","https://github.com/numworks/epsilon/issues/264"
"2017-12/7","null","Always show ≈ when result is rounded","https://github.com/numworks/epsilon/issues/265"
"2017-12/7","2017-12/12","windows simulator: Assert error apps/i18n.cpp:2437 and Toolbox title ""Zoom :""","https://github.com/numworks/epsilon/issues/267"
"2017-12/7","2017-12/8","Error when computing the GCD of big integers","https://github.com/numworks/epsilon/issues/268"
"2017-12/8","2017-12/21","It's not possible to type a single quote","https://github.com/numworks/epsilon/issues/276"
"2017-12/10","2018-2/1","≈ is always used on scientific mode","https://github.com/numworks/epsilon/issues/278"
"2017-12/11","2018-1/23","Integer factorization","https://github.com/numworks/epsilon/issues/279"
"2017-12/14","2017-12/14","Logarithms with bases different from 10","https://github.com/numworks/epsilon/issues/282"
"2017-12/16","2017-12/20","unexpected reset","https://github.com/numworks/epsilon/issues/286"
"2017-12/26","2017-12/27","[apps/settings] Reducing languages number makes app crash","https://github.com/numworks/epsilon/issues/293"
"2017-12/27","2019-5/17","simplify fraction","https://github.com/numworks/epsilon/issues/294"
"2018-1/3","2018-2/1","keyboard repeat too fast","https://github.com/numworks/epsilon/issues/303"
"2018-1/8","2018-4/3","Typo at online simulator","https://github.com/numworks/epsilon/issues/308"
"2018-1/8","2018-1/16","(3-i)^2+6i gives the wrong result","https://github.com/numworks/epsilon/issues/310"
"2018-1/23","2018-5/24","Emulator : Can't compute binomial law with n=100 (revert to n=10)","https://github.com/numworks/epsilon/issues/318"
"2018-1/24","2018-11/23","IEEE 754 not fully recognized","https://github.com/numworks/epsilon/issues/320"
