"['title']","['url']","['createdAt']","['closedAt']"
"Incorrect baseline alignment in the solver app","https://github.com/numworks/epsilon/issues/1520","2020-4/14","null"
"Can't Compile","https://github.com/numworks/epsilon/issues/1524","2020-4/15","2020-4/15"
"Add y = ax model in the Regression app","https://github.com/numworks/epsilon/issues/1529","2020-4/21","2020-5/13"
"Display the coefficient of determination R2 for all the regression models","https://github.com/numworks/epsilon/issues/1530","2020-4/21","2020-11/5"
"Add a row to the regression table to show the full regressed function","https://github.com/numworks/epsilon/issues/1532","2020-4/21","2021-6/22"
"Proper handling of colors in Python","https://github.com/numworks/epsilon/issues/1533","2020-4/23","2020-7/8"
"Setting interval without confirming it shouldn't recompute","https://github.com/numworks/epsilon/issues/1539","2020-5/2","2020-7/29"
"asin(sin(X)) for large number X in radian mode cannot be reduced/simplified","https://github.com/numworks/epsilon/issues/1541","2020-5/4","2020-11/5"
"Row Reduced Echelon Form (RREF)","https://github.com/numworks/epsilon/issues/1543","2020-5/5","2020-11/5"
"Use external Flash chip for storage","https://github.com/numworks/epsilon/issues/1547","2020-5/10","null"
"Essential unit prefixes used in electronics engineering are missing","https://github.com/numworks/epsilon/issues/1549","2020-5/11","2020-5/28"
"Units in engineering mode don't behave as expected","https://github.com/numworks/epsilon/issues/1550","2020-5/11","2020-11/5"
"Double spaced lines in online Numworks Workshop editor","https://github.com/numworks/epsilon/issues/1551","2020-5/12","2020-10/7"
"Ion::Keyboard::Scan() don't work for a lot of physical key on simulator","https://github.com/numworks/epsilon/issues/1555","2020-5/16","null"
"Epsilon build issue, Ubuntu 16.04, error: ‘ColorMode’ is not a class","https://github.com/numworks/epsilon/issues/1557","2020-5/19","2020-5/19"
"incorrectly exact trigonometric results in v13.2","https://github.com/numworks/epsilon/issues/1558","2020-5/21","2020-11/5"
"Implicit multiplication and logarithm","https://github.com/numworks/epsilon/issues/1559","2020-5/23","2022-6/6"
"Create a workshop repository","https://github.com/numworks/epsilon/issues/1560","2020-5/25","null"
"Derivation function","https://github.com/numworks/epsilon/issues/1561","2020-5/26","2020-5/26"
"Function with two or more variables","https://github.com/numworks/epsilon/issues/1562","2020-5/26","null"
"[Proba] Can't specify two constraingts when solving.","https://github.com/numworks/epsilon/issues/1564","2020-5/27","null"
"Square root of a unit returns undef","https://github.com/numworks/epsilon/issues/1565","2020-5/27","2020-11/5"
"Hypergeometric Distribution","https://github.com/numworks/epsilon/issues/1566","2020-5/27","null"
"Solving equation, wrong/missing solution","https://github.com/numworks/epsilon/issues/1567","2020-5/27","2021-7/22"
"Function App - Graph problem with derivation function","https://github.com/numworks/epsilon/issues/1568","2020-5/27","2021-1/13"
"Every parameter text field, when pressing backspace, doesn't clear, but add what's after the text in ram","https://github.com/numworks/epsilon/issues/1570","2020-5/28","2020-5/29"
"Different grids for function display (ex:log/log)","https://github.com/numworks/epsilon/issues/1572","2020-5/29","null"
"Add angular units","https://github.com/numworks/epsilon/issues/1573","2020-5/29","null"
"Calculator image doesn't include the percent symbol","https://github.com/numworks/epsilon/issues/1574","2020-5/29","2021-7/22"
"[Android] blackscreen when changing app ","https://github.com/numworks/epsilon/issues/1575","2020-5/29","2020-7/2"
"[Translation][german] translation error, real number","https://github.com/numworks/epsilon/issues/1576","2020-5/29","2020-6/23"
"Copying something with a missing field doesn't work when in the Calculation app","https://github.com/numworks/epsilon/issues/1578","2020-5/31","2020-11/5"
"Weird rounding to ""0."" in Functions app","https://github.com/numworks/epsilon/issues/1579","2020-6/1","2021-7/22"
"""t"" or ""b"" is sometimes displayed when looking at Additional Results","https://github.com/numworks/epsilon/issues/1580","2020-6/1","2020-6/4"
"[Doc] Package missing from SDK installation doc?","https://github.com/numworks/epsilon/issues/1583","2020-6/2","2021-7/22"
"[Equation] Parametric form, vector","https://github.com/numworks/epsilon/issues/1585","2020-6/3","null"
"Clearing a column in table view (of graph / sequences) should put undef in interval, not 1 and 0","https://github.com/numworks/epsilon/issues/1586","2020-6/4","null"
"Incorrect baseline in Calculation","https://github.com/numworks/epsilon/issues/1587","2020-6/5","2020-6/5"
"region `RAM_BUFFER' overflowed and others with DEBUG=1","https://github.com/numworks/epsilon/issues/1591","2020-6/7","2020-7/10"
"Emscripten 1.39.17 removes emterpreter","https://github.com/numworks/epsilon/issues/1592","2020-6/11","2020-6/17"
"Parenthesis + powers error in the Calculation app","https://github.com/numworks/epsilon/issues/1594","2020-6/11","null"
"Result is hidden after doing tall calculation","https://github.com/numworks/epsilon/issues/1595","2020-6/12","2020-7/8"
"Missing text when copying lot of code in Python","https://github.com/numworks/epsilon/issues/1599","2020-6/18","null"
"Numworks update not working on Opera, despite WebUSB support","https://github.com/numworks/epsilon/issues/1600","2020-6/22","2020-6/22"
"Change subview style in graph","https://github.com/numworks/epsilon/issues/1601","2020-6/23","null"
"Add an inscription when your cut, copy or cut something. ","https://github.com/numworks/epsilon/issues/1603","2020-6/27","null"
"Arrange shift + Ans transforms a selection of code in commentary in Python app","https://github.com/numworks/epsilon/issues/1604","2020-6/27","2021-7/22"
"Move toolbox above the input line","https://github.com/numworks/epsilon/issues/1605","2020-6/29","2021-6/22"
"Epsilon build issue on Debian 10","https://github.com/numworks/epsilon/issues/1606","2020-7/1","2020-7/8"
"Integration computation not interruptible on web simulator","https://github.com/numworks/epsilon/issues/1607","2020-7/1","null"
"Unnecessarily displaying real number as complex with Complex format set to Polar","https://github.com/numworks/epsilon/issues/1612","2020-7/8","null"
"When complex mode is activated, real solutions should be displayed in additional results","https://github.com/numworks/epsilon/issues/1617","2020-7/11","null"
"Italian translation too long","https://github.com/numworks/epsilon/issues/1618","2020-7/12","2020-7/16"
"Better web simu projector mode","https://github.com/numworks/epsilon/issues/1620","2020-7/12","null"
"Error trying to store a value in ""w""","https://github.com/numworks/epsilon/issues/1622","2020-7/14","2020-8/31"
"Bug empty character cannot be copied / pasted","https://github.com/numworks/epsilon/issues/1628","2020-7/18","2020-8/28"
"[ci] Leading zeroes get removed from NumWorksBot comments","https://github.com/numworks/epsilon/issues/1629","2020-7/18","2021-7/22"
"Calculation cell calculate hidden undef in output size","https://github.com/numworks/epsilon/issues/1631","2020-7/20","2020-8/11"
"Poincaré's definition for the astronomical unit has a typo","https://github.com/numworks/epsilon/issues/1637","2020-8/2","2020-11/5"
"Inconsistency in unit prefix handling during formatting","https://github.com/numworks/epsilon/issues/1638","2020-8/2","2021-7/22"
"Epsilon Linux Arm (Aarch64)","https://github.com/numworks/epsilon/issues/1642","2020-8/6","null"
"White text using draw_string isn't really white/invisible.","https://github.com/numworks/epsilon/issues/1643","2020-8/7","2020-8/31"
"input() bug in the online simulator in your workshop section","https://github.com/numworks/epsilon/issues/1644","2020-8/8","null"
"How does esplion flash data onto the calculator ","https://github.com/numworks/epsilon/issues/1646","2020-8/18","2020-8/26"
"[python/matplotlib/pyplot] support 2 colors for arrow","https://github.com/numworks/epsilon/issues/1647","2020-8/18","null"
"[Python] can't interrupt some infinite loops","https://github.com/numworks/epsilon/issues/1649","2020-8/24","2020-8/31"
"Python log on big integers","https://github.com/numworks/epsilon/issues/1651","2020-8/25","null"
"python file names 32 characters or longer result in RuntimeError ","https://github.com/numworks/epsilon/issues/1654","2020-8/30","null"
"Epsilon Numeral System Mode / Converter Hex/Dec/Oct/Bin","https://github.com/numworks/epsilon/issues/1656","2020-9/1","2020-9/1"
"Deleted text with max clipboard size","https://github.com/numworks/epsilon/issues/1657","2020-9/2","null"
"Allow the user to configure the delay for dimming the screen and putting the machine to sleep","https://github.com/numworks/epsilon/issues/1659","2020-9/8","2020-9/8"
"Bug that causes the calculator to freeze","https://github.com/numworks/epsilon/issues/1661","2020-9/12","2021-7/22"
"autocomplete in the shell","https://github.com/numworks/epsilon/issues/1663","2020-9/15","null"
"Digit groupping in calculation results","https://github.com/numworks/epsilon/issues/1664","2020-9/16","2021-7/22"
"[Micropython] Crash with squares.py","https://github.com/numworks/epsilon/issues/1665","2020-9/19","2020-11/5"
"The graph window Y-auto size often provides non-sane values","https://github.com/numworks/epsilon/issues/1666","2020-9/21","2021-2/1"
"Graph often gives a value for f(x) when it's actually undefined","https://github.com/numworks/epsilon/issues/1667","2020-9/21","2021-1/13"
"Add distributions to the probability module","https://github.com/numworks/epsilon/issues/1668","2020-9/26","null"
"Editing a Calculation in the History and let Epsilon recalculate the Whole History ","https://github.com/numworks/epsilon/issues/1669","2020-9/28","null"
"Calculator suddenly reset","https://github.com/numworks/epsilon/issues/1670","2020-9/30","2020-10/3"
"The sequences app can hang when computing a sum of terms","https://github.com/numworks/epsilon/issues/1672","2020-10/6","2020-10/12"
"Unit's additional result exit issue","https://github.com/numworks/epsilon/issues/1674","2020-10/6","2020-11/5"
"'Error: Expecting a packed glyph width' appeared when compiling","https://github.com/numworks/epsilon/issues/1676","2020-10/11","2020-10/12"
"'Error: Expecting a packed glyph width' appeared when compiling (Issue recreated for improving itself content)","https://github.com/numworks/epsilon/issues/1677","2020-10/12","2021-7/22"
"App does not capture KP_Enter.","https://github.com/numworks/epsilon/issues/1678","2020-10/12","null"
"Y-auto doesn’t stay off when unset by user","https://github.com/numworks/epsilon/issues/1679","2020-10/12","2020-11/5"
"Execute Python script on pressing OK","https://github.com/numworks/epsilon/issues/1680","2020-10/12","null"
"Displaying solutions for a quadratic equation","https://github.com/numworks/epsilon/issues/1681","2020-10/13","2022-6/6"
"Function definition range shouldn't be 2*Pi in angle","https://github.com/numworks/epsilon/issues/1682","2020-10/13","null"
"Micro and/or Omega shortcut key (and other Unit and Character implementations)","https://github.com/numworks/epsilon/issues/1683","2020-10/15","null"
"[⇧ Shift] Lock","https://github.com/numworks/epsilon/issues/1685","2020-10/16","null"
"ION::Console has wrong AlternateFunction for n0100","https://github.com/numworks/epsilon/issues/1686","2020-10/16","2020-10/27"
"Functions app: sometimes plotting vertical asympotes","https://github.com/numworks/epsilon/issues/1687","2020-10/19","2020-10/23"
"Functions: table of values providing values for undefined images ","https://github.com/numworks/epsilon/issues/1688","2020-10/19","2020-11/5"
"Handle diacritics in the Python module","https://github.com/numworks/epsilon/issues/1690","2020-10/22","2020-10/22"
"(+x) relative number","https://github.com/numworks/epsilon/issues/1692","2020-10/25","null"
"[Code] Disable autocomplete in comment","https://github.com/numworks/epsilon/issues/1694","2020-10/28","null"
"Epsilon doesn't handle arguments because of strcmp","https://github.com/numworks/epsilon/issues/1695","2020-10/28","null"
"Add a function to generate a constant matrix","https://github.com/numworks/epsilon/issues/1697","2020-10/29","null"
"[Apps/calculation] some big matrix can't be inputed","https://github.com/numworks/epsilon/issues/1700","2020-10/31","null"
