"createdAt","closedAt","title","url"
"2020-11/4","2022-11/25","Powered function","https://github.com/numworks/epsilon/issues/1703"
"2020-11/4","null","[code] Gutter overflows at 100","https://github.com/numworks/epsilon/issues/1704"
"2020-11/5","null","Memory checkers crash on Micropython execution","https://github.com/numworks/epsilon/issues/1706"
"2020-11/17","2020-11/23","MicroPython: round(x,n) not implemented for use with integer x values","https://github.com/numworks/epsilon/issues/1709"
"2020-11/17","null","Text printed in the Python console will not be displayed until a newline character is printed","https://github.com/numworks/epsilon/issues/1712"
"2020-11/18","null","Window of the Regression app is not optimal","https://github.com/numworks/epsilon/issues/1713"
"2020-11/20","2022-6/6","Add a new ""power model"" in the regression app: y=a*b^x","https://github.com/numworks/epsilon/issues/1715"
"2020-11/23","2020-11/24","Systems of equations with linear-solvable solutions can be incorrectly marked as nonlinear","https://github.com/numworks/epsilon/issues/1718"
"2020-11/24","null","Probabilites: expected value and variance","https://github.com/numworks/epsilon/issues/1719"
"2020-11/24","null","Calculation: fractional results for integrals and derivatives","https://github.com/numworks/epsilon/issues/1720"
"2020-12/1","2021-7/22","Variable inputted by the x,n,t key is always n in sums/products","https://github.com/numworks/epsilon/issues/1723"
"2020-12/2","2020-12/2","Add a function in Ion python module","https://github.com/numworks/epsilon/issues/1724"
"2020-12/4","null","Incomplete plotting of f(x)=(exp(x)-1)/(exp(x)+1)","https://github.com/numworks/epsilon/issues/1725"
"2020-12/7","2021-1/13","Poor automatic zoom on exponential-like function","https://github.com/numworks/epsilon/issues/1726"
"2020-12/9","null","Better handling of formulas in the Statistics and Regressions apps","https://github.com/numworks/epsilon/issues/1727"
"2020-12/9","null","Add the list of natural divisors of a number","https://github.com/numworks/epsilon/issues/1728"
"2020-12/9","2020-12/9","CAS doesn't calculate root(x^n, n) correctly.","https://github.com/numworks/epsilon/issues/1729"
"2020-12/16","2022-6/6","Add a new type of regression : no regression","https://github.com/numworks/epsilon/issues/1731"
"2020-12/16","null","No backend available ay epsilon_flash","https://github.com/numworks/epsilon/issues/1732"
"2020-12/18","2020-12/26","The online doc is not enough","https://github.com/numworks/epsilon/issues/1733"
"2020-12/19","2021-5/5","[Emscripten] can't build simulator with DEBUG=1","https://github.com/numworks/epsilon/issues/1734"
"2020-12/19","null","[Emscripten] 100! sqrt(ans) sqrt(ans) sqrt(ans) abort","https://github.com/numworks/epsilon/issues/1735"
"2020-12/19","2020-12/23","micropython int overflow.","https://github.com/numworks/epsilon/issues/1736"
"2020-12/20","null","More regressions","https://github.com/numworks/epsilon/issues/1737"
"2020-12/20","null","Dynamic column width","https://github.com/numworks/epsilon/issues/1738"
"2020-12/28","2020-12/30","Cannot solve the equation when the interval is too big","https://github.com/numworks/epsilon/issues/1739"
"2020-12/28","2021-7/22","Device (N0110) not recognized, hardware issue ?","https://github.com/numworks/epsilon/issues/1740"
"2021-1/2","2021-3/8","AttributeError: 'array.array' object has no attribute 'fromstring' during flash","https://github.com/numworks/epsilon/issues/1742"
"2021-1/7","2021-7/22","""Numéro de série"" is too long","https://github.com/numworks/epsilon/issues/1745"
"2021-1/12","null","Translation issues","https://github.com/numworks/epsilon/issues/1747"
"2021-1/15","2021-7/22","Another automatic index of summation","https://github.com/numworks/epsilon/issues/1749"
"2021-1/20","2021-7/22","Fail to ignore variable","https://github.com/numworks/epsilon/issues/1750"
"2021-1/21","2021-1/21","Cannot use ""v"" or ""u""","https://github.com/numworks/epsilon/issues/1751"
"2021-1/22","null","Dynamic Variables menu","https://github.com/numworks/epsilon/issues/1752"
"2021-1/23","2021-6/17","The sequence of scrolling through points in Regressions app is sometimes wrong","https://github.com/numworks/epsilon/issues/1753"
"2021-1/25","null","Add π-based labels for trig functions in radians","https://github.com/numworks/epsilon/issues/1755"
"2021-1/27","null","Pressing Ans in Sequences app should input uₙ","https://github.com/numworks/epsilon/issues/1757"
"2021-1/27","2022-11/25","Pasting ""exp(n)"" in Calculation app makes unnecessary parentheses appear","https://github.com/numworks/epsilon/issues/1758"
"2021-1/27","2021-5/3","All ""e"" are replaced with ""ᴇ"" when pasting strings in Calculations, which (e.g.) has effects on ceil(x)","https://github.com/numworks/epsilon/issues/1759"
"2021-1/27","2021-4/8","Defining the variable n with a matrix causes a bug in the display of Un in the Toolbox","https://github.com/numworks/epsilon/issues/1760"
"2021-1/28","2021-1/28","memory allocation failed allocating 1024 bytes","https://github.com/numworks/epsilon/issues/1761"
