['closedAt'],['createdAt'],['title'],['url']
2017-8/30,2017-8/29,Simulator build/run on macOS failing,https://github.com/numworks/epsilon/issues/2
2017-8/30,2017-8/29,Wrong order for libpng CC line causes error,https://github.com/numworks/epsilon/issues/3
2017-9/6,2017-8/29,Linking fails with relocation errors,https://github.com/numworks/epsilon/issues/4
2017-8/29,2017-8/29,Misc build issues on Ubuntu,https://github.com/numworks/epsilon/issues/5
2017-12/5,2017-8/29,Rounding error with atan(acos(asin(ans))),https://github.com/numworks/epsilon/issues/6
2017-8/30,2017-8/29,[simulator] Navigation keys repeated,https://github.com/numworks/epsilon/issues/7
2018-1/16,2017-8/29,Closing the window doesn't exit,https://github.com/numworks/epsilon/issues/8
2017-8/30,2017-8/29,Pressing empty keys causes crashs,https://github.com/numworks/epsilon/issues/9
2017-8/30,2017-8/29,Arrow keys triggering too many presses,https://github.com/numworks/epsilon/issues/11
2017-12/5,2017-8/29,sin(1E50) = sin(1E50 + pi/2) = 0,https://github.com/numworks/epsilon/issues/14
2018-2/18,2017-8/29,Inliner silently fails on MSYS2,https://github.com/numworks/epsilon/issues/16
2017-12/5,2017-8/30,Some python symbols are missing from keyboard,https://github.com/numworks/epsilon/issues/17
2017-9/1,2017-8/30,HW test app triggered on wrong row,https://github.com/numworks/epsilon/issues/19
2017-8/30,2017-8/30,SDK doc: make dfu_flash or app_flash ?,https://github.com/numworks/epsilon/issues/20
2017-9/5,2017-8/30,SHIFT activated icon ?,https://github.com/numworks/epsilon/issues/22
2017-8/30,2017-8/30,make clean leaves some .o present,https://github.com/numworks/epsilon/issues/23
2017-8/30,2017-8/30,IRC channel?,https://github.com/numworks/epsilon/issues/25
2017-9/6,2017-8/30,Option to dim the screen?,https://github.com/numworks/epsilon/issues/30
,2017-8/30,I18N: Add support for Polish,https://github.com/numworks/epsilon/issues/33
2018-8/24,2017-8/30,Add option to use the indicator LED to display charging status.,https://github.com/numworks/epsilon/issues/34
,2017-8/30,Reverse Polish Notation (RPN) input,https://github.com/numworks/epsilon/issues/35
,2017-8/30,Support for boolean algebra/logic calculations,https://github.com/numworks/epsilon/issues/37
2018-5/28,2017-8/30,"License forbids modification, but pull requests accepted",https://github.com/numworks/epsilon/issues/38
2017-12/5,2017-8/31,Division Remainder issue,https://github.com/numworks/epsilon/issues/40
2019-10/7,2017-8/31,SDK documentation ?,https://github.com/numworks/epsilon/issues/41
2021-7/22,2017-8/31,Will we be able to add applications coded in C/asm?,https://github.com/numworks/epsilon/issues/42
2017-9/19,2017-8/31,Use BCD for calculations,https://github.com/numworks/epsilon/issues/43
2017-12/5,2017-8/31,Add a Python REPL,https://github.com/numworks/epsilon/issues/44
2017-8/31,2017-8/31,Change the toolbox icon on keyboard,https://github.com/numworks/epsilon/issues/45
2018-1/23,2017-8/31,Add a random() function,https://github.com/numworks/epsilon/issues/47
2017-9/1,2017-8/31,Issue with matrix transposition,https://github.com/numworks/epsilon/issues/48
2019-9/18,2017-8/31,Option to use angles in gradians,https://github.com/numworks/epsilon/issues/49
2017-9/5,2017-8/31,Fuzzing (Poincare especially?),https://github.com/numworks/epsilon/issues/50
2017-9/1,2017-8/31,Exam mode can be (I think) bypassed easily,https://github.com/numworks/epsilon/issues/53
2017-9/2,2017-9/1,Feature : Middle school interface,https://github.com/numworks/epsilon/issues/63
,2017-9/1,"Allow the user not to close parens, quotes etc.",https://github.com/numworks/epsilon/issues/66
2018-1/23,2017-9/2,[apps/graphing] Find an intersection point between 2 functions?,https://github.com/numworks/epsilon/issues/70
2020-3/6,2017-9/2,Adding a language,https://github.com/numworks/epsilon/issues/71
2017-9/19,2017-9/2,sum() function doesn't work,https://github.com/numworks/epsilon/issues/72
2017-12/5,2017-9/2,"gcd(10^10,5) returns undef",https://github.com/numworks/epsilon/issues/75
2017-9/3,2017-9/3,License might not allow contributions.,https://github.com/numworks/epsilon/issues/76
2019-3/15,2017-9/3,Issues building the simulator on Windows,https://github.com/numworks/epsilon/issues/77
2020-3/6,2017-9/4,Add Engineering notation,https://github.com/numworks/epsilon/issues/78
2017-9/5,2017-9/4,sqrt(-1) is undef,https://github.com/numworks/epsilon/issues/79
2017-9/4,2017-9/4,no git tag ?,https://github.com/numworks/epsilon/issues/80
2017-9/6,2017-9/4,Explain how to put the device in DFU mode when building app_flash,https://github.com/numworks/epsilon/issues/83
,2017-9/4,"[Idea] Online ""make-your-own-OS"" build tool",https://github.com/numworks/epsilon/issues/84
2017-9/5,2017-9/5,[Poincare] Odd integer powers of negative real numbers give positive result,https://github.com/numworks/epsilon/issues/87
2017-9/6,2017-9/5,"In the simulator at least, sqrt(-1) fails yet i*i = -1",https://github.com/numworks/epsilon/issues/92
2017-10/5,2017-9/6,Epsilon changelog,https://github.com/numworks/epsilon/issues/98
2017-12/5,2017-9/6,Exact calculation and natural calculation,https://github.com/numworks/epsilon/issues/99
2017-9/7,2017-9/6,0^2 returns undef,https://github.com/numworks/epsilon/issues/100
2017-9/21,2017-9/7,Power returns undef when it has multiple possible values.,https://github.com/numworks/epsilon/issues/102
2017-12/5,2017-9/7,Number of digits (float6),https://github.com/numworks/epsilon/issues/103
2017-11/23,2017-9/7,Allow firmware upgrade for Linux end user,https://github.com/numworks/epsilon/issues/105
2017-9/15,2017-9/7,bug when the result of a formula is stored in a variable used in the formula,https://github.com/numworks/epsilon/issues/108
2017-9/15,2017-9/7,bug: store ANS into a var,https://github.com/numworks/epsilon/issues/109
2019-10/7,2017-9/8,"""Life is short and ROM is full""",https://github.com/numworks/epsilon/issues/110
2017-9/26,2017-9/8,[Suggestion] Shift Alpha Lock changes,https://github.com/numworks/epsilon/issues/111
2017-10/13,2017-9/9,isnan and isinf belongs to std namespace,https://github.com/numworks/epsilon/issues/115
2021-11/18,2017-9/10,[toolbox] Chemistry and other scientific constants in Toolbox,https://github.com/numworks/epsilon/issues/117
2017-9/11,2017-9/11,cannot build target with GCC 4.9.3,https://github.com/numworks/epsilon/issues/120
2017-9/20,2017-9/12,x10^ only accepts integers,https://github.com/numworks/epsilon/issues/124
2018-5/24,2017-9/12,Add natural writing input,https://github.com/numworks/epsilon/issues/125
,2017-9/13,x values not displayed in big tables,https://github.com/numworks/epsilon/issues/126
2017-9/29,2017-9/13,x column width unnecessarily big,https://github.com/numworks/epsilon/issues/127
,2017-9/13,Add Alert before erasing,https://github.com/numworks/epsilon/issues/128
2020-3/6,2017-9/13,Euclidian division,https://github.com/numworks/epsilon/issues/129
