"['title']","['url']","['createdAt']","['closedAt']"
"Field Trip Tool -- Fax # not displaying","https://github.com/opentripplanner/OpenTripPlanner/issues/1291","2013-11/5","2013-11/21"
"Missing image file (depart.png)","https://github.com/opentripplanner/OpenTripPlanner/issues/1294","2013-11/11","2020-10/13"
"Missing image file (depart.png)","https://github.com/opentripplanner/OpenTripPlanner/issues/1295","2013-11/11","2020-10/13"
"Favoring Longer Walking Routes Instead of Using Steps","https://github.com/opentripplanner/OpenTripPlanner/issues/1297","2013-11/13","2016-10/13"
"request parameters echoed in JSON but not XML","https://github.com/opentripplanner/OpenTripPlanner/issues/1298","2013-11/18","2013-11/20"
"Hills not really avoided","https://github.com/opentripplanner/OpenTripPlanner/issues/1299","2013-11/20","2022-4/17"
"duplicate config files","https://github.com/opentripplanner/OpenTripPlanner/issues/1300","2013-11/20","2020-10/13"
"Check for stop_headsign in TransitIndex","https://github.com/opentripplanner/OpenTripPlanner/issues/1301","2013-11/21","2016-10/20"
"Walking to Farther Bus Stops","https://github.com/opentripplanner/OpenTripPlanner/issues/1302","2013-11/22","2022-5/17"
"Short Walking Trip Not Planning","https://github.com/opentripplanner/OpenTripPlanner/issues/1303","2013-11/22","2014-4/4"
"Rewrite linker/splitter for endpoints and transit stops","https://github.com/opentripplanner/OpenTripPlanner/issues/1305","2013-12/3","2020-10/29"
"Leaflet Client: Minimized Route Selection Window Should Re-open on ""Edit"" Click","https://github.com/opentripplanner/OpenTripPlanner/issues/1306","2013-12/5","2020-10/29"
"Investigate Jersey 2.0","https://github.com/opentripplanner/OpenTripPlanner/issues/1309","2013-12/7","2020-10/14"
"Wait time compression","https://github.com/opentripplanner/OpenTripPlanner/issues/1311","2013-12/9","2020-10/29"
"Complete GTFS-RT support for schedule-based trips","https://github.com/opentripplanner/OpenTripPlanner/issues/1312","2013-12/9","2022-4/18"
"Return multiple pareto-optimal results","https://github.com/opentripplanner/OpenTripPlanner/issues/1313","2013-12/9","2019-10/11"
"Reduce response time to below 100 ms","https://github.com/opentripplanner/OpenTripPlanner/issues/1314","2013-12/9","2020-10/29"
"Merge geocoder module into core","https://github.com/opentripplanner/OpenTripPlanner/issues/1315","2013-12/9","2020-10/29"
"enhancements to stop and trip viewer","https://github.com/opentripplanner/OpenTripPlanner/issues/1316","2013-12/13","2014-10/17"
"Itinerary endpoint nowhere near selected lat/lon","https://github.com/opentripplanner/OpenTripPlanner/issues/1317","2013-12/17","2013-12/17"
"openlayers client does wheelchair search by default","https://github.com/opentripplanner/OpenTripPlanner/issues/1318","2013-12/17","2013-12/17"
"enunciate failure","https://github.com/opentripplanner/OpenTripPlanner/issues/1319","2013-12/17","2013-12/17"
"Unify StopPattern concepts in OTP","https://github.com/opentripplanner/OpenTripPlanner/issues/1320","2013-12/27","2020-10/29"
"Replace MapUtils with Guava","https://github.com/opentripplanner/OpenTripPlanner/issues/1321","2013-12/30","2020-10/13"
"Field Trip Tool - Field Trip Request Form Spam","https://github.com/opentripplanner/OpenTripPlanner/issues/1322","2014-1/2","2014-2/14"
"Call Taker Tool - Mailables entry window","https://github.com/opentripplanner/OpenTripPlanner/issues/1323","2014-1/7","2014-2/20"
"Call Taker Tool -- Trip Viewer 'highlight' bug","https://github.com/opentripplanner/OpenTripPlanner/issues/1324","2014-1/9","2016-3/3"
"Arrive By trips do not return best possible trip","https://github.com/opentripplanner/OpenTripPlanner/issues/1325","2014-1/17","2022-5/18"
"Non-integer level/layer numbers","https://github.com/opentripplanner/OpenTripPlanner/issues/1327","2014-1/25","2022-5/19"
"Profile Routing","https://github.com/opentripplanner/OpenTripPlanner/issues/1328","2014-1/27","2020-10/14"
"Stabilize standalone usage conventions","https://github.com/opentripplanner/OpenTripPlanner/issues/1329","2014-1/27","2020-10/14"
"Park and ride (drive to transit) support","https://github.com/opentripplanner/OpenTripPlanner/issues/1330","2014-1/27","2019-9/13"
"rendering Ferry in OTP trip list is empty","https://github.com/opentripplanner/OpenTripPlanner/issues/1331","2014-1/28","2020-10/14"
"documentation and tutorials ","https://github.com/opentripplanner/OpenTripPlanner/issues/1332","2014-1/28","2015-11/19"
"incorrect walkTime itinerary field on bicycle only trips","https://github.com/opentripplanner/OpenTripPlanner/issues/1333","2014-1/29","2022-5/20"
"Field Trip Request Form -- Minor language updates","https://github.com/opentripplanner/OpenTripPlanner/issues/1334","2014-1/29","2014-2/6"
"Field Trip Tool - Capacity Trips and Saving Action Plans","https://github.com/opentripplanner/OpenTripPlanner/issues/1335","2014-1/30","2020-10/13"
"apidoc","https://github.com/opentripplanner/OpenTripPlanner/issues/1336","2014-1/31","2014-2/2"
"Add projection support for CSVPopulation","https://github.com/opentripplanner/OpenTripPlanner/issues/1340","2014-2/4","2014-2/8"
"Standardize on seconds/microseconds in API","https://github.com/opentripplanner/OpenTripPlanner/issues/1341","2014-2/4","2014-2/18"
"Single time and date format in API","https://github.com/opentripplanner/OpenTripPlanner/issues/1342","2014-2/4","2022-7/13"
"Clean up logging","https://github.com/opentripplanner/OpenTripPlanner/issues/1343","2014-2/4","2020-10/29"
"Partially banned trips are implemented incorrectly","https://github.com/opentripplanner/OpenTripPlanner/issues/1344","2014-2/4","2022-5/20"
"Add shell script to run batch analyst from the command line","https://github.com/opentripplanner/OpenTripPlanner/issues/1346","2014-2/6","2014-2/8"
"GTFS-realtime support for Frequency Based trip","https://github.com/opentripplanner/OpenTripPlanner/issues/1347","2014-2/7","null"
"Simple transfers do not take geography into account","https://github.com/opentripplanner/OpenTripPlanner/issues/1348","2014-2/10","2014-4/28"
"Standalone graph builder should run PruneFloatingIslands after loading GTFS","https://github.com/opentripplanner/OpenTripPlanner/issues/1349","2014-2/10","2014-2/10"
"Standalone graph builder should allow configuring PruneFloatingIslands","https://github.com/opentripplanner/OpenTripPlanner/issues/1350","2014-2/10","2022-5/20"
"Revise or drop XML support in API","https://github.com/opentripplanner/OpenTripPlanner/issues/1351","2014-2/11","2020-10/13"
"Remove AgencyAndId from API","https://github.com/opentripplanner/OpenTripPlanner/issues/1352","2014-2/11","2020-10/14"
"Move routerId out of query parameters","https://github.com/opentripplanner/OpenTripPlanner/issues/1353","2014-2/11","2020-10/13"
"Extend OSM permissions/safety documentation","https://github.com/opentripplanner/OpenTripPlanner/issues/1354","2014-2/14","2022-5/21"
"precompute transfers through the street network","https://github.com/opentripplanner/OpenTripPlanner/issues/1355","2014-2/17","2014-4/25"
"Call Taker Module - Stop Finder","https://github.com/opentripplanner/OpenTripPlanner/issues/1356","2014-2/19","2014-3/28"
"Call Taker Module - Email Itinerary option","https://github.com/opentripplanner/OpenTripPlanner/issues/1357","2014-2/19","2020-10/13"
"High memory usage","https://github.com/opentripplanner/OpenTripPlanner/issues/1358","2014-2/21","2014-2/21"
"(possibly) use Gradle for build process","https://github.com/opentripplanner/OpenTripPlanner/issues/1359","2014-2/24","2020-10/29"
"Provide version in API response","https://github.com/opentripplanner/OpenTripPlanner/issues/1360","2014-2/25","2016-3/9"
"arrive by trip causing longer layover to arrive closer to time specified","https://github.com/opentripplanner/OpenTripPlanner/issues/1361","2014-3/4","2020-10/29"
"strange routing behavior based on walk distances?","https://github.com/opentripplanner/OpenTripPlanner/issues/1362","2014-3/6","2020-10/13"
"NPE on frequency based trips","https://github.com/opentripplanner/OpenTripPlanner/issues/1363","2014-3/6","2020-10/13"
"Download Packages","https://github.com/opentripplanner/OpenTripPlanner/issues/1364","2014-3/7","2014-3/11"
"Netbeans tutorial: module names?","https://github.com/opentripplanner/OpenTripPlanner/issues/1365","2014-3/10","2014-3/11"
"Roundabout incoherent relative directions","https://github.com/opentripplanner/OpenTripPlanner/issues/1367","2014-3/14","2022-5/23"
"Remove trip-cancellation side effects of alerts","https://github.com/opentripplanner/OpenTripPlanner/issues/1368","2014-3/14","2014-4/28"
"UI: clearly indicate when times are on another day ","https://github.com/opentripplanner/OpenTripPlanner/issues/1369","2014-3/15","2020-10/29"
"Variable substitution not happening on git commit ID","https://github.com/opentripplanner/OpenTripPlanner/issues/1370","2014-3/15","2020-12/22"
"More intelligent stop/street search","https://github.com/opentripplanner/OpenTripPlanner/issues/1371","2014-3/15","2020-10/29"
"Problematic results returned from OpenTripPlanner Analyst when requesting travel isochrones late at night when little transit service","https://github.com/opentripplanner/OpenTripPlanner/issues/1373","2014-3/18","2014-9/3"
"maven version is not substituted under IDE","https://github.com/opentripplanner/OpenTripPlanner/issues/1374","2014-3/18","2020-10/29"
"OTP produces no meaningful message when GTFS input is corrupt","https://github.com/opentripplanner/OpenTripPlanner/issues/1375","2014-3/19","2022-5/23"
"Wiki link is wrong","https://github.com/opentripplanner/OpenTripPlanner/issues/1376","2014-3/19","2014-3/20"
"Leaflet client in 0.10.x doesn't work","https://github.com/opentripplanner/OpenTripPlanner/issues/1377","2014-3/20","2020-10/13"
"How Can i get a JSON response","https://github.com/opentripplanner/OpenTripPlanner/issues/1378","2014-3/25","2014-3/25"
"Itinerary Link within email (and 'Link to Itinerary' option)","https://github.com/opentripplanner/OpenTripPlanner/issues/1381","2014-3/28","2020-10/13"
"Hardcoded time format in otp-leaflet master","https://github.com/opentripplanner/OpenTripPlanner/issues/1382","2014-3/29","2014-4/26"
"replace JSONP with cross-origin resource sharing","https://github.com/opentripplanner/OpenTripPlanner/issues/1383","2014-4/2","2014-4/10"
"Call Taker Tools - Stop Layer issues","https://github.com/opentripplanner/OpenTripPlanner/issues/1386","2014-4/7","2014-5/5"
"Can't build graph","https://github.com/opentripplanner/OpenTripPlanner/issues/1388","2014-4/14","2014-4/14"
"excessively long trip with short walk distance","https://github.com/opentripplanner/OpenTripPlanner/issues/1389","2014-4/15","2020-12/22"
