"createdAt","closedAt","title","url"
"2012-2/16","2012-3/6","Initial map has fixed zoom","https://github.com/opentripplanner/OpenTripPlanner/issues/605"
"2012-2/16","2012-2/16","Initial map has fixed zoom","https://github.com/opentripplanner/OpenTripPlanner/issues/606"
"2012-2/16","2013-5/30","3-minute geocoder tutorial","https://github.com/opentripplanner/OpenTripPlanner/issues/607"
"2012-2/19","2020-10/15","OTP is not properly supporting pickup_type/drop_off_type","https://github.com/opentripplanner/OpenTripPlanner/issues/608"
"2012-2/21","2012-2/28","""repeatedly added the same vertex"" errors during linking","https://github.com/opentripplanner/OpenTripPlanner/issues/609"
"2012-2/22","2012-2/22","Warn on shared stops with different locations","https://github.com/opentripplanner/OpenTripPlanner/issues/610"
"2012-2/22","2012-3/5","Turn restriction bug - Interstate & Russell","https://github.com/opentripplanner/OpenTripPlanner/issues/611"
"2012-2/24","2022-4/24","Artificial level/layer/levelmap OSM for testing","https://github.com/opentripplanner/OpenTripPlanner/issues/612"
"2012-2/28","2016-10/7","Unique Itinerary Tab Names","https://github.com/opentripplanner/OpenTripPlanner/issues/613"
"2012-2/29","2012-3/7","SEVERE: exception planning trip - NullPointerException","https://github.com/opentripplanner/OpenTripPlanner/issues/614"
"2012-2/29","2016-10/7","Google Analytics - mode trip events","https://github.com/opentripplanner/OpenTripPlanner/issues/615"
"2012-3/1","2012-3/6","Missing zone_id in itineraries response","https://github.com/opentripplanner/OpenTripPlanner/issues/616"
"2012-3/1","2012-3/9","explore / document release process using bugfix-only branches","https://github.com/opentripplanner/OpenTripPlanner/issues/617"
"2012-3/1","2022-4/25","Break fares down by ride / ride block","https://github.com/opentripplanner/OpenTripPlanner/issues/618"
"2012-3/1","2020-10/13","Fare classes to handle contactless payment card discounts","https://github.com/opentripplanner/OpenTripPlanner/issues/619"
"2012-3/1","2020-10/15","Correct, general multi-feed fare computation","https://github.com/opentripplanner/OpenTripPlanner/issues/620"
"2012-3/2","2012-10/18","Shared SPT Service ","https://github.com/opentripplanner/OpenTripPlanner/issues/621"
"2012-3/3","2012-3/8","Make agency clear for multi-agency trips","https://github.com/opentripplanner/OpenTripPlanner/issues/622"
