createdAt,closedAt,title,url
2011-07/18,2022-4/16,Make transportation extremely easy,https://github.com/opentripplanner/OpenTripPlanner/issues/1
2011-07/18,2011-11/23,"Polish, Czech, German and French translations",https://github.com/opentripplanner/OpenTripPlanner/issues/309
2011-07/18,2011-7/18,Irish-Gaelic translation,https://github.com/opentripplanner/OpenTripPlanner/issues/308
2011-07/18,2011-7/18,Spanish translation,https://github.com/opentripplanner/OpenTripPlanner/issues/307
2011-07/18,2014-1/27,warn user when over max walk distance,https://github.com/opentripplanner/OpenTripPlanner/issues/306
2011-07/18,2020-10/13,Elevation graph wrong when elevation overridden,https://github.com/opentripplanner/OpenTripPlanner/issues/305
2011-07/18,2020-10/14,Geocoder should disambiguate by city rather than zip,https://github.com/opentripplanner/OpenTripPlanner/issues/304
2011-07/18,2011-7/18,Use less memory for half vertices,https://github.com/opentripplanner/OpenTripPlanner/issues/303
2011-07/18,2020-10/13,Shapefiles don't support separation by elevation,https://github.com/opentripplanner/OpenTripPlanner/issues/302
2011-07/18,2011-7/18,Slope override for OSM,https://github.com/opentripplanner/OpenTripPlanner/issues/301
2011-07/18,2011-7/18,"if intermediate places isn't specified, trip planning fails",https://github.com/opentripplanner/OpenTripPlanner/issues/300
2011-07/18,2011-7/18,OSM doesn't support bike paths,https://github.com/opentripplanner/OpenTripPlanner/issues/299
2011-07/18,2011-7/18,polish translation,https://github.com/opentripplanner/OpenTripPlanner/issues/310
2011-07/18,2014-1/27,Add layer for credits in the foot of the map,https://github.com/opentripplanner/OpenTripPlanner/issues/298
2011-07/18,2011-7/18,Add From/To textbox or combobox in the web form,https://github.com/opentripplanner/OpenTripPlanner/issues/296
2011-07/18,2011-7/18,Trip options do not work in IE6,https://github.com/opentripplanner/OpenTripPlanner/issues/295
2011-07/18,2011-7/18,Link and Tabclose images do not display correctly in IE6,https://github.com/opentripplanner/OpenTripPlanner/issues/294
2011-07/18,2011-7/18,"Bicycle elevation graph cannot be scrolled in IE7,8",https://github.com/opentripplanner/OpenTripPlanner/issues/293
2011-07/18,2011-7/18,arrival times wrong,https://github.com/opentripplanner/OpenTripPlanner/issues/292
2011-07/18,2011-7/18,Elevation bug,https://github.com/opentripplanner/OpenTripPlanner/issues/291
2011-07/18,2011-7/18,user reported error when trying to run otp,https://github.com/opentripplanner/OpenTripPlanner/issues/290
2011-07/18,2011-7/18,parallelize expensive building tasks,https://github.com/opentripplanner/OpenTripPlanner/issues/289
2011-07/18,2011-7/18,How I can change the map image,https://github.com/opentripplanner/OpenTripPlanner/issues/288
2011-07/18,2011-7/18,-- SPAM --,https://github.com/opentripplanner/OpenTripPlanner/issues/287
2011-07/18,2011-7/18,TEST: please ignore....,https://github.com/opentripplanner/OpenTripPlanner/issues/286
2011-07/18,2011-7/18,OSM  graph building is slow,https://github.com/opentripplanner/OpenTripPlanner/issues/297
2011-07/18,2011-7/18,Wrong trip name used,https://github.com/opentripplanner/OpenTripPlanner/issues/285
2011-07/18,2011-7/18,polish translation,https://github.com/opentripplanner/OpenTripPlanner/issues/311
2011-07/18,2011-7/18,Squigle at Ladd's Addition,https://github.com/opentripplanner/OpenTripPlanner/issues/313
2011-07/18,2011-7/18,Arrive By narration uses customer's end-time (as opposed to the actual time),https://github.com/opentripplanner/OpenTripPlanner/issues/337
2011-07/18,2011-7/18,Create a new HasEdges interface that allows for other sources of edges beyond GraphVertex,https://github.com/opentripplanner/OpenTripPlanner/issues/336
2011-07/18,2011-7/18,Fix a bug where nearestPoint was not set in StreetLocation,https://github.com/opentripplanner/OpenTripPlanner/issues/335
2011-07/18,2011-7/18,Remove Serializable from Vertex and add to implementing classes,https://github.com/opentripplanner/OpenTripPlanner/issues/334
2011-07/18,2011-7/18,Refactor orthodromicDistance method out of DistanceLibrary,https://github.com/opentripplanner/OpenTripPlanner/issues/333
2011-07/18,2020-10/14,NED - BBox Region Builder,https://github.com/opentripplanner/OpenTripPlanner/issues/332
2011-07/18,2011-7/18,"Wrong times, bad geometry and poor transfer point",https://github.com/opentripplanner/OpenTripPlanner/issues/331
2011-07/18,2011-7/18,BUG: long walks give poor routing (strange bug),https://github.com/opentripplanner/OpenTripPlanner/issues/330
2011-07/18,2011-7/18,BUG: multiple itineraries are exactly the same trip,https://github.com/opentripplanner/OpenTripPlanner/issues/329
2011-07/18,2011-7/18,BUG (Regression): Ladd's Addition (PDX) indirect routing for walking & biking,https://github.com/opentripplanner/OpenTripPlanner/issues/328
2011-07/18,2011-7/18,Some stops may be unbikeable,https://github.com/opentripplanner/OpenTripPlanner/issues/327
2011-07/18,2011-7/18,Visualizer doesn't show all stops,https://github.com/opentripplanner/OpenTripPlanner/issues/312
2011-07/18,2011-7/18,Make a stand-alone version OTP available on opentripplaner.org,https://github.com/opentripplanner/OpenTripPlanner/issues/326
2011-07/18,2011-7/18,OSMDownloader defect,https://github.com/opentripplanner/OpenTripPlanner/issues/324
2011-07/18,2011-7/18,Sort multiple trip plans,https://github.com/opentripplanner/OpenTripPlanner/issues/323
