"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"Updated to 2.18 of Jersey to fix hanging threads in Grizzly. ","2016-7/6","2016-7/6","2016-7/6",True,"2016-7/6",2,4,4
"Changed so that headsign for a leg is not always the last stop.","2016-7/6","2016-7/6","2016-7/6",True,"2016-7/6",2,3,3
"Fixed so that we dont get a forced travel in the opposite direction.","2016-7/6","2016-7/6","2016-7/6",False,"null",2,2,2
"Fix dead links to internal docs and logo","2016-7/13","2016-7/13","2016-7/13",False,"null",2,8,8
"Fix links","2016-7/14","2016-7/14","2016-7/14",False,"null",2,1,1
"Removing test redundant for org.opentripplanner.openstreetmap.model.OSMWayTest.testMotorCarTagDeniedPermissions","2016-7/15","2016-7/15","2016-7/15",False,"null",2,1,1
"Sharebike: fix URL parsing when no parameters given","2016-8/1","2016-9/1","2016-8/1",True,"2016-9/1",3,25,11
"Makes PR #1591 mergable","2016-8/1","2016-9/1","2016-8/1",True,"2016-9/1",3,36,10
"OpenData/GBFS Bike Rental Updater","2016-8/3","2018-9/3","2016-8/3",False,"null",3,315,0
"Fix logging messages that were being swallowed by JUL.","2016-8/5","2016-9/5","2016-8/5",True,"2016-9/5",2,16,5
"Fix frequency time calculations","2016-8/11","2018-3/11","2016-8/11",False,"null",3,190,6
"Fix exception when building graph","2016-8/12","2016-9/12","2016-8/12",True,"2016-9/12",3,1,1
"Fixed broken link to configuration page","2016-8/23","2016-9/23","2016-8/23",False,"null",3,1,1
"Add Vehicle Positions GTFS-RT updater ","2016-8/24","2018-9/24","2016-8/24",False,"null",4,508,4
"Add USF Maps App to Deployments docs","2016-8/30","2016-9/30","2016-8/30",True,"2016-9/30",2,1,0
"Load embedded config for existing graphs","2016-9/5","2016-9/5","2016-9/5",True,"2016-9/5",2,37,33
"Fix for #2339","2016-9/13","2016-9/13","2016-9/13",True,"2016-9/13",2,29,13
"When creating backStreet AreaEdge, wheelchairAccessible is set twice …","2016-9/15","2016-12/15","2016-9/15",True,"2016-12/15",2,1,1
