"['title']","['url']","['createdAt']","['closedAt']"
"opening_hours: translation of ""off"" into german is wrong","https://github.com/osmandapp/OsmAnd/issues/5656","2018-7/9","2018-7/9"
"Incorrect date of photo notes","https://github.com/osmandapp/OsmAnd/issues/5657","2018-7/10","null"
"OBF file for fuel price from http://prix-carburants.economie.gouv.fr","https://github.com/osmandapp/OsmAnd/issues/5658","2018-7/10","null"
"how to add voice data to Osmand Local Indexes List","https://github.com/osmandapp/OsmAnd/issues/5659","2018-7/10","null"
"Render ""oneway:bicycle=no"" the same as ""cycleway=opposite""","https://github.com/osmandapp/OsmAnd/issues/5660","2018-7/11","2018-7/17"
"Deactivating ""Nearby Wikipedia articles""","https://github.com/osmandapp/OsmAnd/issues/5661","2018-7/12","null"
"Translation feedback required","https://github.com/osmandapp/OsmAnd/issues/5665","2018-7/13","2018-7/15"
"Possibility of using map data from maps.me app","https://github.com/osmandapp/OsmAnd/issues/5669","2018-7/13","2018-7/18"
"Rendering error","https://github.com/osmandapp/OsmAnd/issues/5670","2018-7/14","2018-7/17"
"Split some maps into smaller regions","https://github.com/osmandapp/OsmAnd/issues/5671","2018-7/14","2018-9/7"
"Addr-interpolation house numbers do not work with reverse search","https://github.com/osmandapp/OsmAnd/issues/5672","2018-7/14","null"
"[topo.render.xml]: subway unvisible in subway mode / light rail rendering style","https://github.com/osmandapp/OsmAnd/issues/5673","2018-7/15","null"
"README.md: How to Build section","https://github.com/osmandapp/OsmAnd/issues/5674","2018-7/15","2018-7/15"
"Reveal Hiking Trail data","https://github.com/osmandapp/OsmAnd/issues/5675","2018-7/16","null"
"Nasty Bug: Routing from A to B - always includes current postion","https://github.com/osmandapp/OsmAnd/issues/5677","2018-7/16","null"
"Use Kalman Filter to smooth map scrolling when following current position","https://github.com/osmandapp/OsmAnd/issues/5681","2018-7/16","null"
"Support speed camera relation direction","https://github.com/osmandapp/OsmAnd/issues/5682","2018-7/17","null"
"Layout issues with destination reached and tunnel icon","https://github.com/osmandapp/OsmAnd/issues/5683","2018-7/17","2019-7/18"
"Display elevation profile during navigation","https://github.com/osmandapp/OsmAnd/issues/5684","2018-7/17","2021-11/21"
"Incorrect city relation [ Boundary Singapore / Malaysia ]","https://github.com/osmandapp/OsmAnd/issues/5685","2018-7/17","2020-7/7"
"Some regional cycling network node numbers not displayed","https://github.com/osmandapp/OsmAnd/issues/5686","2018-7/17","2020-3/4"
"Quick action to reduce / increase map detail","https://github.com/osmandapp/OsmAnd/issues/5687","2018-7/17","null"
"Aircraft Routing","https://github.com/osmandapp/OsmAnd/issues/5688","2018-7/18","2018-7/18"
"Incorrect routing directions","https://github.com/osmandapp/OsmAnd/issues/5689","2018-7/18","2020-8/21"
"GPX - Link parameter not visible in Context Menu","https://github.com/osmandapp/OsmAnd/issues/5691","2018-7/18","2020-8/11"
"Contour lines missing on Bornholm island.","https://github.com/osmandapp/OsmAnd/issues/5693","2018-7/18","2018-7/24"
