"createdAt","closedAt","title","url"
"2020-3/4","2020-3/4","[Feature request] current position icon blink","https://github.com/osmandapp/OsmAnd/issues/8619"
"2020-3/4","2020-3/4","Wikipedia articles missing numbers with units","https://github.com/osmandapp/OsmAnd/issues/8621"
"2020-3/4","2020-6/7","Routing issue (to test 03-2020)","https://github.com/osmandapp/OsmAnd/issues/8622"
"2020-3/4","2020-3/4","Public transport routing: OsmAnd jumps from the end of the route to the start","https://github.com/osmandapp/OsmAnd/issues/8623"
"2020-3/4","2020-3/27","No name of the streetcar stop, just the platform label.","https://github.com/osmandapp/OsmAnd/issues/8624"
"2020-3/5","2020-5/14","Marker: Make history clearable","https://github.com/osmandapp/OsmAnd/issues/8626"
"2020-3/5","2020-3/5","date problem with march maps","https://github.com/osmandapp/OsmAnd/issues/8627"
"2020-3/5","2020-3/25","Align text size for building names and POI names","https://github.com/osmandapp/OsmAnd/issues/8629"
"2020-3/5","null","Route calculation using relations containing only stops","https://github.com/osmandapp/OsmAnd/issues/8632"
"2020-3/6","2020-6/4","[Feature request] make vehicle parameters more precise","https://github.com/osmandapp/OsmAnd/issues/8634"
"2020-3/6","null","Pedestrian routing: too high transition penalty for non-footways","https://github.com/osmandapp/OsmAnd/issues/8637"
"2020-3/6","2021-2/8","PT: trying to modify routing.xml ","https://github.com/osmandapp/OsmAnd/issues/8638"
"2020-3/6","2020-3/6","[Feature requests] add camping category to the mail POI list","https://github.com/osmandapp/OsmAnd/issues/8639"
"2020-3/6","null","Add action after end route and set it default: End route with keep profile","https://github.com/osmandapp/OsmAnd/issues/8640"
"2020-3/6","2020-3/6","Polish translation prexif","https://github.com/osmandapp/OsmAnd/issues/8642"
"2020-3/7","2020-5/20","[nautical] seamark:type=obstruction","https://github.com/osmandapp/OsmAnd/issues/8644"
"2020-3/7","2021-2/16","Extend 'Auto-record track during navigation' until user acknowledgement","https://github.com/osmandapp/OsmAnd/issues/8645"
"2020-3/7","2020-3/9","New feature: search in local OSM data aka overpass-api","https://github.com/osmandapp/OsmAnd/issues/8646"
"2020-3/7","2020-6/4","City and street search failed","https://github.com/osmandapp/OsmAnd/issues/8647"
"2020-3/7","2020-3/8","Save button for app profiles is greyed out","https://github.com/osmandapp/OsmAnd/issues/8648"
"2020-3/8","2020-3/9","Wrong routing when target is close to bigger road","https://github.com/osmandapp/OsmAnd/issues/8649"
"2020-3/8","2020-3/8","add 12t and 30t to permitted weight","https://github.com/osmandapp/OsmAnd/issues/8650"
"2020-3/8","null","Downloading slows then OOM crash","https://github.com/osmandapp/OsmAnd/issues/8651"
"2020-3/9","2021-1/8","Routing: ignore restrictions via ways ","https://github.com/osmandapp/OsmAnd/issues/8652"
"2020-3/9","2020-3/9","Compilation of nightly build / QT build fails ","https://github.com/osmandapp/OsmAnd/issues/8653"
"2020-3/9","null","OsmAnd Live: ""Report for"" allows multiline input","https://github.com/osmandapp/OsmAnd/issues/8654"
"2020-3/10","2020-3/10","Add a Delete button to simplify gpx management","https://github.com/osmandapp/OsmAnd/issues/8655"
"2020-3/10","2020-5/14","Lanes widget: display left/right turn together","https://github.com/osmandapp/OsmAnd/issues/8656"
"2020-3/10","null","[Feature request] make GPX display dependent on profile","https://github.com/osmandapp/OsmAnd/issues/8658"
"2020-3/11","null","OsmAnd Tracker: select language (widget)","https://github.com/osmandapp/OsmAnd/issues/8661"
"2020-3/12","null","[Bug] Profile appearance: can't save or change the icon if keyboard is on the screen","https://github.com/osmandapp/OsmAnd/issues/8663"
"2020-3/12","2020-6/8","[Request] Show ruler above context menu","https://github.com/osmandapp/OsmAnd/issues/8665"
"2020-3/12","2020-3/24","Defibrillators are no more displayed via POI overlay","https://github.com/osmandapp/OsmAnd/issues/8666"
"2020-3/13","null","Wrong routing with multipolygons","https://github.com/osmandapp/OsmAnd/issues/8672"
"2020-3/14","null"," Correct translation of urban block into Spanish","https://github.com/osmandapp/OsmAnd/issues/8673"
"2020-3/14","null","The stop name is wrong in ""nearby routes"" view","https://github.com/osmandapp/OsmAnd/issues/8674"
"2020-3/14","null","""shadowColor only"" line overlay","https://github.com/osmandapp/OsmAnd/issues/8675"
"2020-3/14","null","Interpret and translate more expressions in start_date=*","https://github.com/osmandapp/OsmAnd/issues/8676"
"2020-3/14","2023-2/14","Search: results after not sorted by distance","https://github.com/osmandapp/OsmAnd/issues/8677"
"2020-3/15","2020-3/18","Split interval screen falsely displays '0' as the total track distance","https://github.com/osmandapp/OsmAnd/issues/8679"
"2020-3/17","2020-3/17","My Places/Tracks shows wrong checkbox status of headlines","https://github.com/osmandapp/OsmAnd/issues/8684"
"2020-3/17","2021-5/3","Simplify the UI by retiring the Show GPX data dialog","https://github.com/osmandapp/OsmAnd/issues/8685"
"2020-3/17","2020-10/15","Add “hasFragileUserData”  + Update target sdk 29","https://github.com/osmandapp/OsmAnd/issues/8686"
"2020-3/17","null","[Feature request] - I call it ""Explore Mode""","https://github.com/osmandapp/OsmAnd/issues/8688"
"2020-3/18","null","[Feature request] stop OsmAnd from calculating route","https://github.com/osmandapp/OsmAnd/issues/8689"
"2020-3/18","null","UI: use space moreefficient on small (1024x600px) displays","https://github.com/osmandapp/OsmAnd/issues/8690"
"2020-3/18","2020-5/4","Quick action: Add option to delete all actions","https://github.com/osmandapp/OsmAnd/issues/8691"
"2020-3/18","null","Quick action: Increase name filed depend on line size","https://github.com/osmandapp/OsmAnd/issues/8692"
"2020-3/18","2020-4/9","Profile appearance: Strange scroll appear after select different icon/color","https://github.com/osmandapp/OsmAnd/issues/8693"
"2020-3/18","2020-3/18","Profile appearance: After taping Save button, Dismiss dialog shows","https://github.com/osmandapp/OsmAnd/issues/8694"
"2020-3/19","2020-3/23","Navigation issue for the pedestrian route","https://github.com/osmandapp/OsmAnd/issues/8696"
"2020-3/20","null","[Feature request] Left panel widget","https://github.com/osmandapp/OsmAnd/issues/8698"
"2020-3/20","null","Public transport UI issue","https://github.com/osmandapp/OsmAnd/issues/8699"
"2020-3/20","null","No favorites in search, if favorites group is disabled","https://github.com/osmandapp/OsmAnd/issues/8700"
"2020-3/20","null","'state=proposed' cycle routes","https://github.com/osmandapp/OsmAnd/issues/8701"
"2020-3/21","2020-3/31","Map details at zoom level 11 uncomplete, ","https://github.com/osmandapp/OsmAnd/issues/8702"
"2020-3/23","null","Daily folders option for recoded gpx tracks vanished","https://github.com/osmandapp/OsmAnd/issues/8704"
"2020-3/23","2020-4/10","Audio Delay in all modes.","https://github.com/osmandapp/OsmAnd/issues/8706"
"2020-3/23","2020-4/16","Poland: fix road-only map not updated since 2019","https://github.com/osmandapp/OsmAnd/issues/8707"
"2020-3/25","2020-4/20","[Feature request] display gas station POIs during navigation with long routes","https://github.com/osmandapp/OsmAnd/issues/8709"
"2020-3/25","null","[Feature request] create social network for the exchange of routes","https://github.com/osmandapp/OsmAnd/issues/8710"
"2020-3/25","2020-5/8","XXE in Osmand","https://github.com/osmandapp/OsmAnd/issues/8711"
