"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"Plugin to manipulate gpx points/routes/track on map","2014-5/25","2014-8/25","2014-5/25",False,"null",4,2113,9
"Basemap download type fix","2014-5/26","2014-5/26","2014-5/26",True,"2014-5/26",2,1,1
"Update strings.xml","2014-5/27","2014-5/27","2014-5/27",True,"2014-5/27",2,1,1
"fix command name","2014-5/29","2014-5/29","2014-5/29",True,"2014-5/29",2,1,1
"fix some words for OsMo","2014-5/29","2014-5/29","2014-5/29",True,"2014-5/29",2,4,4
"fix string","2014-5/29","2014-5/29","2014-5/29",True,"2014-5/29",2,2,2
"fix","2014-5/29","2014-5/29","2014-5/29",False,"null",2,3,2
"Update strings.xml","2014-5/29","2014-5/29","2014-5/29",False,"null",2,1,1
"fix osmo for russian language","2014-5/29","2014-5/29","2014-5/29",True,"2014-5/29",2,13,13
"fix osmo for russian language","2014-5/30","2014-5/30","2014-5/30",True,"2014-5/30",2,2,2
"fix osmo for russian language","2014-5/30","2014-6/30","2014-5/30",False,"null",1,2,2
"fix osmo for russian language","2014-6/1","2014-6/1","2014-6/1",True,"2014-6/1",2,2,2
"My very first pull request.","2014-6/1","2014-6/1","2014-6/1",True,"2014-6/1",2,433,123
"Fix typo in strings.xml","2014-6/2","2014-6/2","2014-6/2",True,"2014-6/2",2,1,1
"Typographic fixes in strings.xml","2014-6/3","2014-6/3","2014-6/3",True,"2014-6/3",2,9,9
"Updated sherpafy functionality. UI and functionality improvements.","2014-6/3","2014-6/3","2014-6/3",True,"2014-6/3",2,262,142
"Moved loading indicator from settings to backtolocation.","2014-6/4","2014-6/4","2014-6/4",True,"2014-6/4",2,29,9
"Fix typo 'leavs' in strings.xml","2014-6/4","2014-6/4","2014-6/4",True,"2014-6/4",2,1,1
"Large updation to description filed in stage.","2014-6/5","2014-6/5","2014-6/5",True,"2014-6/5",2,70,11
"Update strings.xml","2014-6/5","2014-6/5","2014-6/5",True,"2014-6/5",2,15,4
"Updates to sherpafy.","2014-6/7","2014-6/7","2014-6/7",True,"2014-6/7",2,47,6
"Fix route info string","2014-6/7","2014-6/7","2014-6/7",True,"2014-6/7",2,1,1
"as of June 2014, OpenRouteService is NO longer outdated","2014-6/8","2014-6/8","2014-6/8",True,"2014-6/8",2,1,1
"Update strings.xml","2014-6/9","2014-6/9","2014-6/9",False,"null",3,5,5
"Consts for addr:place=* and place=neighbourhood.","2014-6/10","2014-6/10","2014-6/10",True,"2014-6/10",2,2,1
"Some update for Russian OsMo values","2014-6/10","2014-6/10","2014-6/10",True,"2014-6/10",2,4,4
"Update strings.xml","2014-6/10","2014-6/10","2014-6/10",True,"2014-6/10",2,40,10
"First implementation of route steps plugin.","2014-6/11","2014-6/11","2014-6/11",True,"2014-6/11",2,819,49
"Update and delete some duplicates","2014-6/12","2014-6/12","2014-6/12",True,"2014-6/12",2,8,14
"Update strings.xml","2014-6/12","2014-6/12","2014-6/12",False,"null",2,21,15
"Puts proper user info in live monitoring url.","2014-6/14","2014-6/14","2014-6/14",True,"2014-6/14",2,2,4
"Update strings.xml","2014-6/15","2014-6/15","2014-6/15",True,"2014-6/15",2,28,22
"Vie = take (away) -> export, Tuo = bring -> import","2014-6/18","2014-6/18","2014-6/18",True,"2014-6/18",2,2,2
"Fixes to route points plugin.","2014-6/19","2014-6/19","2014-6/19",True,"2014-6/19",2,9,4
"Added navigation dialog.","2014-6/19","2014-6/19","2014-6/19",True,"2014-6/19",2,8,1
"Switch OpenStreetMap API to TLS","2014-6/19","2014-6/19","2014-6/19",True,"2014-6/19",2,83,19
"Added routepoints layer.","2014-6/20","2014-6/20","2014-6/20",True,"2014-6/20",2,239,57
"Fixed issue with app crush on start navigation.","2014-6/23","2014-6/23","2014-6/23",True,"2014-6/23",2,10,6
"increased text size","2014-6/23","2014-6/23","2014-6/23",True,"2014-6/23",2,4,1
"Added typedvalue for text size.","2014-6/24","2014-6/24","2014-6/24",True,"2014-6/24",2,3,2
"fixed bug OsmAnd-androidAND-85 in Jira. One click with 2 fingers, automa...","2014-6/24","2014-6/24","2014-6/24",True,"2014-6/24",2,156,87
"Fix to Jira bug 107","2014-6/24","2014-6/24","2014-6/24",True,"2014-6/24",2,8,1
"Fixed issue with multiline in report bug dialogue.","2014-6/25","2014-6/25","2014-6/25",True,"2014-6/25",2,41,24
"fixed bug with not appling light theme to My Favorites.","2014-6/25","2014-6/25","2014-6/25",True,"2014-6/25",2,2,1
"Fixed issue 2328","2014-6/25","2014-6/25","2014-6/25",True,"2014-6/25",2,2,1
"Bugfixes to RouteSteps plugin.","2014-6/25","2014-6/25","2014-6/25",True,"2014-6/25",2,53,26
"Fixed issue with stroke for routepoints and also navigation dialog disabled for route points track.","2014-6/26","2014-6/26","2014-6/26",False,"null",2,14,7
"Fixed issue with RoutePoints stroke.","2014-6/26","2014-6/26","2014-6/26",True,"2014-6/26",2,7,3
"fixed bug http://jira.osmand.net:8085/secure/RapidBoard.jspa?rapidView=3&view=planning&selectedIssue=AND-92","2014-6/26","2014-6/26","2014-6/26",True,"2014-6/26",2,4,0
"RoutePointsPlugin: added functionality to package as delivered/not delivered.","2014-6/30","2014-6/30","2014-6/30",True,"2014-6/30",2,155,49
"Fixed bugs 104 and 87 in jira","2014-7/1","2014-7/1","2014-7/1",True,"2014-7/1",3,88,8
