['additions'],['closedAt'],['createdAt'],['deletions'],['merged'],['mergedAt'],['paticipants'],['publishedAt'],['title']
2,2011-2/2,2011-2/2,0,False,,2,2011-2/2,Issue317
529,2011-4/2,2011-4/2,972,False,,3,2011-4/2,Untitled
12,2011-6/12,2011-4/12,1,False,,2,2011-4/12,Another take on issue 293. After downloading offline vector data the user
210,2011-5/22,2011-4/22,70,False,,2,2011-4/22,issue #298
29,2011-4/22,2011-4/22,19,True,2011-4/22,2,2011-4/22,New french translation
43,2011-6/5,2011-5/5,0,False,,2,2011-5/5,"Added Eniro and Statkart maps - covers NO, SE, DK, + some FI and PL to TileSourceManager.java."
125709,2011-8/20,2011-5/20,0,False,,5,2011-5/20,Correction to issue #352
315,2011-5/29,2011-5/29,4,True,2011-5/29,2,2011-5/29,update Czech translation
1,2011-5/29,2011-5/29,1,True,2011-5/29,2,2011-5/29,extend zoom level for Cykloatlas CZ
1,2011-5/30,2011-5/30,0,False,,1,2011-5/30,add hill shading for Cykloatlas
1,2011-6/30,2011-5/30,0,True,2011-6/30,2,2011-5/30,add Cykloatlas hill shading
89,2011-6/31,2011-5/31,0,True,2011-6/31,2,2011-5/31,hungarian translation update
30,2011-6/2,2011-6/2,0,True,2011-6/2,2,2011-6/2,update Czech translation
3,2011-6/5,2011-6/5,0,True,2011-6/5,2,2011-6/5,fix NullPointerException at startup without the tiles directory
129442,2011-12/8,2011-6/8,0,False,,8,2011-6/8,Altitute info in right side of screen
19,2011-6/13,2011-6/13,0,True,2011-6/13,2,2011-6/13,hungarian translation update
452,2011-6/13,2011-6/13,231,True,2011-6/13,2,2011-6/13,Edited OsmAnd/res/values-de/strings.xml via GitHub
129,2011-6/13,2011-6/13,130,False,,2,2011-6/13,Updated Elnglish translation
68,2011-6/14,2011-6/14,56,True,2011-6/14,2,2011-6/14,Completed and fine-tuned translations
92,2011-6/14,2011-6/14,71,True,2011-6/14,2,2011-6/14,Fine-tuned German translation
3,2011-6/14,2011-6/14,4,True,2011-6/14,2,2011-6/14,Edited OsmAnd/res/values/strings.xml via GitHub
19,2011-6/14,2011-6/14,19,True,2011-6/14,2,2011-6/14,Edited OsmAnd/res/values/strings.xml via GitHub
3,2011-6/14,2011-6/14,3,True,2011-6/14,2,2011-6/14,Edited OsmAnd/res/values/strings.xml via GitHub
15,2011-6/15,2011-6/15,15,True,2011-6/15,2,2011-6/15,Edited OsmAnd/res/values-de/strings.xml via GitHub
2,2011-6/15,2011-6/15,2,False,,2,2011-6/15,Edited OsmAnd/res/values/strings.xml via GitHub
55,2011-6/16,2011-6/16,5,False,,1,2011-6/16,update Czech translation
55,2011-6/16,2011-6/16,5,True,2011-6/16,2,2011-6/16,update Czech translation
226,2011-6/26,2011-6/26,234,True,2011-6/26,2,2011-6/26,Update Portuguese strings.xml translations
1,2011-7/5,2011-7/5,6,True,2011-7/5,2,2011-7/5,strings-jp: fix build
52,2011-7/11,2011-7/11,19,True,2011-7/11,2,2011-7/11,Change UI in select layer menu
96,2011-7/11,2011-7/11,23,False,,3,2011-7/11,Patch 10
46,2011-7/12,2011-7/12,7,True,2011-7/12,2,2011-7/12,Improve search online UI :
50,2011-7/15,2011-7/15,6,True,2011-7/15,2,2011-7/15,update Czech translation
58,2011-8/1,2011-8/1,15,True,2011-8/1,2,2011-8/1,Some lines with new Hungarian translation
3,2011-8/3,2011-8/3,1,True,2011-8/3,2,2011-8/3,update Czech translation
42,2011-8/3,2011-8/3,41,True,2011-8/3,2,2011-8/3,correct Czech translation
35,2011-8/24,2011-8/24,0,True,2011-8/24,2,2011-8/24,New strings translated to Czech.
2,2011-8/24,2011-8/24,2,True,2011-8/24,1,2011-8/24,Use full 3 digit resolution in distance display - very useful for off-road navigation.
44,2011-8/24,2011-8/24,4,True,2011-8/24,1,2011-8/24,Completed French strings from Issue 615. Improved de srings.
2,2011-8/24,2011-8/24,2,True,2011-8/24,1,2011-8/24,removed 'items' im Offline Data Manager to make list less crowded.
1,2011-8/24,2011-8/24,1,True,2011-8/24,1,2011-8/24,Improved de strings. Completed French strings from Issue 615. removed 'elements' im Offline Data Manager to make list less crowded.
4,2011-8/25,2011-8/25,4,True,2011-8/25,1,2011-8/25,removed 'items' string in cz ans sk to make offline data manager list less crowded
10,2011-8/25,2011-8/25,0,True,2011-8/25,1,2011-8/25,implement moreDetail switch (1)
1,2011-8/25,2011-8/25,0,True,2011-8/25,1,2011-8/25,implement moreDetail switch (2)
8,2011-8/25,2011-8/25,8,True,2011-8/25,1,2011-8/25,implement moreDetail switch (3)
8,2011-8/25,2011-8/25,8,True,2011-8/25,1,2011-8/25,"implement moreDetail switch (backout 3, need to continue later)"
52,2011-8/25,2011-8/25,46,True,2011-8/25,2,2011-8/25,implement moreDetail switch (4)
1,2011-8/27,2011-8/27,1,True,2011-8/27,2,2011-8/27,Edited config/site/tile_sources.xml via GitHub
5,2011-8/28,2011-8/28,2,True,2011-8/28,2,2011-8/28,Edited config/site/tile_sources.xml via GitHub
3,2011-8/28,2011-8/28,0,True,2011-8/28,2,2011-8/28,Edited config/site/tile_sources.xml via GitHub
519,2011-8/28,2011-8/28,242,False,,1,2011-8/28,Fixed issue #352 multiple same street names in one city
519,2011-8/29,2011-8/29,242,True,2011-8/29,1,2011-8/29,Fixed issue 352 and some other refactorings
0,2011-8/29,2011-8/29,0,True,2011-8/29,1,2011-8/29,Fix asset's name
16,2011-8/29,2011-8/29,2,True,2011-8/29,1,2011-8/29,New strings translated to Czech.
49,2011-9/1,2011-9/1,0,True,2011-9/1,2,2011-9/1,new strings translated
96,2011-9/2,2011-9/2,28,True,2011-9/2,1,2011-9/2,Make streets close to each other as one street.
18,2011-9/7,2011-9/7,0,True,2011-9/7,2,2011-9/7,New strings translated to Hungarian lang.
1,2011-9/7,2011-9/7,1,True,2011-9/7,1,2011-9/7,"It's only a test, with correcting one typo. Sorry!"
19,2011-9/9,2011-9/9,1,True,2011-9/9,2,2011-9/9,Strings from version 0.6.7 translated to Czech
90,2011-9/9,2011-9/9,42,True,2011-9/9,2,2011-9/9,Czech voice navigation optimized for the SVOX TTS engine. 
16,2011-9/9,2011-9/9,16,True,2011-9/9,2,2011-9/9,Edited OsmAnd/voice/it-tts/_ttsconfig.p via GitHub
7,2011-9/10,2011-9/10,7,True,2011-9/10,2,2011-9/10,Edited OsmAnd/res/values-de/strings.xml via GitHub
88,2011-9/10,2011-9/10,89,False,,1,2011-9/10,some edits and comments on findRouteSegment. Removed sqrt
16,2011-9/10,2011-9/10,15,True,2011-9/10,3,2011-9/10,"changed priorities, OSM mappers advice"
32,2011-9/12,2011-9/12,43,False,,3,2011-9/12,some edits and comments on findRouteSegment. Removed sqrt
21,2011-9/13,2011-9/13,21,True,2011-9/13,2,2011-9/13,MessageFormat did not work when sharing a position
36,2011-9/14,2011-9/14,33,False,,2,2011-9/14,download progress bar
48,2011-9/17,2011-9/17,37,True,2011-9/17,3,2011-9/17,download progress bar
17,2011-9/17,2011-9/17,4,True,2011-9/17,2,2011-9/17,italian translation
18,2011-9/18,2011-9/18,2,True,2011-9/18,2,2011-9/18,"Translated ""search location"" strings to CZ"
30,2011-10/18,2011-9/18,15,True,2011-10/18,3,2011-9/18,edit squareroots and proposal for offline routing
50,2011-9/19,2011-9/19,44,True,2011-9/19,2,2011-9/19,optimizations from http://developer.android.com/guide/practices/design/pe
6,2011-9/21,2011-9/21,6,True,2011-9/21,2,2011-9/21,corrected translation
90,2011-12/21,2011-9/21,77,False,,3,2011-9/21,small optimizations
18,2011-9/22,2011-9/22,2,True,2011-9/22,2,2011-9/22,new and updated Hungarian strings
1,2011-10/30,2011-9/30,0,True,2011-10/30,2,2011-9/30,Based on https://groups.google.com/d/topic/osmand/wQzZheGFQp0/discussion 
1,2011-9/30,2011-9/30,1,True,2011-9/30,2,2011-9/30,"works well with dash and bash, have not tested with other shell..."
14,2011-9/30,2011-9/30,0,True,2011-9/30,2,2011-9/30,elevation lines rendering.xml based on all-purpose.xml
1,2011-10/3,2011-10/3,1,True,2011-10/3,2,2011-10/3,change dependency to default
13,2011-10/3,2011-10/3,0,True,2011-10/3,2,2011-10/3,hungarian translation
41,2011-10/4,2011-10/4,41,True,2011-10/4,2,2011-10/4,Corrections
657,2011-10/4,2011-10/4,664,False,,3,2011-10/4,Next part of polish translation and minor changes of code formatting.
27,2011-10/5,2011-10/5,27,True,2011-10/5,2,2011-10/5,Translated some strings to polish and corrected few typos.
106,2011-10/5,2011-10/5,106,True,2011-10/5,2,2011-10/5,Next part of polish translation (almost finish).
87,2011-10/6,2011-10/6,34,False,,3,2011-10/6,Rendering Improvement
34,2011-10/7,2011-10/7,18,True,2011-10/7,2,2011-10/7,updated Hungarian translation
1,2011-10/8,2011-10/8,1,False,,3,2011-10/8,Patch 1
216,2011-10/9,2011-10/9,141,False,,3,2011-10/9,The new approach for drawing streets.
45,2011-10/10,2011-10/10,9,True,2011-10/10,2,2011-10/10,italian translation
15,2011-10/10,2011-10/10,9,True,2011-10/10,2,2011-10/10,Nice roads
1,2011-10/10,2011-10/10,0,False,,1,2011-10/10,It's needed for hiking.render.xml to work...
29,2011-10/11,2011-10/11,8,True,2011-10/11,2,2011-10/11,Fix calculation of Sunrise and Sunset times
11,2011-10/11,2011-10/11,7,True,2011-10/11,2,2011-10/11,updated Hungarian translation
58,2011-10/13,2011-10/13,36,True,2011-10/13,2,2011-10/13,"Updating and translating new strings of v0.6.8, minor fixes"
6,2011-10/15,2011-10/15,0,False,,1,2011-10/15,Elevation lines rendering in default.render.xml
32,2011-10/17,2011-10/17,28,True,2011-10/17,2,2011-10/17,Added the newest strings
6,2011-10/17,2011-10/17,7,False,,1,2011-10/17,Small update
8,2011-10/17,2011-10/17,1,True,2011-10/17,2,2011-10/17,updated Hungarian translation
9,2011-10/18,2011-10/18,9,True,2011-10/18,2,2011-10/18,Next try of translation the lastest strings (see pull rq #96)
1115,2011-10/20,2011-10/20,368,False,,2,2011-10/20,Issue 168: Offline POI adding
4,2011-10/22,2011-10/22,0,False,,1,2011-10/22,Hungarian translation
5,2011-10/22,2011-10/22,1,False,,1,2011-10/22,default.render.xml with elevation lines fork after 32829aed2f
73091,2011-11/22,2011-10/22,1632,True,2011-11/22,6,2011-10/22,default rendering with elevation lines and hungarian translation
18,2011-11/23,2011-10/23,21,True,2011-11/23,3,2011-10/23,Issue 168: Offline POI adding / Enhancements
2,2011-10/23,2011-10/23,2,True,2011-10/23,2,2011-10/23,Fixed sunset time calculation
1,2011-10/29,2011-10/29,1,True,2011-10/29,2,2011-10/29,"Translation of sustenance, now: Gastronomie"
48,2011-10/29,2011-10/29,0,True,2011-10/29,2,2011-10/29,Translated new strings into Czech
4,2011-11/31,2011-10/31,0,True,2011-11/31,2,2011-10/31,Hungarian translation
12,2011-11/13,2011-11/13,6,True,2011-11/13,2,2011-11/13,Complete polish strings.
4,2011-11/20,2011-11/20,1,True,2011-11/20,2,2011-11/20,Updated Hungarian translation
2,2011-11/22,2011-11/22,3,True,2011-11/22,2,2011-11/22,"utf8 ""typo"""
1114,2011-12/24,2011-11/24,368,True,2011-12/24,2,2011-11/24,Issue 168: Offline POI adding / Enhancements
3,2011-11/25,2011-11/25,2,True,2011-11/25,2,2011-11/25,Update OsmAnd/res/values-pt/strings.xml
397,2011-11/25,2011-11/25,394,True,2011-11/25,2,2011-11/25,Hungarian translation update and full review
5,2011-11/26,2011-11/26,5,False,,2,2011-11/26,Update OsmAnd/res/values-de/strings.xml
60,2011-11/26,2011-11/26,60,True,2011-11/26,2,2011-11/26,"First change to german language file, hope that the pull works now"
3,2011-11/27,2011-11/27,1,True,2011-11/27,2,2011-11/27,"Minor corrections, ""native library"" strings translated"
18,2011-12/5,2011-12/5,0,True,2011-12/5,2,2011-12/5,Translated strings from version 0.6.9 into Czech
