"createdAt","closedAt","title","url"
"2021-12/24","2021-12/24","KodExplorer-detect","https://github.com/projectdiscovery/nuclei-templates/issues/3410"
"2021-12/26","2021-12/28","Acrolinx Dashboard Pannel","https://github.com/projectdiscovery/nuclei-templates/issues/3427"
"2021-12/26","2021-12/28","Adminset-Pannel","https://github.com/projectdiscovery/nuclei-templates/issues/3428"
"2021-12/27","2021-12/28","CVE-2020-11546","https://github.com/projectdiscovery/nuclei-templates/issues/3433"
"2021-12/29","null","Cookie extractor with headless","https://github.com/projectdiscovery/nuclei-templates/issues/3440"
"2021-12/31","2021-12/31","Duplicate template (Linkerd SSRF)","https://github.com/projectdiscovery/nuclei-templates/issues/3459"
"2022-1/4","2022-2/22","Absence of ""max-size"" parameter on ""keys"" templates result False Negatives","https://github.com/projectdiscovery/nuclei-templates/issues/3477"
"2022-1/7","2022-1/7","test-cgi-script-leaking-environment-variables.yaml","https://github.com/projectdiscovery/nuclei-templates/issues/3495"
"2022-1/10","2022-1/10","gocron-panel","https://github.com/projectdiscovery/nuclei-templates/issues/3510"
"2022-1/10","2022-4/16","Cors-misconfig TODO and enhancement ","https://github.com/projectdiscovery/nuclei-templates/issues/3513"
"2022-1/11","null","network-Incomplete data flow","https://github.com/projectdiscovery/nuclei-templates/issues/3517"
"2022-1/12","2022-1/12","duplicate template","https://github.com/projectdiscovery/nuclei-templates/issues/3522"
"2022-1/17","2022-1/17","Could not run nuclei: no valid templates were found on FUZZING Directory","https://github.com/projectdiscovery/nuclei-templates/issues/3548"
"2022-1/18","2022-6/14","Elementor < 3.4.8 - DOM Cross-Site-Scripting","https://github.com/projectdiscovery/nuclei-templates/issues/3553"
"2022-1/18","2022-1/19","Exposed concrete5 Installation","https://github.com/projectdiscovery/nuclei-templates/issues/3554"
"2022-1/18","2022-1/19","Bitrix24 CMS bypass CVE-2020-13483","https://github.com/projectdiscovery/nuclei-templates/issues/3558"
"2022-1/19","2022-1/19","apc-file-leak","https://github.com/projectdiscovery/nuclei-templates/issues/3561"
"2022-1/20","2022-1/21","AWStats 6.95/7.0 - 'awredir.pl' Cross-Site Scripting","https://github.com/projectdiscovery/nuclei-templates/issues/3569"
"2022-1/20","2022-1/22","CVE-2021-40438 false negative","https://github.com/projectdiscovery/nuclei-templates/issues/3570"
"2022-1/21","2022-1/21","NTLM Directories doesn't run","https://github.com/projectdiscovery/nuclei-templates/issues/3572"
"2022-1/23","2022-1/23","WP Visitor Statistics (Real Time Traffic) WordPress plugin before 4.8 SQLI Poc","https://github.com/projectdiscovery/nuclei-templates/issues/3583"
"2022-1/25","2022-1/25","[nuclei-template] CVE-2021-24838 AnyComment <= 0.2.21 - Open Redirect","https://github.com/projectdiscovery/nuclei-templates/issues/3598"
"2022-1/25","2022-1/26","Could not run nuclei: no valid templates were found","https://github.com/projectdiscovery/nuclei-templates/issues/3601"
"2022-1/26","2022-1/27","openbmcs-detect","https://github.com/projectdiscovery/nuclei-templates/issues/3609"
"2022-1/26","2022-2/24","Multiple backup file detection","https://github.com/projectdiscovery/nuclei-templates/issues/3610"
"2022-1/27","2022-1/29","jsf-detection.yaml + detect primefaces + detect richfaces","https://github.com/projectdiscovery/nuclei-templates/issues/3617"
"2022-1/29","2022-2/1","AntSword_bypass_disable_functions_shell","https://github.com/projectdiscovery/nuclei-templates/issues/3628"
"2022-1/30","2022-1/31","template CVE-2020-35489 may be wrong","https://github.com/projectdiscovery/nuclei-templates/issues/3636"
"2022-1/31","null","AWS metadata template","https://github.com/projectdiscovery/nuclei-templates/issues/3639"
"2022-1/31","2022-2/6","CVE-2021-26086.yaml","https://github.com/projectdiscovery/nuclei-templates/issues/3640"
"2022-2/5","null","careercast-takeover","https://github.com/projectdiscovery/nuclei-templates/issues/3669"
"2022-2/10","2022-3/26","token-spray api-cloudflare","https://github.com/projectdiscovery/nuclei-templates/issues/3690"
"2022-2/13","2022-2/14","Cobbler provisioning server Templates","https://github.com/projectdiscovery/nuclei-templates/issues/3696"
"2022-2/16","2022-2/16","Make severity level ""unknown""","https://github.com/projectdiscovery/nuclei-templates/issues/3713"
"2022-2/17","2022-2/17","Consul CVE-2020-25864 and version detection through API ","https://github.com/projectdiscovery/nuclei-templates/issues/3718"
"2022-2/18","2022-2/23","xray_yaml","https://github.com/projectdiscovery/nuclei-templates/issues/3723"
"2022-2/18","2023-1/26","False Negative Open redirect","https://github.com/projectdiscovery/nuclei-templates/issues/3726"
"2022-2/19","2022-3/21","False positive CVE-2020-35489","https://github.com/projectdiscovery/nuclei-templates/issues/3733"
"2022-2/20","2022-2/23","Find Pypicloud instance and login pane","https://github.com/projectdiscovery/nuclei-templates/issues/3739"
"2022-2/23","2022-2/23","How to use cookie-reuse in Attack mode","https://github.com/projectdiscovery/nuclei-templates/issues/3754"
"2022-2/23","2022-3/1","Token-Spray api-launchdarkly","https://github.com/projectdiscovery/nuclei-templates/issues/3764"
"2022-2/24","2023-4/17","Cache Poisoning Based Stored XSS","https://github.com/projectdiscovery/nuclei-templates/issues/3767"
"2022-2/25","2022-2/25","Netflix Conductor UI detection","https://github.com/projectdiscovery/nuclei-templates/issues/3769"
"2022-2/25","2022-2/25","Netflix Conductor Version Detection","https://github.com/projectdiscovery/nuclei-templates/issues/3770"
"2022-2/25","2022-3/1","RackN Digital Rebar provision UI detection","https://github.com/projectdiscovery/nuclei-templates/issues/3779"
"2022-2/25","2022-3/6","RackN Digital Rebar provision default login detection","https://github.com/projectdiscovery/nuclei-templates/issues/3780"
"2022-2/25","2022-5/24","RackN Digital Rebar provision - Directory traversal ","https://github.com/projectdiscovery/nuclei-templates/issues/3781"
"2022-2/26","2022-12/2","error poc CVE-2022-23131.yaml","https://github.com/projectdiscovery/nuclei-templates/issues/3784"
"2022-2/26","2022-7/14","CVE-2022-24086 Help needed","https://github.com/projectdiscovery/nuclei-templates/issues/3787"
"2022-2/26","2022-8/23","CVE-2019-20933 - InfluxDB authentication bypass","https://github.com/projectdiscovery/nuclei-templates/issues/3788"
"2022-2/26","2022-12/2","InfluxDB Version Detection","https://github.com/projectdiscovery/nuclei-templates/issues/3789"
