"createdAt","closedAt","title","url"
"2021-2/24","null","Allow to set the enum value for the operand.","https://github.com/rizinorg/rizin/issues/697"
"2021-2/24","2022-1/8","Sort out the `ah*` commands","https://github.com/rizinorg/rizin/issues/698"
"2021-2/24","2021-3/2","core plugins should be registered *after* the basic commands are registered","https://github.com/rizinorg/rizin/issues/701"
"2021-2/24","2021-12/11","Diff between local run and CI run (rz-test)","https://github.com/rizinorg/rizin/issues/702"
"2021-2/24","null","Documentation - Creating a Rizin plugin","https://github.com/rizinorg/rizin/issues/704"
"2021-2/23","2021-9/24","Serialize Breakpoints to Projects","https://github.com/rizinorg/rizin/issues/707"
"2021-2/24","null","Serialize RzIO to Projects","https://github.com/rizinorg/rizin/issues/713"
"2021-2/24","null","Serialize RzBin to Projects","https://github.com/rizinorg/rizin/issues/714"
"2021-2/25","2021-2/26","RzCmd allows to set `default_value` property to an optional argument but does not pass that value","https://github.com/rizinorg/rizin/issues/718"
"2021-2/25","null","Update `librz/magic` to the latest from OpenBSD","https://github.com/rizinorg/rizin/issues/721"
"2021-2/26","2021-12/2","Windows 10 x86 - Building Rizin with clang-cl is not possible","https://github.com/rizinorg/rizin/issues/726"
"2021-2/26","2022-1/25","Add an API for the C syntax output","https://github.com/rizinorg/rizin/issues/727"
"2021-2/26","2022-3/21","Windows 10 x86 - Building Rizin with clang and llvm-rc linker is not possible","https://github.com/rizinorg/rizin/issues/730"
"2021-2/27","2021-3/3","Linux x64 - Cross-arch static compilation to x86 requires static_runtime=true","https://github.com/rizinorg/rizin/issues/735"
"2021-2/28","null","Onboading guide to aid newbies understand the codebase","https://github.com/rizinorg/rizin/issues/736"
"2021-3/1","2022-5/6","Group dist files under dist/ directory","https://github.com/rizinorg/rizin/issues/743"
"2021-3/1","2021-3/16","The configuration variable `asm.fcn.signature` is not working properly","https://github.com/rizinorg/rizin/issues/744"
"2021-3/2","2022-7/2","Backports from radare2","https://github.com/rizinorg/rizin/issues/747"
"2021-3/2","2021-3/5","Remove io_rbuf","https://github.com/rizinorg/rizin/issues/751"
"2021-3/2","null","There seems to be no way to determine the base of a number when there are no analysis hints defined","https://github.com/rizinorg/rizin/issues/752"
"2021-3/3","2021-3/29","Rizin segfaults with Tree-Sitter 0.19.x","https://github.com/rizinorg/rizin/issues/755"
"2021-3/3","2021-6/29","Segfault when printing disassembly ","https://github.com/rizinorg/rizin/issues/759"
"2021-3/4","2021-3/4","Debugger stepping - `ds` => step opcode - `dsi` => step instruction","https://github.com/rizinorg/rizin/issues/761"
"2021-3/4","null","Debug - Use a trailing `b` to perform the action backwards","https://github.com/rizinorg/rizin/issues/762"
"2021-3/4","null","Debug persistent tracing - `-t` flag","https://github.com/rizinorg/rizin/issues/765"
"2021-3/4","2022-5/11","User friendly way for searching in a defined memory map","https://github.com/rizinorg/rizin/issues/766"
"2021-3/4","2021-4/22","Meta-D - Delete the content under the cursor until the next word boundary to the right","https://github.com/rizinorg/rizin/issues/767"
"2021-3/5","2021-3/9","`/a jmp rsp @{$(dmm ~rizin[0,1])}` is not working","https://github.com/rizinorg/rizin/issues/773"
"2021-3/7","2021-3/7","pyc related plugins are not loaded","https://github.com/rizinorg/rizin/issues/780"
"2021-3/8","null","Colorize the `pf` output (especially in `rizin -nn binary` case) ","https://github.com/rizinorg/rizin/issues/782"
"2021-3/8","null","`pf` enhancements","https://github.com/rizinorg/rizin/issues/783"
"2021-3/8","2021-9/4","Convert `i` commands to newshell","https://github.com/rizinorg/rizin/issues/786"
"2021-3/8","2021-10/15","Convert `C` (cmd_meta.c) commands to rzshell","https://github.com/rizinorg/rizin/issues/792"
"2021-3/9","2022-1/13","4-byte strings (`wchar*`) recognized inconsistently","https://github.com/rizinorg/rizin/issues/802"
"2021-3/9","2021-3/16","rz-asm crashed when parsing python bytecode","https://github.com/rizinorg/rizin/issues/803"
"2021-3/10","2021-3/18","Add tests for ""pyc"" (python bytecode) plugins","https://github.com/rizinorg/rizin/issues/805"
"2021-3/10","2021-9/17","debugger uses cmd.prompt/dbg.status to update flags","https://github.com/rizinorg/rizin/issues/807"
"2021-3/12","null","Update binutils code to the latest binutils","https://github.com/rizinorg/rizin/issues/814"
"2021-3/12","null","Relocate automatically overlapping sections in object files.","https://github.com/rizinorg/rizin/issues/815"
"2021-3/12","2021-12/15","FLIRT implementation and testing signatures","https://github.com/rizinorg/rizin/issues/817"
"2021-3/15","null","Allow user to configure runtime exceptions to intercept","https://github.com/rizinorg/rizin/issues/823"
"2021-3/9","2021-3/17","asm.size leads to wrong string length being displayed","https://github.com/rizinorg/rizin/issues/827"
"2021-3/15","2021-8/19","Non-deterministic test failure in db/cmd/write","https://github.com/rizinorg/rizin/issues/828"
"2021-3/16","null","Unbreak broken tests","https://github.com/rizinorg/rizin/issues/834"
"2021-3/16","2021-3/16","The testsuite if broken on some architectures","https://github.com/rizinorg/rizin/issues/837"
"2021-3/16","2021-3/30","Refactor RzBinFile.sdb_addrinfo out of Sdb","https://github.com/rizinorg/rizin/issues/843"
"2021-3/17","2021-4/2","Wrong demangling of `__TIFFSwab16BitData`","https://github.com/rizinorg/rizin/issues/851"
"2021-3/17","null","Unreliable HTTP Test","https://github.com/rizinorg/rizin/issues/854"
"2021-3/19","2021-3/25","Explain RZ_OWN, RZ_BORROW, etc in developers documentation","https://github.com/rizinorg/rizin/issues/863"
"2021-3/19","2022-5/16","Show current flag in the command prompt, near the address","https://github.com/rizinorg/rizin/issues/866"
"2021-3/20","null","Rizin didn't detect the correct language of binary","https://github.com/rizinorg/rizin/issues/878"
"2021-3/20","null","Rizin navigates to a strange address when seek to pascal main","https://github.com/rizinorg/rizin/issues/879"
"2021-3/21","2022-2/14","Missing arguments or redundant arguments for main function","https://github.com/rizinorg/rizin/issues/882"
"2021-3/21","2021-5/20","Map_dwarf_reg_to_x86_reg warnings when processing a modified binary","https://github.com/rizinorg/rizin/issues/883"
"2021-3/21","2021-4/15","Merge LUA53 (in extras) with LUA54 (in core)","https://github.com/rizinorg/rizin/issues/886"
"2021-3/24","null","Combine output of `ir`, `is`, `ii` commands into one table with multiple columns for symbols that are in all three.","https://github.com/rizinorg/rizin/issues/900"
"2021-3/24","2021-4/29","Output enhancement of `dmh` family of commands","https://github.com/rizinorg/rizin/issues/902"
"2021-3/25","null","Nested `~{0}~{}` doesn't work","https://github.com/rizinorg/rizin/issues/904"
"2021-3/25","null","Rewrite `pf` formats parser","https://github.com/rizinorg/rizin/issues/905"
"2021-3/26","null","Unify code of source information access for DWARF, PDB, dSYM","https://github.com/rizinorg/rizin/issues/907"
"2021-3/28","2021-8/19","RZ_GITTIP is ""unknown"" when built from Cutter with Release 0.1.1","https://github.com/rizinorg/rizin/issues/920"
"2021-3/29","2023-1/23","Port `test/unit/legacy_unit` tests to the current unit test framework","https://github.com/rizinorg/rizin/issues/923"
"2021-3/31","2023-3/17","Document release process","https://github.com/rizinorg/rizin/issues/942"
"2021-4/1","2021-4/6","Undefined symbols: ""_environ""","https://github.com/rizinorg/rizin/issues/952"
"2021-3/30","null","PDB parser loses information about certain method overrides","https://github.com/rizinorg/rizin/issues/955"
"2021-4/7","2021-4/8","Static build and old Debian tests stuck","https://github.com/rizinorg/rizin/issues/972"
"2021-4/7","2022-6/28","Remove legacy signatures (""zignatures"") support","https://github.com/rizinorg/rizin/issues/973"
"2021-4/9","2023-2/7","Fix broken tests on Alpine linux","https://github.com/rizinorg/rizin/issues/982"
