createdAt,closedAt,title,url
2020-10/3,2021-1/16,Adapt release pipeline to include submodules code in the src tarball,https://github.com/rizinorg/rizin/issues/13
2020-10/20,2021-1/21,Use clang-format to format code and make an automatic check on PRs,https://github.com/rizinorg/rizin/issues/36
2020-10/20,nan,Meaningless strings are printed,https://github.com/rizinorg/rizin/issues/38
2020-10/20,2021-2/3,Remove IP (Instruction Pointer) flag pointed to entry point when not in debug mode,https://github.com/rizinorg/rizin/issues/39
2020-10/20,2020-12/15,disable asm.bytes by default,https://github.com/rizinorg/rizin/issues/40
2020-10/20,nan,remove annoying [0xabcdef:4]=0x1234 from comments,https://github.com/rizinorg/rizin/issues/41
2020-10/20,2022-5/10,Tons of flags are shown at offset 0x00,https://github.com/rizinorg/rizin/issues/42
2020-10/20,2020-12/9,Weird output for dotnet files,https://github.com/rizinorg/rizin/issues/43
2020-10/20,2020-11/12,create a new Readme file ,https://github.com/rizinorg/rizin/issues/44
2020-10/20,2021-8/16,"PE files with function names ""section..text""",https://github.com/rizinorg/rizin/issues/45
2020-10/20,nan,Smart correction of flags usage,https://github.com/rizinorg/rizin/issues/46
2020-11/1,nan,Function names are shown in comments when realname enabled,https://github.com/rizinorg/rizin/issues/60
2020-11/2,2021-8/10,grep regex,https://github.com/rizinorg/rizin/issues/64
2020-11/5,2022-1/13,Rewrite/remove GPL-only code from core Rizin parts,https://github.com/rizinorg/rizin/issues/70
2020-11/9,2020-11/13,.(? wrongly parsed by newshell,https://github.com/rizinorg/rizin/issues/76
2020-11/12,2021-2/26,"newshell: when details are available for a group, they should be shown/added for all sub-commands",https://github.com/rizinorg/rizin/issues/81
2020-11/13,2021-1/20,[XX] db/archos/darwin-x64/http rizin remote webserver two,https://github.com/rizinorg/rizin/issues/82
2020-11/16,2020-11/27,Remove pdc,https://github.com/rizinorg/rizin/issues/89
2020-11/17,nan,Remove `system` from RzIoPlugins and use RzCorePlugins,https://github.com/rizinorg/rizin/issues/92
2020-11/19,nan,"Test external tools separately, without running `rizin` first",https://github.com/rizinorg/rizin/issues/95
2020-11/19,2020-12/17,cmd_identifier with `\` are not supported ##newshell,https://github.com/rizinorg/rizin/issues/97
2020-11/25,nan,Save linked files into the project database.,https://github.com/rizinorg/rizin/issues/102
2020-11/27,nan,Provide SVD handling out of the box.,https://github.com/rizinorg/rizin/issues/103
2020-11/27,2020-12/8,Rename all *_anal_* to Analysis,https://github.com/rizinorg/rizin/issues/107
2020-12/1,2020-12/11,Make sure to use the x64 Command Prompt for Visual studio,https://github.com/rizinorg/rizin/issues/112
2020-12/3,2021-3/23,Expand the testsuite,https://github.com/rizinorg/rizin/issues/114
2020-12/4,2021-1/6,Autocomplete for `e asm.` doesn't work,https://github.com/rizinorg/rizin/issues/115
2020-12/8,2021-1/14, Show possible variable values in `Ve` interface,https://github.com/rizinorg/rizin/issues/125
2020-12/8,2021-6/24,Split-view visual hex diff mode for rz-diff,https://github.com/rizinorg/rizin/issues/126
2020-12/8,2021-8/21,Better representation of the long function names (e.g. from C++),https://github.com/rizinorg/rizin/issues/127
2020-12/8,nan,Add visual `p=` scrolling mode,https://github.com/rizinorg/rizin/issues/128
2020-12/8,nan,Add a ruler to horizontal histogram output (e.g. `p==`),https://github.com/rizinorg/rizin/issues/129
2020-12/8,nan,Visual `p==` mode,https://github.com/rizinorg/rizin/issues/130
2020-12/8,nan,Add entropy edges printing mode,https://github.com/rizinorg/rizin/issues/131
2020-12/8,2020-12/8,"Default page of this project now says ""anal"" many times, as well as git history.",https://github.com/rizinorg/rizin/issues/136
2020-12/9,2020-12/12,Document how to update or remove the installation of Rizin,https://github.com/rizinorg/rizin/issues/146
2020-12/10,2021-8/10,Add higher order functions in rizin shell,https://github.com/rizinorg/rizin/issues/152
2020-12/10,nan,PLT stub names not being resolved properly,https://github.com/rizinorg/rizin/issues/153
2020-12/10,2022-6/8,Update shellforge (for rz-gg/rzegg),https://github.com/rizinorg/rizin/issues/154
2020-12/10,nan,Refactor heap parsing code,https://github.com/rizinorg/rizin/issues/157
2020-12/10,nan,Add Windows and Jemalloc heap parsing tests,https://github.com/rizinorg/rizin/issues/158
2020-12/10,2021-1/22,macOS homebrew support,https://github.com/rizinorg/rizin/issues/160
2020-12/10,2020-12/11,Automatically use RPATH when not installing in /usr prefix,https://github.com/rizinorg/rizin/issues/162
2020-12/10,2020-12/18,"Fix Windows installer icon, path and info",https://github.com/rizinorg/rizin/issues/167
2020-12/11,nan,Consider to use external library for the web-server ,https://github.com/rizinorg/rizin/issues/168
2020-12/12,2020-12/12, Consistency of coding styles,https://github.com/rizinorg/rizin/issues/171
2020-12/13,2020-12/14,[question] how to drop `-git` from `rizin_libversion`,https://github.com/rizinorg/rizin/issues/174
2020-12/13,2022-8/2,Cleanup RzThread,https://github.com/rizinorg/rizin/issues/175
2020-12/14,2021-1/6,Is a rizin installation side by side possible with radare2?,https://github.com/rizinorg/rizin/issues/179
2020-12/14,2021-1/7,Static analysis or linting tools for the project (and CI),https://github.com/rizinorg/rizin/issues/187
2020-12/15,2021-2/4,Allow to specify the option for Meson/Ninja build to use wget/curl instead of git,https://github.com/rizinorg/rizin/issues/188
2020-12/15,nan,Improve Windows kernel dumps parsing and loading,https://github.com/rizinorg/rizin/issues/189
2020-12/16,2021-8/10,Use PJ everywhere (JSON),https://github.com/rizinorg/rizin/issues/200
2020-12/17,2022-1/13,Enumerate all third-party code and libraries used in Rizin,https://github.com/rizinorg/rizin/issues/209
2020-12/17,2020-12/18,Fortunes install directory,https://github.com/rizinorg/rizin/issues/210
2020-12/18,2020-12/21,Buggy formatting of disassembling output,https://github.com/rizinorg/rizin/issues/218
2020-12/21,nan,Print complete file header in `rz-bin -H` output,https://github.com/rizinorg/rizin/issues/232
2020-12/21,nan,"Enable FreeBSD support for ARM, MIPS, PowerPC, SPARC",https://github.com/rizinorg/rizin/issues/233
2020-12/21,2021-1/10,Add test for arS,https://github.com/rizinorg/rizin/issues/236
2020-12/21,2021-3/3,`afist` command UAF,https://github.com/rizinorg/rizin/issues/237
2020-12/21,2021-12/21,afls command family not working and aren't tested,https://github.com/rizinorg/rizin/issues/238
2020-12/21,2021-1/21,Check old uses of `@@`/`@@@`,https://github.com/rizinorg/rizin/issues/240
2020-12/24,2021-3/10,Set default meson buildtype to debugoptimized?,https://github.com/rizinorg/rizin/issues/256
2020-12/26,2020-12/27,jump arrows are missing when opening back a project,https://github.com/rizinorg/rizin/issues/266
2020-12/27,2022-6/28,Zignatures search during aaa gives wrong result,https://github.com/rizinorg/rizin/issues/272
2020-12/27,2021-1/18,Switch from a mono repository to a multi repository,https://github.com/rizinorg/rizin/issues/273
2020-12/27,2021-4/9,Is the SDB dependency necessary?,https://github.com/rizinorg/rizin/issues/274
2020-12/27,2021-7/19,Replace TCC Header Parser by Tree-Sitter based one,https://github.com/rizinorg/rizin/issues/275
2020-12/27,nan,`librz/cons/*` (TUI library/) - remove global state,https://github.com/rizinorg/rizin/issues/276
2020-12/27,2021-10/9,"Redesign of ESIL, or use of alternatives",https://github.com/rizinorg/rizin/issues/277
2020-12/28,2021-10/9,Failing unit tests on System Z (S390) platform,https://github.com/rizinorg/rizin/issues/279
2020-12/29,2021-8/10,clang-cl build: unknown escape sequence `\p` in RZ_PREFIX,https://github.com/rizinorg/rizin/issues/280
2020-12/30,2022-4/24,Fix test_r_analysis_var test,https://github.com/rizinorg/rizin/issues/282
2021-1/2,2022-7/17,"Change ""opcode"" output on pdj and add ""operands"" field.",https://github.com/rizinorg/rizin/issues/284
2021-1/3,nan,Create documentation for code structure and librz modules overview,https://github.com/rizinorg/rizin/issues/286
2021-1/3,2021-1/3,Dictionary spelling of `signature` vs `zignature`.,https://github.com/rizinorg/rizin/issues/291
2021-1/4,nan,Visual preview for the `graph.*` variables changes in `Ve` mode,https://github.com/rizinorg/rizin/issues/295
2021-1/4,2022-12/9,Fix broken tests on SystemZ platform,https://github.com/rizinorg/rizin/issues/297
2021-1/4,2021-1/5,False UTF16 positive in strings detection,https://github.com/rizinorg/rizin/issues/298
2021-1/4,nan,Remove `e search.in=??` syntax and just keep `e search.in=?`,https://github.com/rizinorg/rizin/issues/301
2021-1/4,2021-1/7,Function modified detect when rendering graph,https://github.com/rizinorg/rizin/issues/302
2021-1/4,2021-1/27,Switch statement edges duplicated and attached in wrong place,https://github.com/rizinorg/rizin/issues/304
2021-1/6,2021-1/21,Autocompletion for the `s` commands,https://github.com/rizinorg/rizin/issues/311
2021-1/6,2021-7/20,Pointers inside structs do not take asm.bits into account when calculating offsets,https://github.com/rizinorg/rizin/issues/312
2021-1/6,nan,"Reference constant string (""%s"") in format string of the scanf family function",https://github.com/rizinorg/rizin/issues/313
2021-1/6,nan,Extend `t` and `pf` commands to support bitfields printing,https://github.com/rizinorg/rizin/issues/314
2021-1/6,nan,Constrained types enhancements,https://github.com/rizinorg/rizin/issues/315
2021-1/6,nan,Allow to set multiple directories for `dir.types`,https://github.com/rizinorg/rizin/issues/316
2021-1/6,nan,Using `tp` when sizeof(type) > block size results in zeros in values,https://github.com/rizinorg/rizin/issues/317
2021-1/7,nan,Rizin report warning messages increasely when repeated run `aaa`,https://github.com/rizinorg/rizin/issues/329
2021-1/7,2021-4/9,Split `afvx` to two commands - one for variables and one for function arguments,https://github.com/rizinorg/rizin/issues/332
2021-1/7,nan,Rizin should have the concept of Global Variables,https://github.com/rizinorg/rizin/issues/333
2021-1/8,nan,Resolve data relocations in 32bit position-independent binaries,https://github.com/rizinorg/rizin/issues/334
2021-1/8,2022-3/24,Allow to disable debug tests in `rz-test` command line,https://github.com/rizinorg/rizin/issues/336
2021-1/8,nan,MSYS2 failure to build: ../librz/socket/socket.c:275: undefined reference to `rz_sys_signal' ,https://github.com/rizinorg/rizin/issues/337
2021-1/11,2021-1/13,Migrate static build to Meson,https://github.com/rizinorg/rizin/issues/340
