"createdAt","closedAt","title","url"
"2018-7/5","2019-9/5","Attempting to cycle through plots in R Studio in the second run attempt causes plot rendering error","https://github.com/rstudio/rstudio/issues/3117"
"2018-7/5","2018-7/7","R Studio does not select the project directory as current working directory on start","https://github.com/rstudio/rstudio/issues/3118"
"2018-7/5","2020-4/24","OpenSuse build still using Qt 5.10.1","https://github.com/rstudio/rstudio/issues/3120"
"2018-7/5","2019-5/1","Trusty Build Still Using Qt 5.10.1","https://github.com/rstudio/rstudio/issues/3121"
"2018-7/6","2018-7/6","Request: Use Rstudio icons for R package?","https://github.com/rstudio/rstudio/issues/3122"
"2018-7/6","2018-7/18","Terminal is unresponsive on R Studio Server","https://github.com/rstudio/rstudio/issues/3123"
"2018-7/6","2021-2/20","Support IP dual-stack for RStudio Server","https://github.com/rstudio/rstudio/issues/3124"
"2018-7/6","null","Find and replace infinite loop and other strange behavior","https://github.com/rstudio/rstudio/issues/3125"
"2018-7/6","2018-7/6","failed cmake make step","https://github.com/rstudio/rstudio/issues/3126"
"2018-7/7","2018-7/9","Reticulate not working on Windows 10 64 bit","https://github.com/rstudio/rstudio/issues/3127"
"2018-7/7","2018-7/12","rstudio links against system qt library ignoring the rstudio-bundled qt version","https://github.com/rstudio/rstudio/issues/3128"
"2018-7/9","2018-7/9","Externalise the configuration of panes and themes","https://github.com/rstudio/rstudio/issues/3129"
"2018-7/9","2018-7/9","don't use aliased library paths when forming library calls","https://github.com/rstudio/rstudio/issues/3130"
"2018-7/9","null","Git authentication window improvements for helping those who forget their password","https://github.com/rstudio/rstudio/issues/3132"
"2018-7/10","2019-11/19","stdout does not appear in Rstudio when using `parallel::makeForkCluster(..., outfile="""")`","https://github.com/rstudio/rstudio/issues/3135"
"2018-7/10","2018-7/10","Rstudio (development version) crashes when saving to clipboard","https://github.com/rstudio/rstudio/issues/3136"
"2018-7/10","2018-7/11","too many buttons in RMarkdown tutorial toolbar","https://github.com/rstudio/rstudio/issues/3138"
"2018-7/10","2019-7/2","consider backing out dependency on libclang-dev","https://github.com/rstudio/rstudio/issues/3139"
"2018-7/11","2018-9/14","Warnings when building Windows desktop with newer MSVC and Boost","https://github.com/rstudio/rstudio/issues/3140"
"2018-7/11","2019-11/13","right click context menu doesn't provide image-related options for Plots pane","https://github.com/rstudio/rstudio/issues/3142"
"2018-7/11","2022-3/3","Python lists are not shortened when displayed in console","https://github.com/rstudio/rstudio/issues/3143"
"2018-7/12","2018-9/4","Cannot View data frame with integer64 columns","https://github.com/rstudio/rstudio/issues/3145"
"2018-7/12","2019-1/25","Add support for OpenSUSE 15 for RStudio Server","https://github.com/rstudio/rstudio/issues/3146"
"2018-7/12","2018-7/13","OSX Daily Hanging at Start-Up","https://github.com/rstudio/rstudio/issues/3148"
"2018-7/13","2019-5/13","Cannot switch to 32 bit R using Preview Release and Daily","https://github.com/rstudio/rstudio/issues/3150"
"2018-7/13","2019-11/26","Revisit FirePro workaround","https://github.com/rstudio/rstudio/issues/3151"
"2018-7/13","2018-7/13","RStudio complains that Rtools 3.5 not compatible with R 3.5.1","https://github.com/rstudio/rstudio/issues/3152"
"2018-7/13","2018-7/23","Review Changes panel not themed correctly with dark themes","https://github.com/rstudio/rstudio/issues/3153"
"2018-7/13","2019-9/4","allow for eager interrupts of R session","https://github.com/rstudio/rstudio/issues/3154"
"2018-7/14","2019-11/5","Update built-in SumatraPDF to 3.1.2","https://github.com/rstudio/rstudio/issues/3155"
"2018-7/16","2018-10/9","Microsoft Visual C++ Runtime Error","https://github.com/rstudio/rstudio/issues/3156"
"2018-7/16","null","Installing RStudio from source: gwtc: ""com.google.gwt.core.Core"" missing","https://github.com/rstudio/rstudio/issues/3157"
"2018-7/16","2018-8/6","Packrat project stops using its installed packages directory if disabled then reenabled","https://github.com/rstudio/rstudio/issues/3158"
"2018-7/16","2018-7/20","RStudio appears to 'forget' main window boundaries on next launch","https://github.com/rstudio/rstudio/issues/3159"
"2018-7/16","null","Vim mode doesn't access system clipboard","https://github.com/rstudio/rstudio/issues/3160"
"2018-7/16","2021-2/20","Add Chromium sandbox profile to macOS desktop builds","https://github.com/rstudio/rstudio/issues/3161"
"2018-7/16","2022-2/25","Problem with identify() in RStudio, works fine in RGui","https://github.com/rstudio/rstudio/issues/3162"
"2018-7/16","2019-5/24","malformed paged table output with R 3.5.1 on Windows","https://github.com/rstudio/rstudio/issues/3163"
"2018-7/17","2020-4/27","BUG: calling invokeRestartInteractively causes to RStudio to abort session (encounter fatal error)","https://github.com/rstudio/rstudio/issues/3165"
"2018-7/17","2022-3/3","export/save as image/r code execution error","https://github.com/rstudio/rstudio/issues/3166"
"2018-7/17","2019-12/12","RStudio installer lets you install 64-bit RStudio on 32-bit Windows","https://github.com/rstudio/rstudio/issues/3167"
"2018-7/17","2018-7/17","Can't re-deploy content from directories with very short names","https://github.com/rstudio/rstudio/issues/3168"
"2018-7/17","2022-6/10","dependency scripts not updating to required cmake on Linux","https://github.com/rstudio/rstudio/issues/3170"
"2018-7/18","2018-9/20","Problems with saving plots on a Windows PC with 4k monitor - wrong picture size","https://github.com/rstudio/rstudio/issues/3173"
"2018-7/18","2018-7/24","Keep the order of RStudio addins as in addins.dcf","https://github.com/rstudio/rstudio/issues/3174"
"2018-7/18","2019-10/29","Vignette HTML rendering issues","https://github.com/rstudio/rstudio/issues/3175"
"2018-7/18","2021-2/20","Publishing from server is possible with allow-external-publish set to 0","https://github.com/rstudio/rstudio/issues/3176"
"2018-7/18","2019-12/16","Problems with inability to running rstudio version 1.2.792 (bug 0xc000007b)","https://github.com/rstudio/rstudio/issues/3177"
"2018-7/18","2018-7/31","Syntax highlighting not working and problems with dark themes","https://github.com/rstudio/rstudio/issues/3179"
"2018-7/19","2021-2/20","Unexpected behaviour of ""jump to word"" shortcut key","https://github.com/rstudio/rstudio/issues/3181"
"2018-7/19","2018-7/19","TestThat incorrectly recognized as ShinyTest file","https://github.com/rstudio/rstudio/issues/3182"
"2018-7/19","2021-2/20","For-loops that produce warnings cause out-of-order output when knit","https://github.com/rstudio/rstudio/issues/3183"
"2018-7/19","2018-7/19","Package ""car"" doesnt work in R 3.5.1","https://github.com/rstudio/rstudio/issues/3184"
"2018-7/19","2018-9/20","Interface is too slow or crashes with X11 forwarding","https://github.com/rstudio/rstudio/issues/3185"
"2018-7/19","2018-7/19","dplyr::select on list()","https://github.com/rstudio/rstudio/issues/3186"
"2018-7/19","2018-7/23","vignettes opened in secondary window get ugly menubar","https://github.com/rstudio/rstudio/issues/3187"
"2018-7/19","2021-2/19","improve alignment of checkboxes + labels in options menu","https://github.com/rstudio/rstudio/issues/3190"
"2018-7/19","null","Reflowing a comment starting with ""@section"" can alter it to ""ection""","https://github.com/rstudio/rstudio/issues/3191"
"2018-7/19","2018-7/19","ODBC connection not being displayed in the RStudio Connections Pane","https://github.com/rstudio/rstudio/issues/3193"
"2018-7/19","2019-9/20","R Studio inserting symbols into text when clicking in console or source pane","https://github.com/rstudio/rstudio/issues/3194"
"2018-7/20","2019-11/12","Sorting by size in the Environment/File Pane is not correct","https://github.com/rstudio/rstudio/issues/3195"
"2018-7/20","2021-2/19","Replace and Find: repeated replacements via highlighting and key combination","https://github.com/rstudio/rstudio/issues/3197"
"2018-7/21","2018-8/1","Filenames in the `File-Recent Files/ Recent Projects` list omit underscores.","https://github.com/rstudio/rstudio/issues/3199"
"2018-7/22","2019-12/17","Menu font very small - Version 1.2.792","https://github.com/rstudio/rstudio/issues/3200"
"2018-7/22","2019-11/12","R session closed unexpectedly ","https://github.com/rstudio/rstudio/issues/3201"
"2018-7/23","2018-7/24","Negative Fonts size for RStudio menu","https://github.com/rstudio/rstudio/issues/3203"
"2018-7/23","2018-11/13","Compile fails on Raspberrypi with Raspbian Stretch","https://github.com/rstudio/rstudio/issues/3204"
"2018-7/23","2018-7/27","Previewing a js file without a correct r2d3 type does nothing","https://github.com/rstudio/rstudio/issues/3205"
"2018-7/23","2018-7/27","Plumber in viewer errors the first time","https://github.com/rstudio/rstudio/issues/3206"
"2018-7/23","2019-11/12","Comment Lines command doesn't work on the last line of an RMarkdown chunk","https://github.com/rstudio/rstudio/issues/3207"
"2018-7/23","2018-7/27","'Run Tests' fails when attempting to run unexported functions","https://github.com/rstudio/rstudio/issues/3208"
"2018-7/24","2018-7/31","main window quits before satellite has confirmed file saves","https://github.com/rstudio/rstudio/issues/3210"
"2018-7/24","2019-9/19","Global Options does not fit on screen in default display configuration for some laptops","https://github.com/rstudio/rstudio/issues/3215"
