"['title']","['url']","['createdAt']","['closedAt']"
"Custom roxygen tags in autocomlete","https://github.com/rstudio/rstudio/issues/10266","2021-12/19","null"
"RStudio crashes at launch for more than 1 user on MacOS","https://github.com/rstudio/rstudio/issues/10267","2021-12/19","2022-1/3"
"Disabling ""Restore .RData"" not working","https://github.com/rstudio/rstudio/issues/10268","2021-12/20","2022-7/4"
"The ""x"" signs to close the tabs can be dragged into source code panes","https://github.com/rstudio/rstudio/issues/10269","2021-12/20","2022-1/3"
"MacOS states that future versions of the app are incompatible with future versions of the OS due to Python 2","https://github.com/rstudio/rstudio/issues/10270","2021-12/21","2022-1/31"
"ensure conda environment appropriately activated in terminal sessions","https://github.com/rstudio/rstudio/issues/10271","2021-12/21","2022-7/11"
"Make a .pkg installation file available for OSX users in addition to our current .dmg offering.","https://github.com/rstudio/rstudio/issues/10272","2021-12/21","null"
"conda packages fail to install in Windows Terminal","https://github.com/rstudio/rstudio/issues/10274","2021-12/22","2022-6/16"
"how to include packages from Github in package manager?","https://github.com/rstudio/rstudio/issues/10275","2021-12/22","2022-1/12"
"DT tables in Quarto documents are squashed when viewed in Viewer Pane","https://github.com/rstudio/rstudio/issues/10276","2021-12/22","2022-1/10"
"Some keybinding option for cursor movement are missing","https://github.com/rstudio/rstudio/issues/10277","2021-12/22","null"
"Rstudio startup failure on Arch-derived Linux, complaint of missing libboost library","https://github.com/rstudio/rstudio/issues/10280","2021-12/22","null"
"hide anti-aliasing options when using AGG backend for graphics","https://github.com/rstudio/rstudio/issues/10281","2021-12/22","2022-7/11"
"Redirect RStudio server warnings from the R console","https://github.com/rstudio/rstudio/issues/10282","2021-12/22","2022-1/3"
"Rendering Large Markdown Files with Visual Markdown Editor ","https://github.com/rstudio/rstudio/issues/10285","2021-12/25","2022-7/11"
"syntax highlighting in css chunk (Rmd)","https://github.com/rstudio/rstudio/issues/10286","2021-12/27","2021-12/28"
"RStudio aborts on creating Git/SVN RSA key","https://github.com/rstudio/rstudio/issues/10289","2021-12/28","null"
"RStudio daily builds contain duplicate copy of deno.exe","https://github.com/rstudio/rstudio/issues/10290","2021-12/29","2022-1/11"
"Rstudio screen flickering under windows system","https://github.com/rstudio/rstudio/issues/10291","2021-12/29","2021-12/29"
"Knitting R Markdown fails when working with large (>200MB) CSV files","https://github.com/rstudio/rstudio/issues/10292","2021-12/29","null"
"Make window titles reflect the active document in the window","https://github.com/rstudio/rstudio/issues/10293","2021-12/29","null"
"RStudio silently converts unicode character in Scripts and Console","https://github.com/rstudio/rstudio/issues/10294","2022-1/1","2022-6/13"
"Import Text data ui showing details on parsing errors","https://github.com/rstudio/rstudio/issues/10295","2022-1/3","null"
"Modal windows theme does not follow the general theme of the application","https://github.com/rstudio/rstudio/issues/10296","2022-1/3","null"
"R Markdown Reference Guide does not exist anymore.","https://github.com/rstudio/rstudio/issues/10297","2022-1/3","2022-2/14"
"Slow `Knit` button on Windows while on a network drive","https://github.com/rstudio/rstudio/issues/10298","2022-1/3","null"
"Rstudio can't open with the error information( Error Starting R )","https://github.com/rstudio/rstudio/issues/10304","2022-1/4","2022-1/12"
"Copying the contents of the 'Build' pane.","https://github.com/rstudio/rstudio/issues/10305","2022-1/4","null"
"Visual Editor toolbar menu items show up in Source mode after toggling outline","https://github.com/rstudio/rstudio/issues/10306","2022-1/4","2022-3/1"
"Minor improvements for file finder","https://github.com/rstudio/rstudio/issues/10307","2022-1/5","null"
"Changing LANGUAGE env var inside RStudio IDE console does not have expected effet","https://github.com/rstudio/rstudio/issues/10308","2022-1/5","null"
"Supporting Org file Syntax highlighting","https://github.com/rstudio/rstudio/issues/10309","2022-1/5","null"
"log HRESULT error values as hex","https://github.com/rstudio/rstudio/issues/10310","2022-1/5","2022-3/25"
"RStudio loads /etc/paths in wrong order","https://github.com/rstudio/rstudio/issues/10311","2022-1/5","2022-4/6"
"Allow different custom keybindings to be assigned to a command","https://github.com/rstudio/rstudio/issues/10312","2022-1/6","null"
"Find and Replace buttons are too small","https://github.com/rstudio/rstudio/issues/10316","2022-1/6","2022-1/12"
"support python terminal integration with cmd.exe","https://github.com/rstudio/rstudio/issues/10323","2022-1/7","null"
"R Studio 2021.09.1+372 and Prior 2021.09.051 crashes when it started in Mac Monterey 12.1","https://github.com/rstudio/rstudio/issues/10324","2022-1/8","null"
"Sync Up New File Choices ","https://github.com/rstudio/rstudio/issues/10325","2022-1/8","null"
"Entering tex symbols (\beta, etc) in Visual Markdown causes equations to not render","https://github.com/rstudio/rstudio/issues/10327","2022-1/9","2022-5/12"
"Date field in New R Markdown ui","https://github.com/rstudio/rstudio/issues/10328","2022-1/10","2022-1/25"
"What are the preamble-xxx.pch files in the temp folder? ","https://github.com/rstudio/rstudio/issues/10329","2022-1/10","null"
"`View()` does not display matrix-columns in tibbles correctly.","https://github.com/rstudio/rstudio/issues/10332","2022-1/10","2022-2/4"
"Make 'File > New file > C++ file' more agnostic or more responsive","https://github.com/rstudio/rstudio/issues/10337","2022-1/10","2022-1/27"
"Various ways of creating a new file have inconsistent menus and default file names","https://github.com/rstudio/rstudio/issues/10338","2022-1/11","2022-5/13"
"Include date and author fields when creating a new R Markdown file in RStudio Server","https://github.com/rstudio/rstudio/issues/10339","2022-1/11","2022-1/11"
"Indented code blocks and html_notebook","https://github.com/rstudio/rstudio/issues/10344","2018-3/27","null"
"Displaying filepath when multiple files with same name are open","https://github.com/rstudio/rstudio/issues/10350","2022-1/13","2022-1/14"
"GitHub's `gh` CLI tool fails to authenticate when used in RStudio Desktop's terminal","https://github.com/rstudio/rstudio/issues/10353","2022-1/13","2022-1/13"
"More featured addins functionality","https://github.com/rstudio/rstudio/issues/10356","2022-1/14","null"
"Extremely minor issue: View() description of POSIX missing a character","https://github.com/rstudio/rstudio/issues/10359","2022-1/14","2022-1/14"
"Package manager should not default to compiling from source on MacOS","https://github.com/rstudio/rstudio/issues/10360","2022-1/14","2022-5/6"
"update rtools42 URL when CRAN-stable link is available","https://github.com/rstudio/rstudio/issues/10361","2022-1/14","2022-5/25"
"Show a global progress notification when important requests are waiting for the R main thread","https://github.com/rstudio/rstudio/issues/10364","2022-1/14","null"
"Use project/working directory by default when running local job","https://github.com/rstudio/rstudio/issues/10365","2022-1/16","2022-1/18"
"Unable to Change Pane Layout","https://github.com/rstudio/rstudio/issues/10367","2022-1/17","2022-1/27"
