"['title']","['url']","['createdAt']","['closedAt']"
"uuid_transfer may cause the channel to remain in the CS_RESET state","https://github.com/signalwire/freeswitch/issues/1698","2022-6/22","null"
"freeswitch shows up as callerid, how to change it?","https://github.com/signalwire/freeswitch/issues/1699","2022-6/22","2022-6/23"
"Global variables not recognized in param moh-sound on mod_conference","https://github.com/signalwire/freeswitch/issues/1700","2022-6/23","null"
"ASR  [CRIT] switch_cpp.cpp:1370 Result is 'nil'","https://github.com/signalwire/freeswitch/issues/1701","2022-6/24","2022-7/5"
"Freeswitch 1.10.7 : Verto call - Caller ID wrong","https://github.com/signalwire/freeswitch/issues/1702","2022-6/24","null"
"switch_rtp_pcap build make error due to #1585","https://github.com/signalwire/freeswitch/issues/1704","2022-6/29","2022-6/29"
"ASR play_ and_ detect_ Speech recognition is normal, detect_ Speech is not recognized","https://github.com/signalwire/freeswitch/issues/1706","2022-6/30","null"
"after uuid_hold, hold music not play. ","https://github.com/signalwire/freeswitch/issues/1708","2022-7/4","null"
"vm_fsdb_msg_list broken if you use optional ASC or DESC argument","https://github.com/signalwire/freeswitch/issues/1709","2022-7/6","2022-7/6"
"Cannot  send sip message ""181 Call is being forwarded"" via ""respond""","https://github.com/signalwire/freeswitch/issues/1711","2022-7/6","null"
"I can't install freeswitch-mod-com-g729 on debian 11. I had not such issue on Deb 10","https://github.com/signalwire/freeswitch/issues/1712","2022-7/8","2022-7/8"
"mod_say_de.c:533 Unknown Say type=[18]","https://github.com/signalwire/freeswitch/issues/1713","2022-7/10","2022-7/12"
"used update to negotiate the early media of RBT after 183, but FS did not respond","https://github.com/signalwire/freeswitch/issues/1716","2022-7/13","null"
"no audio in A leg after multiple re-invites in B-leg (transfer on remote sbc)","https://github.com/signalwire/freeswitch/issues/1717","2022-7/13","null"
"dialog-info+xml can exceed MTU","https://github.com/signalwire/freeswitch/issues/1720","2022-7/17","2022-7/18"
"I am getting an error when loading mod_av module but not sure if it is a bug","https://github.com/signalwire/freeswitch/issues/1722","2022-7/19","2022-7/19"
"session->read_frame_count is not set consistently","https://github.com/signalwire/freeswitch/issues/1723","2022-7/20","null"
"RFC 2833 event durations are not correctly transcoded","https://github.com/signalwire/freeswitch/issues/1724","2022-7/21","2022-8/9"
"play faker early meida when not receive rtp packet","https://github.com/signalwire/freeswitch/issues/1725","2022-7/22","2022-7/22"
"Secure Reliable Transport","https://github.com/signalwire/freeswitch/issues/1726","2022-7/23","2022-7/23"
"[mod_sofia] sofia sets undesired state when firing PRESENCE_IN for a custom proto","https://github.com/signalwire/freeswitch/issues/1728","2022-7/24","null"
"What is the true session limitation when the resources are plenty?","https://github.com/signalwire/freeswitch/issues/1729","2022-7/25","null"
"Linphone and sipml5 call each other through WSS protocol","https://github.com/signalwire/freeswitch/issues/1731","2022-7/26","2022-7/26"
"Document supported hardware architectures","https://github.com/signalwire/freeswitch/issues/1737","2022-7/31","2022-7/31"
"freeswitch log rotation bug","https://github.com/signalwire/freeswitch/issues/1738","2022-8/2","null"
"Too slow starting if have many profiles with ODBC-DSN","https://github.com/signalwire/freeswitch/issues/1739","2022-8/3","null"
"Support multiple Identity headers","https://github.com/signalwire/freeswitch/issues/1741","2022-8/3","null"
"mod_unimrcp: How do I detect that an MRCP session has been established for a specific FreeSwitch channel?","https://github.com/signalwire/freeswitch/issues/1743","2022-8/3","2022-8/3"
"how to Building packages from my source?","https://github.com/signalwire/freeswitch/issues/1744","2022-8/5","null"
"r_message 900 Internal error at nua_client.c:552","https://github.com/signalwire/freeswitch/issues/1746","2022-8/5","2022-8/5"
"FreeSwitch 1.10.7 crash","https://github.com/signalwire/freeswitch/issues/1749","2022-8/8","null"
"Memory leak when some modules are unloaded","https://github.com/signalwire/freeswitch/issues/1752","2022-8/9","null"
"switch_core_media.c:16221 sofia/internal/*@* not enough buffer space for required resample operation!","https://github.com/signalwire/freeswitch/issues/1754","2022-8/9","null"
"Video conferencing to show border around active speaker","https://github.com/signalwire/freeswitch/issues/1755","2022-8/9","null"
"Webrtc client having issues with freeswitch","https://github.com/signalwire/freeswitch/issues/1756","2022-8/10","null"
