['closedAt'],['createdAt'],['title'],['url']
,2019-9/25,mod_sofia tls read failure,https://github.com/signalwire/freeswitch/issues/3
,2019-9/25,FS cannot create /var/cache/freeswitch if started as non root,https://github.com/signalwire/freeswitch/issues/8
2019-9/25,2019-9/25,Mod_fifo pgsql,https://github.com/signalwire/freeswitch/issues/10
2019-9/25,2019-9/25,Play an image in place of a participant in the video conference when he goes on hold.,https://github.com/signalwire/freeswitch/issues/12
,2019-9/25,add video-muted-sound and video-unmuted-sound to conference profile params,https://github.com/signalwire/freeswitch/issues/15
,2019-9/25,Large conference layout crashes FreeSWITCH,https://github.com/signalwire/freeswitch/issues/16
2021-10/20,2019-9/26,FREESWITCH 1.8 ODBC CDR - USERFIELD,https://github.com/signalwire/freeswitch/issues/17
2020-3/5,2019-9/26,vad never firing,https://github.com/signalwire/freeswitch/issues/18
2020-8/12,2019-9/27,Crash (segfault) on latest master,https://github.com/signalwire/freeswitch/issues/21
2019-10/15,2019-9/28,global-opened ports 2855+2856 can't be disabled,https://github.com/signalwire/freeswitch/issues/22
2019-10/8,2019-9/29,Call a registered user， But get the [USER_NOT_REGISTERED] error！The Jssip-Opensips-Freeswitch System.,https://github.com/signalwire/freeswitch/issues/23
2019-11/12,2019-9/30,Event Socket Lib not compiling under php 7+,https://github.com/signalwire/freeswitch/issues/24
,2019-9/30,"mod_av in MSI package based on openh264,  does not allow conference recording, even crashes in release 1.10.1",https://github.com/signalwire/freeswitch/issues/25
2019-10/1,2019-10/1,Slack join link is broken,https://github.com/signalwire/freeswitch/issues/29
2019-10/5,2019-10/3,Voicemail Messages Not Storing In voicemail_msgs,https://github.com/signalwire/freeswitch/issues/33
,2019-10/3,Kill channel freeswitch not exits,https://github.com/signalwire/freeswitch/issues/34
,2019-10/6,"mod_conference: using ""ghost"" in member flags blocks audio.",https://github.com/signalwire/freeswitch/issues/37
2019-10/15,2019-10/6,avmd stops when bgapi uuid_broadcast starts,https://github.com/signalwire/freeswitch/issues/38
2019-10/14,2019-10/8,"""norecord"" command invalid",https://github.com/signalwire/freeswitch/issues/41
2019-10/22,2019-10/8,"Clang no longer supports passing flags via --extra-cflags=,  causing immediate make failure",https://github.com/signalwire/freeswitch/issues/42
2020-9/7,2019-10/9,configure - AX_COMPILER_VENDOR: command not found,https://github.com/signalwire/freeswitch/issues/46
2019-10/10,2019-10/9,Its !== It's,https://github.com/signalwire/freeswitch/issues/47
2019-10/12,2019-10/10,Please add Other-Leg-Gateway-Name variable,https://github.com/signalwire/freeswitch/issues/49
2019-10/11,2019-10/11,conference recording crash,https://github.com/signalwire/freeswitch/issues/51
