"['title']","['url']","['createdAt']","['closedAt']"
"Managed version of content-aware resizing","https://github.com/SixLabors/ImageSharp/issues/2","2016-10/30","null"
"Implement new Vector methods correctly to take advantage of performance improvements","https://github.com/SixLabors/ImageSharp/issues/3","2016-10/30","2018-11/23"
"Add additional color spaces.","https://github.com/SixLabors/ImageSharp/issues/4","2016-10/30","2018-11/23"
"Brushes","https://github.com/SixLabors/ImageSharp/issues/5","2016-10/30","2017-1/20"
"API docs","https://github.com/SixLabors/ImageSharp/issues/6","2016-10/30","2017-3/11"
"basic thumbnail middleware and benchmarking","https://github.com/SixLabors/ImageSharp/issues/7","2016-10/30","2017-9/21"
"Speed. Hot nasty bad-ass speed!","https://github.com/SixLabors/ImageSharp/issues/8","2016-10/30","2018-11/24"
"Interlacing is not supported","https://github.com/SixLabors/ImageSharp/issues/9","2016-10/30","2016-12/4"
"Codecs","https://github.com/SixLabors/ImageSharp/issues/10","2016-10/30","2019-12/16"
"[Core] Skip loading\processing of EXIF\metadata when opening file","https://github.com/SixLabors/ImageSharp/issues/11","2016-10/30","2017-2/22"
"No Tiff support.","https://github.com/SixLabors/ImageSharp/issues/12","2016-10/30","2021-5/25"
"The specified CGI application encountered an error and the server terminated the process","https://github.com/SixLabors/ImageSharp/issues/13","2016-10/30","2016-12/7"
"Drawing an image on an image","https://github.com/SixLabors/ImageSharp/issues/14","2016-10/30","2016-12/6"
"Dithering","https://github.com/SixLabors/ImageSharp/issues/15","2016-10/30","2017-2/16"
"Blend modes","https://github.com/SixLabors/ImageSharp/issues/16","2016-10/30","2016-11/27"
"Progressive jpeg with missing EOI marker throws EOFException","https://github.com/SixLabors/ImageSharp/issues/18","2016-10/31","2017-1/28"
"Issue referencing in .net core","https://github.com/SixLabors/ImageSharp/issues/19","2016-11/1","2016-11/1"
"Xamarin Mobile support","https://github.com/SixLabors/ImageSharp/issues/21","2016-11/5","2016-11/5"
"Png's are encoding wrong after 1.0.0-alpha-000047","https://github.com/SixLabors/ImageSharp/issues/24","2016-11/11","2016-11/15"
"Improve API design for Codecs","https://github.com/SixLabors/ImageSharp/issues/26","2016-11/21","2017-2/22"
"Add additional IPackedPixel<TColor, TPacked>  implementations.","https://github.com/SixLabors/ImageSharp/issues/27","2016-11/21","2016-12/1"
"Png's are decoding wrong after 1.0.0-alpha-000061","https://github.com/SixLabors/ImageSharp/issues/28","2016-11/30","2016-12/1"
"System.AccessViolationException when cropping some images","https://github.com/SixLabors/ImageSharp/issues/29","2016-12/1","2016-12/1"
"Rotation output quality isn't very nice","https://github.com/SixLabors/ImageSharp/issues/31","2016-12/2","2018-1/22"
"Blending & Padding. How to Position a smaller image on a larger canvas using an x,y offset.","https://github.com/SixLabors/ImageSharp/issues/32","2016-12/7","2016-12/7"
"Bad JPG resize quality","https://github.com/SixLabors/ImageSharp/issues/36","2016-12/11","2016-12/12"
"Font Support","https://github.com/SixLabors/ImageSharp/issues/38","2016-12/15","2017-3/8"
"Add additional Shapes for drawing.","https://github.com/SixLabors/ImageSharp/issues/39","2016-12/16","2017-2/6"
"Jpeg image not opening properly","https://github.com/SixLabors/ImageSharp/issues/40","2016-12/16","2016-12/18"
"Improve unit tests speed","https://github.com/SixLabors/ImageSharp/issues/44","2016-12/17","2019-2/18"
"Port/prune code in Clipper.cs into ComplexPolygon.cs","https://github.com/SixLabors/ImageSharp/issues/47","2016-12/19","2016-12/20"
"Fix StyleCop/compiler warnings ","https://github.com/SixLabors/ImageSharp/issues/48","2016-12/19","2016-12/19"
"Animated Gif encoding broken","https://github.com/SixLabors/ImageSharp/issues/54","2016-12/20","2016-12/22"
"Support of 8-bit images","https://github.com/SixLabors/ImageSharp/issues/55","2016-12/21","2017-4/28"
"Split ImageSharp into multiple projects","https://github.com/SixLabors/ImageSharp/issues/64","2016-12/29","2017-1/4"
"Common .NET 4.6 Sandbox project for performance profiling","https://github.com/SixLabors/ImageSharp/issues/66","2016-12/29","2017-1/16"
"How to configure my project to download from myget?","https://github.com/SixLabors/ImageSharp/issues/67","2016-12/29","2017-1/2"
"Image broken pixels","https://github.com/SixLabors/ImageSharp/issues/70","2017-1/2","2017-1/2"
"Decoding failes with memory stream at EOF","https://github.com/SixLabors/ImageSharp/issues/72","2017-1/7","2017-1/7"
"Support for reading writing ICC profiles in Jpeg","https://github.com/SixLabors/ImageSharp/issues/74","2017-1/10","null"
"image (png) resize broken ","https://github.com/SixLabors/ImageSharp/issues/76","2017-1/12","2017-1/16"
"some resized images are in the wrong orientation","https://github.com/SixLabors/ImageSharp/issues/78","2017-1/15","2017-1/15"
"Gif Problem for facebook","https://github.com/SixLabors/ImageSharp/issues/79","2017-1/17","2017-1/20"
"NotSupportedException: Image cannot be loaded","https://github.com/SixLabors/ImageSharp/issues/80","2017-1/18","2017-1/18"
"net45-profile builds depend on System.Numerics.Vectory 4.1.1.0 from CoreFX","https://github.com/SixLabors/ImageSharp/issues/81","2017-1/18","2017-1/21"
"Difference between resize results between System.Drawing & Imagesharp","https://github.com/SixLabors/ImageSharp/issues/82","2017-1/18","2017-4/26"
"none-progressive jpeg with missing EOI marker throws EOFException","https://github.com/SixLabors/ImageSharp/issues/83","2017-1/18","2017-1/21"
"Gradient brush","https://github.com/SixLabors/ImageSharp/issues/86","2017-1/20","2018-5/21"
"Feature Request: autolevel (like ImageMagick)","https://github.com/SixLabors/ImageSharp/issues/87","2017-1/20","null"
