"['title']","['url']","['createdAt']","['closedAt']"
"Unable to install autopsy on mac","https://github.com/sleuthkit/autopsy/issues/3781","2018-5/17","2018-5/17"
"Linux: Library not found in jar (libtsk_jni)","https://github.com/sleuthkit/autopsy/issues/3829","2018-6/7","2018-7/25"
"Tagging a file with the same Tag multiple times possible.","https://github.com/sleuthkit/autopsy/issues/3842","2018-6/8","null"
"Hashsets Hits duplicate entries","https://github.com/sleuthkit/autopsy/issues/3843","2018-6/8","2018-12/4"
"Request: Visual distinction of good, bad and unknown files","https://github.com/sleuthkit/autopsy/issues/3844","2018-6/8","null"
"Linux: Problems using Autopsy on Kali","https://github.com/sleuthkit/autopsy/issues/3845","2018-6/8","2018-6/18"
"Can't find new data content viewer modules","https://github.com/sleuthkit/autopsy/issues/3866","2018-6/18","null"
"Dual boot","https://github.com/sleuthkit/autopsy/issues/3928","2018-6/29","2018-7/3"
"Refreshing Data Sources after added file","https://github.com/sleuthkit/autopsy/issues/3939","2018-7/4","2018-7/5"
"SparseBitSet.jar not found","https://github.com/sleuthkit/autopsy/issues/3942","2018-7/5","2018-7/5"
"JVM crashed after logging 30 times: TskCoreException / Shift is too large","https://github.com/sleuthkit/autopsy/issues/3995","2018-7/27","2018-7/31"
"Hash Set","https://github.com/sleuthkit/autopsy/issues/4029","2018-8/8","null"
"Autopsy 4.8 crashes on Mac osx","https://github.com/sleuthkit/autopsy/issues/4067","2018-8/25","null"
"Python Module Error Window","https://github.com/sleuthkit/autopsy/issues/4070","2018-8/28","null"
"Fresh Install Autopsy 4.8.0 - No Keyword Module","https://github.com/sleuthkit/autopsy/issues/4082","2018-9/1","null"
"Autopsy 4.8.0 Linux - Add data source ""open logical files"" issue","https://github.com/sleuthkit/autopsy/issues/4166","2018-9/28","2018-11/21"
"Python plugins don't work in Autopsy for Linux","https://github.com/sleuthkit/autopsy/issues/4170","2018-9/30","2018-11/22"
"XXE in CaseMetadata","https://github.com/sleuthkit/autopsy/issues/4236","2018-10/25","null"
"Refresh issue when removing tags","https://github.com/sleuthkit/autopsy/issues/4247","2018-10/31","null"
