"createdAt","closedAt","title","url"
"2019-11/30","2021-3/26","Documentation for Spotbugs - Technical tool analysis","https://github.com/spotbugs/spotbugs/issues/1044"
"2019-12/2","2019-12/18","Multi-module maven project fails","https://github.com/spotbugs/spotbugs/issues/1045"
"2019-12/3","null","False positive RV_RETURN_VALUE_IGNORED with @CanIgnoreReturnValue","https://github.com/spotbugs/spotbugs/issues/1046"
"2019-12/4","2019-12/5","gradle task 'spotbugsMain' ignores obvious bugs","https://github.com/spotbugs/spotbugs/issues/1047"
"2019-12/18","null","Question: how to output the full file path","https://github.com/spotbugs/spotbugs/issues/1049"
"2019-12/19","null","How to get the same behavior in the cli than the gui","https://github.com/spotbugs/spotbugs/issues/1050"
"2019-12/27","null","IS2_INCONSISTENT_SYNC false-positive","https://github.com/spotbugs/spotbugs/issues/1051"
"2020-1/3","null","fail on package filter containing "".*"" without regex matching","https://github.com/spotbugs/spotbugs/issues/1052"
"2020-1/4","null","Findbugs detect implementing raw type of generic interface.","https://github.com/spotbugs/spotbugs/issues/1053"
"2020-1/13","null","False-positive in OPM_OVERLY_PERMISSIVE_METHOD for equals","https://github.com/spotbugs/spotbugs/issues/1055"
"2020-1/13","2021-10/11","Analyser fails with javax.persistence.Entity","https://github.com/spotbugs/spotbugs/issues/1057"
"2020-1/13","null","Hide lombok warnings","https://github.com/spotbugs/spotbugs/issues/1058"
"2020-1/15","null","False positive RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT using static imports and Junit 5","https://github.com/spotbugs/spotbugs/issues/1060"
"2020-1/16","2020-1/20","4.0.0-beta5 distribution files not found","https://github.com/spotbugs/spotbugs/issues/1062"
"2020-1/20","2020-9/3","spotbugs-annotation.jar missing from spotbugs-4.0.0-RC1 bundle","https://github.com/spotbugs/spotbugs/issues/1066"
"2020-1/21","2020-2/2","Latest 4.0.0 Eclipse plugin is not functional","https://github.com/spotbugs/spotbugs/issues/1067"
"2020-1/23","null","Add rule to disallow use of Java's Optional","https://github.com/spotbugs/spotbugs/issues/1068"
"2020-1/28","null","Custom Gradle Plugin","https://github.com/spotbugs/spotbugs/issues/1073"
"2020-2/1","2020-2/1","Upload archives to GitHub release too","https://github.com/spotbugs/spotbugs/issues/1075"
"2020-2/3","2020-3/18","XSL issue in 4.0.0-RC1","https://github.com/spotbugs/spotbugs/issues/1077"
"2020-2/6","null","Maybe false positive NP_NULL_ON_SOME_PATH (with Kotlin)","https://github.com/spotbugs/spotbugs/issues/1079"
"2020-2/13","null","NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE with okhttp3 body().string() chaining","https://github.com/spotbugs/spotbugs/issues/1083"
"2020-2/14","2021-11/24","how to match final field","https://github.com/spotbugs/spotbugs/issues/1085"
"2020-2/14","null","Incorrect links in SpotBugs site report","https://github.com/spotbugs/spotbugs/issues/1086"
"2020-2/17","2020-2/19","False positive with NP_NONNULL_PARAM_VIOLATION and Spring RestTemplate HttpEntity","https://github.com/spotbugs/spotbugs/issues/1087"
"2020-2/18","null","Spotbugs needs to specify which sfl4j jar is needed for execution. ","https://github.com/spotbugs/spotbugs/issues/1089"
"2020-2/24","null","Version information not reported with 4.0.0","https://github.com/spotbugs/spotbugs/issues/1093"
"2020-2/28","null","SpotBugs Ant Task does not support longBugCodes","https://github.com/spotbugs/spotbugs/issues/1094"
"2020-3/1","2020-4/28","PGP key used for 3.1.12 not accessible","https://github.com/spotbugs/spotbugs/issues/1095"
"2020-3/2","2020-3/5","Spotbugs 4.0.0 isn't included in official gradle plugin page","https://github.com/spotbugs/spotbugs/issues/1096"
"2020-3/2","null","Spotbugs-4.0.0 doesn't detect FLOATING_POINT_EQUALITY","https://github.com/spotbugs/spotbugs/issues/1097"
"2020-3/11","null","FindBugs2#close() does not reset the singleton of DetectorFactoryCollection","https://github.com/spotbugs/spotbugs/issues/1100"
"2020-3/13","null","check File PATH_TRAVERSAL_IN issue","https://github.com/spotbugs/spotbugs/issues/1103"
"2020-3/18","2020-3/30","Report generation still fails using spotbugs 4.0.1 and gradle plugin 4.0.2","https://github.com/spotbugs/spotbugs/issues/1105"
"2020-3/19","2020-4/20","Release build on GitHub Actions is failing","https://github.com/spotbugs/spotbugs/issues/1106"
"2020-3/20","null","can find bug: socket not close?","https://github.com/spotbugs/spotbugs/issues/1107"
"2020-3/27","null","Disallow Optional.of(..).orElse(..)","https://github.com/spotbugs/spotbugs/issues/1109"
"2020-3/27","null","Spotbugs IDEA plugin was compiled with target version 55 (Java 11)","https://github.com/spotbugs/spotbugs/issues/1110"
"2020-4/2","null","During the analysis, it needs to be built once, and then an error will be reported in the analysis, and the IDEA needs to be closed again and opened again for the analysis","https://github.com/spotbugs/spotbugs/issues/1113"
"2020-4/5","null","False positive NP_NONNULL_RETURN_VIOLATION on BigDecimal.ZERO","https://github.com/spotbugs/spotbugs/issues/1114"
"2020-4/19","null","@Immutable should be @Inherited or checked in sub classes.","https://github.com/spotbugs/spotbugs/issues/1120"
"2020-4/20","null","[False Positive]how spotbugs support this?","https://github.com/spotbugs/spotbugs/issues/1121"
"2020-4/23","2020-5/13","XML External Entity (XXE) Injection Vulnerability","https://github.com/spotbugs/spotbugs/issues/1122"
"2020-4/29","null","Migrate CI jobs to GitHub Actions for more deployment automation","https://github.com/spotbugs/spotbugs/issues/1123"
"2020-5/2","null","DM_BOOLEAN_CTOR false positive","https://github.com/spotbugs/spotbugs/issues/1124"
"2020-5/7","2020-5/12","PGP public key signing spotbugs-4.0.0 (and later?) not available (on keyservers)","https://github.com/spotbugs/spotbugs/issues/1125"
"2020-5/8","2020-6/30","Update dom4j to 2.1.3","https://github.com/spotbugs/spotbugs/issues/1126"
"2020-5/9","2020-6/30","OWASP CVE-2020-10683 in dom4j-2.1.1 dependency","https://github.com/spotbugs/spotbugs/issues/1127"
"2020-5/9","null","Invalid XML in spotbugs-4.0.2.jar messages.xml? (according to dom4j 2.1.3)","https://github.com/spotbugs/spotbugs/issues/1128"
"2020-5/23","2020-6/9","Incorrect ModifiedDate (2/1/1980) for files in zip and files in JARs","https://github.com/spotbugs/spotbugs/issues/1134"
"2020-5/27","2020-6/12","apache-commons-lang3 dependency conflict","https://github.com/spotbugs/spotbugs/issues/1135"
"2020-5/28","null","Rule to check if switch over enum covers all cases","https://github.com/spotbugs/spotbugs/issues/1138"
"2020-5/28","2020-9/29","java.lang.IllegalArgumentException in OpcodeStack.constantToInt","https://github.com/spotbugs/spotbugs/issues/1139"
"2020-6/2","null","[false-negative]HE_EQUALS_USE_HASHCODE can not detect equals method overide in method","https://github.com/spotbugs/spotbugs/issues/1142"
"2020-6/2","null","[false-negative]ICAST_BAD_SHIFT_AMOUNT can not detect int literal shift","https://github.com/spotbugs/spotbugs/issues/1143"
"2020-6/2","null","[false-negative]SA_LOCAL_SELF_ASSIGNMENT can not detect the case like: foo.bar = foo.bar","https://github.com/spotbugs/spotbugs/issues/1144"
"2020-6/2","null","[false-negative]SA_LOCAL_SELF_ASSIGNMENT can not detect the case like: this.foo = foo","https://github.com/spotbugs/spotbugs/issues/1145"
"2020-6/2","null","[false-negative]ICAST_INTEGER_MULTIPLY_CAST_TO_LONG can not detect only contain left shift that may overflow","https://github.com/spotbugs/spotbugs/issues/1146"
"2020-6/2","null","[false-negative]DMI_INVOKING_TOSTRING_ON_ARRAY can not detect String automatic conversion when string concatenation","https://github.com/spotbugs/spotbugs/issues/1147"
"2020-6/2","null","[false-positive]SF_SWITCH_NO_DEFAULT detect false positive result: some switchs with default are detected.","https://github.com/spotbugs/spotbugs/issues/1148"
"2020-6/2","null","[false-negative]QBA_QUESTIONABLE_BOOLEAN_ASSIGNMENT can not detect some complex case like","https://github.com/spotbugs/spotbugs/issues/1149"
"2020-6/4","null","Installation failed, in Eclipse","https://github.com/spotbugs/spotbugs/issues/1150"
"2020-6/4","null","Spotbugs ant task does not allow plugin jars to be specified as in command line. ","https://github.com/spotbugs/spotbugs/issues/1151"
"2020-6/8","null","False positive: NP_NULL_ON_SOME_PATH cannot occur because of thrown exception.","https://github.com/spotbugs/spotbugs/issues/1155"
"2020-6/9","null","How to properly run SpotBugs on a Scala project","https://github.com/spotbugs/spotbugs/issues/1157"
"2020-6/9","2020-6/20","Spotbugs 4.0.4 release Eclipse plugin misses spotbugs.jar","https://github.com/spotbugs/spotbugs/issues/1158"
"2020-6/10","2021-2/20","UnsupportedOperationException after upgrade from 3.1.12 to 4.0.4","https://github.com/spotbugs/spotbugs/issues/1161"
"2020-6/10","2020-6/22","The build for PR comes from forked repo is failing","https://github.com/spotbugs/spotbugs/issues/1163"
"2020-6/11","null","How can i run findsecbugs rules in spotbugs?","https://github.com/spotbugs/spotbugs/issues/1164"
"2020-6/11","null","kotlin false positive, JXI_UNDEFINED_PARAMETER_SOURCE_IN_ENDPOINT","https://github.com/spotbugs/spotbugs/issues/1165"
"2020-6/18","2020-7/10","FII_USE_METHOD_REFERENCE ","https://github.com/spotbugs/spotbugs/issues/1168"
"2020-6/18","2020-6/18","SpotBugs	4.0.4.r202006090151-249e1a7 fails with eclipse 20.06 (4.16.0)","https://github.com/spotbugs/spotbugs/issues/1169"
"2020-6/20","2020-10/20","False Positive: NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE when code throws NullReferenceException explicitly (as Objects.requireNonNull does)","https://github.com/spotbugs/spotbugs/issues/1175"
"2020-6/21","2020-6/22","e.u.c.f.b.AnalysisException after upgrade of SB from 4.0.4 to 4.0.5 in maven project","https://github.com/spotbugs/spotbugs/issues/1176"
"2020-6/22","2020-6/23","NoClassDefFoundError in Gradle project","https://github.com/spotbugs/spotbugs/issues/1178"
"2020-7/7","2020-9/8","@SuppressFBWarnings retention policy CLASS causes compiler warnings/errors in downstream projects","https://github.com/spotbugs/spotbugs/issues/1204"
"2020-7/8","2020-7/8","confidence level","https://github.com/spotbugs/spotbugs/issues/1208"
"2020-7/14","null","False Positive: BC_UNCONFIRMED_CAST_OF_RETURN_VALUE when using generic bounded type","https://github.com/spotbugs/spotbugs/issues/1219"
"2020-7/15","2020-7/15","sourceSets property cannot be used with spotbugs 4.x.x","https://github.com/spotbugs/spotbugs/issues/1220"
"2020-7/18","null","java.lang.AssertionError: frame_type field doesn't exist at edu.umd.cs.findbugs.StackMapAnalyzer.lambda$static$0(StackMapAnalyzer.java:150)","https://github.com/spotbugs/spotbugs/issues/1223"
"2020-7/21","2020-12/1","Fails with OpenJDK 15-ea: Unsupported class file major version 60","https://github.com/spotbugs/spotbugs/issues/1229"
"2020-7/24","null","Kotlin ""Null pointer dereference issue"" for method which returns Nothing","https://github.com/spotbugs/spotbugs/issues/1233"
"2020-7/26","2020-7/26","edu.umd.cs.findbugs.classfile.ResourceNotFoundException: Resource not found: java/lang/Object.class at edu.umd.cs.findbugs.classfile.impl.ClassPathImpl.lookupResource(ClassPathImpl.java:162)","https://github.com/spotbugs/spotbugs/issues/1234"
"2020-7/30","2020-7/31","SpotBugs v4.1.0 and Maven Plugin 4.0.4 java.lang.NoClassDefFoundError: org/dom4j/DocumentException","https://github.com/spotbugs/spotbugs/issues/1239"
"2020-8/2","null","add codeFlow property","https://github.com/spotbugs/spotbugs/issues/1241"
"2020-8/4","2021-4/10","Build with JDK14","https://github.com/spotbugs/spotbugs/issues/1244"
"2020-8/7","2020-9/3","False positive RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE for class.getResourceAsStream","https://github.com/spotbugs/spotbugs/issues/1250"
"2020-8/4","null","[Suggestion][MAVEN] with example","https://github.com/spotbugs/spotbugs/issues/1251"
"2020-8/13","2020-10/14","spotbugs reports VR_UNRESOLVABLE_REFERENCE when code is compiled with Java 11","https://github.com/spotbugs/spotbugs/issues/1254"
"2020-8/14","2021-11/24","edu.umd.cs.findbugs.classfile.ResourceNotFoundException: Resource not found: java/lang/Object.class at edu.umd.cs.findbugs.classfile.impl.ClassPathImpl.lookupResource(ClassPathImpl.java:162)","https://github.com/spotbugs/spotbugs/issues/1255"
"2020-8/17","null","In case of multiple bugs in same line, only first occurrence was detected","https://github.com/spotbugs/spotbugs/issues/1257"
"2020-8/17","null","-dontCombineWarnings option doesn't work fine","https://github.com/spotbugs/spotbugs/issues/1258"
"2020-8/17","2020-8/18","BytecodeScanningDetector.shouldVisitCode is only used within OpcodeStackDetector.visitCode","https://github.com/spotbugs/spotbugs/issues/1261"
"2020-8/17","null","Unnecessary warnings for Android classes","https://github.com/spotbugs/spotbugs/issues/1262"
"2020-9/2","2020-10/13","java.lang.IllegalArgumentException: Error: missing bug code for keyJUA","https://github.com/spotbugs/spotbugs/issues/1272"
