"['title']","['url']","['createdAt']","['closedAt']"
"Consistently support CompletionStage next to CompletableFuture [SPR-15258]","https://github.com/spring-projects/spring-framework/issues/19823","2017-2/15","2017-4/3"
"StringIndexOutOfBoundsException in PathPattern.extractPathWithinPattern [SPR-15259]","https://github.com/spring-projects/spring-framework/issues/19824","2017-2/15","2017-2/23"
"Add option for trailing separator matching in PathPatternParser [SPR-15260]","https://github.com/spring-projects/spring-framework/issues/19825","2017-2/15","2017-5/8"
"HEAD response has ""Content-Length: 0"" for @RestController @GetMapping methods [SPR-15261]","https://github.com/spring-projects/spring-framework/issues/19826","2017-2/16","2017-3/6"
"MessageHeaderAccessor's MutableMessageHeaders should be serializable [SPR-15262]","https://github.com/spring-projects/spring-framework/issues/19827","2017-2/16","2017-2/23"
"Mulltimap update bug [SPR-15263]","https://github.com/spring-projects/spring-framework/issues/19828","2017-2/16","2022-2/18"
"PathPatternParser matches root path against path variable [SPR-15264]","https://github.com/spring-projects/spring-framework/issues/19829","2017-2/17","2017-2/23"
"OpenTracing: Embedded Boot `/error` invoked after processing in filter [SPR-15265]","https://github.com/spring-projects/spring-framework/issues/19830","2017-2/17","2017-2/17"
"Doc: Consistent @Profile declarations on overloaded @Bean methods [SPR-15266]","https://github.com/spring-projects/spring-framework/issues/19831","2017-2/18","2017-4/18"
"Introduce @FromModel as substitute to @ModelAttribute(binding=false) [SPR-15267]","https://github.com/spring-projects/spring-framework/issues/19832","2017-2/18","2018-12/13"
"Honor @Autowired(required=false) at parameter level, as an alternative to java.util.Optional [SPR-15268]","https://github.com/spring-projects/spring-framework/issues/19833","2017-2/19","2017-5/8"
"Document default property converters [SPR-15269]","https://github.com/spring-projects/spring-framework/issues/19834","2017-2/19","null"
"Spring MVC support for JSON parsing/streaming APIs (JSON Processing API, Gson, Jackson) [SPR-15270]","https://github.com/spring-projects/spring-framework/issues/19835","2017-2/20","null"
"Reliably detect @Cacheable declarations on interface methods [SPR-15271]","https://github.com/spring-projects/spring-framework/issues/19836","2017-2/20","2018-8/15"
"@Retryable won't work as expected with exclude [SPR-15272]","https://github.com/spring-projects/spring-framework/issues/19837","2017-2/20","2017-2/20"
"LocaleChangeInterceptor not working before I login [SPR-15273]","https://github.com/spring-projects/spring-framework/issues/19838","2017-2/21","2017-2/21"
