"createdAt","closedAt","title","url"
"2007-9/29","2008-5/4","SPRING_HANDLER_MAPPINGS_LOCATION should be public [SPR-3941]","https://github.com/spring-projects/spring-framework/issues/8621"
"2007-9/29","2012-6/19","SPRING_HANDLER_MAPPINGS_LOCATION should be public [SPR-3942]","https://github.com/spring-projects/spring-framework/issues/8622"
"2007-9/29","2012-6/19","ibatis misses import on com.ibatis.sqlmap.engine.transaction.external package [SPR-3943]","https://github.com/spring-projects/spring-framework/issues/8623"
"2007-9/29","2007-9/30","@Resource annotation missing in 2.1 M4  [SPR-3944]","https://github.com/spring-projects/spring-framework/issues/8624"
"2007-9/29","2012-6/19","TestContext throws exception with cryptic message when test class is missing @ContextConfiguration [SPR-3945]","https://github.com/spring-projects/spring-framework/issues/8625"
"2007-9/29","2011-7/7","@Autowire does not work as expected for Collections based Repository implementation [SPR-3946]","https://github.com/spring-projects/spring-framework/issues/8626"
"2007-9/30","2012-6/19","AspectJAdviceParameterNameDiscoverer  never gets consulted is ASM not in classpath [SPR-3947]","https://github.com/spring-projects/spring-framework/issues/8627"
"2007-9/30","2015-5/21","Configurable bean initialization order [SPR-3948]","https://github.com/spring-projects/spring-framework/issues/8628"
"2007-9/30","2012-6/19","ContextConfiguration annotation should accept not only classpath resources [SPR-3949]","https://github.com/spring-projects/spring-framework/issues/8629"
"2007-10/1","2012-6/19","AbstractApplicationContext#destroyBeans() should be reused when refreshing a beanFactory [SPR-3950]","https://github.com/spring-projects/spring-framework/issues/8630"
"2007-10/1","2012-6/19","TransactionSynchronization.afterCompletion(int) in combination with JpaTransactionManager and PROPAGATION_REQUIRES_NEW fails with IllegalTransactionStateException [SPR-3951]","https://github.com/spring-projects/spring-framework/issues/8631"
"2007-10/2","2007-10/7","JSTL Internationalization doesn't work with the modul  ""spring-webmvc.jar"" [SPR-3952]","https://github.com/spring-projects/spring-framework/issues/8632"
"2007-10/2","2012-6/19","bean(name) PCD breaks with aop:scoped-proxy [SPR-3953]","https://github.com/spring-projects/spring-framework/issues/8633"
"2007-10/3","2012-6/19","JSP taglib with FreeMarker doesn't print errors [SPR-3954]","https://github.com/spring-projects/spring-framework/issues/8634"
"2007-10/3","2014-12/12","support for multiple transaction managers with @Transactional / <tx:annotation-driven> [SPR-3955]","https://github.com/spring-projects/spring-framework/issues/8635"
"2007-10/3","2012-6/19","Dependency Version Numbers [SPR-3956]","https://github.com/spring-projects/spring-framework/issues/8636"
"2007-10/3","2007-12/18","Backport the functionality of doing batch updates with named parameters [SPR-3957]","https://github.com/spring-projects/spring-framework/issues/8637"
"2007-10/3","2012-6/19","[NoSuchRequestHandlingMethodException] Improve exception message [SPR-3958]","https://github.com/spring-projects/spring-framework/issues/8638"
