"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"MockHttpServletRequest does not handle rfc formatted dates.","2014-8/1","2015-7/1","2014-8/1",False,"null",2,77,22
"Registering custom argument resolvers within the ExceptionHandlerExcepti...","2014-8/2","2016-1/2","2014-8/2",False,"null",2,90,2
"Move exposeContextBeans to UrlBasedViewResolver","2014-8/4","2014-8/4","2014-8/4",False,"null",2,115,106
"Update references to RFC 2616","2014-8/5","2014-8/5","2014-8/5",False,"null",2,116,65
"4.0.x","2014-8/6","2014-8/6","2014-8/6",False,"null",9,9497,4683
"SPR-12068 Added exception tracking to JamonPerformanceMonitorInterceptor","2014-8/7","2014-10/7","2014-8/7",False,"null",2,223,78
"Support Jackson based XML serialization/deserialization","2014-8/7","2014-8/7","2014-8/7",True,"2014-8/7",3,1421,431
"Upgrade to Gson 2.3","2014-8/12","2014-8/12","2014-8/12",True,"2014-8/12",2,2,2
"make TransactionalTestExecutionListener to support TestNG with invocationCount","2014-8/16","2014-8/16","2014-8/16",False,"null",9,10249,5446
"Clean Up Deprecated Method Call","2014-8/16","2014-8/16","2014-8/16",False,"null",2,1,1
"Clean Up Deprecated Method Call","2014-8/17","2014-8/17","2014-8/17",True,"2014-8/17",2,7,7
"Clean up spring-core warnings","2014-8/18","2014-8/18","2014-8/18",True,"2014-8/18",2,1,1
"Modify getServerName() and getServerPort() to reference ""Host"" header.","2014-8/18","2014-8/18","2014-8/18",False,"null",2,48,2
"Modify isSecure() to reference scheme.","2014-8/19","2014-8/19","2014-8/19",False,"null",2,30,1
"added database-specific data type condition check","2014-8/19","2014-8/19","2014-8/19",False,"null",2,14,4
"Use putIfAbsent in CachedIntrospectionResults","2014-8/19","2014-8/19","2014-8/19",False,"null",2,13,6
"SPR-12106: Eliminate unnecessary lock around filteredPropertyDescriptorsCache","2014-8/21","2014-8/21","2014-8/21",False,"null",1,5,8
"Add Travis CI configuration","2014-8/21","2019-11/21","2014-8/21",False,"null",4,20,0
"Merge pull request #1 from spring-projects/master","2014-8/21","2014-8/21","2014-8/21",False,"null",1,0,0
"Clean Up Deprecated AssertThrows Class","2014-8/21","2014-8/21","2014-8/21",False,"null",2,56,343
"Clean Up Deprecated AssertThrows Class","2014-8/22","2014-8/22","2014-8/22",False,"null",2,43,338
"Improve ResolvableType.hashCode() for better performances","2014-8/26","2014-8/26","2014-8/26",False,"null",1,13,1
"Add Authentication to Security Context Holder","2014-8/26","2014-8/26","2014-8/26",False,"null",2,13,0
"Support port URI template variables","2014-8/28","2014-8/28","2014-8/28",False,"null",2,59,15
"Include HTTP status code in ServletRequestHandledEvent","2014-8/29","2014-8/29","2014-8/29",False,"null",2,44,5
"Add support for jackson mix-in","2014-9/3","2014-10/3","2014-9/3",False,"null",2,31,0
"Merge pull request #1 from SpringSource/master","2014-9/4","2014-9/4","2014-9/4",False,"null",1,0,0
"Modularize Asciidoc","2014-9/4","2015-3/4","2014-9/4",False,"null",2,56132,56197
"4.0.x","2014-9/6","2014-10/6","2014-9/6",False,"null",8,13257,7836
"Fix enum detection in GenericConversionService","2014-9/11","2014-9/11","2014-9/11",False,"null",2,18,2
"Added 406 Not Acceptable response support for @ExceptionHandler methods","2014-9/13","2014-10/13","2014-9/13",False,"null",2,299,12
"Added support for ResponseMessage response type in @Controller message handling methods","2014-9/15","2021-11/15","2014-9/15",False,"null",4,772,96
"Fix of unexpected override order for @Configuration based property sources","2014-9/16","2014-10/16","2014-9/16",False,"null",2,58,2
"Removing problematic creation of unnecessary RequestConfig","2014-9/16","2021-11/16","2014-9/16",False,"null",7,7,27
"Fix reference code sample","2014-9/20","2014-10/20","2014-9/20",False,"null",2,1,1
"Expose @Bean method metadata in BeanDefinitions","2014-9/21","2014-9/21","2014-9/21",False,"null",2,127,6
"Let base-package of  component-scan placeholder supports multiple basePackages","2014-9/24","2014-9/24","2014-9/24",False,"null",3,11,3
"fix typo","2014-9/25","2014-10/25","2014-9/25",False,"null",2,1,1
"adding check if logger is in debug mode to avoid string concatenation of...","2014-9/26","2014-9/26","2014-9/26",False,"null",3,5,5
"SPR-12081: Use a more efficient buffer implementation in ShallowEtagHeaderFilter","2014-9/26","2015-1/26","2014-9/26",False,"null",2,818,37
