"['title']","['url']","['createdAt']","['closedAt']"
"DelayHandler starts to process stored messages before all subsequent integration flows are properly initialized","https://github.com/spring-projects/spring-integration/issues/2543","2018-8/22","2018-8/28"
"Fix InboundChannelAdapter's javadoc","https://github.com/spring-projects/spring-integration/issues/2559","2018-9/6","2018-9/6"
"Silent error when message endpoint bean is depending on unfinished bean","https://github.com/spring-projects/spring-integration/issues/2565","2018-9/17","2018-10/3"
"Assert incorrectly triggered in FileReadingMessageSource","https://github.com/spring-projects/spring-integration/issues/2568","2018-9/20","2018-9/20"
"Enhancement - ChainFileListFilter constructors","https://github.com/spring-projects/spring-integration/issues/2569","2018-9/20","2018-9/21"
"Unable to link to integration source","https://github.com/spring-projects/spring-integration/issues/2574","2018-10/1","2018-10/23"
"connectionOptions ServerURIs ignored","https://github.com/spring-projects/spring-integration/issues/2577","2018-10/4","2019-4/25"
"MockIntegrationContext substituteMessageHandlerFor not working for ReactiveStreamsConsumer","https://github.com/spring-projects/spring-integration/issues/2582","2018-10/5","2018-10/5"
"DSL: aggregate() never releases messages split() from ArrayNode","https://github.com/spring-projects/spring-integration/issues/2583","2018-10/5","2018-10/5"
"Bean scope prototype not working despite advice in error message to use it","https://github.com/spring-projects/spring-integration/issues/2584","2018-10/5","2018-10/5"
"Question: Potential bug with sftp session reuse?","https://github.com/spring-projects/spring-integration/issues/2605","2018-10/22","2018-10/23"
"Integrate GRPC","https://github.com/spring-projects/spring-integration/issues/2626","2018-11/12","null"
"JdbcChannelMessageStore: poor performance for large buffers (Oracle+?)","https://github.com/spring-projects/spring-integration/issues/2628","2018-11/13","2018-11/30"
"JdbcChannelMessageStore: poor performance for long queue of messages","https://github.com/spring-projects/spring-integration/issues/2629","2018-11/14","2018-11/30"
"Strange abbreviation","https://github.com/spring-projects/spring-integration/issues/2631","2018-11/16","2018-11/16"
"Locking issue in spring-integration-redis 4.3.17","https://github.com/spring-projects/spring-integration/issues/2660","2018-12/13","2018-12/13"
"Question on Micrometer Metrics Integration","https://github.com/spring-projects/spring-integration/issues/2663","2018-12/17","2019-1/14"
"Question on reactive programming and Spring Integration","https://github.com/spring-projects/spring-integration/issues/2680","2018-12/26","2019-1/2"
"Custom dirty Session using RemoteFileTemplate?","https://github.com/spring-projects/spring-integration/issues/2687","2019-1/10","2019-1/10"
"Revise the  MessagingMethodInvokerHelper complexity and consider to add out-of-the-box beans for the MessageHandlerMethodFactory","https://github.com/spring-projects/spring-integration/issues/2690","2019-1/10","2019-3/13"
"CachingSessionFactory - using different Pool strategies?","https://github.com/spring-projects/spring-integration/issues/2692","2019-1/11","null"
"Can configure @EnablePublisher(proxyTargetClass=true)","https://github.com/spring-projects/spring-integration/issues/2695","2019-1/14","2019-1/17"
"ConcurrentModificationException when two threads execute a method annotated with @Publisher","https://github.com/spring-projects/spring-integration/issues/2699","2019-1/15","2019-1/16"
"Constructor visibility of AbstractMarkerFilePresentFileListFilter implementations?","https://github.com/spring-projects/spring-integration/issues/2705","2019-1/18","2019-1/18"
"Add Multi-input Bridge","https://github.com/spring-projects/spring-integration/issues/2708","2019-1/22","2022-4/19"
"ClassCastException from PollSkipAdvice","https://github.com/spring-projects/spring-integration/issues/2714","2019-1/24","2019-1/24"
"Refactor PollSkipAdvice into an AbstractMessageSourceAdvice","https://github.com/spring-projects/spring-integration/issues/2717","2019-1/24","2019-2/8"
"AMQP adapter, poor performance with DMLC","https://github.com/spring-projects/spring-integration/issues/2719","2019-1/25","2019-1/25"
"Investigate concurrency support for the MqttPahoMessageDrivenChannelAdapter","https://github.com/spring-projects/spring-integration/issues/2720","2019-1/25","null"
"RQ: more convenient splitter shortcuts","https://github.com/spring-projects/spring-integration/issues/2722","2019-1/28","2019-4/25"
"Unable to create XsltPayloadTransformer when Saxon HE is in the classpath.","https://github.com/spring-projects/spring-integration/issues/2723","2019-1/29","2019-1/29"
"Add an ability to log SQL queries executing in JdbcTemplate class provided by JdbcPollingChannelAdapter class when debug is enabled.","https://github.com/spring-projects/spring-integration/issues/2727","2019-2/1","2019-2/8"
"Expose amqp_channel and amqp_deliveryTag headers in case message conversion fails","https://github.com/spring-projects/spring-integration/issues/2728","2019-2/1","2019-2/1"
"Issue with Gateway when using in combination with Integration flow or a channel","https://github.com/spring-projects/spring-integration/issues/2731","2019-1/30","2019-2/8"
"Memory leak with Spring Cloud Stream - metrics","https://github.com/spring-projects/spring-integration/issues/2733","2019-2/4","2019-2/5"
"Spring Integraton- Issue with Nested Scatter Gather Errors not Propagated","https://github.com/spring-projects/spring-integration/issues/2735","2019-2/5","2019-2/11"
"Support setAsync() on TcpOutboundGateway","https://github.com/spring-projects/spring-integration/issues/2736","2019-2/5","2020-4/1"
