"createdAt","closedAt","title","url"
"2021-12/12","2021-12/14","RedisLockRegistry improvement, using pub-sub for lock to without spinlock","https://github.com/spring-projects/spring-integration/issues/3690"
"2021-12/14","2021-12/14","PublisherAnnotationBeanPostProcessor has dependency on itself, breaks when using Spring Boot","https://github.com/spring-projects/spring-integration/issues/3694"
"2021-12/14","null","Support ErrorHandlingDeserializer in KafkaMessageSource","https://github.com/spring-projects/spring-integration/issues/3696"
"2021-12/16","2021-12/16","Incomplete shutdown of Mqttv5PahoMessageDrivenChannelAdapter","https://github.com/spring-projects/spring-integration/issues/3697"
"2021-12/22","2021-12/22","javadoc double dots","https://github.com/spring-projects/spring-integration/issues/3699"
"2021-12/26","2022-1/4","I am using RedisLockRegistry. After uploading the version to 5.5.7.RELEASE, a issue occurred.","https://github.com/spring-projects/spring-integration/issues/3700"
"2021-12/26","2022-1/3","Memory Leak in version 5.5.7","https://github.com/spring-projects/spring-integration/issues/3701"
"2021-12/28","2022-1/3","Default Message History in XML configuration throws an exception","https://github.com/spring-projects/spring-integration/issues/3703"
"2021-12/30","2022-1/5","File Descriptor leak ","https://github.com/spring-projects/spring-integration/issues/3705"
"2022-1/12","2022-1/12","Typo in log message ","https://github.com/spring-projects/spring-integration/issues/3710"
"2022-1/21","2022-2/3","No HttpMessageConverter for java.util.HashMap and content type ""application/x-www-form-urlencoded;charset=UTF-8""","https://github.com/spring-projects/spring-integration/issues/3711"
"2022-1/28","2022-1/28","Migration from spring boot 2.6.1 to 2.6.2+ on postgresql fails on ""select from int_message_group""","https://github.com/spring-projects/spring-integration/issues/3712"
"2022-2/1","2022-2/2","TcpConnectionInterceptorSupport.addNewConnection() is no longer called","https://github.com/spring-projects/spring-integration/issues/3713"
"2022-2/3","2022-2/8","Redis Lock is only aquired after configured lock timeout although lock is not held by any other instance","https://github.com/spring-projects/spring-integration/issues/3716"
"2022-2/10","2022-2/28","org.springframework.integration:spring-integration-jdbc. Distributed lock allows 2nd process to acquire lock on lockKey inspite of being locked by 1st process","https://github.com/spring-projects/spring-integration/issues/3724"
"2022-2/11","null","Better documentation for writing custom channel adapters for JavaDSL","https://github.com/spring-projects/spring-integration/issues/3725"
"2022-2/12","2022-2/15","IntegrationUtils.getConversionService() method is unable to get the @ IntegrationConverter annotations of the Converter","https://github.com/spring-projects/spring-integration/issues/3726"
"2022-2/12","2022-2/13","RedisLockRegistry unlock() is not releasing the Redis lock in High Available Cluster (multiple master-slave)","https://github.com/spring-projects/spring-integration/issues/3727"
"2022-2/25","2022-3/18","Mqttv5PahoMessageDrivenChannelAdapter.addTopic(topic, qos) throws NPE","https://github.com/spring-projects/spring-integration/issues/3732"
"2022-2/28","2022-4/12","JdbcLockRegistry is unable to retry a lock when there is a serialization problem and you are using JPATransactionManager instead of DataSourceTransactionManager","https://github.com/spring-projects/spring-integration/issues/3733"
"2022-3/2","2022-3/22","Default addition of ""org.springframework.integration.history"" to trusted packages of DefaultKafkaHeaderMapper","https://github.com/spring-projects/spring-integration/issues/3734"
"2022-3/2","2022-3/22","Setting metadatakey on FeedEntryMessageSource using URL object is appending url to metadatakey but when Resource object is used, only metadatakey is set","https://github.com/spring-projects/spring-integration/issues/3735"
"2022-3/4","2022-3/4","Spring Integration File Polling custom processing order not working","https://github.com/spring-projects/spring-integration/issues/3736"
"2022-3/4","2022-3/8","SerialVersionUID on class MessageHistory Breaking change : from version 5.5.2 to latest","https://github.com/spring-projects/spring-integration/issues/3737"
"2022-3/7","2022-3/9","Socket not closed when using UnicastSendingMessageHandler. Results in Too Many Open Files exception","https://github.com/spring-projects/spring-integration/issues/3739"
"2022-3/9","2022-3/9","ServerWebSocketContainer can't stop","https://github.com/spring-projects/spring-integration/issues/3744"
"2022-3/15","2022-3/15","PoolItemNotAvailableException: Failed to obtain pooled item when running on Kubernetes ","https://github.com/spring-projects/spring-integration/issues/3748"
"2022-3/16","2022-4/7","Deprecate GenericErrorHandler in KafkaMessageListenerContainerSpec","https://github.com/spring-projects/spring-integration/issues/3750"
"2022-3/19","2022-4/19","Memory leak in SimpleMessageStore","https://github.com/spring-projects/spring-integration/issues/3755"
"2022-3/27","2022-3/27","Is Spring Integration 5.5.10 must be based on Java 9 to use or depend on spring integration?","https://github.com/spring-projects/spring-integration/issues/3761"
"2022-3/28","2022-3/28","JacksonJsonUtils no longer supports java 8","https://github.com/spring-projects/spring-integration/issues/3762"
"2022-3/31","2023-5/1","Feature Request - handleReactive(ReactiveMessageHandler)","https://github.com/spring-projects/spring-integration/issues/3763"
"2022-3/31","2022-3/31","Feature Request - Enable the ability to write custom stateful reactive code in the middle of the flow","https://github.com/spring-projects/spring-integration/issues/3764"
"2022-4/2","2022-4/11","WARNING: An illegal reflective access operation has occurred","https://github.com/spring-projects/spring-integration/issues/3765"
"2022-4/5","2022-4/5","spring integration 5.5.10 has a dependency on spring 5.3.17 ","https://github.com/spring-projects/spring-integration/issues/3766"
"2022-4/5","2022-4/5","5.5.10 unable to run on Java 8","https://github.com/spring-projects/spring-integration/issues/3767"
"2022-4/8","null","Apache Pulsar support","https://github.com/spring-projects/spring-integration/issues/3771"
"2022-4/8","2023-2/22","Protobuf Support","https://github.com/spring-projects/spring-integration/issues/3772"
"2022-4/9","null","Document which channel adapter / gateway is Reactor friendly or not in the endpoints table","https://github.com/spring-projects/spring-integration/issues/3773"
"2022-4/9","2022-4/29","Elasticsearch channel adapter & gateway addition","https://github.com/spring-projects/spring-integration/issues/3774"
"2022-4/9","null","Apache Solr channel adapters & gateways support","https://github.com/spring-projects/spring-integration/issues/3775"
"2022-4/9","null","Apache Lucene channel adapters & gateways support","https://github.com/spring-projects/spring-integration/issues/3776"
"2022-4/9","null","Apache HBase channel adapters & gateways support","https://github.com/spring-projects/spring-integration/issues/3777"
"2022-4/9","null","Neo4j channel adapters & gateways support","https://github.com/spring-projects/spring-integration/issues/3778"
"2022-4/9","2023-5/23","Debezium channel adapters & gateways support","https://github.com/spring-projects/spring-integration/issues/3779"
"2022-4/9","2022-4/11","Feature Request - doOnNext()","https://github.com/spring-projects/spring-integration/issues/3780"
"2022-4/12","2022-4/12","List.of missing method non-java 8 compliant","https://github.com/spring-projects/spring-integration/issues/3783"
"2022-4/19","2022-4/25","JdbcMessageStore doesn't close database connections after streaming stored messages","https://github.com/spring-projects/spring-integration/issues/3785"
"2022-4/21","2022-5/9","Update Documentation for JUnit5","https://github.com/spring-projects/spring-integration/issues/3787"
"2022-5/5","2022-5/5","Allow byte[] class to be mapped from DefaultJmsHeaderMapper","https://github.com/spring-projects/spring-integration/issues/3788"
"2022-5/5","2022-5/6","Fix Kafka Deprecations (Header Constants)","https://github.com/spring-projects/spring-integration/issues/3790"
"2022-5/9","2022-5/10","Memory leak in AbstractCorrelatingMessageHandler","https://github.com/spring-projects/spring-integration/issues/3794"
"2022-5/11","2022-6/7","Support an Abstract(Reactive)MessageHandler#handleMessageInternal that will accept List<Message<?>>","https://github.com/spring-projects/spring-integration/issues/3797"
"2022-5/17","2022-5/17","Kdoc for router function in KotlinDSL is refers to filter not router (KotlinIntegrationFlowDefinition)","https://github.com/spring-projects/spring-integration/issues/3800"
"2022-5/18","2022-5/18","KafkaMessageDrivenChannelAdapter (and Gateway)","https://github.com/spring-projects/spring-integration/issues/3803"
"2022-5/19","2022-7/12","Setup/Installation of a SMB Server for JUnit Testing in SMB Module","https://github.com/spring-projects/spring-integration/issues/3804"
"2022-5/19","2022-6/8","Connection failures and application hangs with RedisLockRegistry since Spring Boot upgrade","https://github.com/spring-projects/spring-integration/issues/3805"
"2022-5/23","2022-6/6","spring-integration-webflux.xsd not found (404)","https://github.com/spring-projects/spring-integration/issues/3811"
"2022-5/25","2023-2/22","i wannt to encode uri in  WebSocketConnectionManager","https://github.com/spring-projects/spring-integration/issues/3813"
"2022-5/26","2022-5/27","v5.5.12 tag not in GitHub?","https://github.com/spring-projects/spring-integration/issues/3815"
"2022-5/27","2022-5/27","MessageGroup.getMessages().stream() broken(?) in 5.5.12 (or other Spring Boot 2.7.0 dependency bump)","https://github.com/spring-projects/spring-integration/issues/3816"
"2022-6/7","2022-6/7","RedisLock/JdbcLock doesn't acquire lock after expiry on different thread","https://github.com/spring-projects/spring-integration/issues/3821"
"2022-6/7","2022-6/17","Mqtt V5 improve automaticReconnect","https://github.com/spring-projects/spring-integration/issues/3822"
"2022-6/24","2022-6/27","CachingSessionFactory slowness if setPoolSize is called without initializing initial sessionCacheSize","https://github.com/spring-projects/spring-integration/issues/3826"
"2022-6/24","2022-7/18","Close Sftp Session before exception is thrown ?","https://github.com/spring-projects/spring-integration/issues/3827"
"2022-6/27","2022-9/1","Missing runtime hints for GenericHandler","https://github.com/spring-projects/spring-integration/issues/3828"
"2022-7/1","2022-7/1","Configuration samples of a JMS outbound channel adapter","https://github.com/spring-projects/spring-integration/issues/3831"
"2022-7/6","2022-7/6","Method call: Method messageSender(java.lang.String) cannot be found","https://github.com/spring-projects/spring-integration/issues/3836"
"2022-7/8","2022-7/19","Migrate MongoDB tests to Testcontainers","https://github.com/spring-projects/spring-integration/issues/3839"
"2022-7/8","2022-7/15","Migrate Redis integration tests to Testcontainers","https://github.com/spring-projects/spring-integration/issues/3840"
"2022-7/11","2022-7/13","Spring intergration not support send message with timeout ","https://github.com/spring-projects/spring-integration/issues/3841"
"2022-7/12","2022-7/18","MessageHistory does not copy the original message when handling an errormessage","https://github.com/spring-projects/spring-integration/issues/3843"
"2022-7/13","2022-8/22","A BeanPostProcessor should not create bean definitions","https://github.com/spring-projects/spring-integration/issues/3844"
"2022-7/13","2022-11/14","Document Hazelcast module","https://github.com/spring-projects/spring-integration/issues/3846"
"2022-7/15","2022-7/15","Sftp polling until remote file available ","https://github.com/spring-projects/spring-integration/issues/3848"
"2022-7/16","null","[Feature Request] Reactor Kafka channel adapter","https://github.com/spring-projects/spring-integration/issues/3850"
"2022-7/16","2022-10/17","[Feature Request] Apache Cassandra outbound channel adapter","https://github.com/spring-projects/spring-integration/issues/3851"
"2022-7/20","2022-7/21","Log SFTP Transfer with SftpProgressMonitor","https://github.com/spring-projects/spring-integration/issues/3855"
"2022-7/21","2022-7/26","Add reconnectDelay to ImapIdleAdapterSpec","https://github.com/spring-projects/spring-integration/issues/3858"
"2022-7/24","2022-7/26","Message can be obtained when DefaultMailHeaderMapper is used","https://github.com/spring-projects/spring-integration/issues/3860"
"2022-7/25","2022-7/25","When use mail filtering function,the rootObject is null value","https://github.com/spring-projects/spring-integration/issues/3861"
"2022-7/25","2022-12/12","IDLE time of ImapIdleChannelAdapterSpec can be manually configured","https://github.com/spring-projects/spring-integration/issues/3862"
"2022-7/25","2022-8/2","Mqttv5PahoMessageDrivenChannelAdapter after onInit and doStart cannot receive message","https://github.com/spring-projects/spring-integration/issues/3863"
"2022-7/28","2023-5/1","duplicate key value violates unique constraint ""int_lock_pk""","https://github.com/spring-projects/spring-integration/issues/3866"
"2022-8/4","2023-3/31","Implement ContextHolderRequestHandlerAdvice","https://github.com/spring-projects/spring-integration/issues/3869"
"2022-8/4","2022-9/8","Additional support for property placeholders in org.springframework.integration.annotation.ServiceActivator","https://github.com/spring-projects/spring-integration/issues/3870"
"2022-8/6","null","Provide reaper for (JDBC) channel message store","https://github.com/spring-projects/spring-integration/issues/3871"
"2022-8/8","2022-9/20","Embrace queue APIs in Spring's JDBC message stores for polling messages","https://github.com/spring-projects/spring-integration/issues/3872"
"2022-8/11","2022-8/11","Test Smell: testing private methods is not a good practice in testing","https://github.com/spring-projects/spring-integration/issues/3873"
"2022-8/17","2022-8/17","NoClassDefFoundError for org.springframework.integration.util.ClassUtils if first called from JMX","https://github.com/spring-projects/spring-integration/issues/3875"
"2022-8/31","2022-8/31","JdbcChannelMessageStore is not a MessageGroupStore","https://github.com/spring-projects/spring-integration/issues/3878"
"2022-9/8","2022-9/12","Default JDBC lock repository does not use time zone when storing creation date, causing ""lock""","https://github.com/spring-projects/spring-integration/issues/3885"
"2022-9/20","2022-9/20","NullPointerException when RedisLockRegistry is destroyed","https://github.com/spring-projects/spring-integration/issues/3888"
"2022-9/28","2022-10/17","Revise Spring Integration security in favor of Spring Security Messaging","https://github.com/spring-projects/spring-integration/issues/3897"
"2022-10/1","2022-10/3","AOT support for MQTT + Eclipse Paho","https://github.com/spring-projects/spring-integration/issues/3900"
"2022-10/3","2022-10/17","Add Kotlin Coroutines Support","https://github.com/spring-projects/spring-integration/issues/3902"
"2022-10/4","2022-11/7","GatewayProxyBeanRegistrationAotProcessor should not return a CodeFragments","https://github.com/spring-projects/spring-integration/issues/3903"
