"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"INT-2838 Allow @bean Expressions in (S)FTP Out","2013-1/9","2013-1/9","2013-1/9",False,"null",3,96,0
"INT-2876 Use Custom InputStream For NIO","2013-1/9","2013-1/9","2013-1/9",False,"null",2,163,81
"INT-2847 Fix Test with Java 7","2013-1/9","2013-1/9","2013-1/9",False,"null",2,12,4
"INT-2878: MessageGroupStoreReaper's Lifecycle fix","2013-1/11","2013-1/11","2013-1/11",False,"null",2,78,57
"INT-2880 fix System.out concurrent race condition","2013-1/15","2013-1/15","2013-1/15",False,"null",2,52,26
"INT-2864 Enforce Ref/Expression Mutual Exclusivity","2013-1/15","2013-1/15","2013-1/15",False,"null",2,293,34
"INT-2882 - Upgrade the DocBook reference plugin to 0.2.6","2013-1/15","2013-3/15","2013-1/15",False,"null",2,1669,1744
"INT-2886 Fix TCP Connection Exception","2013-1/17","2013-1/17","2013-1/17",False,"null",2,77,23
"INT-2853 - ObjectToStringConverter should handle byte arrays more gracefully.","2013-1/17","2013-2/17","2013-1/17",False,"null",3,10,0
"INT-2889 Fix Concurrency Problem in Type Converter","2013-1/18","2013-1/18","2013-1/18",False,"null",2,66,18
"INT-2890 Remove Hard-Coded Port from HTTP Tests","2013-1/18","2013-1/18","2013-1/18",False,"null",2,22,8
"INT-2893: fix chain -> router -> bean or script","2013-1/23","2013-2/23","2013-1/23",False,"null",2,251,159
"INT-2894 Do Not Leak ThrowableHolderException","2013-1/23","2013-1/23","2013-1/23",False,"null",2,141,16
"INT-2899: fix aggregator overhead on startup","2013-1/24","2013-1/24","2013-1/24",False,"null",2,219,112
"INT-2895 Update Bundlor Ranges for 2.2.1","2013-1/25","2013-1/25","2013-1/25",False,"null",2,26,26
"INT-2873 Create 3.0 Schemas","2013-1/25","2013-1/25","2013-1/25",True,"2013-1/25",2,15313,33
"INT-2825 Remove Temporary 2.2. Interface","2013-1/25","2013-2/25","2013-1/25",False,"null",3,110,177
"INT-2682 JMS GW - Support Expression for replyDest","2013-1/26","2013-2/26","2013-1/26",False,"null",2,520,46
"INT-2830/INT-2829 Fix S101 Tangles (Core, TCP)","2013-1/26","2013-2/26","2013-1/26",False,"null",3,243,274
"INT-2433: Ridding off MessageProcessors wrapping","2013-1/28","2013-9/28","2013-1/28",False,"null",2,229,107
"INT-2884: Refactor 'stdout' tests to use mocks","2013-1/28","2013-2/28","2013-1/28",False,"null",2,139,85
"INT-2888 fix MapToObjectTransformerParser CL issue","2013-1/28","2013-2/28","2013-1/28",False,"null",2,185,128
"INT-2312: HTTP RequestMapping support","2013-1/28","2013-10/28","2013-1/28",False,"null",4,1400,717
"INT-2897 2.2.x - Update Bundlor Ranges","2013-1/28","2013-2/28","2013-1/28",False,"null",3,26,26
"INT-2907: Upgrade to Gradle 1.4","2013-1/30","2013-2/30","2013-1/30",False,"null",2,5,5
"INT-2908 Fix concurrency around timeouts property","2013-1/30","2013-2/30","2013-1/30",False,"null",2,10,12
"INT-2899: remove redundant logic from Aggregator","2013-1/30","2013-2/30","2013-1/30",False,"null",2,204,132
"INT-2911 IO Exceptions Not Logged as ERROR","2013-2/1","2013-2/1","2013-2/1",False,"null",3,86,8
"INT-2912 - JdbcMessageStore - provide 'region' to queries","2013-2/4","2013-2/4","2013-2/4",False,"null",3,288,84
"Maint","2013-2/4","2013-2/4","2013-2/4",False,"null",6,3041,1547
"INT-2915 JMS Remove Deprecated Attributes","2013-2/5","2013-2/5","2013-2/5",False,"null",2,35,22
"INT-2823 Add QueueChannelOperations","2013-2/5","2013-2/5","2013-2/5",True,"2013-2/5",2,72,10
"INT-2900 Remove Extraneous Debug Log","2013-2/5","2013-2/5","2013-2/5",False,"null",3,46,7
"INT-2853 ObjectToStringTransformer Improvements","2013-2/5","2013-2/5","2013-2/5",False,"null",3,115,12
