"['title']","['url']","['createdAt']","['closedAt']"
"Import module error due to missing __init__.py","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/2","2018-4/12","2018-4/18"
"Question: Any plan for Uploading ART to PyPi?","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/3","2018-4/18","2018-4/25"
"error running the examples","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/4","2018-4/30","2018-5/1"
"Keras import should not be commented on utils.py","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/5","2018-6/13","2018-6/14"
"KerasClassifer is not copied when using the PyPl install","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/6","2018-6/13","2018-6/20"
"bug in ""to_categorical"" implementation","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/7","2018-6/13","2018-6/19"
"add a maintainers file","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/8","2018-6/19","2020-1/8"
"Is there any keras wrapper function support to use these attacks with my own model just as cleverhnas and foolbox has???? ","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/9","2018-6/29","2018-7/6"
"pytorch 0.4 support","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/12","2018-7/30","2018-8/23"
"need torch to use KerasClassifier","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/13","2018-8/10","2018-8/14"
"can't load imagenet dataset","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/14","2018-8/10","2018-8/14"
"Divide by zero","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/15","2018-8/29","2018-11/27"
"feature_squeezing.py clip_values is wrong","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/16","2018-9/2","2018-9/3"
"Should we use the preprocess for the image in notebooks/attack_defense_imagenet.ipynb ?","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/17","2018-9/4","2018-12/4"
"Getting 12 errors; expected 4","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/18","2018-9/11","2019-1/8"
"the effect of defences methods","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/20","2018-9/20","2019-2/6"
"AssertionError: assert grds.shape == (x_.shape[0], 1) + self.input_shape ","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/21","2018-10/9","2018-10/10"
"Run CarliniL2Method on GPU, ","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/22","2018-10/11","2018-11/27"
"Models in Caffe","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/23","2018-10/14","2020-1/28"
"Unable to load_model !!!!","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/24","2018-10/30","2018-11/9"
"Defense Algorithm","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/25","2018-11/11","2018-11/27"
"Create templates for issues and feature requests","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/26","2018-11/27","2018-11/27"
"Add a way to set the train/test mode for model explicitly for prediction and adversarial crafting","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/28","2019-1/14","2019-2/6"
"IndexError in CarliniL2Method","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/29","2019-1/23","2019-1/23"
"Add logging usage in examples and wiki","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/31","2019-1/25","2019-2/13"
"Matrix comatiblity issue","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/32","2019-2/4","2019-2/6"
"ART does not work with Keras Embedding layers","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/33","2019-2/7","2019-7/13"
"Improve design for expectation over transformations (EoT) integration with attacks","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/36","2019-2/14","2019-4/1"
"Adapt values for attack parameters to better defaults","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/37","2019-2/21","2019-7/13"
"Remove `Detector` abstract class and edit detectors to extend `Classifier`","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/38","2019-3/6","2019-3/12"
"Implement Pickle capacities for classifiers","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/39","2019-3/7","2019-9/12"
"Generate Spatial Transformation attack ","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/40","2019-3/28","2019-3/30"
"Error when running FGSM with pretrained ResNet50 in Keras","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/41","2019-3/29","2019-3/29"
".travis.yml: The 'sudo' tag is now deprecated in Travis CI","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/46","2019-4/14","2019-4/17"
"Add support for scikit-learn models","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/47","2019-4/17","2019-9/12"
"Adapt ART to feature vectors","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/49","2019-4/19","2019-7/8"
"Adapt ART to other types of models than neural networks","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/50","2019-4/19","2019-7/24"
"Implement low frequency adversarial perturbation strategy","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/51","2019-4/22","2020-12/1"
"Refactor computations required for logging","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/54","2019-4/24","2019-4/26"
"Rename all test files to `*_tests.py`","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/58","2019-4/26","2019-5/14"
"Create example notebook investigating the performance of boundary attack","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/59","2019-4/29","2019-6/2"
"Error in Zoo attack","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/60","2019-4/30","2020-12/1"
"Investigate models that were corrupted by git LFS","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/63","2019-5/2","2019-7/13"
"Consistency error with wrappers when reusing a classifier","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/65","2019-5/14","2021-9/25"
"Tensorflow 2.0 Support","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/66","2019-5/14","2019-9/12"
"Can't attack model with model with customized layers","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/67","2019-5/14","2019-6/2"
"Minimise calls to method predict in attacks FastGradientMethod and BasicIterativeMethod","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/70","2019-5/17","2019-5/24"
"Incorrect computation of perturbation budget in BIM / PGD with random init","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/73","2019-5/20","2019-5/24"
"The loss_gradient of PyTorch should be carried on logits instead of softmax outputs","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/75","2019-5/22","2019-7/23"
"GPU capability for keras classifier","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/76","2019-5/22","2019-5/22"
"Adversarial Patch size problem","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/77","2019-5/23","2019-5/29"
"Implement attack: ""Boundary Attack++: Query-Efficient Decision-Based Adversarial Attack""","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/80","2019-5/29","2019-7/13"
