"createdAt","closedAt","title","url"
"2020-4/18","2020-5/1","Question about using HopSkipJump and BlackboxClassifer for Tesseract","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/380"
"2020-4/19","2020-6/15","JSMA weird behavior","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/382"
"2020-4/21","2020-4/23","Trouble visualizing RGB images using Activation Defence","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/387"
"2020-4/27","2020-8/7","Support for targeted attacks for Universal Perturbation","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/393"
"2020-4/28","2020-6/15","Resampling preprocessor defense","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/394"
"2020-4/29","2020-5/4","attack_decision_based_boundary.ipynb seems not to consider preprocessing regarding ImageNet correctly.","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/395"
"2020-4/29","2020-6/15","Spectral Signature Backdoor Poisoning Defense","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/396"
"2020-5/1","2020-5/1","Possible bug when loading PyTorch model.","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/401"
"2020-5/6","2020-6/15","Allow pip to install ART with the full set of required and optional dependencies","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/405"
"2020-5/6","2020-6/15","Implement Wasserstein distance as a new metric","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/407"
"2020-5/7","2020-6/15","Video preprocessor defenses","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/408"
"2020-5/14","2020-5/14","ImportError: cannot import name 'ART_DATA_PATH'","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/413"
"2020-5/18","2020-6/15","Adversarial Trainer progress bar","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/418"
"2020-5/19","2020-6/15","Two questions about Functionally Equivalent Extraction","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/420"
"2020-5/22","2020-6/15","Replace `channel_index` with `channels_first` argument.","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/423"
"2020-5/26","2020-6/15","Keras: cannot identify custom loss function name/type","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/427"
"2020-5/27","2020-6/15","Can we generate attacks for multiple-output models.? ","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/430"
"2020-5/30","2020-6/2","Default values of some preprocessors may confuse users.","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/434"
"2020-6/2","2020-6/4","Boundary attack overflows on Xception network and stops working","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/436"
"2020-6/7","2021-6/15","Implement Carlini & Wagner L_0 Attack","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/443"
"2020-6/9","2020-6/12","Improve PyTorch classifier predict speed by not calculating gradients","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/448"
"2020-6/9","2020-6/15","Thermometer encoding usage","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/450"
"2020-6/10","2020-6/15","wildcard in loss_gradient function","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/457"
"2020-6/11","2020-10/6","Replace Classifier None If statements with NotImplemented Warning pytests reports","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/459"
"2020-6/11","2020-9/20","Move all tests under the framework agnostic loop","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/460"
"2020-6/11","2020-8/21","Create Wiki page to describe how to create framework agnostic ART tests","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/461"
"2020-6/11","2020-10/28","Treat Tensorflow1 and Tensorflow2 as two separate framework in tests","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/462"
"2020-6/11","null","Enable batches with variable length/size inputs ","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/464"
"2020-6/11","2020-9/20","Allow norm to be passed to attacks as string argument","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/465"
"2020-6/17","2020-12/1","Extend ProjectedGradientDescent for PyTorch with option for apex","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/471"
"2020-6/17","null","Implement Fast is Better than Free protocol for TensorFlow v2","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/472"
"2020-6/17","2020-12/1","Define APIs and implement prototypes for Federated Learning","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/473"
"2020-6/18","2020-8/7","LightGBM Tutorial","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/474"
"2020-6/19","2020-6/25","DeepFool performance issues","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/475"
"2020-6/22","2020-6/25","Failed import in  art.attacks.evasion.__init__.py","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/477"
"2020-6/22","2020-8/7","variation of CLEVER score","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/478"
"2020-6/24","2020-6/24","Adversarial Attacks failing when y is not none","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/483"
"2020-6/25","2020-8/7","Pytorch eval mode","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/484"
"2020-6/26","2020-9/20","Wrong backward pass in chaining preprocessing defenses","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/485"
"2020-6/27","2020-8/7","Question about discrete data","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/486"
"2020-7/3","2020-9/20","Add progress bars to art.defences.trainer","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/488"
"2020-7/3","2020-12/1","Implement Brendel and Bethge attack","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/489"
"2020-7/3","2020-9/20","Add support for targeted attacks in art.attacks.evasion.AutoAttack","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/490"
"2020-7/8","2020-7/20","art.estimators not found","https://github.com/Trusted-AI/adversarial-robustness-toolbox/issues/492"
