"createdAt","closedAt","title","url"
"2015-9/27","2015-9/27","Multiple episodes at the same time: incorrect sort order on widget","https://github.com/UweTrottmann/SeriesGuide/issues/471"
"2015-10/7","2015-10/28","Show info not updated if ""GetAccounts"" is blocked","https://github.com/UweTrottmann/SeriesGuide/issues/475"
"2015-10/8","2015-10/9","FAB displayed on wrong tab","https://github.com/UweTrottmann/SeriesGuide/issues/476"
"2015-10/25","2015-10/26","Manage watched movies too!","https://github.com/UweTrottmann/SeriesGuide/issues/479"
"2015-11/25","2015-11/25","SeriesGuide Cloud Submit Improvement","https://github.com/UweTrottmann/SeriesGuide/issues/480"
"2016-1/4","2016-1/5","Episodes not watched is incorrect","https://github.com/UweTrottmann/SeriesGuide/issues/482"
"2016-1/23","2016-1/23","Next episode is always sorting by release date","https://github.com/UweTrottmann/SeriesGuide/issues/483"
"2016-3/3","2019-8/14","List widget not updating","https://github.com/UweTrottmann/SeriesGuide/issues/484"
"2016-3/12","2016-3/16","Add option to open added show from add dialog","https://github.com/UweTrottmann/SeriesGuide/issues/485"
"2016-3/16","null","Show error drawable for movie posters","https://github.com/UweTrottmann/SeriesGuide/issues/486"
"2016-3/25","2016-6/16","Infinite calendar: episodes briefly reappear when setting watched","https://github.com/UweTrottmann/SeriesGuide/issues/487"
"2016-5/12","2016-5/12","Seriesguide Cloud API","https://github.com/UweTrottmann/SeriesGuide/issues/488"
"2016-5/17","2016-5/17","Back button bug in recent","https://github.com/UweTrottmann/SeriesGuide/issues/489"
"2016-5/18","2016-5/19","Faulty animation direction when leaving season and episode view via up navigation","https://github.com/UweTrottmann/SeriesGuide/issues/490"
"2016-5/20","2016-6/16","Trakt syncing (with large history?) is slow, disruptive, can cause data loss","https://github.com/UweTrottmann/SeriesGuide/issues/491"
"2016-6/25","2016-7/8","Gradle problem in Android Studio 2.1","https://github.com/UweTrottmann/SeriesGuide/issues/492"
"2016-6/25","2016-7/8","Crashlytics Developer Tools error.","https://github.com/UweTrottmann/SeriesGuide/issues/493"
"2016-8/25","2016-9/22","[API] Getting TV show release year (or release date)","https://github.com/UweTrottmann/SeriesGuide/issues/494"
"2016-8/30","2016-10/7","Feature Suggestion: ""Undo"" for Recent/Upcoming list checkins","https://github.com/UweTrottmann/SeriesGuide/issues/495"
"2016-9/13","2016-10/7","Missing Show poster even though tvdb and trakt have one","https://github.com/UweTrottmann/SeriesGuide/issues/496"
"2016-10/7","2019-11/27","Play Store description updates","https://github.com/UweTrottmann/SeriesGuide/issues/497"
"2016-10/7","2017-5/10","Widget settings are stored even if not confirming them","https://github.com/UweTrottmann/SeriesGuide/issues/498"
"2016-10/7","null","Handle episodes getting added after Cloud sync (e.g. TVDb sync failed)","https://github.com/UweTrottmann/SeriesGuide/issues/499"
"2016-11/22","2016-11/23","Infinite calendar omits episodes aired before 1.1.1970","https://github.com/UweTrottmann/SeriesGuide/issues/501"
"2017-1/8","2017-1/11","Sync list with trakt","https://github.com/UweTrottmann/SeriesGuide/issues/502"
"2017-1/16","2017-10/11","Estimated runtime resets when you lock the screen","https://github.com/UweTrottmann/SeriesGuide/issues/503"
"2017-1/26","2017-1/27","Small icons shortcuts","https://github.com/UweTrottmann/SeriesGuide/issues/506"
"2017-2/11","2017-2/11","Make SeriesGuide Settings compliant with DPI changes","https://github.com/UweTrottmann/SeriesGuide/issues/508"
"2017-2/16","2017-2/16","Cover images for some shows are not shown","https://github.com/UweTrottmann/SeriesGuide/issues/509"
"2017-2/21","2017-2/22","Add you are watching","https://github.com/UweTrottmann/SeriesGuide/issues/510"
"2017-3/2","2017-3/3","support multiple plays","https://github.com/UweTrottmann/SeriesGuide/issues/511"
