"['title']","['url']","['createdAt']","['closedAt']"
"Grouping as tree query error message","https://github.com/vespa-engine/vespa/issues/8689","2019-3/6","2019-3/7"
"Vespa 8: Remove filedistribution element in services.xml","https://github.com/vespa-engine/vespa/issues/8733","2019-3/11","2020-8/12"
"Your project vespa-engine vespa is using buggy third-party libraries [WARNING]","https://github.com/vespa-engine/vespa/issues/8788","2019-3/14","2020-1/13"
"Add metrics for deployment warnings","https://github.com/vespa-engine/vespa/issues/8833","2019-3/19","2019-3/20"
"Aggregate deployment warnings to avoid excessive logging","https://github.com/vespa-engine/vespa/issues/8834","2019-3/19","2019-3/20"
"Vespa 9: Support multiple major versions of config def files","https://github.com/vespa-engine/vespa/issues/8835","2019-3/19","null"
"Vespa 8: remove Document compression","https://github.com/vespa-engine/vespa/issues/8928","2019-3/27","2021-12/1"
"Service view in application API in controller allows proxying to any service/path within its application, from the config server","https://github.com/vespa-engine/vespa/issues/8938","2019-3/28","2019-3/29"
"NPE when using an ""equals"" node in a query tree","https://github.com/vespa-engine/vespa/issues/8983","2019-4/1","2019-4/3"
"can i get some docs about index architecture for understand ?","https://github.com/vespa-engine/vespa/issues/8994","2019-4/3","2019-12/2"
"Vespa 7:  short sentence match","https://github.com/vespa-engine/vespa/issues/9012","2019-4/4","2019-4/24"
"Field specific bold/highlight","https://github.com/vespa-engine/vespa/issues/9098","2019-4/11","null"
"Support feeding from Spark","https://github.com/vespa-engine/vespa/issues/9158","2019-4/23","null"
"Multiple Disks Support ","https://github.com/vespa-engine/vespa/issues/9209","2019-4/28","2019-5/2"
"Error loading ONNX models without named nodes","https://github.com/vespa-engine/vespa/issues/9293","2019-5/7","2021-1/5"
"Support sorting for type bool fields","https://github.com/vespa-engine/vespa/issues/9296","2019-5/7","2019-5/28"
"Config definitions should belong to the config model","https://github.com/vespa-engine/vespa/issues/9319","2019-5/8","null"
"fuzzy match under index support ","https://github.com/vespa-engine/vespa/issues/9371","2019-5/13","2019-5/27"
