createdAt,closedAt,title,url
2016-10/26,2017-9/7,"Test issue, just want to confirm we can delete",https://github.com/vespa-engine/vespa/issues/957
2016-10/26,2017-9/7,Test github issue tracking. ,https://github.com/vespa-engine/vespa/issues/958
2017-2/1,2017-2/22,Fail to build using docker,https://github.com/vespa-engine/vespa/issues/1663
2017-8/15,2017-8/15,Cyclic dependency edge case between bucket merge and activation logic causing neither to take place as expected,https://github.com/vespa-engine/vespa/issues/3105
2017-8/16,2017-8/16,Query Profile - 404,https://github.com/vespa-engine/vespa/issues/3115
2017-8/25,2017-8/25,What's the status of vespa engine?,https://github.com/vespa-engine/vespa/issues/3213
2017-8/29,2017-8/29,Starvation of bucket GC messages on content nodes causes starvation of bucket merge ops on distributors,https://github.com/vespa-engine/vespa/issues/3249
2017-8/31,2017-9/13,Test,https://github.com/vespa-engine/vespa/issues/3289
2017-9/1,nan,invalid json rendering for results with -inf relevance score,https://github.com/vespa-engine/vespa/issues/3310
2017-9/6,2018-4/27,Parent-Child supporting grandparents,https://github.com/vespa-engine/vespa/issues/3339
2017-9/6,2018-6/20,Support batch update of global tensor models of any size up to memory limit of one node,https://github.com/vespa-engine/vespa/issues/3341
2017-9/8,nan,Parent Child: allow default values for imported fields,https://github.com/vespa-engine/vespa/issues/3372
2017-9/12,2017-11/15,Add support for returning docs from more than one bucket per request when visiting via Document V1 API,https://github.com/vespa-engine/vespa/issues/3394
2017-9/13,nan,Only send fields specified in YQL up from content nodes,https://github.com/vespa-engine/vespa/issues/3404
2017-9/18,2017-10/17,Travis build and PR build should catch errors in make install,https://github.com/vespa-engine/vespa/issues/3435
2017-9/20,2018-10/15,TLS support in fbench,https://github.com/vespa-engine/vespa/issues/3469
2017-9/21,2017-11/24,Adding <document-api> to basic-search-java causes error when running mvn package,https://github.com/vespa-engine/vespa/issues/3479
2017-9/27,2018-6/5,https://vespa.ai has a self signed or invalid cert,https://github.com/vespa-engine/vespa/issues/3545
2017-9/27,nan,Documents ignored due to content selection filter is accepted with isSuccess = true,https://github.com/vespa-engine/vespa/issues/3555
2017-9/27,2017-9/27,Quickstart doesn't work on macOS,https://github.com/vespa-engine/vespa/issues/3560
2017-9/28,2017-10/4,Unstable Travis build,https://github.com/vespa-engine/vespa/issues/3568
2017-9/29,2017-9/29,pom.xml from basic-search-java fails in Eclipse Neon,https://github.com/vespa-engine/vespa/issues/3580
2017-9/29,2017-10/25,Expanded spatial fields/search,https://github.com/vespa-engine/vespa/issues/3581
2017-9/29,2017-9/29,search-definition: ignore fields,https://github.com/vespa-engine/vespa/issues/3582
2017-9/29,2017-10/7,Running on Kubernetes,https://github.com/vespa-engine/vespa/issues/3588
2017-9/29,2017-9/29,mvn generate-resources fails to generate resources,https://github.com/vespa-engine/vespa/issues/3595
2017-9/30,2017-10/7,build java error,https://github.com/vespa-engine/vespa/issues/3597
2017-9/30,2017-9/30,"Duplicate ""Chained Components"" in the sidebar of vespa doc",https://github.com/vespa-engine/vespa/issues/3598
2017-9/30,2017-9/30,yum install vespa error,https://github.com/vespa-engine/vespa/issues/3599
2017-10/2,2021-9/17,JDisc injects null config objects,https://github.com/vespa-engine/vespa/issues/3610
