"createdAt","closedAt","title","url"
"2022-9/6","null","[BUG] SyntaxError: Unexpected token 'U', ""Unsupporte""... is not valid JSON","https://github.com/voxel51/fiftyone/issues/2064"
"2022-9/7","2022-9/7","Downgrade from 0.16.6 to e.g. 0.16.5 not working as expected","https://github.com/voxel51/fiftyone/issues/2065"
"2022-9/7","2022-9/7","Quotation marks needed for fiftyone[desktop]","https://github.com/voxel51/fiftyone/issues/2067"
"2022-9/9","null","How to add custom labels which can be accessible in UI?","https://github.com/voxel51/fiftyone/issues/2077"
"2022-9/9","null","[BUG] App  cannot handle large integers","https://github.com/voxel51/fiftyone/issues/2078"
"2022-9/9","null","[BUG] ServerSelectionTimeoutError and Connection refused","https://github.com/voxel51/fiftyone/issues/2080"
"2022-9/13","2022-9/15","[BUG] Export with `export_media=False` overwrites original data directory","https://github.com/voxel51/fiftyone/issues/2084"
"2022-9/15","null","[FR] Add support for object-level attribute annotation in Labelstudio","https://github.com/voxel51/fiftyone/issues/2090"
"2022-9/16","null","[FR] View multiple media fields at the same time with transparency","https://github.com/voxel51/fiftyone/issues/2091"
"2022-9/16","null","[FR] Add keypoint evaluation","https://github.com/voxel51/fiftyone/issues/2092"
"2022-9/19","null","[BUG] Runaway recursion in _sample_dict_to_doc","https://github.com/voxel51/fiftyone/issues/2094"
"2022-9/19","2022-10/28","[FR] Optimize Apps' label tagging implementation","https://github.com/voxel51/fiftyone/issues/2095"
"2022-9/19","2022-9/19","[BUG] Dataset creation is not multiprocessing-safe","https://github.com/voxel51/fiftyone/issues/2096"
"2022-9/19","null","[FR] Add support for Vertex Workbench notebooks","https://github.com/voxel51/fiftyone/issues/2098"
"2022-9/20","null","[BUG] Fix Windows Tests","https://github.com/voxel51/fiftyone/issues/2101"
"2022-9/21","2022-9/21","[DOCUMENTATION] How to access fiftyone by different clients in different dataset pages","https://github.com/voxel51/fiftyone/issues/2105"
"2022-9/21","2022-9/22","[FR] YOLOv5DatasetExporter : Add optional to add path to dataset.yaml","https://github.com/voxel51/fiftyone/issues/2106"
"2022-9/22","2022-10/28","[BUG] Shift selecting samples not working in App","https://github.com/voxel51/fiftyone/issues/2110"
"2022-9/22","2022-10/28","[BUG] App timezone issues","https://github.com/voxel51/fiftyone/issues/2111"
"2022-9/22","2022-10/28","[BUG] Range sliders format datetime values incorrectly","https://github.com/voxel51/fiftyone/issues/2112"
"2022-9/22","2022-10/27","[BUG] Label tags from patches view not saved in dataset","https://github.com/voxel51/fiftyone/issues/2113"
"2022-9/22","null","[FR] Add a Groups list field type","https://github.com/voxel51/fiftyone/issues/2117"
"2022-9/23","null","[FR] Add a shortcut key for selection in the App","https://github.com/voxel51/fiftyone/issues/2120"
"2022-9/23","2022-10/28","[BUG] Unselecting a field in the sidebar doesn't prevent tagging","https://github.com/voxel51/fiftyone/issues/2121"
"2022-9/29","null","[BUG] Error when trying to launch Open Images dataset in Jupyter notebook","https://github.com/voxel51/fiftyone/issues/2124"
"2022-9/29","null","[FR] Add a `sample_frames` equivalent to to_clips() and to_patches()","https://github.com/voxel51/fiftyone/issues/2126"
"2022-9/29","null","[FR] Rotate media in App","https://github.com/voxel51/fiftyone/issues/2127"
"2022-10/2","2022-10/3","[BUG] missing embeddings when trying to load embeddings directly per sample","https://github.com/voxel51/fiftyone/issues/2130"
"2022-10/3","2022-10/26","[FR] Change the index and names of classes in .txt and .yaml files","https://github.com/voxel51/fiftyone/issues/2133"
"2022-10/3","null","[?] Is there a tutorial for loading a custom Torch model?","https://github.com/voxel51/fiftyone/issues/2134"
"2022-10/6","2023-1/19","[BUG] View bar stops responding after session refresh","https://github.com/voxel51/fiftyone/issues/2142"
"2022-10/6","null","[FR] Support deleting patches via patch views","https://github.com/voxel51/fiftyone/issues/2143"
"2022-10/10","2022-10/10","[BUG] SyntaxError: Unexpected token 'I', ""Internal S""... is not valid JSON","https://github.com/voxel51/fiftyone/issues/2146"
"2022-10/10","2022-11/30","[BUG] Error trying to install custom plugin","https://github.com/voxel51/fiftyone/issues/2147"
"2022-10/11","null","[?] What would be the dataset_type for image captioning dataset?","https://github.com/voxel51/fiftyone/issues/2149"
"2022-10/11","2022-10/26","[FR] Add fiftyone-db wheel for M1 macs","https://github.com/voxel51/fiftyone/issues/2151"
"2022-10/11","null","[BUG] Refreshing App in Jupyter notebook","https://github.com/voxel51/fiftyone/issues/2153"
"2022-10/11","null","[BUG] AttributeError: module 'fiftyone' has no attribute 'config'","https://github.com/voxel51/fiftyone/issues/2154"
