"['title']","['url']","['createdAt']","['closedAt']"
"[SETUP-BUG]","https://github.com/voxel51/fiftyone/issues/1673","2022-4/7","2022-4/7"
"[BUG] 'KeyError' when loading dataset with relative paths on Windows","https://github.com/voxel51/fiftyone/issues/1675","2022-4/8","2022-4/21"
"[FR] Add Capability for Classifier Training While Annotating","https://github.com/voxel51/fiftyone/issues/1676","2022-4/11","null"
"Example colab notebook fails on import fifty one as of","https://github.com/voxel51/fiftyone/issues/1678","2022-4/12","2022-4/12"
"[FR] Visualization of extracted feature maps or attention maps","https://github.com/voxel51/fiftyone/issues/1680","2022-4/13","null"
"[FR] Add ability to upload labels to Labelbox","https://github.com/voxel51/fiftyone/issues/1681","2022-4/13","null"
"[BUG] The attributes of CVAT tags don't get exported for image dataset","https://github.com/voxel51/fiftyone/issues/1682","2022-4/14","2022-4/19"
"There's an error while trying to export dataset to cvat","https://github.com/voxel51/fiftyone/issues/1683","2022-4/14","2022-4/14"
"[?] How to sort by label count","https://github.com/voxel51/fiftyone/issues/1693","2022-4/22","2022-4/22"
"[BUG] wrong download size of zoo models","https://github.com/voxel51/fiftyone/issues/1694","2022-4/22","2022-5/3"
"[FR] Add progress bar in CVAT upload","https://github.com/voxel51/fiftyone/issues/1695","2022-4/22","2022-4/28"
"COCO loader assumes category ids are consecutive numbers","https://github.com/voxel51/fiftyone/issues/1696","2022-4/22","null"
"[BUG] Unable to run desktop applications by using desktop flag","https://github.com/voxel51/fiftyone/issues/1701","2022-4/24","2022-4/24"
"Server Error","https://github.com/voxel51/fiftyone/issues/1706","2022-4/26","2022-4/27"
"[BUG] mongoengine error: FieldDoesNotExist","https://github.com/voxel51/fiftyone/issues/1708","2022-4/26","2022-4/26"
"[BUG] FieldDoesNotExist: The fields ""{'type'}"" do not exist on the document ""DatabaseConfigDocument""","https://github.com/voxel51/fiftyone/issues/1709","2022-4/26","2022-4/26"
"[FR] Add support for CVAT organizations","https://github.com/voxel51/fiftyone/issues/1712","2022-4/28","null"
"[BUG] YOLOv5DatasetImporter yields empty classes dict","https://github.com/voxel51/fiftyone/issues/1715","2022-4/29","2022-5/3"
"[BUG] Cannot provide ./relative_paths in YOLOv5 format","https://github.com/voxel51/fiftyone/issues/1716","2022-4/29","2022-5/6"
"[BUG] fiftyone v0.15.1 drops the path section of the client url (regression?)","https://github.com/voxel51/fiftyone/issues/1717","2022-5/1","2022-5/3"
"[BUG] **AttributeError: module 'fiftyone' has no attribute 'config'**","https://github.com/voxel51/fiftyone/issues/1718","2022-5/2","2022-5/4"
"[BUG] ChunkedEncodingError: Connection reset by peer","https://github.com/voxel51/fiftyone/issues/1720","2022-5/3","2022-5/3"
"[FR] Stop passing classes and default_classes to export and evaluation methods","https://github.com/voxel51/fiftyone/issues/1722","2022-5/3","2022-6/10"
"[FR] MultiLabel Classification Evaluation","https://github.com/voxel51/fiftyone/issues/1723","2022-5/3","null"
"[FR] Add a database save context","https://github.com/voxel51/fiftyone/issues/1724","2022-5/3","2022-8/23"
"[SETUP-BUG] It looks like you are not connected to a session","https://github.com/voxel51/fiftyone/issues/1726","2022-5/4","2022-5/6"
"[FR] Segmentation paths and reference fields","https://github.com/voxel51/fiftyone/issues/1729","2022-5/6","null"
"[FR] Add support for RGB Segmentation/Heatmap arrays","https://github.com/voxel51/fiftyone/issues/1730","2022-5/6","null"
"[BUG] Keypoint skeleton not showing in the App for videos","https://github.com/voxel51/fiftyone/issues/1731","2022-5/6","2022-5/23"
"[FR] Add support for `fiftyone app connect` on Windows","https://github.com/voxel51/fiftyone/issues/1732","2022-5/6","null"
"[BUG] Error thrown while loading `TFImageClassificationDataset` dataset","https://github.com/voxel51/fiftyone/issues/1733","2022-5/7","2022-5/8"
"[BUG] open-images-v6 dataset exported as COCODetection  missing annotations","https://github.com/voxel51/fiftyone/issues/1734","2022-5/8","2022-5/8"
"[SETUP-BUG] RuntimeError when executing fob.compute_uniqueness(dataset)","https://github.com/voxel51/fiftyone/issues/1735","2022-5/8","2022-5/8"
"[FR] Improvement FiftyOne App performance on large datasets","https://github.com/voxel51/fiftyone/issues/1740","2022-5/11","null"
"[BUG] Cannot open CocoDataset in after upgrade from 0.14.4 to 0.15.1 ","https://github.com/voxel51/fiftyone/issues/1741","2022-5/11","null"
"[FR] Optionally provide a color for labels in the annotation label schema","https://github.com/voxel51/fiftyone/issues/1743","2022-5/12","null"
"[FR] Support annotation of frame views","https://github.com/voxel51/fiftyone/issues/1744","2022-5/12","null"
"[BUG] Annotation schema attribute definitions not filtering when defined on classes","https://github.com/voxel51/fiftyone/issues/1748","2022-5/13","2022-8/8"
"[BUG] Thumbnail view of images does not render all images","https://github.com/voxel51/fiftyone/issues/1750","2022-5/15","null"
"[FR] Add destination directory for frame images generated by to_frames()","https://github.com/voxel51/fiftyone/issues/1752","2022-5/19","2022-7/3"
"[FR] Allow task names to be provided when annotating with CVAT","https://github.com/voxel51/fiftyone/issues/1753","2022-5/20","null"
"[FR] Add keypoints to COCO","https://github.com/voxel51/fiftyone/issues/1754","2022-5/20","null"
"[FR] Upgrade quickstart dataset format","https://github.com/voxel51/fiftyone/issues/1755","2022-5/20","null"
"[FR] Move all zoo datasets/models to cloud storage","https://github.com/voxel51/fiftyone/issues/1756","2022-5/20","null"
"[FR] Add support for any starting frame number to transform_videos()","https://github.com/voxel51/fiftyone/issues/1757","2022-5/20","2022-5/31"
"[SETUP-BUG]","https://github.com/voxel51/fiftyone/issues/1759","2022-5/20","2022-5/20"
"[FR] Add support for toggling between multiple media fields in the App","https://github.com/voxel51/fiftyone/issues/1760","2022-5/20","null"
"[FR] Add keyboard shortcut to temporarily hide all labels in the App","https://github.com/voxel51/fiftyone/issues/1761","2022-5/20","2022-6/6"
"[FR] Render URLs in string fields as clickable links in the App","https://github.com/voxel51/fiftyone/issues/1762","2022-5/20","null"
"[FR] Add support for customizing the look-and-feel of labels on a per-field basis","https://github.com/voxel51/fiftyone/issues/1763","2022-5/21","null"
"[FR] Add use_app_config() view stage","https://github.com/voxel51/fiftyone/issues/1764","2022-5/21","null"
"[BUG] Nested embedded documents corrupt datasets","https://github.com/voxel51/fiftyone/issues/1769","2022-5/23","2022-8/18"
"[BUG] Resolve storage issues with path keys for masks and skeletons","https://github.com/voxel51/fiftyone/issues/1770","2022-5/23","null"
"I have been converting my fiftyone dataset into a coco dataset on colab but the converted folder confuses me, it doesn't display anything pretty much. I don't understand what is going on","https://github.com/voxel51/fiftyone/issues/1772","2022-5/24","2022-5/24"
"[BUG] Importing VOCDetectionDataset from disk fails due to bad XML - but what file?!","https://github.com/voxel51/fiftyone/issues/1777","2022-5/25","2022-5/31"
"[BUG] Importing VOCDetectionDataset from disk tries to process non-XML files resulting in an exception that halts the import","https://github.com/voxel51/fiftyone/issues/1778","2022-5/25","2022-6/17"
"[BUG] When fo.Dataset.from_dir() fails it prevents any new dataset with that name from being created","https://github.com/voxel51/fiftyone/issues/1780","2022-5/25","2022-5/25"
"[BUG] fo.Dataset.from_dir() does not work for dataset_type=fo.types.VOCDetectionDataset if images, labels are in the same directory","https://github.com/voxel51/fiftyone/issues/1781","2022-5/25","null"
"[BUG] add_sample method in Dataset expands nested tuples to BaseList","https://github.com/voxel51/fiftyone/issues/1788","2022-5/26","2022-5/26"
"[BUG] loading segmentation torch models errror, has no attribute 'load_state_dict_from_url'","https://github.com/voxel51/fiftyone/issues/1789","2022-5/26","2022-6/9"
"[FR] Add support for MongoDB transactions and sessions","https://github.com/voxel51/fiftyone/issues/1791","2022-5/26","null"
"[FR] GraphQL Subscriptions Network Layer","https://github.com/voxel51/fiftyone/issues/1792","2022-5/26","null"
"Saving results to file after CVAT annotations","https://github.com/voxel51/fiftyone/issues/1795","2022-5/26","null"
"[BUG] Video Overlay Aspect Ratio/Zoom/Alignment issue","https://github.com/voxel51/fiftyone/issues/1799","2022-5/27","2022-5/31"
"[BUG] After migrating to 0.16.1, cannot connect to App","https://github.com/voxel51/fiftyone/issues/1802","2022-5/28","null"
"[BUG] FiftyOne import fails, Ubuntu 22.02 LTS","https://github.com/voxel51/fiftyone/issues/1803","2022-5/28","2022-5/28"
"[FR] Reduce FiftyOne import time","https://github.com/voxel51/fiftyone/issues/1804","2022-5/31","null"
"[BUG] App can't be opened when deployment contains datasets with no creation date","https://github.com/voxel51/fiftyone/issues/1806","2022-5/31","2022-6/20"
"[BUG] Problems with patches views and session.view property","https://github.com/voxel51/fiftyone/issues/1807","2022-5/31","2022-6/2"
"[BUG] Clearing view via session.view = None does not work","https://github.com/voxel51/fiftyone/issues/1809","2022-5/31","2022-6/2"
"[FR] Add support for linking directly to datasets, views, and samples","https://github.com/voxel51/fiftyone/issues/1814","2022-6/2","null"
"[BUG] Label objects cannot be assigned array-valued dynamic attributes","https://github.com/voxel51/fiftyone/issues/1815","2022-6/2","2022-8/18"
"[BUG] `Labels`' graph is incomplete and `Other fields`'s graph throws a `TypeError` ","https://github.com/voxel51/fiftyone/issues/1816","2022-6/2","2022-6/20"
"[BUG] Tooltip not showing for keypoints with nan point","https://github.com/voxel51/fiftyone/issues/1818","2022-6/3","2022-6/7"
"[BUG] Keypoint skeleton doesn't show in App until refreshing","https://github.com/voxel51/fiftyone/issues/1819","2022-6/3","2022-6/7"
"[BUG] Classifications label bubbles not displayed correctly","https://github.com/voxel51/fiftyone/issues/1820","2022-6/3","2022-6/7"
"[FR] Add support for rotated bounding boxes","https://github.com/voxel51/fiftyone/issues/1821","2022-6/3","null"
"[FR] Add a way to compute document size for samples","https://github.com/voxel51/fiftyone/issues/1822","2022-6/3","2022-8/25"
"[FR] Prevent HUD from disappearing when adding tags","https://github.com/voxel51/fiftyone/issues/1823","2022-6/3","null"
"[SETUP-BUG]","https://github.com/voxel51/fiftyone/issues/1827","2022-6/6","2022-6/7"
"[FR] Make results lists scrollabe in the App","https://github.com/voxel51/fiftyone/issues/1831","2022-6/7","2022-6/20"
"[BUG] App cannot handle schema changes to an in-use dataset","https://github.com/voxel51/fiftyone/issues/1832","2022-6/7","2022-6/20"
"[BUG] Tagging in expanded view with filters breaks statistics","https://github.com/voxel51/fiftyone/issues/1833","2022-6/7","2022-6/20"
"[BUG] Sidebar statistics fail to load in App","https://github.com/voxel51/fiftyone/issues/1835","2022-6/7","2022-6/20"
"[BUG] Unable to load dataset with empty frame Classification field in the App","https://github.com/voxel51/fiftyone/issues/1836","2022-6/7","2022-6/8"
"[BUG] Frame-level labels incorrectly appear as None in App grid view","https://github.com/voxel51/fiftyone/issues/1837","2022-6/7","2022-6/16"
