"['title']","['url']","['createdAt']","['closedAt']"
"Enable Spotbugs check on Samples and test code files.","https://github.com/Azure/azure-sdk-for-java/issues/19177","2021-2/11","2021-2/18"
"Enable Spotbugs check on Samples and test code files.","https://github.com/Azure/azure-sdk-for-java/issues/19178","2021-2/11","2021-12/4"
"[TA-Epic] 2021 March Epic for Text Analytics","https://github.com/Azure/azure-sdk-for-java/issues/19179","2021-2/11","2021-4/22"
"[TA] Swagger v3.1-preview.4 ","https://github.com/Azure/azure-sdk-for-java/issues/19180","2021-2/11","2021-3/6"
"[BUG] Adding auditing annotations crashes application during entity saving","https://github.com/Azure/azure-sdk-for-java/issues/19181","2021-2/11","null"
"[FEATURE REQ] Get the original object from BinaryData","https://github.com/Azure/azure-sdk-for-java/issues/19208","2021-2/12","2021-2/24"
"[BUG] Listing shares of a storage account throws a serialization exception when there are no shares available","https://github.com/Azure/azure-sdk-for-java/issues/19209","2021-2/12","2021-4/26"
"[Azure Monitor Exporter] - Address arch board feedback","https://github.com/Azure/azure-sdk-for-java/issues/19220","2021-2/12","2021-2/16"
"[FEATURE REQ]  Migrate AMQP Processors to use Reactor Sinks","https://github.com/Azure/azure-sdk-for-java/issues/19221","2021-2/12","2022-8/23"
"spring-boot-cosmos IllegalArgumentException: Illegal base64 character 2d","https://github.com/Azure/azure-sdk-for-java/issues/19226","2021-2/14","2021-2/23"
"Azure AppConfiguration Service for Java (January-June 2021)","https://github.com/Azure/azure-sdk-for-java/issues/19227","2021-2/14","2021-7/26"
"Azure Attestation Service for Java (January-June 2021)","https://github.com/Azure/azure-sdk-for-java/issues/19228","2021-2/14","2021-6/29"
"Azure Container Registry for Java (January-June 2021)","https://github.com/Azure/azure-sdk-for-java/issues/19229","2021-2/14","2021-7/27"
"Azure Key Vault for Java (January-June 2021)","https://github.com/Azure/azure-sdk-for-java/issues/19230","2021-2/14","2021-7/13"
"Azure Monitor Log for Java (April-August 2021)","https://github.com/Azure/azure-sdk-for-java/issues/19231","2021-2/14","2021-8/3"
"Azure Purview for Java (January-June 2021)","https://github.com/Azure/azure-sdk-for-java/issues/19232","2021-2/14","2021-6/29"
"Azure Search Improvements for Java (January-June 2021)","https://github.com/Azure/azure-sdk-for-java/issues/19233","2021-2/14","2021-6/25"
"Azure Synapse for Java (January-June 2021)","https://github.com/Azure/azure-sdk-for-java/issues/19234","2021-2/14","2021-6/29"
"Azure Tables for Java (January-June 2021)","https://github.com/Azure/azure-sdk-for-java/issues/19235","2021-2/14","2021-8/3"
"Azure.Core Improvements for Java (January-June 2021)","https://github.com/Azure/azure-sdk-for-java/issues/19236","2021-2/14","2021-6/29"
"Azure.Identity Improvements for Java (January-April 2021)","https://github.com/Azure/azure-sdk-for-java/issues/19237","2021-2/14","2021-7/12"
"Cognitive - Form Recognizer for Java (January-June 2021)","https://github.com/Azure/azure-sdk-for-java/issues/19238","2021-2/14","2021-6/29"
"Cognitive - Translator for Java (January-June 2021)","https://github.com/Azure/azure-sdk-for-java/issues/19239","2021-2/14","2021-7/28"
"Cognitive - Metrics Advisor for Java (January-June 2021)","https://github.com/Azure/azure-sdk-for-java/issues/19240","2021-2/14","2021-7/28"
"Cognitive - Text Analytics for Java (January-June 2021)","https://github.com/Azure/azure-sdk-for-java/issues/19241","2021-2/14","2021-7/28"
"Messaging - Event Grid for Java (January-June 2021)","https://github.com/Azure/azure-sdk-for-java/issues/19242","2021-2/14","2021-6/29"
"Messaging - Event Hubs for Java (January-June 2021)","https://github.com/Azure/azure-sdk-for-java/issues/19243","2021-2/14","2021-7/21"
"Messaging - Schema Registry for Java (January-June 2021)","https://github.com/Azure/azure-sdk-for-java/issues/19244","2021-2/14","2021-2/25"
"Messaging - Service Bus for Java (January-June 2021)","https://github.com/Azure/azure-sdk-for-java/issues/19245","2021-2/14","2021-6/30"
"[BUG] Can not download hidden files uploaded before with cloudFile.downloadToFile(receivingFile)","https://github.com/Azure/azure-sdk-for-java/issues/19246","2021-2/15","2021-2/17"
"ServiceBus deadlocks when receiving the messages","https://github.com/Azure/azure-sdk-for-java/issues/19247","2021-2/15","2021-4/5"
"[BUG] Unable to complete Service Bus Messages when using ServiceBusReceiverAsyncClient","https://github.com/Azure/azure-sdk-for-java/issues/19248","2021-2/15","2021-2/17"
"[BUG] ESB Connection Builder Exception leaks credentials","https://github.com/Azure/azure-sdk-for-java/issues/19249","2021-2/15","2021-2/19"
"In web-application, use both ""group"" and ""role"" to create grantedAuthority.","https://github.com/Azure/azure-sdk-for-java/issues/19250","2021-2/15","2021-3/29"
"[FEATURE REQ] How to apply encryption policy on azure queue client for send message.","https://github.com/Azure/azure-sdk-for-java/issues/19251","2021-2/15","null"
"azure-storage-blob-12.10 - Delete blob  - This operation is not permitted because the blob has snapshots.","https://github.com/Azure/azure-sdk-for-java/issues/19252","2021-2/15","2021-3/17"
"azure-storage-blob-12.10 - How to read blobs from directory ?","https://github.com/Azure/azure-sdk-for-java/issues/19253","2021-2/15","2021-2/17"
"[BUG] Multiple messages aren't picked from the Subscription when using ServiceBusReceiverAsyncClient","https://github.com/Azure/azure-sdk-for-java/issues/19254","2021-2/16","2021-3/3"
"Download file with large file size (1GB/2GB) throws reactor.core.Exceptions$ReactiveException","https://github.com/Azure/azure-sdk-for-java/issues/19255","2021-2/16","2021-3/26"
"How to identify Blob Type with new Blob SDK?","https://github.com/Azure/azure-sdk-for-java/issues/19256","2021-2/16","2021-2/16"
"[Storage][Docs] Document BlobItem.isPrefix to indicate that it is set to true for a directory","https://github.com/Azure/azure-sdk-for-java/issues/19257","2021-2/16","2021-6/23"
"[FEATURE REQ] Add peek method to QueueClient in com.microsoft.azure:azure-servicebus","https://github.com/Azure/azure-sdk-for-java/issues/19258","2021-2/16","2021-2/16"
"[FEATURE REQ] Cache key vault secrets","https://github.com/Azure/azure-sdk-for-java/issues/19265","2021-2/16","2021-2/18"
"Standardize Java Version Build Trigger for Module Based Builds","https://github.com/Azure/azure-sdk-for-java/issues/19273","2021-2/17","2021-9/21"
"[BUG] Noisy Error Logs in azure-identity","https://github.com/Azure/azure-sdk-for-java/issues/19278","2021-2/17","2021-5/6"
"NullPointerException when trying to send message using ServiceBusSenderAsyncClient","https://github.com/Azure/azure-sdk-for-java/issues/19281","2021-2/17","2021-5/18"
"azure-core Performance Improvements","https://github.com/Azure/azure-sdk-for-java/issues/19282","2021-2/17","2022-4/19"
"Investigate using MappedByteBuffer when Sending a File as a Request Body","https://github.com/Azure/azure-sdk-for-java/issues/19283","2021-2/17","2022-2/10"
"Investigate Leveraging Jackson AfterBurner/Blackbird","https://github.com/Azure/azure-sdk-for-java/issues/19284","2021-2/17","2021-8/18"
"[BUG] EventHubs ""Quickstarts"" Java SDK version isn't updated","https://github.com/Azure/azure-sdk-for-java/issues/19287","2021-2/17","2021-4/30"
"Add support for page number on analyze custom forms","https://github.com/Azure/azure-sdk-for-java/issues/19290","2021-2/17","2021-3/30"
"Add support for reading order on layout API","https://github.com/Azure/azure-sdk-for-java/issues/19291","2021-2/17","2021-4/5"
"[BUG] Getting Output Stream object for Block Blob Client breaks on using SAS token for creating container client","https://github.com/Azure/azure-sdk-for-java/issues/19309","2021-2/18","2021-5/6"
"Use Generic for EventGrid Client","https://github.com/Azure/azure-sdk-for-java/issues/19313","2021-2/18","2021-2/23"
"[BUG] azure-spring-boot-starter-keyvault-secrets doesn't work with SpringBoot 2.1.8.RELEASE","https://github.com/Azure/azure-sdk-for-java/issues/19322","2021-2/19","2021-3/10"
"[BUG] BlobClient.uploadWithResponse should either return a response or be renamed","https://github.com/Azure/azure-sdk-for-java/issues/19324","2021-2/19","2021-3/26"
"LeaseIdMismatchWithBlobOperation with copyFromUrlWithResponse when specifying a valid leaseId on leased destination blob","https://github.com/Azure/azure-sdk-for-java/issues/19326","2021-2/19","2021-4/17"
"[BUG] Setting setRetrieveDeletedBlobs to true when listing blobs in container doesn't return any of the soft deleted blobs.","https://github.com/Azure/azure-sdk-for-java/issues/19335","2021-2/19","2021-2/23"
"Update samples to not use an existing data source for Search.","https://github.com/Azure/azure-sdk-for-java/issues/19361","2021-2/22","2021-8/12"
"Additional improvements to the Batching algorithm","https://github.com/Azure/azure-sdk-for-java/issues/19362","2021-2/22","2021-4/22"
"GeoSpatial type support","https://github.com/Azure/azure-sdk-for-java/issues/19363","2021-2/22","2021-4/14"
"Add new data source support for ADLS Gen2","https://github.com/Azure/azure-sdk-for-java/issues/19364","2021-2/22","2021-4/14"
"Generate code from swagger","https://github.com/Azure/azure-sdk-for-java/issues/19365","2021-2/22","2021-4/12"
"Design Operations on Repositories","https://github.com/Azure/azure-sdk-for-java/issues/19366","2021-2/22","2021-4/12"
"Design Operations on Tags","https://github.com/Azure/azure-sdk-for-java/issues/19367","2021-2/22","2021-4/12"
"Design Operations on Manifests","https://github.com/Azure/azure-sdk-for-java/issues/19368","2021-2/22","2021-4/12"
"Address Arch Board feedback","https://github.com/Azure/azure-sdk-for-java/issues/19369","2021-2/22","2021-5/4"
"Add support for AAD auth","https://github.com/Azure/azure-sdk-for-java/issues/19370","2021-2/22","2021-7/20"
"[Monitor Exporter] Upgrade the OTel SDK version to 0.17.1","https://github.com/Azure/azure-sdk-for-java/issues/19371","2021-2/22","2021-3/8"
