['closedAt'],['createdAt'],['title'],['url']
2012-2/16,2011-12/27,Blob storage hangs for files > about 3500 kb,https://github.com/Azure/azure-sdk-for-java/issues/1
2012-5/2,2012-1/31,Include CHANGELOG,https://github.com/Azure/azure-sdk-for-java/issues/2
2012-5/2,2012-2/11,Readme is inaccurate,https://github.com/Azure/azure-sdk-for-java/issues/4
2012-2/16,2012-2/15,Not able to set properties on CloudBlob,https://github.com/Azure/azure-sdk-for-java/issues/8
2012-3/2,2012-2/16,md5 checksum not checked on server?,https://github.com/Azure/azure-sdk-for-java/issues/9
2012-2/20,2012-2/16,Base64 internal use only,https://github.com/Azure/azure-sdk-for-java/issues/10
2012-3/19,2012-2/22,README.md is not actually Markdown,https://github.com/Azure/azure-sdk-for-java/issues/13
2013-1/22,2012-3/5,Add note about clear messages for more that 500 entries,https://github.com/Azure/azure-sdk-for-java/issues/22
2014-6/24,2012-3/16,Missing computeRangeMD5 configuration for getBlob wrapper,https://github.com/Azure/azure-sdk-for-java/issues/24
2014-6/24,2012-3/20,"Blob and Queue : ServiceProperties.Logging: backing fields should be ""boolean"" ",https://github.com/Azure/azure-sdk-for-java/issues/26
2013-1/29,2012-4/4,Enable the configuration of storage account and key in unit test,https://github.com/Azure/azure-sdk-for-java/issues/35
2012-4/6,2012-4/5,Blob unit test failures in the dev-bookmark branch,https://github.com/Azure/azure-sdk-for-java/issues/37
2014-6/24,2012-4/9,support top for table query,https://github.com/Azure/azure-sdk-for-java/issues/43
2013-2/21,2012-4/9,investigate whether from and other properties of table entity query services are supported. Maybe remove non-supported ones. ,https://github.com/Azure/azure-sdk-for-java/issues/47
2013-2/21,2012-4/13,Page blobs > 2GB cannot be created with Blob service layer library,https://github.com/Azure/azure-sdk-for-java/issues/50
2012-4/17,2012-4/16,[IaaS] Move APIs from CloudTableClient to CloudTable ,https://github.com/Azure/azure-sdk-for-java/issues/51
2012-4/17,2012-4/16,[IaaS] Add sas support in Table.,https://github.com/Azure/azure-sdk-for-java/issues/52
2014-6/24,2012-4/16,Support Select in Table service layer,https://github.com/Azure/azure-sdk-for-java/issues/53
2013-2/21,2012-4/16,Remove table service-layer QueryEntitiesOptions OrderByFields property,https://github.com/Azure/azure-sdk-for-java/issues/54
2013-2/21,2012-4/24,Table: Unify the creation of Batch and single op requests,https://github.com/Azure/azure-sdk-for-java/issues/56
2012-5/2,2012-4/30,Add URL Encoding for Keys in Table Batch Operations,https://github.com/Azure/azure-sdk-for-java/issues/58
2014-6/24,2012-5/1,SDK does not allow empty string PartitionKey or RowKey values,https://github.com/Azure/azure-sdk-for-java/issues/62
2014-6/24,2012-5/2,QueueRestProxy.createMessage throws for null options,https://github.com/Azure/azure-sdk-for-java/issues/68
2012-8/7,2012-5/4,International support for ServiceBus in Java SDK,https://github.com/Azure/azure-sdk-for-java/issues/70
2014-6/24,2012-5/14,CloudQueue.retrieveMessage ignores QueueRequestOptions and OperationContext Parameters,https://github.com/Azure/azure-sdk-for-java/issues/72
2013-1/19,2012-5/14,Unused properties on ContainerACL,https://github.com/Azure/azure-sdk-for-java/issues/73
2012-8/7,2012-5/17,BlobContract.create*Blob|copyBlob should return etag of created object,https://github.com/Azure/azure-sdk-for-java/issues/74
2014-6/24,2012-5/17,BlobProperties's SequenceNumber property should be nullable,https://github.com/Azure/azure-sdk-for-java/issues/75
2013-1/19,2012-5/17,Documentation for SetBlobPropertiesOptions setters is incorrect,https://github.com/Azure/azure-sdk-for-java/issues/76
2012-8/7,2012-5/17,getBlobProperties throws when using failing IF_MODIFIED_SINCE access condition,https://github.com/Azure/azure-sdk-for-java/issues/77
2013-2/21,2012-5/17,Suggestion: Combine common parts of SetBlobPropertiesOptions and BlobProperties,https://github.com/Azure/azure-sdk-for-java/issues/78
2014-6/24,2012-5/19,Silent failure when only specify GetBlobOptions's RangeEnd property,https://github.com/Azure/azure-sdk-for-java/issues/79
2012-8/7,2012-5/20,BlobRestProxy.getBlob does not respect GetBlobOptions.setComputeRangeMD5,https://github.com/Azure/azure-sdk-for-java/issues/80
2012-7/27,2012-5/20,"BlobContract.createPageBlob's length parameter should be long, not int",https://github.com/Azure/azure-sdk-for-java/issues/81
2014-6/24,2012-5/20,Suggestion: Allow null container name to indicate root container for blob APIs,https://github.com/Azure/azure-sdk-for-java/issues/82
2012-7/27,2012-5/20,Need to properly handle null for blob container names,https://github.com/Azure/azure-sdk-for-java/issues/83
2012-7/27,2012-5/21,Get error when try to delete blob snapshot,https://github.com/Azure/azure-sdk-for-java/issues/84
2012-8/7,2012-5/22,Source access conditions not honored by BlobRestProxy.copyBlob,https://github.com/Azure/azure-sdk-for-java/issues/85
2014-6/24,2012-5/22,Cannot copy blob from implicit root container,https://github.com/Azure/azure-sdk-for-java/issues/86
2014-6/24,2012-5/24,All blob lease proxy APIs need to support access conditions,https://github.com/Azure/azure-sdk-for-java/issues/87
2013-2/8,2012-5/24,Blob breakLease proxy API signature incorrect,https://github.com/Azure/azure-sdk-for-java/issues/88
2014-6/24,2012-5/28,Split maven structure,https://github.com/Azure/azure-sdk-for-java/issues/89
2014-6/25,2012-5/29,"Base64 decoder doesn't support new lines -- brakes winazurestorage.py, waz-storage",https://github.com/Azure/azure-sdk-for-java/issues/91
2014-9/12,2012-6/13,Spike: Service Bus: List*Result classes need to surface continuations,https://github.com/Azure/azure-sdk-for-java/issues/94
2014-7/29,2012-6/14,maven plugin for azure,https://github.com/Azure/azure-sdk-for-java/issues/95
2014-6/24,2012-6/21,Null Etag in TableResults,https://github.com/Azure/azure-sdk-for-java/issues/96
2012-7/24,2012-6/29,TableRestProxy compilation problem,https://github.com/Azure/azure-sdk-for-java/issues/99
2013-1/21,2012-7/10,Maven Unit tests not working with JDK 1.7,https://github.com/Azure/azure-sdk-for-java/issues/102
2014-9/12,2012-7/16,Queue: updateMessage exposes bug in Queue service,https://github.com/Azure/azure-sdk-for-java/issues/105
2012-7/23,2012-7/16,running test goal fails for maven,https://github.com/Azure/azure-sdk-for-java/issues/106
2013-1/19,2012-7/16,Table: Using OR with multiple EQ in TableQueryOptions.Query.Filter does not work,https://github.com/Azure/azure-sdk-for-java/issues/107
2013-1/21,2012-7/16,Annotate classes and methods not meant for public usage,https://github.com/Azure/azure-sdk-for-java/issues/108
2013-8/2,2012-7/16,the date set on the message is not sent over as a brokerproperty,https://github.com/Azure/azure-sdk-for-java/issues/109
2012-7/27,2012-7/16,Getqueue for an invalid queue returns 200 and the exception is not wrapped in ServiceException.,https://github.com/Azure/azure-sdk-for-java/issues/110
2013-2/27,2012-7/16,Table: Need to encode special characters when serializing entity to XML,https://github.com/Azure/azure-sdk-for-java/issues/111
2013-4/11,2012-7/16,Service Bus Timeout Messages,https://github.com/Azure/azure-sdk-for-java/issues/112
2013-2/21,2012-7/16,Standardize Body/Properties of the ServiceException,https://github.com/Azure/azure-sdk-for-java/issues/113
2013-4/29,2012-7/16,Basic client side validation for service bus,https://github.com/Azure/azure-sdk-for-java/issues/114
2014-7/29,2012-7/16,Blob support for anonymous requests,https://github.com/Azure/azure-sdk-for-java/issues/115
2014-9/12,2012-7/16,Consider: extend ExponentialRetryPolicy to retry failed connections,https://github.com/Azure/azure-sdk-for-java/issues/116
2014-6/24,2012-7/16,Blob: CreateBlobPages parameters inconsistent,https://github.com/Azure/azure-sdk-for-java/issues/117
2013-3/1,2012-7/16,Servicebus unit test should cleanup the 'test' queue and topic created,https://github.com/Azure/azure-sdk-for-java/issues/118
2013-2/13,2012-7/16,Update to newest version of dependencies,https://github.com/Azure/azure-sdk-for-java/issues/119
2014-9/13,2012-7/16,"Queue: ListQueuesOptions.*MaxResults should be Integer, not int",https://github.com/Azure/azure-sdk-for-java/issues/120
2013-3/13,2012-7/16,Queue: createMessage should throw for null message instead of submitting,https://github.com/Azure/azure-sdk-for-java/issues/121
2013-2/12,2012-7/16,Table: ListTablesOptions should have NextTableName property,https://github.com/Azure/azure-sdk-for-java/issues/122
2013-2/12,2012-7/16,"Table: Entity getters assume strings, but there is no check",https://github.com/Azure/azure-sdk-for-java/issues/123
2013-8/2,2012-7/16,Table: TableRestProxy imports classes from ...blob.implementation,https://github.com/Azure/azure-sdk-for-java/issues/124
2014-6/24,2012-7/16,Table: Entity's Timestamp should not have a setter,https://github.com/Azure/azure-sdk-for-java/issues/125
2013-2/12,2012-7/16,Table: batch method does not validate Operations types,https://github.com/Azure/azure-sdk-for-java/issues/126
2013-2/12,2012-7/16,Table: BatchResult returns a list empty abstract classes,https://github.com/Azure/azure-sdk-for-java/issues/127
2013-2/12,2012-7/16,Table: BatchResult.Entry name confusingly similar to Entity,https://github.com/Azure/azure-sdk-for-java/issues/128
2013-2/12,2012-7/16,Table: Classes derived from BatchResult.Entry need more descriptive names,https://github.com/Azure/azure-sdk-for-java/issues/129
2013-1/19,2012-7/16,"Core: ServiceException.getHttpStatusCode should be Integer, not int",https://github.com/Azure/azure-sdk-for-java/issues/130
2013-2/12,2012-7/16,"Table: Property class name misleading, really an EDM value",https://github.com/Azure/azure-sdk-for-java/issues/131
