year_month,count
2018-06-01,37
2018-07-01,23
2018-08-01,33
2018-09-01,182
2018-10-01,189
2018-11-01,244
2018-12-01,97
2019-01-01,152
2019-02-01,106
2019-03-01,172
2019-04-01,142
2019-05-01,108
2019-06-01,103
2019-07-01,159
2019-08-01,147
2019-09-01,168
2019-10-01,225
2019-11-01,177
2019-12-01,185
2020-01-01,148
2020-02-01,101
2020-03-01,255
2020-04-01,168
2020-05-01,195
2020-06-01,172
2020-07-01,270
2020-08-01,248
2020-09-01,239
2020-10-01,153
2020-11-01,236
2020-12-01,237
2021-01-01,188
2021-02-01,125
2021-03-01,194
2021-04-01,167
2021-05-01,163
2021-06-01,147
2021-07-01,134
2021-08-01,147
2021-09-01,173
2021-10-01,150
2021-11-01,162
2021-12-01,227
2022-01-01,166
2022-02-01,127
2022-03-01,174
2022-04-01,212
2022-05-01,150
2022-06-01,163
2022-07-01,168
2022-08-01,164
2022-09-01,143
2022-10-01,133
2022-11-01,231
2022-12-01,251
2023-01-01,126
2023-02-01,159
2023-03-01,180
2023-04-01,186
2023-05-01,183
2023-06-01,115
